,dates,aus0027-0000,aus0027-0001,aus0027-0002,aus0027-0003,aus0027-0004
0,1987-05-22 23:06:08+00:00,,,,197.1138977656201,173.89469403126085
1,1987-09-11 23:08:53+00:00,,,,207.18526640704792,180.4876403524384
2,1987-12-16 23:10:41+00:00,,,,207.7999827136494,190.90817191965945
3,1988-01-01 23:10:34+00:00,,,,197.47636260573378,183.89384102807563
4,1988-01-17 23:11:14+00:00,,359.54780141310334,,212.88750672688855,194.35263558930535
5,1988-02-18 23:11:47+00:00,,,,203.00055361198267,171.40732875679976
6,1988-03-05 23:11:57+00:00,,,,192.75702836939098,178.31955516344917
7,1988-04-22 23:12:17+00:00,,332.01693169668226,,182.98995888543718,178.68921281648798
8,1988-05-08 23:12:26+00:00,,318.3886758297728,,185.19124894613608,178.7582318692286
9,1988-05-24 23:12:34+00:00,,325.09039617645067,,192.4421357378049,179.573929311914
10,1988-06-09 23:12:39+00:00,,328.82357616019453,,177.5373932022706,178.3147522107143
11,1988-08-28 23:12:54+00:00,,,,198.53806203947184,182.1341210376421
12,1988-09-29 23:12:45+00:00,,,,205.08862142378717,190.36069619866214
13,1988-10-15 23:12:40+00:00,,,,194.29837506858195,179.58512317227982
14,1988-12-02 23:12:39+00:00,,330.0133014276082,,199.84283199725934,186.5537402737963
15,1989-02-20 23:12:03+00:00,,,185.34383141000436,189.86831395308263,164.93428210810808
16,1989-04-09 23:11:16+00:00,,,186.3822846026211,194.44405705677644,181.1485894837885
17,1989-04-25 23:10:57+00:00,,,178.3722147989347,174.07529953069607,176.45305393916846
18,1989-05-27 23:10:28+00:00,,,140.0330597262557,,
19,1989-06-12 23:10:05+00:00,,,184.94746653639456,170.75854183316798,168.7529320518014
20,1989-07-14 23:09:29+00:00,,,206.63114540714432,187.91282831479657,173.72777617158235
21,1989-07-30 23:09:11+00:00,,,225.09660183419498,187.47913250549303,180.4614658324847
22,1989-08-15 23:08:48+00:00,,,,184.02192307839945,174.8145680885672
23,1989-09-16 23:07:56+00:00,,331.6200434090007,,209.11226251290506,192.67066010877843
24,1989-10-02 23:07:47+00:00,,,,194.4580767263315,166.40805322413397
25,1989-10-18 23:07:04+00:00,,341.7652832529885,,216.8148455399699,188.9797272191743
26,1989-12-21 23:05:22+00:00,,,,195.7729340958554,183.39191025761787
27,1990-03-11 23:02:46+00:00,,,,201.2056321394718,183.58820509293724
28,1990-05-30 23:02:17+00:00,,329.8711485197297,,176.7985124547835,175.04602094344904
29,1990-07-01 23:02:16+00:00,,,,195.59599127674426,182.14559120633186
30,1990-08-02 23:02:07+00:00,,,,181.46220477176,175.20812807426816
31,1990-09-03 23:01:57+00:00,,,,200.60092251699,185.11852721418367
32,1990-10-21 23:01:39+00:00,,,,203.6683218889694,197.7032619734597
33,1990-12-08 23:01:24+00:00,,,,205.46577217510148,189.9165532483315
34,1991-01-09 23:02:10+00:00,,,,193.6191077323948,178.914438154447
35,1991-07-20 23:05:31+00:00,,,247.38574826297486,194.62518636311646,181.10347128519356
36,1991-08-21 23:05:42+00:00,,,,197.64054471377048,186.11941718477516
37,1991-09-06 23:05:56+00:00,,335.2946712402962,,191.88903104571827,182.46303874645534
38,1991-09-22 23:06:04+00:00,,338.56923092622964,,190.57206340843464,177.83334849122193
39,1991-10-08 23:06:10+00:00,,351.57429446928404,,209.81835207298786,192.18686601687585
40,1991-11-09 23:06:19+00:00,,347.8791399572625,,196.24429844703886,185.6168392445222
41,1991-11-25 23:06:25+00:00,,357.08545850414754,,195.54301914598324,182.231510446644
42,1991-12-27 23:06:27+00:00,,,,196.33088355235793,181.43549453625465
43,1992-02-29 23:06:17+00:00,,,,173.85747770412715,156.22999061131836
44,1992-04-17 23:06:04+00:00,,,,180.81246683974337,179.9679275393987
45,1992-06-04 23:05:37+00:00,,,,184.4664062317146,176.10867253873815
46,1992-06-20 23:05:24+00:00,,,,190.46452620994637,183.62785937681312
47,1992-07-06 23:05:13+00:00,,326.4979268527469,229.58769985180294,195.4020106609966,186.72382761246828
48,1992-09-08 23:04:19+00:00,,322.9726248393527,,201.4873643465928,184.47597850126297
49,1992-09-24 23:04:01+00:00,,,197.9959155176368,207.69069419868393,185.50551897319863
50,1992-11-27 23:03:11+00:00,,,201.47976403572642,209.6957759475804,194.46924537364077
51,1993-01-14 23:03:45+00:00,329.6871241767933,,193.1694476181809,203.3597080834439,186.40027759972207
52,1993-01-30 23:03:56+00:00,,,193.15361000575538,206.06971576567543,187.34422156016672
53,1993-04-04 23:04:21+00:00,329.2112864905322,,195.67310306636142,206.40426165905217,194.73350131954965
54,1993-04-20 23:04:30+00:00,322.20752069346975,,190.4973102471852,198.30587735584845,186.2182463746743
55,1993-05-22 23:04:38+00:00,313.18890907760215,,183.6972785985173,190.82799874664374,181.65546607996097
56,1993-06-07 23:04:40+00:00,293.9536690306365,253.77882880713764,177.70007497474938,188.16383280525014,182.61123247486123
57,1993-06-23 23:04:35+00:00,292.636230614166,271.684164914846,182.8251899196795,202.24172509692985,186.0758272897956
58,1993-08-10 23:04:30+00:00,302.16454392084273,,179.45858995364708,187.9696990314678,186.97329688240427
59,1993-11-14 23:04:03+00:00,290.9036894854321,261.1174356358763,205.25889946991893,216.72249504214102,200.54716332781706
60,1994-01-01 23:03:43+00:00,276.75290923620173,251.87356936014078,196.94351762608397,213.68750964676823,192.62908551753162
61,1994-03-22 23:02:36+00:00,238.98726776557007,215.27248025600468,183.00782755750217,194.33245581426146,180.08364458587198
62,1994-05-09 23:01:44+00:00,249.93105457513028,216.75353559661463,183.2398069832991,191.33565125330537,184.99917240820676
63,1994-06-10 23:01:08+00:00,235.78446415396292,233.64770883099976,179.2221514362467,191.19540285686816,179.21805476101127
64,1994-07-12 23:00:19+00:00,241.2296756694948,241.3138791187874,184.63388861344285,197.56209792671223,190.34500339139117
65,1994-07-28 22:59:52+00:00,232.45461258403438,276.563467122399,187.48185110734474,200.08108653785283,189.326167585031
66,1994-08-13 22:59:28+00:00,266.32297673390326,249.12541060554787,184.2777139680972,193.99973567970503,184.14251189008345
67,1994-08-29 22:59:05+00:00,271.6424753605576,248.24619675817186,206.81824923695072,201.95507334968838,184.61264053444734
68,1994-09-14 22:58:41+00:00,239.1680113056665,243.01485444162228,206.30489085109318,200.5004280316923,194.5546176320833
69,1994-09-30 22:58:13+00:00,235.4205174245132,259.05387205741965,236.3582757949705,206.4553012024642,192.0869238749356
70,1994-10-16 22:57:43+00:00,218.0984081310613,226.74216108424136,186.58638382106315,198.90314579367322,183.65748486723965
71,1994-11-17 22:56:36+00:00,230.17965134862467,237.9898521905876,200.28295140672594,202.81527958651034,192.46780774423792
72,1994-12-03 22:56:07+00:00,209.61945973247077,212.59851829961087,193.91978894521515,193.68764744174808,165.1280046971059
73,1994-12-19 22:55:37+00:00,224.98953202201037,239.38979642381307,187.7205948180045,202.51328998618214,186.23235308811212
74,1995-01-20 22:54:29+00:00,237.42778847766652,259.64958086586284,191.54242164488403,214.78354739599274,194.14242560529584
75,1995-02-05 22:53:51+00:00,246.0070924409592,237.47648950704718,,174.36249167892288,175.9693760459082
76,1995-04-10 22:51:15+00:00,218.2518740030732,222.8667584103362,186.53160152290073,201.36021618844293,184.70053449976663
77,1995-05-12 22:49:50+00:00,218.75440414215038,239.76968049947695,181.17757847271264,195.92410391195116,185.94595839887282
78,1995-05-28 22:49:06+00:00,235.94674055401907,225.60522381949426,178.1820527846258,188.71552517433508,174.8638240935153
79,1995-06-29 22:47:38+00:00,237.738322500518,238.39057088529776,179.91161475512678,200.03026329249596,192.37817269889044
80,1995-07-15 22:46:54+00:00,223.05493732913826,228.76637654389737,180.92578348383256,195.6046802799942,187.70109365122843
81,1995-08-16 22:45:28+00:00,255.86599566829494,,188.54585984010362,196.59688251339685,183.90187974695442
82,1995-09-01 22:44:43+00:00,,,186.1910901244586,191.64718491027426,180.4312602382902
83,1995-10-03 22:43:06+00:00,234.2361157183222,,186.66025268180303,198.23187270845352,184.35936935788592
84,1995-12-06 22:42:32+00:00,260.4540657970015,233.41680812354295,203.36007821873724,222.28506773603206,199.22376498085708
85,1996-02-08 22:47:07+00:00,230.79451047585755,210.59425132965532,192.87543679724192,213.58556417028433,194.1277750636657
86,1996-03-27 22:50:17+00:00,229.85065045920805,212.88805662734887,177.77729220223924,190.94755430033604,181.47646589530464
87,1996-04-12 22:51:17+00:00,,,180.82465898158722,194.5823677946615,183.9618927030591
88,1996-07-01 22:55:48+00:00,234.141240670866,217.12615568200005,182.23325521937406,190.58067335660007,185.16814297430386
89,1996-07-17 22:56:38+00:00,227.6500762148453,228.86153101057366,185.42146789517813,191.82256805402844,184.82929306398088
90,1996-08-02 22:57:30+00:00,216.43434278632063,221.2184962131845,185.34879345029955,196.23355359518322,190.00848957163635
91,1996-08-18 22:58:19+00:00,213.95166319159054,229.5704603321334,190.20479979096052,198.08227591684843,197.40585316817732
92,1996-09-03 22:59:13+00:00,,299.514502538451,198.8543873210871,203.6815615194658,185.25756896154542
93,1996-10-21 23:01:45+00:00,,287.5724751024344,219.3081561565021,198.5879420193245,180.8186626824535
94,1996-11-06 23:02:31+00:00,,267.64333659325547,225.40165522539175,202.26371246359568,186.09105850113474
95,1996-11-22 23:03:15+00:00,217.68380277112203,245.18364358650962,215.0877971081169,203.98883590137248,184.30389072801188
96,1996-12-24 23:04:48+00:00,217.65699037591497,245.6256774485461,195.46714569406615,192.8602657839394,168.7404676590352
97,1997-01-09 23:05:34+00:00,222.40063913202235,232.79620046226415,202.63534807837698,205.12855898746926,179.8045655195189
98,1997-02-10 23:06:59+00:00,,,197.39465359354438,215.97846616376302,195.25944396955987
99,1997-08-21 23:13:49+00:00,,220.6385276808844,183.8953289257676,205.39085159116627,189.40737649055964
100,1997-09-06 23:14:17+00:00,,218.93713224499425,184.77111272362637,199.7816483289107,190.19339507623167
101,1997-09-22 23:14:44+00:00,,209.561755883469,182.24407100571187,198.88851985085984,182.42246210046915
102,1997-10-08 23:15:11+00:00,,214.3939795161564,192.93838271586415,207.26260293978714,187.58461512566222
103,1997-11-09 23:16:01+00:00,,199.7647216264997,189.20821732268996,207.2177209947667,187.9397483252967
104,1997-11-25 23:16:23+00:00,,202.7413484500613,186.06491995071812,200.86146448107363,180.3446803419801
105,1998-04-18 23:19:09+00:00,178.11704422168515,,180.6540611180438,199.75259291540036,183.95068881527445
106,1998-05-20 23:19:37+00:00,174.67898089541796,,,206.6402721165711,188.14260596692577
107,1998-08-08 23:20:31+00:00,195.78228496803374,225.77718597448782,192.56604140607396,202.68152020244443,186.54330486702617
108,1998-10-11 23:20:56+00:00,209.43815608708613,223.22339582961445,205.50684835076302,201.27822277655852,185.34960116886586
109,1998-10-27 23:20:59+00:00,208.7434061121203,231.86488757409836,204.78480169878029,213.3757078878475,191.89291240980876
110,1999-02-16 23:21:22+00:00,,218.58367605742635,188.29485941498052,205.310729376994,189.74364943055866
111,1999-03-04 23:21:17+00:00,235.6001926708795,258.7208281273468,200.86662803684195,202.4302367826067,192.4262043468607
112,1999-04-21 23:20:51+00:00,,292.06132637532215,,190.74248150656643,179.01428906750337
113,1999-06-24 23:19:59+00:00,274.7089876831721,,161.61458216714513,159.47864562554886,163.777806071839
114,1999-07-18 23:34:54+00:00,285.3538933915292,260.067800230444,,183.20997272383997,181.93467181530374
115,1999-08-03 23:35:01+00:00,268.22237198490694,,176.64914487662236,181.861518563863,173.4077086780087
116,1999-08-11 23:19:45+00:00,277.7251085847086,,185.10834012782718,200.24523794129053,189.92871774325448
117,1999-08-19 23:34:58+00:00,,,,196.50436481330442,179.93519637532984
118,1999-09-12 23:18:54+00:00,285.5226059000465,271.012397035261,190.84165813107063,192.89967379931554,171.24483503809168
119,1999-11-07 23:35:02+00:00,279.2770238308289,275.7148458083908,212.63761403193004,196.8979516489498,181.94837742883732
120,1999-12-09 23:35:02+00:00,285.04329084588807,,194.80918081517697,198.38927607693427,182.5776121855963
121,2000-02-11 23:34:51+00:00,250.76814944654024,237.47763172227576,186.08077144784153,202.1163023605271,179.63452524948528
122,2000-03-14 23:34:40+00:00,,244.65021387597585,178.71010345524957,189.3360439930549,179.4083486334931
123,2000-05-17 23:34:12+00:00,222.23802400989837,212.90235377750304,172.5095769787811,189.73488696080312,176.00650488812377
124,2000-06-02 23:34:00+00:00,212.47101368242693,195.4307571374942,174.20580453845287,183.540946608266,165.8479123966712
125,2000-07-04 23:33:43+00:00,194.95017628353094,182.21931834933045,171.34478251310128,186.65358128563946,176.16125733400662
126,2000-08-21 23:33:07+00:00,246.5694111131612,235.8277804136342,186.95319504098757,196.2177656862515,182.59641236043487
127,2000-09-22 23:32:34+00:00,226.47955196877518,209.81469883795907,,198.19131036810856,182.90359017439832
128,2000-10-08 23:32:29+00:00,214.62371529132102,204.11630618659018,,199.38897961635544,181.7961697779683
129,2001-01-12 23:32:36+00:00,207.87048015976885,238.0424456912318,197.40046631017591,216.77514888857823,193.76219019705448
130,2001-01-28 23:32:38+00:00,217.6003347018848,234.04974307830176,198.3825019907108,210.6924965400604,196.70255434510997
131,2001-02-13 23:32:32+00:00,244.54945642021758,236.45626085681886,190.61347970368422,211.45456866071672,192.9726637204242
132,2001-03-01 23:32:27+00:00,246.74891528735537,221.72623570390562,184.12903450313138,201.82056476365017,184.1674618042746
133,2001-04-18 23:32:14+00:00,212.42418658851733,213.25236748165915,181.7542638067033,203.35811173336646,189.10335593063502
134,2001-05-04 23:32:10+00:00,205.9612498274574,199.46615195286873,173.57175126719656,190.52097276413375,178.8469383664699
135,2001-06-21 23:31:34+00:00,193.67317293842663,177.35222728981933,172.14560851959757,199.73610645693773,186.4160964709902
136,2001-07-07 23:31:29+00:00,188.90897999149857,178.15707277289965,173.97893782073314,189.4222024452454,183.25162774429361
137,2001-07-23 23:31:23+00:00,195.0993353182803,185.80878594031722,181.01050338331558,203.1965506172626,187.45058528071095
138,2001-08-08 23:31:06+00:00,190.34859685911422,204.5919343484063,179.77255178081705,207.21926141193222,188.98219638987635
139,2001-08-24 23:30:53+00:00,190.6404876987977,221.75026938322708,179.46697698466338,200.9129876521498,182.51246383080752
140,2001-09-09 23:30:42+00:00,,224.6625340987721,186.0866003822705,210.74219341426624,188.30038802552045
141,2001-10-27 23:30:25+00:00,199.0870424757152,187.5575016352152,196.54620544354583,207.64656298674748,192.745593983238
142,2001-11-12 23:30:35+00:00,181.55947988204468,190.10979545048767,190.9882584078124,206.4935323909937,188.6659810347071
143,2001-11-28 23:30:40+00:00,171.38316243627057,196.7795381704711,185.85964923422426,199.54117584547842,186.07277962542915
144,2002-02-16 23:30:59+00:00,171.10320633228986,191.97806417681468,183.71397108070667,195.46028388865284,185.57166953322843
145,2002-03-04 23:31:03+00:00,158.49235052543108,187.83229489751798,182.27049303895686,201.9879134069381,183.1048034867394
146,2002-03-20 23:30:53+00:00,168.14945288289923,211.79632044316836,187.21902495183355,210.5794854086116,189.57675558113655
147,2002-04-21 23:30:53+00:00,,227.78447762414515,184.4507753282304,200.07396651498175,184.5660189059445
148,2002-07-10 23:30:31+00:00,204.86322789423804,190.49144370476967,175.8524146990484,192.24281442728508,181.4468228790758
149,2002-08-27 23:30:05+00:00,202.05972779906446,214.4194546446021,178.74828437200455,191.29883232400056,180.25491972521755
150,2002-10-14 23:29:49+00:00,202.78517815312657,197.08349761556394,192.08270967902746,205.86596252225527,190.7555453766913
151,2002-10-30 23:29:54+00:00,204.65699799698808,207.57029554530743,198.7873047570165,201.2641339854199,197.04209756151153
152,2002-12-01 23:30:22+00:00,164.57194472452537,187.29232960225946,183.55603726164682,196.25900914697968,179.55239181023703
153,2003-03-23 23:30:45+00:00,167.62332190947512,204.0009844858998,181.26252249254742,193.51955729321585,180.99331274536385
154,2003-04-24 23:30:51+00:00,167.81440741669627,208.0865724330696,181.78341588201397,191.94669235797286,179.06025523331581
155,2003-05-10 23:30:51+00:00,,226.3466006634419,176.43096797793243,195.257139265742,182.31428368581004
156,2003-05-26 23:30:49+00:00,211.12556456650978,203.7933484181341,177.79435661132993,190.21706618139612,184.24574969232427
157,2003-07-21 23:18:39+00:00,191.60202746087074,199.19686413422147,,201.88515211173808,188.98257798360913
158,2003-07-29 23:30:34+00:00,,184.2485475244117,190.67031352258147,198.12190144987125,188.95887733167422
159,2003-08-22 23:19:13+00:00,,,222.54505562442307,198.81931688874656,186.73386813584492
160,2003-08-30 23:30:28+00:00,191.97474445627356,235.08335458610844,207.46870263098546,208.78206847720793,
161,2003-09-23 23:19:44+00:00,231.82541350049254,253.50801132152307,190.72953302236323,204.2874367533734,188.3361116267473
162,2003-10-17 23:30:21+00:00,232.1559805446774,234.1517745626262,191.33435131292663,196.24356756168527,184.93238186347693
163,2003-11-02 23:30:31+00:00,219.42343339816713,203.30927154770862,179.24071943019402,,
164,2003-11-10 23:20:17+00:00,224.24277140790065,203.53195116865928,191.1401476734004,202.56908453704636,185.0243950523332
165,2003-11-26 23:20:36+00:00,197.73920861053847,199.22513610795437,198.61647743275014,203.33054958068038,187.02525636816253
166,2003-12-20 23:30:57+00:00,205.9855985040885,194.11295410169436,193.0454375795595,205.62782900958064,189.73899870877474
167,2003-12-28 23:20:50+00:00,189.25479989395717,193.57748515633367,184.79929712688528,208.66702003216503,186.5403572561976
168,2004-01-21 23:31:08+00:00,185.83937830788008,204.1248772925196,196.2012478736528,205.5901792025744,193.5875308496355
169,2004-01-29 23:20:58+00:00,191.81139864886825,215.9057636163795,215.93236044025272,210.39575145889071,198.68194757766554
170,2004-02-06 23:31:13+00:00,187.77456295178305,206.88385901734983,195.98711053811456,204.7747998651478,191.38807132947008
171,2004-02-14 23:21:02+00:00,192.63821723267992,241.7512340393218,,207.252567486128,193.48716115889576
172,2004-03-09 23:31:20+00:00,,,,206.50362021581816,193.1739540164019
173,2004-03-25 23:31:24+00:00,,213.09043940151815,181.39465130174273,196.3619794865335,180.64553039825418
174,2004-04-10 23:31:19+00:00,205.11024454938737,212.63192400352236,180.7214034450419,199.54553328092416,185.47691040798875
175,2004-04-18 23:21:54+00:00,208.3992269641614,223.8788313065552,183.48363546859346,202.7839097471966,184.62853262187994
176,2004-04-26 23:31:16+00:00,,,,,
177,2004-05-04 23:22:21+00:00,210.7787545120064,224.6106557200282,181.53653753479583,194.77070288413844,177.50229814215294
178,2004-05-12 23:31:18+00:00,,,,,184.64962739588825
179,2004-05-20 23:22:49+00:00,199.81954163055948,223.06991993928048,184.02228454036313,196.5110850297676,184.51092856101113
180,2004-05-28 23:31:16+00:00,,230.4584129226056,,,
181,2004-06-13 23:31:09+00:00,,,,205.75596290876214,181.8100533843253
182,2004-06-21 23:23:45+00:00,,,,208.62269847436033,185.96798599359903
183,2004-06-29 23:31:08+00:00,,,,233.53817539728666,182.4172044667688
184,2004-07-07 23:24:14+00:00,322.7643953482716,,,226.3633119562543,185.8297812545997
185,2004-07-15 23:31:05+00:00,,,255.95582390563985,209.61643667699488,184.74723526872828
186,2004-07-31 23:30:57+00:00,,,243.0943400592156,206.86052641058373,185.37093265239574
187,2004-08-08 23:24:56+00:00,321.09233196250074,,,212.7158579567926,181.93198552263334
188,2004-08-16 23:30:55+00:00,,,,194.2720958817954,178.17943519901846
189,2004-08-24 23:25:23+00:00,327.03353967010054,,,,181.729397311868
190,2004-09-01 23:30:51+00:00,,234.74971801400739,233.19874036676015,214.84151365986526,186.12901487706569
191,2004-09-09 23:25:49+00:00,320.2524821614373,,,207.60601235992456,184.6616856540938
192,2004-09-17 23:30:44+00:00,,250.46244283644353,245.4539414642422,,
193,2004-09-25 23:26:12+00:00,,,254.78888926009114,201.04969039161037,180.2551612571498
194,2004-10-03 23:30:40+00:00,,,,210.1126399716421,190.42264979093366
195,2004-10-11 23:26:32+00:00,294.4978926735356,,258.0524787502171,208.2574302606219,186.2183806007568
196,2004-10-27 23:26:52+00:00,291.3639776088863,,246.34485331218406,204.03409651374244,191.05298562632336
197,2004-11-12 23:27:08+00:00,,231.97695039518658,202.47840375945785,,
198,2004-11-28 23:27:28+00:00,,,237.00294937705445,203.31505228198714,193.4024333288435
199,2004-12-14 23:27:48+00:00,,,242.4444407110775,217.85352712564097,192.6506086346165
200,2004-12-30 23:28:02+00:00,257.4184701234983,,,195.8927670829069,174.6930000158113
201,2005-02-16 23:28:43+00:00,215.3263414331573,226.29898830660065,184.03304133409856,200.24091897562423,187.4580260544665
202,2005-02-24 23:31:46+00:00,214.37106862499343,230.10966065079214,196.1958350781185,199.7627696461774,182.01770662364999
203,2005-03-20 23:29:07+00:00,191.19886493786888,206.6257865787079,175.18745005442432,186.53637711313024,184.89413337794434
204,2005-03-28 23:31:47+00:00,202.8512637005683,216.5173190811069,183.8524264916866,194.31800606159737,
205,2005-05-23 23:29:29+00:00,189.5488833000785,202.55597087735924,181.97409044451157,190.40313109844732,179.55244797217708
206,2005-05-31 23:31:40+00:00,,,,,176.91765348890937
207,2005-06-16 23:31:33+00:00,171.0498526301124,215.9113055493886,169.50303006369677,185.65866902746384,177.4651382829534
208,2005-07-02 23:31:31+00:00,191.0124525042027,216.75684586274946,181.42870724804825,197.76970114014452,184.75258480970402
209,2005-07-10 23:29:49+00:00,192.79787793668694,208.12812422215703,172.09258115409318,182.5213668324561,178.7366279585381
210,2005-07-18 23:31:32+00:00,193.25560319435561,212.93263988233704,176.29272337006225,198.5200822422131,183.15749547627456
