,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,aus0145-0000,152.83839702193598,-31.60762391611708,152.84249204892873,-31.608485468324695,0.055,0.0475,0.0604
1,aus0145-0001,152.8382583752633,-31.60820530058194,152.84213774545816,-31.60962024712418,0.055,0.0476,0.0611
2,aus0145-0002,152.83777458518352,-31.60883031256657,152.84149928353008,-31.610522549946747,0.055,0.0495,0.0618
3,aus0145-0003,152.83724690577137,-31.60984940894926,152.841181218336,-31.611148656558523,0.055,0.0496,0.0593
4,aus0145-0004,152.83689370364323,-31.61074972571586,152.84086727253836,-31.611958404415084,0.055,0.0489,0.0575
5,aus0145-0005,152.83654216936455,-31.61154632784153,152.84047451070595,-31.612850103863508,0.05,0.0476,0.0569
6,aus0145-0006,152.83615484738903,-31.612379750117693,152.8400828246283,-31.613693207045568,0.055,0.0488,0.0587
7,aus0145-0007,152.83577482500635,-31.613226836234436,152.8397072125461,-31.614530673382934,0.05,0.0472,0.0582
8,aus0145-0008,152.83537949674465,-31.614092763769452,152.8393346281306,-31.61534529180228,0.05,0.0468,0.0566
9,aus0145-0009,152.83504013313,-31.61492542195868,152.8389787401103,-31.61621560077817,0.05,0.0483,0.057
10,aus0145-0010,152.83463362465753,-31.615759818035425,152.83857557094248,-31.61704258725541,0.05,0.0474,0.0552
11,aus0145-0011,152.83426276742816,-31.616678474811568,152.83825992303804,-31.61782944940811,0.055,0.0499,0.0594
12,aus0145-0012,152.8339063054735,-31.617610508952385,152.83795849078243,-31.618610810501707,0.05,0.0485,0.0572
13,aus0145-0013,152.83363156593694,-31.618548737915912,152.83772326893924,-31.61942348094337,0.055,0.0491,0.0585
14,aus0145-0014,152.8333757064036,-31.61942294365208,152.8374668637776,-31.62029968400398,0.05,0.0481,0.057
15,aus0145-0015,152.83310422288073,-31.620354240643483,152.83722603714864,-31.6211187889138,0.05,0.045,0.0525
16,aus0145-0016,152.83289449271186,-31.62132850938032,152.8370555562737,-31.621917349676405,0.05,0.0484,0.0565
17,aus0145-0017,152.832731668723,-31.62227272072524,152.83691093635488,-31.62275832190111,0.055,0.0497,0.058
18,aus0145-0018,152.83259687511014,-31.623200272555064,152.83678575295656,-31.6236211913884,0.055,0.0531,0.0613
19,aus0145-0019,152.8324795256503,-31.624107391737983,152.83667121623785,-31.624507593197585,0.055,0.0513,0.0605
20,aus0145-0020,152.8323624055538,-31.624997860078974,152.83655252094866,-31.625410262264555,0.06,0.0551,0.0662
21,aus0145-0021,152.8322396730256,-31.62589125310029,152.8364291058042,-31.626308998050334,0.06,0.054,0.0647
22,aus0145-0022,152.8321157763563,-31.6268095739834,152.8363109404082,-31.627183173152485,0.065,0.0584,0.0761
23,aus0145-0023,152.83201615129582,-31.627728306947983,152.83621603396574,-31.628061209016973,0.065,0.0552,0.0726
24,aus0145-0024,152.83191751141692,-31.628639691261956,152.8361201388327,-31.6289465931328,0.06,0.0545,0.0668
25,aus0145-0025,152.83183031951086,-31.62960442284882,152.83604326666273,-31.629780089555414,0.055,0.0522,0.0642
26,aus0145-0026,152.83180733526464,-31.630577444111616,152.8360251383712,-31.630611186764106,0.055,0.0497,0.061
27,aus0145-0027,152.83181163152213,-31.631600268899025,152.83602254305276,-31.631390723874237,0.06,0.0533,0.0672
28,aus0145-0028,152.83194256275712,-31.632593114394847,152.8361342806665,-31.632190354982782,0.06,0.0511,0.0664
29,aus0145-0029,152.832054028644,-31.633469564383837,152.83625088316447,-31.63310773296744,0.055,0.0503,0.0643
30,aus0145-0030,152.83220463696492,-31.634627052773542,152.8362948625079,-31.63374501657947,0.06,0.0549,0.0683
31,aus0145-0031,152.8327189609343,-31.635717000334907,152.8366005350993,-31.634304296656353,0.06,0.0567,0.0694
