,dates,chi0066-0000,chi0066-0001,chi0066-0002
0,1985-03-05 14:07:05+00:00,,,
1,1985-03-28 14:13:13+00:00,191.52140687945496,185.82094848513304,179.28297105367986
2,1986-02-04 14:03:35+00:00,207.49404990104821,199.47507290831317,202.23406665627138
3,1986-07-21 14:05:23+00:00,189.16376411893594,192.1100311122284,174.44382628095718
4,1986-07-30 13:58:52+00:00,206.0845841652299,190.10128626300332,179.53362227213174
5,1986-08-31 13:57:41+00:00,199.55034406625808,181.90258739596982,179.55719884269814
6,1986-09-07 14:03:37+00:00,185.20887631050482,183.37715997336701,173.91408116097716
7,1986-09-23 14:03:08+00:00,185.44362033713523,181.1674274709202,186.88722782623654
8,1986-10-18 13:56:08+00:00,182.82257928700818,170.77164560543184,168.79350200798726
9,1986-10-25 14:02:04+00:00,,,
10,1986-11-03 13:55:34+00:00,179.35555313192395,176.78489159272024,179.89237135232162
11,1986-11-26 14:01:05+00:00,214.74317413687243,206.21054330036418,198.78136390200692
12,1986-12-28 14:02:01+00:00,200.6486510647477,191.41335890367245,187.1922853316941
13,1987-01-06 13:56:06+00:00,186.1097361522614,182.8222484541581,180.21076764458712
14,1987-01-13 14:02:29+00:00,195.26446643025304,193.18879612329013,182.0879934551109
15,1987-01-22 13:56:34+00:00,184.0625085524204,186.1681066736794,185.9282864076909
16,1987-01-29 14:02:58+00:00,197.62038259107686,187.64834840366896,179.31608296908843
17,1987-02-07 13:57:09+00:00,199.74249145442016,190.37311178260455,194.72189536556078
18,1987-03-18 14:04:49+00:00,199.88985923612614,194.30660286618115,185.61828122048203
19,1987-10-21 14:04:13+00:00,179.07214419593046,165.98279228358047,172.2434912495104
20,1987-12-08 14:05:05+00:00,198.48563015034603,190.08927926050166,185.6177821555767
21,1987-12-15 14:11:23+00:00,192.78929343716342,185.04585923727961,179.20569337966268
22,1987-12-31 14:11:39+00:00,197.79594154871975,190.59375082620863,180.91524108570997
23,1988-01-09 14:05:37+00:00,203.10440475653127,192.59518029427582,193.87461880765113
24,1988-02-01 14:12:14+00:00,200.34979321115037,191.1841130470355,185.7795713515752
25,1988-03-04 14:12:39+00:00,195.28028337285173,189.22401451797498,180.75758345077318
26,1988-03-29 14:06:41+00:00,199.96087709351985,193.24193115132226,191.72903991427444
27,1988-04-14 14:06:45+00:00,199.6577174980756,193.68406855636408,193.77867314632613
28,1988-04-21 14:12:59+00:00,184.78840480745006,178.12901254070653,171.4635504418355
29,1988-04-30 14:06:52+00:00,179.37493801811388,183.34466362085286,175.83646003697334
30,1988-05-16 14:07:03+00:00,187.1233941084875,191.6042533737549,180.8485936229481
31,1988-06-08 14:13:22+00:00,198.78632698328715,191.21089538665098,185.02339671402083
32,1988-06-17 14:07:15+00:00,187.67321342622466,190.15486354621558,177.43642816164265
33,1988-07-03 14:07:19+00:00,184.80165812279768,175.93276944503708,175.28892244902318
34,1988-10-14 14:13:24+00:00,194.55296296103998,190.72611396276594,190.63988602325352
35,1988-10-23 14:07:12+00:00,194.54372870934498,193.4455005761525,190.91434176156815
36,1988-10-30 14:13:25+00:00,208.1669088818559,195.99925114103505,202.26803791706573
37,1988-11-08 14:07:15+00:00,191.60651192162786,190.76266162335241,181.78792671564185
38,1988-11-15 14:13:25+00:00,207.33855443191084,197.03409454176244,192.49184013608476
39,1988-11-24 14:07:15+00:00,184.97189451176033,185.8670879662247,174.0682595706773
40,1988-12-17 14:13:10+00:00,207.14598632430227,196.63149575055672,199.38749602710092
41,1988-12-26 14:06:58+00:00,199.53388342332343,192.09589404243025,189.67466655356054
42,1989-01-11 14:06:52+00:00,200.0483983963079,189.4921862151609,179.58500846756755
43,1989-01-27 14:06:38+00:00,199.69336108136682,198.74157866365647,194.85664686226386
44,1989-02-28 14:06:26+00:00,195.42884160671494,184.2526902224821,180.2575227318805
45,1989-03-07 14:12:26+00:00,188.50807070423548,190.2942419058723,172.49335588724279
