,dates,chi0084-0000,chi0084-0001,chi0084-0002
0,1985-03-05 14:07:05+00:00,207.42823598369623,,148.78332526599002
1,1985-03-28 14:13:13+00:00,,,131.50055136858435
2,1986-02-04 14:03:35+00:00,201.03877614226045,,141.92361199069407
3,1986-04-09 14:02:13+00:00,190.45747642487805,157.3213457233782,147.2535711059453
4,1986-10-18 13:56:08+00:00,180.84611856323065,,118.44247278465483
5,1986-11-10 14:01:28+00:00,189.27671630512407,,122.41982836575977
6,1986-12-21 13:55:38+00:00,196.9166800869872,,134.91274042131482
7,1986-12-28 14:02:01+00:00,196.41770328764977,,142.55678062823964
8,1987-02-07 13:57:09+00:00,190.31855578228513,,140.15109985179305
9,1987-03-02 14:04:14+00:00,200.56799412160984,,143.72302886871304
10,1987-03-18 14:04:49+00:00,194.92097006174302,,149.70112786763198
11,1987-11-29 14:11:09+00:00,189.18348988447005,,123.77798113258434
12,1987-12-08 14:05:05+00:00,197.1039076310043,,128.12935831745722
13,1987-12-24 14:05:20+00:00,203.08467069840734,,152.3027648245396
14,1987-12-31 14:11:39+00:00,,,
15,1988-01-09 14:05:37+00:00,201.87860602943974,,143.39787152838247
16,1988-02-01 14:12:14+00:00,185.36647849077207,,125.47050801462376
17,1988-03-04 14:12:39+00:00,201.3723062625146,,142.55113529670834
18,1988-03-29 14:06:41+00:00,195.94133494192596,,138.13037418919595
19,1988-04-30 14:06:52+00:00,197.4827011880699,144.7773158813236,143.8278223259462
20,1988-05-16 14:07:03+00:00,197.8988454966272,,143.4123872925342
21,1988-06-01 14:07:09+00:00,187.07594308365807,,
22,1988-06-08 14:13:22+00:00,191.7772946349977,,140.31048944985224
23,1988-06-17 14:07:15+00:00,191.19944102134792,,125.42627785922359
24,1988-07-03 14:07:19+00:00,198.07182312507535,,128.1443688351405
25,1988-10-14 14:13:24+00:00,204.07580444551812,157.3989944135873,153.8358821379327
26,1988-11-08 14:07:15+00:00,199.8725305250492,,144.48434930023177
27,1988-11-15 14:13:25+00:00,185.36596709826637,,123.5695133751458
28,1988-11-24 14:07:15+00:00,199.87547171489248,,131.59447865804245
29,1988-12-01 14:13:24+00:00,195.6638571732835,,125.39937535486563
30,1988-12-17 14:13:10+00:00,191.18601650369447,,146.8566545659325
31,1989-01-27 14:06:38+00:00,194.53858575506518,,140.67393241808034
32,1989-02-28 14:06:26+00:00,189.05863298879473,,126.0372111020221
33,1989-03-07 14:12:26+00:00,188.98154550985828,,128.10060041161017
34,1989-04-17 14:05:40+00:00,198.29874222822806,,137.5876625240986
35,1989-04-24 14:11:42+00:00,195.96553126526808,,139.13482988165293
36,1989-05-03 14:05:25+00:00,196.86845401480022,,136.9272119974834
37,1989-07-13 14:10:14+00:00,192.19364769328763,,120.28846929230448
38,1989-09-15 14:08:39+00:00,210.94159242734966,,153.88816023339726
39,1989-09-24 14:02:23+00:00,194.04992848865055,,136.93119462733614
40,1989-11-27 14:00:36+00:00,208.50028156955685,,149.58450257587037
41,1989-12-04 14:06:36+00:00,199.47946010591863,,146.02104372608136
42,1989-12-13 14:00:11+00:00,190.40672182381596,,125.51052935141477
43,1989-12-20 14:06:09+00:00,209.36172288925883,,149.91034753368817
44,1989-12-29 13:59:41+00:00,197.90774690219035,,139.24282260636116
45,1990-01-14 13:59:09+00:00,186.18156428356016,,161.85324701627053
46,1990-01-21 14:05:09+00:00,197.8703683807364,,134.8348909501812
47,1990-02-06 14:04:37+00:00,196.32178421403785,,127.31282754562416
48,1990-02-15 13:58:08+00:00,197.7935701249279,,130.39323162816373
49,1990-03-03 13:57:36+00:00,199.9197004349141,,134.11991865733333
50,1990-03-10 14:03:32+00:00,204.90474266705647,,141.6893511178162
51,1990-03-26 14:03:02+00:00,198.2002347154927,,137.30198668509286
52,1990-04-04 13:56:41+00:00,196.46552855844212,,143.6949630394143
53,1990-04-20 13:56:53+00:00,206.59903075366847,,147.46730549552825
54,1990-04-27 14:03:00+00:00,215.94778195723188,,151.28496149992029
55,1990-06-14 14:02:59+00:00,201.94927673728426,,143.74536699229188
56,1990-08-10 13:56:38+00:00,184.52987966651267,140.73257694618027,132.54833044496408
57,1990-09-02 14:02:41+00:00,201.2279885876673,,142.07526393888665
58,1990-09-11 13:56:30+00:00,,,115.95551443303289
59,1990-11-14 13:56:09+00:00,192.54827789207167,,129.5676543419543
60,1990-12-23 14:02:26+00:00,202.6945945359527,,148.71252836527142
61,1991-01-24 14:03:20+00:00,201.7104241821027,,144.38031738105568
62,1991-02-02 13:57:12+00:00,195.97926192670627,,151.79340773346772
63,1991-02-09 14:03:30+00:00,207.4059429029195,,146.65779919135116
64,1991-03-06 13:57:50+00:00,193.94012230094475,,138.69121224838986
65,1991-03-22 13:58:12+00:00,201.04281349470014,,139.231893801223
66,1991-04-14 14:04:45+00:00,195.54040691441438,,131.31454329418887
67,1991-04-30 14:05:01+00:00,207.18286380292565,,145.10825452492224
68,1991-05-09 13:59:00+00:00,196.7631649543901,,138.0983867892517
69,1991-05-25 13:59:16+00:00,185.63909110246072,141.489355851597,127.84449255824696
70,1991-06-01 14:05:33+00:00,187.67621519583236,,
71,1991-09-05 14:06:38+00:00,208.0590255717617,,152.64776650194946
72,1991-12-03 14:01:06+00:00,194.779106958808,181.5611117389123,149.8443744853668
73,1991-12-26 14:07:10+00:00,213.0814145084571,183.95315037655328,174.17499115538922
74,1992-01-20 14:00:55+00:00,207.39175272983837,,149.20210585868767
75,1992-01-27 14:07:09+00:00,197.818868890816,,146.72209633363119
76,1992-02-05 14:00:52+00:00,204.33299331690273,174.0122641512392,156.22390305348344
77,1992-02-12 14:06:58+00:00,197.08879544958253,,148.08828925351622
78,1992-02-28 14:07:00+00:00,200.0355165185099,,153.8539770893839
79,1992-03-15 14:07:01+00:00,203.75860209847698,175.39892249167556,164.75387877939949
80,1992-06-12 14:00:04+00:00,,147.09733312204295,156.96674562305571
81,1992-07-14 13:59:40+00:00,197.69431513336693,,142.46085784704246
82,1992-11-10 14:03:55+00:00,210.6074179667287,,154.31100944453317
83,1992-12-05 13:57:51+00:00,192.61701060858823,,132.83501345123605
84,1992-12-28 14:04:15+00:00,186.7640745402061,,126.21931909692046
85,1993-01-06 13:58:11+00:00,206.36656378904894,,163.52786781697972
86,1993-01-13 14:04:27+00:00,203.26320133939288,,147.8765507199612
87,1993-01-22 13:58:23+00:00,202.968980892616,182.29439206558274,159.42293660268297
88,1993-01-29 14:04:38+00:00,206.26382165050578,,156.26738981664147
89,1993-02-23 13:58:37+00:00,200.83496975918524,,152.5366834240477
90,1993-03-11 13:58:49+00:00,196.37818651421563,,142.9915373460323
91,1993-03-27 13:58:49+00:00,203.7531960857505,,155.75257583952285
92,1993-05-30 13:59:12+00:00,208.47704515215213,,163.2192733380351
93,1993-10-12 14:05:03+00:00,194.92213306446416,,139.54931653039029
94,1993-12-15 14:04:38+00:00,201.88500207874023,,149.37487160913764
