,dates,chi0110-0000,chi0110-0001,chi0110-0002,chi0110-0003,chi0110-0004,chi0110-0005,chi0110-0006,chi0110-0007,chi0110-0008,chi0110-0009
0,1984-07-15 14:11:57+00:00,67.67129997444279,53.745431760071426,51.972214988044996,24.35137998221031,8.04442673544903,18.157069604279435,39.718788397848314,52.78435488385225,55.51859139318803,
1,1985-03-05 14:07:29+00:00,83.75482254161865,65.51508362082966,61.71370059154488,43.311283787879105,24.996188597307594,23.35969319744963,38.402772419740366,48.8829041253874,53.5127369160984,109.27929937792698
2,1985-03-28 14:13:37+00:00,73.19096538318851,64.33400123141391,54.27452410809951,35.83013531260261,20.07758370973484,36.40716123896725,45.2854117281226,61.14955808788682,55.76916166676067,89.62881911612641
3,1986-02-04 14:04:00+00:00,91.1908790506842,80.7144595476548,,,,,53.36314622597402,91.10611381080923,,
4,1986-07-30 13:59:17+00:00,55.74024377473553,,,,,,,,,
5,1986-09-16 13:57:34+00:00,74.59749808178032,66.79201209255775,54.75046914651419,35.33005975152348,16.023861260884033,21.39571045906672,39.42820177246272,,50.20549480580222,72.19279781424876
6,1986-10-18 13:56:32+00:00,,124.2063005625971,,,,,88.47214073208842,98.05412799556622,,127.54591378566342
7,1986-11-10 14:01:53+00:00,73.87708046354251,93.03427560024831,,,,,,,,
8,1987-02-07 13:57:33+00:00,,,,,,,,,,
9,1987-03-18 14:05:13+00:00,80.08658723294138,70.28813372266355,63.837706788040286,46.25326362960126,23.008365863026114,37.702715260641526,51.30418142531526,63.42322820121302,59.892053005383005,
10,1987-11-06 14:04:57+00:00,164.07551517185948,,,,,,,,,160.93440406469963
11,1987-11-22 14:05:16+00:00,183.05515269706368,168.15818803699534,,160.44967293319448,152.71044893059698,163.04126976019938,162.3931692769062,,171.68016013773152,167.33354222324493
12,1987-11-29 14:11:33+00:00,168.2813498654674,145.8581889947407,125.20606915475192,,,142.66904629947436,154.9700624842405,,,
13,1987-12-08 14:05:29+00:00,178.1995247887911,169.16374329392266,167.02889008516615,162.0567031376022,162.2344239704148,159.10546408761815,149.3661539183591,,181.24275076950232,179.79277928746478
14,1987-12-24 14:05:45+00:00,183.38377855770773,170.2470739476014,177.91450143176903,149.65096246127916,161.82591238637383,173.8448606782281,174.0370598457912,,181.75244042175296,186.16547665336634
15,1988-01-25 14:06:19+00:00,167.91679823471338,154.20851793545995,151.74528696404863,,,164.94748804272825,166.0757140235698,103.38121189431176,,188.20635656766345
16,1988-02-01 14:12:38+00:00,166.43428961682062,161.12731696761057,166.30027522693334,148.87395090937312,173.12951873434372,167.77706562561207,153.6825049058374,,,183.81087852007568
17,1988-02-17 14:12:53+00:00,159.54079824658476,145.46134603159848,,116.31235227029131,,134.7826473987859,78.68229854912175,105.21538783351124,137.8627860273064,145.4101191010712
