,dates,chi0223-0000,chi0223-0001
0,1985-07-27 14:08:05+00:00,264.7751253443836,275.04131225032376
1,1986-07-30 14:00:28+00:00,279.43816196083696,271.5375704968521
2,1986-08-15 13:59:53+00:00,263.3789803775128,267.69019237224296
3,1986-08-31 13:59:17+00:00,262.7657429195393,275.50740916463116
4,1986-09-16 13:58:46+00:00,261.3798772504166,251.42402794907713
5,1986-10-18 13:57:44+00:00,264.0235091934753,246.02175794166922
6,1986-11-03 13:57:10+00:00,,
7,1986-12-21 13:57:14+00:00,280.6902119035814,295.22753759693757
8,1987-01-22 13:58:10+00:00,299.0757270723258,274.7613504975843
9,1987-11-06 14:06:08+00:00,279.06854237684206,270.41767661478855
10,1988-06-01 14:08:45+00:00,,233.45993541099827
11,1988-09-05 14:09:03+00:00,260.9353215548316,272.7487669794317
12,1988-09-21 14:08:58+00:00,289.776973400047,298.8390350506009
13,1989-05-03 14:07:01+00:00,,
14,1989-08-07 14:05:09+00:00,,
15,1989-08-23 14:04:47+00:00,283.89223894760187,295.3655235268457
16,1989-09-24 14:03:59+00:00,279.7022148264259,292.2544642013269
17,1990-11-14 13:57:45+00:00,280.79593164854134,289.33810037443754
18,1991-01-01 13:58:07+00:00,247.48702413276095,267.1116081128871
19,1991-02-02 13:58:48+00:00,263.9290368927421,251.76141281808628
20,1991-08-29 14:01:55+00:00,,
21,1991-09-30 14:02:13+00:00,280.8028611121474,
22,1992-01-20 14:02:31+00:00,245.5259768209856,204.37765708065749
23,1992-02-05 14:02:28+00:00,263.3844404795579,207.37580749955197
24,1992-07-14 14:01:16+00:00,,187.39309460071036
25,1993-01-22 13:59:58+00:00,243.2011734743522,
26,1993-02-07 14:00:09+00:00,,210.57822174912286
27,1993-04-12 14:00:33+00:00,245.93788115520792,
28,1993-05-30 14:00:48+00:00,260.4701970689895,241.8261458684351
29,1993-07-17 14:00:39+00:00,240.05480567046186,
30,1994-02-26 13:59:07+00:00,261.86669731259275,267.0585217785453
31,1994-07-04 13:56:41+00:00,,251.8189828349099
32,1994-09-22 13:54:36+00:00,263.15105732402156,239.79362641015706
33,1995-05-04 13:46:22+00:00,281.42639327839237,274.519810642311
34,1995-05-20 13:45:38+00:00,244.34206470040385,241.93925359613002
35,1995-06-21 13:44:09+00:00,246.5974050209846,266.4729746285251
36,1995-07-23 13:42:43+00:00,203.12917148175666,204.100663069539
37,1996-03-19 13:45:53+00:00,242.89884845728096,239.91919181187134
38,1996-04-20 13:47:53+00:00,244.7482349597831,244.91414572982575
39,1996-08-26 13:54:53+00:00,265.31955125970774,268.03809325986657
40,1996-10-13 13:57:28+00:00,263.34086765056145,272.49110664726766
41,1997-01-01 14:01:18+00:00,299.16949584867416,295.12744840450614
42,1997-02-02 14:02:46+00:00,279.7948585216653,292.176227557166
43,1997-05-25 14:06:59+00:00,,
44,1997-06-10 14:07:32+00:00,247.1970516356763,272.15924855816326
45,1997-06-26 14:08:05+00:00,281.2187702099674,276.40947925198964
46,1997-07-12 14:08:38+00:00,265.2174545560173,270.72063878701323
47,1997-11-17 14:12:20+00:00,280.32261451959727,254.05781246653672
48,1998-02-21 14:14:30+00:00,281.18751375472846,274.1003509293713
49,1998-06-29 14:16:18+00:00,244.17545064432295,
50,1998-07-15 14:16:30+00:00,243.91914697661997,253.15532588898543
51,1998-07-31 14:16:36+00:00,,
52,1998-09-17 14:17:02+00:00,264.1287688279807,276.15582085469725
53,1999-03-28 14:17:01+00:00,,
54,1999-09-04 14:15:19+00:00,243.19489803300797,267.93654369070646
55,1999-11-15 14:31:08+00:00,270.4209615418947,288.9538758737794
56,1999-12-01 14:31:02+00:00,290.98087290302215,283.80335621581287
57,1999-12-25 14:13:21+00:00,,
58,2000-01-18 14:31:01+00:00,276.6170205489117,287.8740413290428
59,2000-03-30 14:12:38+00:00,,
60,2000-04-15 14:12:49+00:00,265.49138417945386,267.9709399526886
61,2000-05-25 14:30:13+00:00,253.717900170087,282.03588153655545
62,2000-06-26 14:29:57+00:00,279.70694359131295,286.4656675332094
63,2000-07-12 14:29:44+00:00,270.0562221656637,285.52349220842177
64,2000-09-14 14:28:51+00:00,,243.95731596760737
65,2000-10-24 14:16:58+00:00,281.70023618764026,279.97378984700424
66,2000-11-01 14:28:37+00:00,255.2338195684984,281.2823491564135
67,2001-02-13 14:18:16+00:00,264.4020540610361,294.9112578923702
68,2001-03-17 14:18:24+00:00,,
69,2001-03-25 14:28:26+00:00,227.85275470250934,240.42762130217304
70,2001-06-05 14:18:37+00:00,245.43497663427476,241.3167630753858
71,2001-07-31 14:27:24+00:00,253.3745396023801,257.898128377578
72,2001-09-17 14:26:43+00:00,252.4156580751695,253.24569650716572
73,2002-01-23 14:27:07+00:00,270.24237315515586,284.02683738533256
74,2002-01-31 14:17:07+00:00,,
75,2002-04-13 14:27:04+00:00,251.46695985532187,261.1430569840237
76,2002-04-29 14:27:05+00:00,253.79099157784043,261.1213350407476
77,2002-05-15 14:26:58+00:00,233.78892880898167,
