,dates,chi0224-0000,chi0224-0001,chi0224-0002,chi0224-0003,chi0224-0004,chi0224-0005,chi0224-0006,chi0224-0007,chi0224-0008,chi0224-0009,chi0224-0010,chi0224-0011,chi0224-0012,chi0224-0013
0,1985-07-27 14:08:05+00:00,214.26903649239227,207.52114066379224,215.7885538925194,214.2642210130912,212.54000299479546,213.29167113288108,215.7843289172812,222.56361506970345,220.44311168612353,216.27850910364492,217.5986044835483,213.50631609437065,209.28745323874278,215.6923045367471
1,1986-02-04 14:05:11+00:00,208.64031309040666,208.66037184440665,213.31424908268093,215.11659905884937,212.4257181022568,212.944666863827,,,,,,,,
2,1986-07-30 14:00:28+00:00,212.2398704117454,206.86939227104386,216.23972934895164,217.65349777269284,221.41129251688008,220.49750802853683,225.99515114325905,223.62872492569983,224.5460635908884,217.1591948001759,220.3642839807209,217.4529851258761,213.66812946087228,217.39409546129573
3,1986-08-15 13:59:53+00:00,211.22584464591503,205.62322415232424,215.83530492721286,217.33135259232506,214.55331612009687,217.70854917069872,222.5262736865778,220.08962609353844,222.3185559869794,221.02350364732536,221.27262858007063,217.63613548081085,213.19195524111805,217.733262747065
4,1986-08-31 13:59:17+00:00,209.47920854397734,206.20624986136505,216.18828935222388,212.65309437550803,215.5720968038015,220.21981873971416,217.09393734718512,219.86751317244995,221.47168190605228,217.92055039076376,214.68021799773342,215.96023302819367,214.5557176891349,216.1463472218505
5,1986-09-16 13:58:46+00:00,222.57993302409994,217.01059446583108,220.18264834264733,218.46477931121518,223.77917404833258,225.03967794043106,225.01514515378176,225.94946382162394,230.1015017414916,223.48677916472835,224.27018099237364,223.95256984678792,224.47919671743819,229.9756517421748
6,1986-10-18 13:57:44+00:00,,,,,220.47775951889273,221.8485789466755,220.06033633148394,218.75676192082773,224.6393403444903,216.31202046959933,221.24068706751578,217.91489265065877,218.85543448421456,225.76850204316506
7,1986-11-03 13:57:10+00:00,219.3361036348295,214.72151422584372,215.8280705135131,214.2276407118745,216.4395464525713,,,,,,,,,
8,1986-12-21 13:57:14+00:00,213.83167203660352,205.2648279370322,214.73934732328,215.3269016439334,215.19829640356735,216.14562209255297,214.9116686361274,212.18569505432458,215.82401783960998,211.2707192131122,211.5946879382699,211.03889095863835,214.67708107997342,221.7716701326234
9,1987-11-06 14:06:08+00:00,212.12643061185744,211.42208262395002,220.30759910522605,221.05053310848825,,,,,,,,,,
10,1988-06-01 14:08:45+00:00,211.09021775684616,208.266119935317,215.14290231378152,215.7736994361768,216.52475780548215,211.39066887287365,217.95666950648385,220.98085693101825,220.94014120491326,215.8739068446812,220.40242547673552,219.8879044336769,213.55139916492155,223.48638426535348
11,1988-08-20 14:09:00+00:00,,,,220.06010041640005,,,,,,,,,,
12,1988-09-05 14:09:03+00:00,207.06613210112383,205.2414099685564,209.0144827852416,208.05389260982565,209.8042398879456,,,,,,,,,
13,1988-09-21 14:08:58+00:00,212.52557211350154,212.91290520708225,214.48355283000583,215.65535984115505,217.43351498030117,221.95696607493545,219.67989531204762,219.80934515335565,223.8004451140363,220.26778888990796,220.35508776575463,217.7888726241959,214.60248438382837,230.6962705121416
14,1989-05-03 14:07:01+00:00,212.59348271744722,209.47916179067056,216.93665684951654,216.4717374283722,221.90718416898574,217.07410892336154,220.96808789824203,223.5672262496804,218.7138885250199,218.50795114987397,222.6148932277537,217.27071950070766,217.4665131502928,223.41505972358533
15,1989-08-07 14:05:09+00:00,188.0059909713222,198.34263163606522,206.90757812855207,215.90279069839363,239.79420583111354,,,,,,,,,
16,1989-08-23 14:04:47+00:00,210.3247655002622,207.93244755535372,216.08639882469038,218.5329173466277,221.17567842366842,216.68427604167192,220.6456991927743,221.83072411902828,229.08301479360117,221.7679500444872,231.69628733247492,228.98434099957544,225.72320413104492,229.5183301775311
17,1989-09-24 14:03:59+00:00,209.71544587466522,209.66332091665075,215.69383606611464,218.4723729056524,221.60172621541614,,,,,,,,,
18,1990-11-14 13:57:45+00:00,216.68059863550025,213.98343595524258,219.69428024447797,222.52675209278522,218.4052137831504,224.47955808534257,228.48522163028318,219.7387941178898,227.4372636508838,219.00694629785033,222.76749419056446,223.52211046612476,224.060852887405,222.03594988207433
19,1991-01-01 13:58:07+00:00,219.89523974003063,211.26707544844965,214.54117085739747,213.64954532695074,,,,,,,,,,
20,1991-02-02 13:58:48+00:00,,,,214.58802452049545,213.83159188709845,,,,,,,,,
21,1991-08-29 14:01:55+00:00,208.00497399489683,206.3356176517646,215.69331179476404,212.0943508242994,212.6667404718488,213.16180574701073,219.88677633943783,214.30604191753116,224.37008597803708,216.81417204436767,217.4392193950758,217.37177148909765,213.85178788400873,212.77580297210997
22,1991-09-30 14:02:13+00:00,207.31971347196077,202.07839929788014,212.90493787236366,210.60425051106125,214.11220512667575,211.2538143044886,215.63639597382374,216.37873052079527,216.22535204173641,213.16688785843928,213.55808311217393,209.50281531972954,208.31900197203979,222.5311997345009
23,1992-02-05 14:02:28+00:00,211.3492690506407,204.25925926920445,214.32659411940188,216.08019686803271,214.6359396108475,205.53604084863215,212.4346365392941,202.29472223122812,206.1974053361251,199.43387800482776,209.45476117155815,206.87157094484425,213.59488960781292,208.52250556510478
24,1992-11-03 13:59:30+00:00,,,,,,,,,,,,,,
25,1993-01-22 13:59:58+00:00,221.63756000146907,217.3330505286698,213.9649898785111,211.75989964582362,216.30705901808562,,,,,,,,,
26,1993-02-07 14:00:09+00:00,,,,,,,,,,,,,,
27,1993-04-12 14:00:33+00:00,217.07508131759542,209.91628277578906,215.03008358380816,215.55617770502428,210.6390953744731,210.69337978142647,209.42424229818124,208.1712336558547,209.00874537630844,206.42786326296775,206.54496666361015,,,
28,1993-05-30 14:00:48+00:00,215.24769178287846,208.78835511196925,218.7066990213506,216.23999750761234,212.7005247858703,209.5360556227644,212.11363501621582,212.42268664694012,216.5965886952435,207.34257257171538,207.49461069539637,204.70890001533775,202.66063404758012,208.0887887688285
29,1993-07-17 14:00:39+00:00,206.15264398207566,201.09993243563727,210.53518480530113,211.22598847067349,213.34217594927512,214.31070961670937,214.60322144044477,215.88643030902546,214.75090348817355,211.54060183879085,215.13488120023013,209.70679497240917,206.72919388704133,205.0455885346157
30,1993-11-06 14:00:17+00:00,,,,210.09485287674335,211.24283874684923,,,,,,,,,
31,1994-02-26 13:59:07+00:00,219.91279461742909,214.0965611832894,227.76829573853337,228.93079584260914,221.37659707542505,219.8315962666896,218.7285153119406,221.92580962958115,224.3928989136119,218.46085962402302,222.26410389485966,217.4937167458624,218.31442918428095,217.17147873193284
