,dates,chi0338-0000,chi0338-0001,chi0338-0002,chi0338-0003,chi0338-0004,chi0338-0005,chi0338-0006,chi0338-0007,chi0338-0008,chi0338-0009,chi0338-0010,chi0338-0011,chi0338-0012,chi0338-0013,chi0338-0014,chi0338-0015,chi0338-0016,chi0338-0017,chi0338-0018,chi0338-0019,chi0338-0020,chi0338-0021,chi0338-0022,chi0338-0023,chi0338-0024,chi0338-0025,chi0338-0026,chi0338-0027,chi0338-0028,chi0338-0029,chi0338-0030,chi0338-0031,chi0338-0032,chi0338-0033,chi0338-0034,chi0338-0035,chi0338-0036,chi0338-0037,chi0338-0038,chi0338-0039,chi0338-0040,chi0338-0041,chi0338-0042,chi0338-0043,chi0338-0044,chi0338-0045,chi0338-0046,chi0338-0047,chi0338-0048,chi0338-0049,chi0338-0050
0,1985-01-25 14:04:03+00:00,214.36742416242942,201.56518318725023,200.92396044351972,205.45460952985562,215.29930316420626,207.93127711991892,215.62804485519968,221.49843647577794,223.1147212793483,218.16953547949555,230.18451550717143,235.0973327072251,219.1381875376336,227.03638667389882,215.35177696268798,205.52196116149304,203.11362287294668,208.44241385003238,201.57907812573922,207.1903142036661,170.98571255470557,178.37941588303627,167.65873500858385,157.9029330626377,179.37590549115808,170.62841970281144,172.58495865405362,203.58866950839877,203.91660333716703,206.07756757827516,219.19809910399547,217.7121075849348,218.53514263975862,198.43365408070494,175.92899850249154,177.32426180694844,189.63432119970312,186.76527128269583,190.7607232201325,190.07431126142555,199.374977336688,198.39201292845212,214.07837663851632,188.36674532318176,197.49984456580697,207.9433956431532,186.7085371339119,204.31067407332498,178.05030999521935,178.7322128550349,195.02822012264335
1,1986-02-04 14:06:47+00:00,212.853749819282,197.62828507917882,201.76332359685236,190.16157518350894,215.69046945479906,226.00711534942815,228.9626775262614,223.5744997886646,228.06402695095076,219.55652817794905,217.18545585543774,231.10235804802477,222.7498589438826,223.3437996250254,214.30220189318754,211.61568184694002,196.74333313266052,186.63305116819836,183.4790301599763,184.4735668491877,183.09270208717888,176.06268014877585,166.09460072427473,170.94347591627877,172.08346081454226,197.08718752836054,192.06463426873037,207.84414375777666,211.49400137291286,208.6945519910072,211.2054069324147,214.1188566620138,212.62687551812212,201.45289854678117,199.3580778731525,168.1225185695892,179.98947289669198,196.07585133163798,183.6644759109534,193.81308259092484,183.11104095637907,185.96635669395639,194.45658907516,212.21016313235233,211.00645762713336,181.45729939410296,184.66387751631,210.6507246466668,200.77313368406777,187.57787869584988,187.0782991098555
2,1986-02-13 14:00:24+00:00,197.91474584273348,191.77050116262356,194.71334906360786,195.0325744494147,203.94791033040212,214.25197367030717,212.5872826545269,204.6161878130527,207.80247280690477,207.71489939971627,212.90830022762998,221.79067340259547,235.3752996089991,234.26658917536693,228.85767401918383,201.48223889186232,200.4557660859912,186.8061031250481,174.6010518217369,185.40676148463322,164.9239860411284,168.33062124227857,164.586152212486,171.34802445728258,165.7063070870443,187.09979662978955,195.4875607510419,203.53662331864004,217.00054886434157,218.5123144222517,196.77964615259384,215.25189726936884,213.96399584625175,200.69678023589373,202.25291557688965,177.7469396796308,171.0976139820617,199.1651501721222,191.90327457974448,196.10099648324547,195.507514077461,,,,,,,,,,
3,1986-03-01 14:00:01+00:00,210.88520124679778,204.20366439292337,206.9138962723644,200.84632934437278,216.4289615131481,217.84047142483112,221.18126205469343,223.38726556343903,223.497752350345,221.90252183870413,223.76482323439242,229.15443323643757,232.36740897235143,232.24457783582872,231.88461143314504,223.26297753214422,197.66147359285893,189.16754024693273,195.43565563416487,191.3179600429679,179.72054156094853,175.1384113028935,169.8263876423288,169.9026929973944,179.57104446945854,192.77298580262774,197.97647751309736,223.42678423820885,225.2678136949291,222.56975723999628,217.78438789029775,207.6581320683231,225.72187199491435,213.9449278497063,189.5034559257079,178.76751480546008,163.70638492532154,197.38314962686852,206.97804535976593,207.91990187116244,191.78931003695146,184.71562926839053,212.01165177183108,211.20140341936116,216.56779587076144,204.32475896894783,180.93644585833164,192.28474322946764,201.01140929499653,185.44987652393363,197.2212974672325
4,1986-05-04 13:58:38+00:00,183.20577659956064,172.09751787988088,168.4285424349177,170.969666962186,177.34697996942413,180.50567354895946,181.91160147579856,,182.88497719948433,188.91547079702465,183.80748474213146,,195.69160568029918,193.7530346844891,185.50363662848218,182.49992731368047,173.42809379554518,165.74541026109583,170.53215802594855,188.00029687323578,183.80720079003441,175.34276693028698,179.62317675040492,174.22024250821013,168.34367356049677,164.47782980049809,186.35335779843135,201.13904821815038,204.34184600150826,197.8615233638606,206.66594633184445,204.26581015837425,211.01973708567044,203.60299581278204,191.5509759926514,185.11978586604488,187.43300022522132,182.5999981661926,178.65076672099516,179.81032035021235,189.52328309032882,184.1579040381816,192.51099717728184,205.757756368651,206.28242126160296,189.53898606544192,190.23209301303757,202.96878092069394,200.858616515537,172.28412092897838,168.05770087622756
5,1986-05-20 13:58:12+00:00,174.08478652740405,155.1963216075009,155.0597068709935,156.50072226540584,163.7239633586343,173.44584334745045,,,174.39230301736657,170.73881228791177,144.8848450268209,,157.99872137556667,137.4873400555601,147.62840733180704,159.6480023460291,153.37359349150574,154.55988007160258,153.83156062042812,158.86066963397224,163.57632598552613,162.16950867208234,144.4587450231231,142.10710293837832,150.33622030271326,159.28585225021052,162.25284301347642,178.72432809023562,175.50476029457235,180.85676003750623,188.49260758378892,199.0728863020667,189.85865731350023,175.18327812180638,166.8092568686137,162.55353126249432,163.63854679963686,157.60118485269402,161.47279021374555,176.36414628800546,176.73837502996778,172.48792991557553,181.99690424023936,192.0803542147882,183.43994988725126,175.84037400147952,175.41710486132115,176.24135787359603,169.40523113536688,154.47889661142835,140.49484760458387
6,1986-06-05 13:57:43+00:00,174.80095091166876,171.17911855898703,169.2030661064472,178.00293743930962,186.91863966222883,191.1466977638247,194.49459388558245,188.59612020747716,178.1673867905136,168.2973736929137,158.70139697785817,176.93382046940127,173.80694477932462,177.73308398003235,,158.47695024029628,162.51187052795993,159.79549643473035,151.49822318911396,162.35798015183425,168.1724580655758,171.32703052288366,144.906012374382,151.00154796033837,190.6627874672689,189.10761342984432,,,179.4177983150604,179.74932598897402,177.55824960698018,186.8739389941718,197.9960067013359,175.8771929611657,177.62332176861673,183.13670894173788,175.0581494614516,169.9248708708007,177.67096466242364,175.78653576639925,176.79191705564912,182.96333776062545,170.92543646148957,176.0170512072392,187.62582703122183,185.49404887374138,177.6989097963884,181.2025114784387,166.89450504087853,168.87690681731348,150.01034811434712
7,1986-08-15 14:01:29+00:00,211.52279638153996,195.71198173678988,185.1535583884447,177.47965302877816,193.67723497747798,188.0810336453925,181.61946381471301,212.89348520229203,221.40203212361442,199.32549376375957,169.2345058680421,184.84308213230588,176.60743161616816,180.70066380918476,159.76740783007634,179.96352028512388,169.10197074249308,140.26734765874014,171.50636091606174,193.0500755746735,169.1622833587663,169.94901637660917,171.29735881259037,194.55271270110458,196.3436799986165,176.81429499558334,,,190.56768990833078,192.65727048680142,207.41583261180273,214.4310116265706,210.062445333958,174.25071058768208,187.88656281216123,174.78777913046423,167.5554023822303,180.5167525341872,188.07824429373107,193.2050814973846,179.98136450612913,176.2386031784535,209.5538163920395,209.57255813157434,181.19767371931533,183.33394085306435,180.9921406692368,182.3669747627378,181.42818124760325,159.19780016782195,158.65329279875945
8,1986-08-31 14:00:53+00:00,193.7465092042625,172.20673550412363,162.97748947367805,176.01953703388577,191.69281679127744,184.89460206126162,190.82249513579333,203.32518605737923,186.61369444190169,180.27873928215575,170.91494102832525,196.10428492991068,177.94322143242096,179.35077579642217,147.4692217965799,175.29421554518328,157.46900008163095,176.67954564385792,168.5970959966747,176.79601768668664,186.10314175348785,177.1428178892809,178.13008587233728,192.12683723368966,191.24893056196328,178.96667475169704,184.05245037760614,191.57131219845246,202.3805870914417,204.0704885475097,186.57938952442134,189.11302111677603,195.351133377589,184.36321599691823,173.17881882972722,166.63944009826196,180.76155641162367,168.77057745481088,180.90759616972025,181.31902609297583,181.21535485887895,172.6693727141706,186.59650557120048,186.98639640015185,188.8625280460895,186.28062806710406,184.54729770125576,185.78610558275946,186.25458771682668,154.73633327788355,176.62860011146654
9,1986-10-11 13:53:23+00:00,227.0820045893468,189.76512498163672,182.73405574534294,192.2707511491331,192.10859415190728,198.77236491324211,197.02745982088308,215.38375291390707,184.89591321762495,178.23392893931663,210.5508428739028,203.8644871341491,192.3602370921614,181.25194935589502,171.74401105880597,173.14903184818647,167.41641834303502,181.07139442390576,169.665591963612,193.80108995896308,176.11696453900578,178.42108566111725,183.46541476102226,199.3908095498809,185.73308855285651,179.17565796761798,188.49336711148646,207.19707795721922,187.2085205232549,209.04143967513133,210.07879493437807,191.69955783731464,202.303213650763,198.6868956455899,191.29238726520495,170.94998158077436,186.860706609076,180.6897574571831,201.02663929677377,182.1226719637785,191.2845713875905,194.35667600990078,213.86131776795077,181.75217155646126,192.85289172862025,205.53138880727914,194.0880780831432,197.98826316150692,176.7235982941908,173.32551485853725,183.98331108755278
10,1986-11-03 13:58:46+00:00,236.96396788413364,212.36782459276301,190.0763427140651,191.38533629152425,210.63582707834965,218.38475233105868,210.98496790212482,220.28014492346261,222.9249222141306,188.0305321649201,212.17707103668766,218.94996509190253,193.79993892407833,179.4370861398136,189.11486911650567,199.52241506155931,188.52783529653618,178.28693109019375,166.27611140865923,181.21512208808002,178.78219935407884,176.2856311642263,177.43772914518894,196.61000530555148,185.7356906968227,196.6247709735008,188.89253658644327,194.52244379195503,203.45567248914043,200.46792357911656,199.51455317659872,205.6545428406098,203.1819694894225,201.3293451582072,182.49034793501082,175.0849793680153,184.78797541810692,185.06385304927807,198.2167765449561,204.1342017523308,196.9066389565182,192.25862400060424,198.04597537807564,196.45393735682157,178.83871751859826,194.6680545276087,187.98447015310765,196.41614678534592,181.6116813970458,167.4482895590489,185.19253129244797
11,1986-11-12 13:52:14+00:00,225.8532737710566,205.7330861623105,184.50589001042226,185.3026628887297,197.5046176897358,214.72183142545148,207.8856463230902,212.2232366534284,212.19430744692937,181.9057019377392,194.74066750557327,213.56667933644013,194.50203367927176,176.31646539263,188.19643136537815,195.00856616146817,180.32600542428793,172.30382693331447,166.82974084438084,172.14792251176908,163.8263258124866,169.7338314789399,175.8736969729364,185.73289758479672,180.0919253688698,193.40300758183554,192.4011126940917,197.5577239715078,195.91942306096846,204.75815314102064,193.17947565700936,200.69693493811803,198.42407353975295,197.6674635075072,182.9345022164111,168.09120299281932,190.40817967176403,187.31793994554167,197.47325288788693,201.25491963827685,198.32034455255427,189.79567509737157,196.02997638481506,190.3517212160335,181.58736044935688,195.5708473951691,187.98325693107182,191.56175213342368,185.06486580001805,181.11261533064547,196.10234400136616
12,1986-11-28 13:51:58+00:00,210.46459630747552,190.86249800974272,181.6552061680058,178.19810014484332,186.0200882088106,200.16774175106858,200.76184362700727,198.01664100952493,193.62584354515457,193.48624207490968,177.28727748599113,194.6926515133026,195.740557794589,184.1167838791171,185.79145656972818,189.47879900911218,178.0323387902074,172.9155319044997,166.8996980507212,172.18378637667865,163.0793421025553,165.98595516436674,163.42992305591176,176.372125315139,167.1190489989375,169.0512430914038,192.47657609354832,199.38366516681847,197.3407977813624,190.02915732667466,201.96422467330135,194.64395373914624,198.60268678345957,188.84095617275335,186.3983928510504,158.2599170718252,176.60089692728076,192.39530558420734,190.6781943060338,194.1926478612882,186.9152915997818,191.0922663670093,179.48207371605355,191.1271323278457,159.76259728447235,187.19555495400652,181.49102292596731,184.77796261813984,167.40731782144798,163.96576632861667,186.1376848416122
13,1986-12-21 13:58:49+00:00,238.20396356760546,224.82674283051074,208.48870802673716,189.04509112305826,195.3455808631211,195.8336455660793,198.38775511804704,203.19084746063263,206.21881246239067,194.32983926828007,210.3155047704636,205.74663254732494,203.51648018717935,208.09336216787483,198.21596191777468,178.24471537519892,185.53325132000236,174.75920677163174,183.7828889618623,182.85117932385498,170.50591672048685,168.7156123002319,176.76268942558266,181.18040096074222,184.61540753646608,175.99759748213503,180.9089906156677,199.49048595164876,211.9388900237985,203.9922267832872,196.80783122681206,215.88711016444705,206.14654126231432,200.89742642616233,197.12735505684404,187.5888109811293,169.5908433531914,189.17537977433796,195.05471455874417,200.20012092842182,196.40076921711312,191.84922510764895,189.03468638514343,201.0210067102531,178.40228476345305,186.35229959069247,194.71355031214804,187.7763331348386,185.79656974174594,171.19080558664302,189.77423357026277
14,1986-12-30 13:52:55+00:00,219.97799570414793,214.80026495644273,205.17612758925284,195.79616567574556,201.23270233575295,197.93137903237593,197.82759572997813,206.1374138804389,201.41997632089627,197.5855891645923,194.58928478532232,204.20409142478465,199.87773903076211,208.0294402065145,197.20285787437862,186.7178776250152,187.8189607682448,184.5593015971482,185.57304656226634,189.00406787563782,164.3395165888774,176.85067445000803,182.81839379433205,182.38206292964057,180.85031521062282,184.10788637223936,187.99847787518644,192.84636819108349,205.19644937327422,196.33463482682225,202.4025442071626,202.8205208687947,208.1219572340846,202.4078041703134,191.06902366262747,182.08043372387283,167.00293370162137,184.38343096402065,188.41665526990747,193.31143526133312,193.2053659671235,179.65846554366436,187.77454598222283,188.915621502591,175.80208329105307,185.41653213198816,195.4924768234294,188.15120571519344,185.70056336069442,170.55350628816217,190.91222545589525
15,1987-01-06 13:59:18+00:00,210.51258651764155,200.03512491770746,195.5668537671202,184.79449662924554,183.736216162226,180.74053363379602,174.78287885835306,187.3014956965952,190.37148912021567,178.55151666971864,182.63479366083925,184.27817137600778,194.5595018810962,188.87910550342517,187.76531289170072,175.66585746988338,174.97871169684447,168.20813191725253,164.25411283663567,170.43659304509634,145.82122535287792,157.4599581914765,168.24411541977162,162.09386324988208,157.2250123505832,159.6127144586206,165.0496452829275,177.455809534843,183.67784061652108,197.12520337632063,185.57582768915074,185.7313849102646,190.81836999953913,179.18330819796114,171.01990983975705,166.74656255157538,151.04810306720705,155.1722729189471,166.6925754744066,173.16093240771477,175.61549627687575,158.87877161205643,167.67618289199203,169.01318285763404,154.1031906289885,156.00121294980343,171.45352656190985,163.3347286662135,163.2793500043154,139.70275657401248,159.8191727197052
16,1987-01-15 13:53:23+00:00,,,,,198.30394575782083,185.08208912972245,170.12098584606815,186.00223954952924,191.22963665222255,192.97647518168844,188.07690014615994,191.37558525859114,192.12260076277553,189.7802834362142,189.17825091793523,186.69583347110586,178.66174460868214,173.18021371387303,172.43358810264954,179.29793357114053,147.17327346650507,152.94032700025804,166.17759904629534,166.70253186978368,166.72347787733838,166.85632480834724,175.96077061535968,178.7565454047561,174.74854529208673,203.82838589846074,192.21348707542444,195.41203770775277,185.11882440347256,195.30170242462543,177.81713834857374,178.42176014575702,166.65057048136416,171.12748857840467,179.12545009499547,185.348334858943,194.85857669325952,177.7552056646292,181.84994881282418,187.33748824948964,177.11555534858746,168.0092922747919,172.93524681494472,178.3890514008235,181.89820621738193,162.5882432512489,181.20437435812653
