,dates,chi0354-0000,chi0354-0001,chi0354-0002,chi0354-0003,chi0354-0004,chi0354-0005,chi0354-0006,chi0354-0007,chi0354-0008,chi0354-0009,chi0354-0010,chi0354-0011,chi0354-0012,chi0354-0013,chi0354-0014,chi0354-0015,chi0354-0016,chi0354-0017,chi0354-0018,chi0354-0019,chi0354-0020,chi0354-0021,chi0354-0022,chi0354-0023,chi0354-0024,chi0354-0025,chi0354-0026,chi0354-0027,chi0354-0028,chi0354-0029,chi0354-0030,chi0354-0031,chi0354-0032,chi0354-0033,chi0354-0034,chi0354-0035,chi0354-0036,chi0354-0037,chi0354-0038,chi0354-0039,chi0354-0040,chi0354-0041,chi0354-0042,chi0354-0043,chi0354-0044,chi0354-0045,chi0354-0046,chi0354-0047,chi0354-0048,chi0354-0049,chi0354-0050,chi0354-0051,chi0354-0052,chi0354-0053,chi0354-0054,chi0354-0055,chi0354-0056,chi0354-0057,chi0354-0058,chi0354-0059,chi0354-0060,chi0354-0061,chi0354-0062,chi0354-0063,chi0354-0064,chi0354-0065,chi0354-0066,chi0354-0067,chi0354-0068,chi0354-0069,chi0354-0070,chi0354-0071,chi0354-0072,chi0354-0073,chi0354-0074,chi0354-0075,chi0354-0076,chi0354-0077,chi0354-0078,chi0354-0079,chi0354-0080,chi0354-0081,chi0354-0082,chi0354-0083,chi0354-0084,chi0354-0085
0,1985-01-25 14:04:27+00:00,202.44730460500207,161.45120859269613,135.7284300379855,,,156.8505497641273,179.14762986718506,183.9289558374995,198.77030299414372,203.05868719304928,,213.6378078227153,,,182.55070648675792,188.3593382118926,179.1071624181366,176.80363732003775,188.47211573883573,181.4697843852706,178.8345488269023,168.93839964258308,162.6311230672825,160.70865373279673,153.28892253664176,159.5369124706859,162.54850711619034,167.51012769597705,168.56465521937673,174.64779199612929,187.47908199199887,198.01603423206734,194.4277830775137,197.22202830738613,192.18852939473854,178.80154928420563,181.07475257583334,181.84283730029375,187.58279333741856,196.2886708665829,203.68421943143252,210.03297906440085,200.0661386265151,212.23080225352186,207.31633340312712,203.09626400611762,196.45108572847093,193.60510583140658,195.06702952275106,192.02163298484132,204.17543092442443,196.87244015030817,199.34496176543416,204.06710199099126,211.53305131262644,193.4690909721492,190.0273678918292,189.96445348622368,191.51706384979116,201.3176024480769,206.03068534936378,201.4895876273023,199.43301888531266,196.57836572240203,194.40702050528384,161.32418781490748,198.06116966351658,179.43816145430193,175.03086064077903,187.46277962323578,190.68303769470768,197.38785740778846,,214.84198629123054,209.31448093967208,174.68492533383184,165.05480483523888,165.67370443814139,186.05279668881536,175.15202865680763,181.32022487745064,182.3294521326849,183.88013237383942,192.55077837289127,181.06682922340494,184.1210017383776
1,1986-01-28 14:01:10+00:00,196.0967030145902,165.06059642510718,148.30175794680557,161.2189785892883,167.00916790633443,181.10754917913277,213.56685255473806,217.53777006814423,237.24176880026562,213.27650292870564,192.36611501146143,183.49971305259163,,,164.51854672948286,183.97519182895547,206.65714871252266,208.04455335806364,199.64611282194713,173.27406342563683,152.93096766172366,152.22756570190052,154.92577853897117,155.47388814216984,161.1658821539398,165.52501593608213,161.14328069424204,174.1993004491517,198.53224227602925,214.41396092624254,220.40113662883934,203.33032245203165,196.4578279600641,191.00741623820093,185.02616274246142,173.96512677074455,157.67627038084137,161.7984356703565,171.53355474135552,193.17162946825948,197.13248901776814,193.14401327910238,198.58558323488987,201.09407281314785,198.76524653709086,203.5969885415118,192.2052216479038,197.674165225773,205.04564831935082,211.62919175280362,204.7321292988062,190.07019998575515,185.98466710718398,184.24462126780685,176.68875028747735,173.27773110046152,176.93203733073165,176.7852104805629,181.58054177095707,192.12472579498345,190.096551913453,188.9815080222066,186.84472035054873,175.21644328238744,178.496582481674,172.9953137783516,187.66813984944935,172.63728062622613,170.73712874333634,167.41159468511202,167.03574755536994,175.56269523827098,166.53105175104258,184.89216617840546,182.80534067427803,184.395836118165,167.01763911063992,163.66865684042895,184.8186944439947,185.31894793767017,174.5439991676715,178.83104482600345,181.17836993559527,177.9857108214092,157.50659096350444,168.40763568305675
2,1986-03-17 14:00:06+00:00,194.61722400310774,160.17731630971986,142.11220900031012,160.77589125871123,184.07180932594443,190.7771365029688,218.9697952396555,219.56403628329147,231.9984546938745,219.58614709983027,220.5642653149713,215.32469298853795,,,,189.75436294672346,183.10446990950751,185.83664817859523,197.75141008900397,189.51056004118948,185.6051627884217,,193.11040228027093,,,,188.05860976192199,192.55435950090987,204.34408975341248,197.2583646103079,204.97324248133563,211.6903275050895,202.34891830525262,172.1710185712868,171.42053032609752,172.4041274494081,182.34181652182707,188.2039905500386,199.79197843282503,201.30458415814297,203.76505951288223,204.498793168328,209.28675776958988,209.88795612977202,206.13120847933317,198.39683819402055,199.80514673594513,195.22740917751548,207.137484073821,222.42903249203286,224.97990538827702,222.61408710065123,224.04402446855977,,216.42748675685024,201.54955865198875,206.07751124198543,201.86518121946057,195.7584970341071,202.92631854240435,200.37693106208644,192.3007468599518,184.24876615899032,177.78921399791136,183.73823443199717,196.02028310285027,210.08238931790277,193.51742459361748,200.50812101060262,191.79243343150523,187.69996194473146,202.93116982381034,201.34136127359272,213.0648071051127,204.47186286648542,181.02293646129482,179.19686079448962,181.01706859674607,193.96921017192227,191.81516441786624,183.31139052745957,188.91966911559692,186.4413281154729,182.14951491761872,186.85303914251813,182.4264707272394
3,1986-05-04 13:59:02+00:00,206.93611440378515,181.26862436639522,161.37099568484825,159.4512916004794,179.13571374031787,188.84998304193576,213.0300372361728,207.3129576942299,211.0302782678934,218.6841787998311,,173.98995395036889,,,,,,,,,,,,130.06037944990095,147.22174444358828,164.04140012831942,145.2503274644667,158.95669156040105,165.61437515875895,159.0693807817489,167.6305524044917,166.62550538870693,165.64382334202656,160.23222473217797,155.25242801243283,157.43877839595552,156.72349152547736,156.74422510972246,166.85895952471165,177.2360456125998,177.16240426981759,177.9660716790569,182.6946036197626,185.93137843156455,182.4940886332338,159.70062420247314,176.77754298583784,174.64707657375834,173.56887532763938,173.21907944597345,181.414328112524,175.7991558613841,184.22688070085886,183.41721722181794,184.32480984786366,178.80895509321874,171.58130348270313,163.74086147154426,169.9558346477018,169.2715980479419,165.80232919861942,174.84129987821632,165.82616588124594,164.7064029860931,165.4883483518086,,188.28377879099403,167.22884680965112,159.03706748464438,160.24088587281926,163.83185143785846,168.47917892571107,172.9861772688519,64.40121267783375,190.1971446157816,196.35485933684186,168.92458652754846,123.37747864926955,168.21963810160068,170.40884735793645,157.2869278650802,167.26759336127597,166.92969125499266,160.3526543867422,143.89847452681013,147.20476460505756
4,1986-08-15 14:01:53+00:00,212.3297524200311,178.09566082975545,147.1374648462204,161.1878759192252,185.1628895673414,,,,,223.57873592953075,,172.8198183786805,,170.70354984132675,167.63591302726513,170.46171097924355,171.83048570225182,179.49751777686743,192.88719479086234,199.91545026001228,191.26878875297922,187.79233230618752,176.50445440347391,,175.7578539113135,181.92382665182433,178.8816104867218,176.07310874443615,186.1824383879124,190.45910837794378,182.45653342918112,185.22109853436262,184.32870336720498,174.5392752801401,175.66152482930872,170.3609880037386,175.0319887878071,176.69378405687783,185.43794439424488,193.4198048814735,190.18528501299005,183.76216555132063,190.2458619289195,203.54635502464163,196.6503412942409,183.42225438469077,186.09275024507207,188.79391659209574,183.3193750210429,193.60437317239268,193.37505138738655,187.0420733053304,182.28909563199016,181.75772478652388,184.89808580724832,172.47577861197277,175.65209961518974,181.13123356893215,167.94403348220715,173.8738944063036,168.33170289331017,163.7809600872263,164.2505291210218,172.10390640752223,169.54339569522057,,186.88827402613626,163.62236291882445,155.09689657146322,149.58626644094807,143.91309951954545,129.562121498878,,37.838422816430814,172.50473854497386,184.7556363194339,172.69661065727772,90.56747407462002,129.40605510240377,166.57048335023478,133.6068922188298,136.4171899211776,145.01306389571144,146.3048071741807,155.9688707483398,
5,1986-08-31 14:01:16+00:00,180.44659401936426,151.6284059995118,,,,,,,,,,,,,,,,,,,,,133.3191882523118,142.71395721848563,148.74129603382642,155.4907205346243,149.43392011775148,157.08190279560583,153.83534120814141,157.3660528484892,161.01900518818258,166.05549234981854,158.5625799026623,155.94741384913993,154.0710201967234,148.40149768676807,149.55503063230455,151.62709365269595,152.1231283651872,160.83207973194763,174.2209890676748,161.50586115405054,168.80154945531115,168.51839845545135,160.02437393642265,152.6196130095165,157.70614246299033,150.24836672575373,150.68000265211248,145.97172998772044,152.27062812498403,151.45779315160883,151.95733799029477,154.37692303242764,158.20895431775787,,,,,127.75631351103864,135.03786753546885,129.62165637650614,107.84405200572729,,128.49394634336687,,,124.56871633103697,136.98228110918927,112.59193079327993,,,,55.45977608391331,171.9558115648272,165.08683658110357,153.81677608931432,102.55500871907091,,143.55896816914714,,114.88550175587208,,77.8866759929403,119.93667254736847,113.92733332865565
6,1986-09-16 14:00:46+00:00,198.76860161809466,173.47704546884012,157.4988566901256,151.58010006846695,165.0453447309309,188.08816873140734,,,,,,,80.38434425029182,158.1258107019284,154.75046413087054,149.83208485598428,168.9281126076756,169.4491764351402,174.6176584108826,179.8283192214079,190.201858827327,219.70484541077073,173.35660140834614,164.0602616983985,170.03838386111443,182.0485577046866,172.54375611071686,168.72234664564826,170.7682888203755,167.90043793039163,184.11267613187505,181.84785921768594,174.60440951561168,170.13667035999083,169.02418744905282,163.6365312378978,160.98818475807718,166.77283163512539,,,,,,,185.45059505788743,174.20654725376653,178.0389038467714,182.74274724766946,173.63298021007898,164.28668137648822,168.2136399314358,171.2300818310835,,,152.5433424670299,,163.22364359096392,170.40145477737792,166.23556210855992,155.54525086466924,151.95680774069365,155.18255477794867,141.07591468695742,147.32311661139923,151.66811592236965,155.00786210713846,184.00804802280845,150.37927177500592,147.73845130118173,142.08737487873498,147.1343174222681,136.4314390194034,,61.647972068829446,175.5056418129531,175.64778094389018,168.17700999287325,114.50868458076745,141.8094808114971,149.02253427763907,135.5443282024306,133.0033044868813,137.91517500933608,119.77575606320181,128.56390610464118,119.80788551750578
7,1986-10-11 13:53:47+00:00,193.01921467325678,154.47523373986064,140.9902315312614,134.69195735679796,150.58383644387868,174.05037597177287,229.9703745473842,244.25310603051489,257.00085057290806,263.4794597463385,231.16002225464135,204.11436185494074,61.03407722088774,168.44706093321292,162.53017208503465,156.1709227223055,148.72200877236457,174.83663369087802,175.6877263041845,190.40984807572963,180.50273805068613,170.22231377212833,169.9395350243265,167.64306289384166,159.05552787821154,172.8471186914227,159.41170634003447,167.74661869156338,166.43633891433583,177.33034329177693,178.91365590263496,194.75366852770557,178.7575470053235,181.19845329853052,175.8985565167238,167.96898807470393,158.69212282338304,169.8229191745576,164.61581075931747,173.51468443645618,189.4283422246417,190.4233777161038,185.51068246327495,192.82388938770953,193.3362003615973,187.20812576675982,177.2091194070044,179.64995830350455,187.27912019649588,182.7735114202835,171.2704515466349,167.70706058643924,179.5255619065862,181.41156714601343,189.6881918807801,175.8587862665327,171.95717206733286,181.44344223009932,176.44758298428076,174.011799121961,167.69184221832884,162.09920001248494,157.29737031427263,157.70000809911565,162.19077268379849,172.07326856397248,190.7188891512964,160.68532143623293,141.4354180020917,154.10703217440016,154.91971508043144,146.28763913389915,158.56379046335556,151.30336160762198,187.00545091208986,171.2395640993465,159.5061457653502,151.22307255658413,153.41601091286654,150.0436736859238,152.83197079431963,140.4621820383291,136.09114893511793,150.15377020144112,143.41314694714174,145.05773596212845
8,1986-11-03 13:59:10+00:00,200.06169815743218,167.13265028959194,140.93978684433725,143.6864223156805,152.2340118629844,174.841246178213,226.7957585417949,237.67375444604636,248.49197070341188,256.0677121109319,250.9042406776149,229.81854566626714,218.61911347998984,189.12279376056568,184.67061950669634,163.9417517606834,168.37986354438914,169.59452402919243,187.14635140911597,196.3511346715452,190.9272485338398,181.1216682804823,178.84871775525284,175.87564319117251,179.64492444940953,187.6926121568589,183.37199384427225,177.3189866145842,185.53880413613152,189.63599769338896,194.92591287304995,198.98470930785717,194.16515553750324,186.59631918278038,179.9700227388047,176.42547544572759,172.02489938892285,175.17083245338446,182.88182181707288,189.19409644744604,194.07985064145353,196.3498250868848,192.39309712880373,203.4311437031685,214.3708642262363,202.09239018447306,200.48125882141238,199.39438155251008,202.86089138418282,205.03452033910744,188.95449654877086,186.9028790971099,182.5031182636137,178.62368839242677,195.16347799202742,199.18844127866876,189.75220617917824,192.22974567699822,184.74140709905103,186.29296030370256,180.2606715901997,163.27677463797852,158.9554330233037,162.26613538317167,172.96645842524242,191.2883888646151,202.51302782496492,167.011694883252,156.7752626706953,149.36912230724468,161.0665270781514,161.03738528717,160.3407236700891,160.74334771135398,201.19368923761488,181.23136262347845,168.49950136634692,162.9974592585162,183.13943309687144,163.50471854493696,153.15571102084348,152.80324404778656,159.1682380267718,146.95276250013512,155.71393675215685,173.91374236351206
9,1986-11-12 13:52:38+00:00,197.3365996684652,149.83010753284321,117.2835426683169,116.45110323355186,124.86512073336742,158.17435704613612,203.21223250941003,207.11996055384603,216.70562894420323,233.3197855386209,222.8603998702875,210.45310700143077,,182.0676734703354,170.68542853882994,160.3450005889564,154.94571031276962,158.63147462669113,176.9502857875872,174.6402681637704,163.31733660532163,156.43700292507296,160.4632091991849,156.0767644312506,165.21435060127197,178.41759721686435,171.73454729692634,175.10565132211204,178.31781196894133,177.9190521729067,183.3720555504151,185.47168771246226,182.52145278586036,185.8906414672045,170.01019530852614,168.83932943416494,167.46216033858636,173.70665428162067,173.68526193372122,188.2015685940864,196.10449826374858,181.97837863898962,179.04549415610055,181.6252879904156,191.15877345062592,185.89752763528972,189.58450180161876,189.72297176803158,189.19101425329856,195.15898412432287,187.27964262420656,170.8582501041364,173.63174507359219,178.91491714374553,177.18651073323136,184.4613499106725,190.62616192181957,184.12690410510788,178.29575838222922,182.63760155192844,162.56551711642442,159.46588130190415,149.31472149659146,157.76956819810678,166.2225013766173,183.42421063448532,189.76431120754918,168.57277815958437,151.56830580522566,149.02368559590346,153.9905756592347,156.84429817752297,150.29933783226758,157.01184005544098,175.895113308341,177.3790323159763,169.08227331844944,164.29626348675555,176.1550000569471,158.7006063659633,148.1653203636215,157.98901268153816,133.8175161757808,,,
