,dates,chi0369-0000,chi0369-0001,chi0369-0002,chi0369-0003,chi0369-0004,chi0369-0005,chi0369-0006,chi0369-0007,chi0369-0008,chi0369-0009,chi0369-0010,chi0369-0011,chi0369-0012,chi0369-0013,chi0369-0014,chi0369-0015,chi0369-0016,chi0369-0017,chi0369-0018,chi0369-0019,chi0369-0020,chi0369-0021,chi0369-0022,chi0369-0023,chi0369-0024,chi0369-0025
0,1985-01-25 14:04:51+00:00,342.0693272501059,344.88600842913416,344.4730687874246,366.7794682006228,374.6919091663299,379.35600451089897,387.9475379871951,389.90472236978223,,,,,,,,,,,,,,,,,,
1,1986-01-12 14:01:54+00:00,352.7440749716162,364.4152157327731,372.12753261487757,380.1098808741197,386.06607652214507,379.57624630373374,387.4851573916026,387.4312637532208,395.2268663956282,,,,,,,,,,,,,,,,,
2,1986-01-28 14:01:10+00:00,355.94149034517534,373.44302951657835,379.89283070976177,390.1113475691634,389.6003754118868,,,,,,,,,,,,,,,,,,,,,
3,1986-02-04 14:07:11+00:00,355.0139869222176,368.4198766546394,378.7448947075719,388.87352076360145,396.0065632976991,,,,,,,,,,,,,,,,,,,,,
4,1986-04-02 13:59:47+00:00,,317.85579540877717,341.80741711731855,332.4256369718663,338.8805811272041,363.1680276045693,386.5656179724242,399.57819458470203,,,,,,,,,,,,,,,,,,
5,1986-08-15 14:01:53+00:00,340.08092432433597,344.3443341634135,362.55905105303754,377.1764522808043,370.41739976989095,,,380.90073271564796,385.7851542982611,396.2159069781588,388.3543090645909,390.09913044223987,390.6268365661243,,,,,,,,,,,,,
6,1986-09-16 14:00:46+00:00,342.5359183060664,340.18611115400483,349.86022226520475,365.2371044912067,375.07486911903175,,,375.9435975372058,386.04119950359194,391.00175151440783,386.4719212912236,392.57124740735134,394.6466390450626,392.50483573357207,398.22496714937176,,,,,,,,,,,
7,1986-09-25 13:54:18+00:00,336.71833129999766,338.79304440737496,347.4059875134389,356.6833276327869,365.70089662165276,,,,387.78291688869353,392.8838847880517,381.194862303322,385.4914155125767,381.9044417802006,382.8566845271559,387.3825376136506,383.3289092420329,383.9960611894171,,,,,,,,,
8,1986-10-11 13:54:11+00:00,329.4344058427355,338.9909808351297,342.9927032854934,356.40296538885707,367.27861907061487,371.2000211974122,371.0432244528621,365.5754641922008,377.7891463094102,383.7928036092623,381.56874532936837,382.55743191538755,386.1627057471677,384.8101356364487,390.1192658483001,388.9301233195126,391.31465328570226,,,,,,,,,
9,1986-10-18 13:59:44+00:00,335.2953594538537,338.88996158826217,352.7069797306483,353.19066744072165,366.3909429471652,362.63565026600435,372.29759537043464,364.4571007842541,373.8634957140499,382.27067128292504,382.35238199602594,384.677002611113,,,,,398.4123168544535,,,,,,,,311.89005492976884,
