,dates,chi0399-0000,chi0399-0001,chi0399-0002,chi0399-0003
0,1986-02-04 14:07:35+00:00,230.49692952930718,241.12452820792916,248.04800572091773,258.47169207046943
1,1986-08-15 14:02:17+00:00,230.42833137947127,238.67693407309773,237.43579126270595,239.5101920556081
2,1986-12-21 13:59:37+00:00,224.71340598609055,228.2528499189002,230.82569301675707,239.8865923399271
3,1987-01-06 14:00:06+00:00,225.097374357651,230.02495500893775,237.79473668922012,246.02021680764312
4,1987-01-22 14:00:34+00:00,224.46818515568296,235.1763678491037,240.4839074861027,245.4746075437275
5,1987-02-07 14:01:09+00:00,224.84059078704755,236.7051525183036,246.130687816011,251.93434972072814
6,1998-03-09 14:17:09+00:00,228.35765447424868,232.23464988046177,239.43298607682095,248.71623212578234
7,1998-03-25 14:17:23+00:00,230.18400086126852,230.9796290658575,235.06232929908018,238.9085838590153
8,1998-06-13 14:18:31+00:00,232.41557573167734,228.20894118966956,224.9545494568784,232.60283281096707
9,1998-09-17 14:19:26+00:00,240.64748023165473,237.12170536310143,236.48994105250188,237.56340113649247
10,1998-10-03 14:19:29+00:00,224.34591742298008,224.42435381147138,225.69366313923217,228.7374807568987
11,1998-12-22 14:19:42+00:00,218.80843306284916,224.81054103752217,231.53045408053566,244.14088379178995
12,1999-09-20 14:17:14+00:00,230.57326107607304,234.81464373110458,228.08700610538483,234.67865093209147
13,1999-09-28 14:33:39+00:00,,,,
14,1999-10-14 14:33:38+00:00,231.09058736843787,229.98436947384167,233.01627882902903,235.65491551480602
15,1999-10-30 14:33:32+00:00,228.5268629523529,232.91389407348208,238.54916302504733,237.23185724239366
16,1999-12-01 14:33:26+00:00,217.56449042708323,219.84735892914864,217.82312622606995,232.34603417403085
17,1999-12-25 14:15:44+00:00,230.7823415321186,241.34663768083112,242.7604513686938,253.4317969508176
18,2000-01-18 14:33:25+00:00,224.45249013799764,221.5852759230879,235.8029509992277,237.7260392933341
19,2000-02-03 14:33:25+00:00,219.7896616056185,222.97936484721734,233.06060660127304,233.81359237716427
20,2000-03-06 14:33:14+00:00,221.08242985658433,224.4748737836081,236.8891836065225,237.57267810440442
21,2000-03-22 14:33:15+00:00,221.51968142818248,236.75526141220905,246.1701063378854,250.95248769770885
22,2000-04-23 14:32:57+00:00,220.0488111302614,236.4309085752495,243.99329840699053,249.66822686989315
23,2000-05-09 14:32:46+00:00,225.74902489246242,230.93003244595718,241.53784204211186,244.89874799804986
24,2000-07-12 14:32:08+00:00,244.38281286380763,242.77866331532073,242.8887385600053,236.71826758888025
25,2000-07-28 14:31:50+00:00,224.5511637644279,225.35421430277543,223.4593590392922,224.5109735702765
26,2000-09-30 14:31:05+00:00,233.57144069396807,229.9961309266066,215.9925312976726,223.3787067245531
27,2000-10-16 14:30:47+00:00,233.13119308887448,237.21794892804502,230.69221001035618,231.82517063951013
28,2000-11-01 14:31:01+00:00,215.7225926149021,218.51581179983006,217.4661978723029,220.57826282899828
29,2000-11-17 14:30:59+00:00,228.04486354221052,226.15126335290034,227.93800764613212,232.304364957196
30,2000-12-03 14:30:59+00:00,222.59252217074726,218.6339882307272,214.5279385380503,224.63213928097053
31,2001-01-04 14:31:03+00:00,220.1493092983294,220.12690580533365,238.57466683396285,233.7496248033116
32,2001-01-20 14:31:09+00:00,203.50326375129038,202.5855633345714,206.916125394458,208.62499461309253
33,2001-01-28 14:20:35+00:00,210.08246492476937,215.00390286901944,227.65268809515308,229.52953184967154
34,2001-02-05 14:31:04+00:00,220.68555914200218,230.05205787336567,232.0545648436615,237.34659999362012
35,2001-02-21 14:31:02+00:00,219.3416199990632,224.03714700774137,230.63183786376942,233.22420616370866
36,2001-03-01 14:20:47+00:00,216.04938323412262,223.21194040888994,231.53472619536504,233.6570276139872
37,2001-03-09 14:30:59+00:00,214.10574018105194,218.3337202221701,229.9660145677939,235.21135737345617
38,2001-04-26 14:30:43+00:00,232.93190311235716,239.2758942084536,237.6242928562144,246.2590777970984
39,2001-06-21 14:20:58+00:00,245.14750764875154,238.9376517814516,233.71180414422574,232.68336047256415
40,2001-08-16 14:29:28+00:00,235.27624223589484,229.72668901564447,222.06297922948357,227.09071867553362
41,2001-10-19 14:28:57+00:00,231.39321303904148,223.20897888845155,220.93172952755918,227.65213461191186
42,2001-11-04 14:29:01+00:00,226.79740872810288,221.44590290248908,219.4235187346952,220.2002115340902
43,2001-11-20 14:29:10+00:00,204.46599115711507,206.88352212751573,207.68500160375285,214.1414181950547
44,2001-11-28 14:20:12+00:00,222.38748462867636,218.42958543349363,215.99542914110026,225.30830325285928
45,2001-12-06 14:29:10+00:00,225.39018319530138,224.5545569391033,234.20517127646497,238.1684440906188
46,2001-12-14 14:20:06+00:00,221.7630869655311,222.99125371741457,230.15342305758372,232.95887230954676
47,2001-12-30 14:19:52+00:00,217.78616790053087,222.36319218344886,215.44425972878676,224.73283208208645
48,2002-01-23 14:29:31+00:00,213.8051570058593,228.5086760597997,226.12927641445452,232.8955909950361
49,2002-02-24 14:29:34+00:00,219.68383173800555,223.92405750773526,229.81943706731764,233.18952769527343
50,2002-03-04 14:18:51+00:00,210.98648672391585,214.4001549192025,223.1174830342688,237.15583867869012
51,2002-03-12 14:29:33+00:00,231.84578319278899,230.31183378923876,237.91306931021876,239.28553484380666
52,2002-03-20 14:18:42+00:00,218.12401220416513,221.13233926676133,218.92013513387437,221.13782864556893
53,2002-03-28 14:29:27+00:00,230.10458607775598,229.51733245413607,232.3903195448831,237.1239526359015
54,2002-04-13 14:29:27+00:00,234.05578682152017,234.39845393293652,238.4862276222466,240.94006355072307
55,2002-04-29 14:29:29+00:00,233.35697167272255,234.94388442867037,233.18810721279115,233.52523440905017
56,2002-07-02 14:29:05+00:00,252.9337066664256,247.02675066341536,246.40882240088771,241.148089866346
57,2002-07-26 14:15:56+00:00,236.74815623094327,229.48140288094908,225.55751216861725,221.58032237482678
58,2002-08-19 14:28:47+00:00,236.9536016650441,225.41048434143087,219.572206543688,225.09273219531573
59,2002-09-20 14:28:25+00:00,234.38892739762022,,,
60,2002-10-22 14:28:26+00:00,225.40152318925806,224.25877445939508,218.4802842511305,236.02480010643927
61,2002-11-23 14:28:48+00:00,216.57362062383677,225.3326911770655,230.90682363673054,236.7251610283103
62,2003-01-10 14:29:01+00:00,219.4018197151342,229.30193848166186,238.0717885765198,238.49246844275157
63,2003-02-11 14:29:19+00:00,216.5718740204731,230.51900897413276,233.99673851953574,246.4456354900491
64,2003-02-27 14:29:19+00:00,218.97117494796964,231.78794318227017,233.50215924704716,241.84838274037475
65,2003-05-02 14:29:25+00:00,235.7014182928883,240.9466517947701,248.83932613664206,256.35015468889327
66,2003-05-18 14:29:20+00:00,226.58631492481013,229.1337276522795,240.8090629269429,241.7045751743729
67,2003-07-21 14:29:11+00:00,241.57572982592535,243.764228846443,,
68,2003-08-22 14:29:02+00:00,236.91218615567146,,,231.03413445181346
69,2003-10-17 14:18:35+00:00,222.34734673992168,221.3951418236851,223.17936365377983,223.14937408402753
70,2003-11-18 14:19:00+00:00,224.44440748649293,223.43035018251115,227.26831392611442,227.06355900596319
71,2003-12-12 14:29:24+00:00,220.06892793591072,222.005422980897,223.93850015854227,232.89746040125556
72,2003-12-20 14:19:18+00:00,226.89668059227395,219.59317137256292,211.49378525707135,215.3815708600996
73,2003-12-28 14:29:32+00:00,,,213.85181466657497,225.34884288507612
74,2004-01-05 14:19:24+00:00,225.90501022557814,236.25419555743088,236.53430843490793,252.21703450587043
75,2004-01-13 14:29:34+00:00,213.80600860941072,,,231.78733935866458
76,2004-01-21 14:19:27+00:00,225.39787726834683,232.92156216053718,229.2157368620735,228.8299285662067
77,2004-01-29 14:29:43+00:00,212.1268755163748,219.1808823244118,222.16134950340668,233.46537780354282
78,2004-02-14 14:29:46+00:00,215.5843424555275,,,232.94691831373862
79,2004-02-22 14:19:37+00:00,223.61582989634485,228.9006531089466,238.75928401801707,241.06887441425027
80,2004-03-09 14:19:42+00:00,227.91980487372672,227.0339544082988,228.59432351947797,236.70490303668433
81,2004-03-17 14:29:55+00:00,,,224.27176558219597,233.9335729140759
82,2004-03-25 14:19:44+00:00,233.51595763974402,228.2006715976681,231.56586805445266,243.74126691818554
