,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,chi0478-0000,-73.23149993964161,-39.23098678368657,-73.23588287799079,-39.232139849429004,0.115,0.0824,0.1785
1,chi0478-0001,-73.23187061216154,-39.230134605010164,-73.23625350088574,-39.23128765945181,0.125,0.0857,0.2
2,chi0478-0002,-73.23224127651096,-39.229282425549926,-73.23662411561175,-39.23043546869155,,,
3,chi0478-0003,-73.23261271929849,-39.22842843993597,-73.23699393566639,-39.229585082542435,0.14,0.0896,0.2
4,chi0478-0004,-73.23299440272015,-39.22755727709306,-73.23735812492204,-39.228753135515255,0.095,0.0708,0.1487
5,chi0478-0005,-73.23339839033748,-39.22669422897299,-73.23774571939194,-39.22792556082628,0.185,0.114,0.2
6,chi0478-0006,-73.23379419617171,-39.22584892263034,-73.23814147716853,-39.22708024227107,0.105,0.0773,0.1725
7,chi0478-0007,-73.234189995286,-39.22500361107344,-73.23853722420439,-39.22623492709329,0.135,0.0932,0.2
8,chi0478-0008,-73.23458586859368,-39.22415813487676,-73.23893289064114,-39.225389777850204,,,
9,chi0478-0009,-73.23498194367248,-39.2233127222734,-73.23932876284475,-39.22454468359094,0.13,0.0942,0.2
10,chi0478-0010,-73.2353779325944,-39.22246747403009,-73.2397247037287,-39.22369942313058,0.12,0.0904,0.1734
11,chi0478-0011,-73.2357739127826,-39.22162222486718,-73.24012063588032,-39.22285416175141,0.105,0.0742,0.1672
12,chi0478-0012,-73.23616175260806,-39.22079461809022,-73.24052468992149,-39.22199125589792,0.12,0.0863,0.1849
13,chi0478-0013,-73.23651775945454,-39.21998258029183,-73.2409149081755,-39.221100759353384,0.085,0.0711,0.1105
14,chi0478-0014,-73.23685439833574,-39.21914564198005,-73.24126926082366,-39.22022062307625,0.1,0.0788,0.1295
15,chi0478-0015,-73.23719991266833,-39.21828710934172,-73.24161472411772,-39.21936208007595,0.115,0.0814,0.1889
16,chi0478-0016,-73.23754283565137,-39.217435038989606,-73.24196276319827,-39.21849707339492,0.16,0.1065,0.2
17,chi0478-0017,-73.2378772643845,-39.21658150117657,-73.24230265338511,-39.21762954172346,0.185,0.1229,0.2
18,chi0478-0018,-73.23821356891855,-39.215721331600875,-73.24263931433076,-39.21676831924722,0.195,0.1353,0.2
19,chi0478-0019,-73.238550070054,-39.214860639972315,-73.2429757639479,-39.21590761759613,0.11,0.0845,0.1547
20,chi0478-0020,-73.23887040156428,-39.21404322837932,-73.24332836581588,-39.21500363420009,0.145,0.1069,0.2
21,chi0478-0021,-73.23912771142074,-39.21324158399591,-73.24363183929712,-39.21406115808184,0.19,0.1183,0.2
22,chi0478-0022,-73.23936604672986,-39.212389451915605,-73.24388572147545,-39.213155276136945,0.13,0.0935,0.2
23,chi0478-0023,-73.23961217890216,-39.21151044800186,-73.24413179806203,-39.21227626567386,0.125,0.0928,0.1935
