,dates,chi0486-0000,chi0486-0001,chi0486-0002,chi0486-0003,chi0486-0004,chi0486-0005,chi0486-0006,chi0486-0007,chi0486-0008,chi0486-0009,chi0486-0010,chi0486-0011,chi0486-0012,chi0486-0013,chi0486-0014,chi0486-0015,chi0486-0016,chi0486-0017,chi0486-0018,chi0486-0019,chi0486-0020
0,1984-07-08 14:10:01+00:00,,,,,172.91007716867114,160.29224429804327,,,,149.9656379116589,147.78159614501055,152.17994544048162,,148.46136739312362,,,,,,,
1,1985-01-25 14:05:39+00:00,207.82998439842504,203.05193944555703,197.07525205647454,188.28503330833863,188.92166701418364,183.2348063613096,184.3255953795104,,182.02106527371228,171.19764392534893,175.61365192871844,181.4432408074374,,182.43146251514412,158.79122234293004,163.42575850720854,188.07624159114158,181.5317261277057,193.79843371526982,193.87012962341058,187.1540288694829
2,1986-02-04 14:08:23+00:00,201.90836178764562,208.36785442799874,203.31154434481692,194.9559662289459,200.93499959711244,187.30324298969697,149.17739071788242,138.44384824207148,161.41860575607953,180.25614580235538,149.46702467439064,144.46161269201852,152.87393096798107,177.0164760677767,181.51564021750994,190.41840844162374,193.0229868853357,170.37262276733398,162.08181549398446,182.76525489909758,171.95496015868747
3,1986-08-15 14:03:05+00:00,202.51331040973324,207.1602733805961,200.91063830477867,193.34923256522876,195.29194694752073,158.862835504436,136.22066153706413,147.29625720365286,178.54331547747802,212.45441986782913,177.5126122438482,141.08988229900868,150.8511705079488,175.89989388145645,193.32272535246602,162.29854136234104,135.90462021653275,125.11910944760498,,,34.86409230968735
4,1986-08-24 13:56:58+00:00,191.9194363011894,,,173.09712726901364,,,,,,,,,104.70291440174712,137.06150101847803,,,,104.6018651566384,,,
5,1986-09-16 14:01:57+00:00,200.42743869424382,204.5684987118383,200.89844789226322,194.94325175017437,175.79439553699368,155.17907626977285,144.89203548648652,155.15438418585114,163.1237356316003,177.99873315538213,162.6780897827417,131.29079494038274,140.9497760271431,153.56717800944276,153.8146869025337,127.7110257598208,128.89870274670307,126.03253297113541,138.25458891325115,,51.08527640838781
6,1986-09-25 13:55:30+00:00,217.99084796350894,212.22903950853436,219.6994229704184,217.72713635886467,196.9337735874882,179.89818292574705,164.880003712856,170.32475462737693,179.02732575665175,204.900447311803,181.11312382588272,167.36059010561866,172.22350281980204,177.9303451490015,186.79790392595305,162.63473584145225,146.16581024735413,150.61616307120838,168.09638166579282,150.08977914257335,55.007348886130856
7,1986-10-02 14:01:27+00:00,196.6680492447867,194.4702386695168,195.98845416651517,191.08800402490849,178.29909293731473,154.09359884058404,151.0762101120338,149.41197540874637,164.79892479569887,181.7637171852066,152.17380478606248,146.48133276547603,145.52331895490522,145.47845644860263,145.6705392300584,134.7700735827412,114.82255831606908,121.58557601396436,147.42521212284055,115.21630598335466,47.05501175231339
8,1986-10-18 14:00:56+00:00,198.97646127861051,190.35605420630932,194.47170055879613,215.04691287981333,186.14733536648995,160.84404686665846,150.17551662669024,159.25597658820246,174.91741552519778,195.92493695601735,175.09686611522736,148.62796119237427,145.23522766922136,151.68462505971527,165.1294452469612,134.76483345609617,122.21496487076331,136.6916929730785,151.39839194531805,147.2162196348626,144.72700855982035
9,1986-12-21 14:00:25+00:00,204.31197629221109,193.39000432957204,198.71094752910486,223.2172631316838,229.37743873559577,193.4241730787778,162.36133951047668,172.70771781016006,205.192918936428,205.39114226977145,194.58941629415224,166.33600424314625,148.30679082808783,153.60043640318597,190.64107891537975,169.82442000552612,136.40132945783077,145.2319474204317,170.1922986366881,195.5374180136485,182.75520868457596
