,dates,chi0488-0000,chi0488-0001,chi0488-0002,chi0488-0003,chi0488-0004,chi0488-0005,chi0488-0006,chi0488-0007,chi0488-0008,chi0488-0009,chi0488-0010,chi0488-0011,chi0488-0012,chi0488-0013,chi0488-0014,chi0488-0015,chi0488-0016,chi0488-0017,chi0488-0018,chi0488-0019,chi0488-0020,chi0488-0021,chi0488-0022,chi0488-0023,chi0488-0024,chi0488-0025,chi0488-0026,chi0488-0027,chi0488-0028,chi0488-0029,chi0488-0030,chi0488-0031,chi0488-0032,chi0488-0033,chi0488-0034,chi0488-0035,chi0488-0036,chi0488-0037,chi0488-0038,chi0488-0039,chi0488-0040,chi0488-0041,chi0488-0042,chi0488-0043,chi0488-0044,chi0488-0045,chi0488-0046
0,1984-07-08 14:10:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985-01-25 14:06:03+00:00,209.9297520449664,,,165.75193191102372,171.24784585086033,178.1529147482392,,162.07399319474675,150.57470219338958,163.21253817608525,167.66020387988695,177.36136782342606,177.56922656766986,160.44246001052142,152.13436053206988,,,187.60327456702234,169.62019232599025,162.66091019121217,164.17198565037677,182.71546889136764,,,176.12648069936034,181.84624448707888,171.8856461397225,173.758479925479,184.06565371037945,,163.74655626457925,,173.18073645828088,,165.8754653302504,161.9055606399929,153.66763420891172,152.9200044389442,151.25556641247593,150.0167606618501,151.97964174440136,145.41742647741816,,153.0543286513184,159.60851829767037,170.74052625653266,149.20730413448388
2,1986-01-12 14:03:06+00:00,194.14633694483396,,,166.83283191445045,180.08405677445336,173.21342742472714,156.1106810102879,147.9187001699071,145.34614437679932,146.34893020678783,,,,185.69222713249988,144.3768163992581,,139.972750866919,184.40191318201826,195.3330019927356,156.09571672805572,143.6105128098059,156.7158247897245,162.16942298546886,149.14199739746314,163.99252109197423,167.1123170087038,149.40516214572278,173.7672978638361,149.56109462553584,141.94668898885274,184.03060129433075,198.91688527969714,153.41160688350774,126.19351357708832,139.42807837963088,166.34714365044877,166.15175562309489,167.7966644336777,151.56376096723326,148.91974072248578,146.63493623690977,,,,,,
3,1986-02-04 14:08:47+00:00,,,,,202.12367146332488,186.35614989200837,190.40409390702754,184.4191296666157,178.29039061497704,152.7237624352072,156.2553283377461,177.82439199842705,188.21605656061163,209.37180114547098,,175.8501683205485,150.98788861807986,170.07506287396626,199.05414602906984,,,175.09170606051848,178.30536162612754,182.21204436523868,189.4289318547198,190.22492588974254,172.6886100821093,164.65571317585872,168.78347130020538,159.8855732219151,191.69755255446086,224.12031297000757,,163.0503731817465,160.1037417705218,178.20834274253417,180.1149938528205,177.33271601496662,163.4337796092745,161.2909297274102,164.80510774427023,128.05952037207268,,141.3483605236149,160.95532032911973,160.349602473137,167.48961794502446
4,1986-08-15 14:03:05+00:00,,,,135.94595997444213,,,,168.87066485044085,205.16518810760496,178.5645762867091,158.7201406447724,176.23081737402455,172.12067540652194,,165.96312628838248,162.5560862277609,165.55826672944454,164.27968242068047,126.01842604758588,,133.39857952615793,149.05789029803717,179.47190193295927,199.06998047509472,169.56076524455105,164.62049380989347,153.7660631269522,173.3805020096618,,,196.77350122166973,,135.47380657021876,167.59053694721013,163.92557347883746,164.13219581990882,,,159.1055264986311,189.50143356397976,188.96153457296407,170.02020593113895,,,,145.47584940731284,145.35879298909614
5,1986-08-24 13:56:58+00:00,,,,,,,,,,,,,,,,,,,94.71719458377895,,109.5105472753817,118.25215072603416,,,,,,,,,,,,,,,,,,,,,37.05071111041646,,,,97.79801589189604
6,1986-08-31 14:02:52+00:00,168.06947818117783,143.98069604193208,,121.86144599258641,,,,147.23767560119754,,163.94787707765522,,,,,138.58452502733869,140.09797010282924,,,130.97186880408697,,136.1774587482736,143.24364196798302,,,,,,,,,,,101.69305042957849,148.39527141665351,143.81090955679647,127.51679197146449,,,,149.09774729772863,,,58.66484526502452,,,,130.4160956284979
7,1986-09-25 13:55:54+00:00,195.72965359045367,168.07734710575238,,132.82558024054995,,174.3493752602672,175.3933744674336,,173.72151416795703,168.14325039500218,172.0580790608222,171.45053478658036,183.6470214834213,171.24127779295893,,166.26128881699825,175.0641978764578,171.75437562158666,,160.37856070374647,,,191.25490834165976,189.72871405276908,161.9509278561771,164.07471153733195,195.3134687545758,223.5087230931083,211.8123477253457,200.0974955183677,200.20235794788047,169.13446969571606,157.1903756603493,173.47558817530668,174.26887871629071,142.7083689396512,146.92414323843062,184.81377694903276,,169.68050574856863,154.7501804081884,146.5773691648298,,120.42367082529111,127.63741816768976,155.15570030926594,138.51228036077407
8,1986-10-02 14:01:27+00:00,,,,,,,,,,148.70102142116687,149.52753530044345,144.34124386750872,153.89945380035866,153.79580517549667,147.79634892756553,141.17316932016914,142.26737486184362,,126.73103098749404,139.19680619268416,148.01746903137953,145.54924177706152,,,,,,,,175.10884226786928,166.7776390742186,160.6293579794776,148.72453880589734,163.02509316458253,154.47675781039572,136.726809008242,130.47288681295103,155.27297830611022,164.92870865386038,141.92165665835014,114.0652165857036,,56.822764517925265,,,,132.23125002337923
9,1986-10-11 13:55:23+00:00,163.05218440820522,,98.81795585449863,102.49711270268648,135.73221698056133,,,121.51963089743506,157.08002877694958,153.61997123424715,148.22161145819499,167.12258909611833,172.3137761097519,156.94692708358684,165.58306367537253,152.84006358887933,149.32536629603905,176.94189867211153,165.40461848518459,151.90253798630292,143.48877916007592,176.75477520326496,183.5960143807557,160.63205378268592,154.33638158092614,147.25847309685977,183.3604490735354,208.1433522658179,201.29750350120602,180.29198947699763,179.4662164675343,159.0991108917309,155.78541619462322,170.79330832202294,167.94788964903032,140.00968766741394,146.82229823832716,173.10297026192208,188.53105775114827,149.7666677431469,129.98466538726197,139.91640421018315,119.77197715042398,101.69217306466992,109.39153263036098,137.47147918386872,131.34577233832158
