,dates,chi0496-0000,chi0496-0001,chi0496-0002,chi0496-0003,chi0496-0004,chi0496-0005,chi0496-0006,chi0496-0007,chi0496-0008,chi0496-0009,chi0496-0010,chi0496-0011,chi0496-0012,chi0496-0013,chi0496-0014,chi0496-0015
0,1985-01-25 14:06:03+00:00,,,212.35952199503964,,,,203.2892818548481,206.37320138230652,192.25634955706863,195.25932761377132,180.39251932093376,183.39033666568537,,,,181.83449522811213
1,1986-01-12 14:03:06+00:00,,,,,,,191.23678550162094,173.0294363857234,173.8910052499947,165.7670794885984,174.46721213153992,176.0922173359911,149.94542711172548,146.18791781552378,147.49697811848037,152.0485173386059
2,1986-08-15 14:03:29+00:00,165.98179524938945,195.3467264994173,192.67365720710166,174.64179592892233,179.00261341671666,161.67999250366873,171.40975180885349,153.52131425665735,157.17870475637346,164.68631184983076,196.90106724983028,161.73320266887913,153.4187096740801,148.81979123050323,148.35094748957965,
3,1986-08-31 14:02:52+00:00,,,,,,,,,,,,,,,,
4,1986-09-16 14:02:21+00:00,162.09825746792066,215.00454428697233,186.74034966631461,183.13576814609996,180.18450678955926,166.90759342853036,158.0968548051676,152.97181202141073,171.64392056991358,179.26262390077486,184.83792951113915,159.75671358431183,149.7196040674436,152.70307689074951,162.58634190447123,164.74236419371667
5,1986-09-25 13:55:54+00:00,,208.18349520875756,191.59122600327512,189.09710796363964,190.14744472498242,176.09497251355984,162.29477098278426,162.6239442380036,180.24138618789246,195.36391739414432,203.85126768392348,160.38045709158024,144.66969419880473,158.56624016419963,176.04167259153246,183.62000248206536
6,1986-10-02 14:01:51+00:00,,208.8353029228598,175.9094434729425,173.32660107568535,166.52657121524064,161.8235281587244,147.37940904575234,150.49886884481626,157.49786518379378,176.5557614006054,189.68480493412014,152.99876559426068,141.53953745456607,149.8484873348867,154.43262381315537,160.10864628146408
7,1986-10-18 14:01:19+00:00,213.7529013231479,223.15751236327498,182.6061986285249,180.78326204897905,175.36499889799612,172.62321233208638,165.0058360898318,157.01806199856878,168.71753152671317,198.54770382751514,206.96854193095254,162.79400224956933,147.73095572675376,154.67755004341123,171.54931192541252,177.10659358067997
8,1986-12-21 14:00:49+00:00,200.69959855500016,222.34609379785047,203.80103989359904,194.44226642161001,190.55916343248302,187.42425176311923,178.0275371899119,180.22606688366312,,197.13756348172035,200.48670553000713,195.5069754830558,163.15110010591846,153.66907876789887,208.88528722345123,215.93578404129963
9,1986-12-30 13:54:55+00:00,,,,,178.829921599263,174.99245640897038,168.7274565297701,157.42731021612784,165.99249383426763,165.51987906210306,184.37979993680838,189.31368402362827,155.90820888934405,143.8387949639584,183.457946979732,195.44566101309255
