,dates,chi0508-0000,chi0508-0001,chi0508-0002,chi0508-0003,chi0508-0004,chi0508-0005,chi0508-0006
0,1985-01-25 14:06:03+00:00,243.22300102279075,202.6101320431286,195.88790055639268,194.98524787721578,159.35760168974528,178.4707295759963,180.39459368756604
1,1986-01-12 14:03:06+00:00,242.22737524548597,196.8631850405058,194.9447344283282,189.10326446833477,182.50661913835268,185.89287963659874,177.66777339732138
2,1986-08-15 14:03:29+00:00,257.17229923203735,184.49159903242324,173.59987147925114,165.5367973113752,148.53749519548938,,151.71911017291134
3,1986-08-24 13:56:58+00:00,242.0710151849751,158.7861261392981,145.4075246339076,126.75682546982142,97.54968142810861,,
4,1986-08-31 14:02:52+00:00,217.01059645195562,160.04660884840737,139.9340855898633,129.85150709161405,101.27763884422423,,156.50881734976844
5,1986-09-16 14:02:21+00:00,257.4991533484525,174.29834693950218,157.64058412412012,144.40709722561587,126.26921010691564,,177.13489114172592
6,1986-09-25 13:55:54+00:00,257.17575883266295,190.93777993911328,172.53377736990012,169.35488308548787,157.19356977925094,168.66799670343207,196.95696884189587
7,1986-10-18 14:01:19+00:00,257.2349398932329,189.25444052062772,172.72974649732157,178.71293034958555,152.41154084004745,147.32974669494303,180.50593828778278
8,1986-12-21 14:00:49+00:00,257.45387204628196,190.00107653445713,190.73768008502032,188.48935971971417,177.39730061606394,183.62856197358582,175.49399443912375
9,1987-01-06 14:01:18+00:00,257.1748394198612,201.97863256847535,200.3811386252325,201.9441896529388,194.6619509985498,199.98669693624302,190.62274816192456
10,1987-01-22 14:01:45+00:00,257.1072243419811,217.75274439598616,202.37234644145454,197.88281686690732,208.6449379139196,208.1502465917514,200.43478279758187
11,1987-02-07 14:02:20+00:00,258.3109205344592,218.14863086427903,211.64406574618545,210.57932347211414,205.06224027359383,204.5328986466775,189.3064739654229
12,1987-03-27 14:04:09+00:00,223.01183811915345,,,,,,154.41464940548224
13,1998-02-14 14:11:47+00:00,,239.1914249010527,237.12902532169915,236.51111005228296,224.69637392390808,206.22823490708282,189.71590590021256
14,1998-08-25 14:14:16+00:00,257.3403376894342,189.00594437331384,181.60779234252675,178.99168609777496,167.38732320554658,,
15,1998-09-01 14:20:31+00:00,245.23213380109007,188.94801715845364,189.21584333516049,181.6229938230668,169.90788791354933,,153.94433995128662
16,1998-09-17 14:20:38+00:00,242.09086744223592,194.1221473657593,196.1405757696098,184.86056371723686,170.78876947764923,162.15935918997013,195.85108466781116
17,1998-11-29 14:14:40+00:00,257.53523755311744,209.90039967183824,209.11137580389914,210.40626778803875,179.45504666990155,192.4283316457123,183.86251010755376
18,1998-12-22 14:20:53+00:00,224.8452389883225,217.90709692885508,216.671530316055,207.38233696516318,209.02378689401206,209.40471437057056,195.90815537267653
19,1998-12-31 14:14:46+00:00,214.0110279882937,210.47882188771212,212.81217646172854,201.9988425109815,194.381509225096,202.27625198708324,185.2022676550715
20,1999-01-16 14:14:38+00:00,235.01109179456978,212.68235215295738,209.39567383949793,199.64535421628005,198.49460076507637,203.44831038700107,191.35872630306804
21,1999-05-24 14:13:53+00:00,257.007509507745,219.76843439142777,210.52998242634817,207.71183741590096,191.06403903048857,188.00776588485616,
22,1999-08-19 14:19:22+00:00,242.24036317612007,178.26097392921878,170.2117679322088,156.1458075778204,116.61296108564702,144.5950229602431,159.10025853331007
23,1999-08-28 14:12:59+00:00,216.75094834886013,160.88702213183407,142.1266160331553,119.7257251709926,90.5777144728751,,
24,1999-10-07 14:28:42+00:00,234.7049428931085,175.34373121833158,157.9941434277734,146.73702477889896,106.74153158913367,134.11791828708516,169.19295817780136
25,1999-10-14 14:34:50+00:00,209.62448301664597,188.5708213459999,187.29622218484909,173.74133524973587,165.81845232702966,166.97260632072886,200.70132307622026
26,1999-10-23 14:28:31+00:00,249.99269473874418,180.70371596207804,175.533087300761,163.14891175490658,136.09842127523382,150.57073984134666,186.29896379017336
27,1999-10-30 14:34:44+00:00,234.77053725120084,190.00528706976104,187.7368483135017,185.58345061539538,170.97314438384024,193.21924178029252,210.4215319176419
28,1999-11-16 14:11:19+00:00,259.42152600570535,199.9598927437852,197.3281390133052,194.37622574641733,166.45598283369594,178.93836146235574,175.23847796655195
29,1999-12-10 14:28:36+00:00,,196.26328410448696,206.44332257611296,202.52170136986186,186.98936514250082,198.7053386892323,195.34222375870755
30,2000-01-11 14:28:30+00:00,249.89108562375074,216.8061420663505,218.06279438501946,207.187846381128,213.08685823390363,214.5194885385616,215.87094766386076
31,2000-02-19 14:34:30+00:00,204.8614856228337,212.1271612540689,206.49941415872146,184.39164531025168,180.45377782239862,185.4795580571344,188.57332810364142
32,2000-03-31 14:28:11+00:00,223.31073383041996,219.81596004982669,200.4449590228147,195.29901011860625,198.12540444612685,195.62826534007394,180.03345473740285
33,2000-04-16 14:27:57+00:00,249.74508706089466,210.42542679028668,205.9826325087255,177.37205650154914,197.0872303881585,198.84677292290297,172.1076580016096
34,2000-05-09 14:33:58+00:00,249.81119186384876,225.7018327569446,196.67286603309591,189.9756601071295,199.80236882912018,208.22519868486563,202.57385850306304
35,2000-08-22 14:26:40+00:00,234.6554233740626,188.0601081735445,168.05596353243092,162.91796685548047,146.80540051373626,167.05360836860004,208.2246931531738
36,2000-09-23 14:26:07+00:00,,,,,135.83241818216288,,
37,2000-10-01 14:14:07+00:00,257.3293876230094,189.30200454410442,179.36176486956313,172.208048690287,166.861154693544,163.39149929445966,189.07346404675002
38,2000-10-25 14:25:57+00:00,219.73930745744616,180.41472090817362,167.84069620032272,163.29715290623994,137.95466591089988,145.00318845990833,186.49417278910943
39,2000-12-03 14:32:11+00:00,234.8934572081787,184.07864111048872,185.16043251382308,183.06094503736983,182.33297714185284,190.75721393303263,184.9779854743518
40,2000-12-19 14:32:16+00:00,234.9172381575038,184.7855468036788,187.93399657272636,188.8008403846806,167.86365272387746,185.09791887029107,181.8719873948228
41,2001-01-28 14:21:47+00:00,227.29621287690895,200.53598714160177,196.02742111332597,188.80170856779898,184.2092312202593,185.61459362261905,180.3501838042405
42,2001-02-13 14:21:51+00:00,242.46615130292338,199.83366756090152,200.68727535645675,190.3282879651056,185.42398221189734,184.29243792988075,175.69204155017752
43,2001-02-14 14:26:05+00:00,249.58027374743259,202.03355453528258,201.41430360833027,192.31848944155678,175.7361012748188,180.30601609099034,186.56207897328306
44,2001-02-21 14:32:14+00:00,219.8584822105062,188.53249670345167,181.66155394423942,167.16706795275726,,,
45,2001-03-25 14:32:01+00:00,234.75282715089938,206.04992030202962,204.82413095063163,162.66460754132765,172.90406844744382,176.83091847411706,166.26728105955277
46,2001-04-03 14:25:43+00:00,249.80723695344258,219.23458128255928,214.6610943268621,185.34080861582564,197.2276988412157,193.07842348866535,185.07535274119383
47,2001-05-05 14:25:43+00:00,249.84828682199395,200.2228274301521,195.90868204094335,163.78206883375555,159.2410972051455,172.0756006512819,143.12307501739264
48,2001-06-21 14:22:10+00:00,242.4025957313629,174.2175409271131,152.48262098245002,128.0223958435771,93.70870900116287,,
49,2001-08-16 14:30:40+00:00,249.78259847470292,181.81367987845465,161.98705737596046,157.15591565772732,133.67667230628462,,176.99614430147977
50,2001-08-17 14:15:58+00:00,247.24251329135487,171.02714563819413,150.69476250467756,135.15163619215483,100.8768847500991,,153.4352663658464
51,2001-08-25 14:24:26+00:00,219.82809575151413,164.70908626246654,144.87102328016323,142.43103987771497,114.26142900180126,,139.80453586930417
52,2001-09-02 14:15:50+00:00,257.1449922453734,179.3212398429515,160.0354923008307,141.194317607838,105.69531102052795,,156.13089626428211
53,2001-09-25 14:21:52+00:00,248.67611258260393,181.58696453709908,169.23941580039724,167.9222812677258,138.65913583050906,158.03604728625277,175.29504277741
54,2001-10-03 14:30:06+00:00,249.7986511976762,176.35207843606895,157.27143661496854,156.35234773063672,137.38250650967197,152.8621632015555,186.46717875964606
55,2001-10-11 14:21:47+00:00,,,,,,,
56,2001-10-12 14:23:49+00:00,265.0668871254543,166.75655017514958,156.10843500505854,151.56840910725916,131.1058978220995,137.48217460279147,162.8516140470728
57,2001-10-28 14:23:58+00:00,234.6652131489682,179.01597547598502,168.9610685376524,162.2535427279821,148.01356661470118,150.75927791367093,189.89390341253056
58,2001-11-04 14:30:13+00:00,219.10176212321528,160.30839509308686,160.68604257948436,159.60423848255945,137.92212106093098,135.74666227901454,177.86201213109314
59,2001-11-13 14:24:08+00:00,249.98886378369792,170.98902922538707,162.1634294777281,162.15685627446163,139.704994887162,143.54309476562977,185.0680903682787
60,2001-11-29 14:24:13+00:00,219.5223518571973,175.3399732018725,170.79204088784292,170.75872381116739,150.75305937842415,155.0014124208883,168.4910879134153
61,2001-12-15 14:24:20+00:00,249.93499429486488,178.6574341227552,176.3272792373895,166.50719731892687,153.87687370571837,159.25262944511434,176.99015975402384
62,2001-12-23 14:15:02+00:00,245.70497401524068,184.12162108587455,175.54369702065753,178.70593240109116,170.88249266853728,171.26723707057192,169.6022268281198
63,2001-12-30 14:21:04+00:00,229.98397703421927,177.58040980174943,181.6051683623779,182.36679387156,171.22293926907088,166.1852487616137,179.4413069613007
64,2002-01-08 14:14:42+00:00,242.3728482620018,175.43779745081315,169.65217407847123,167.44487850640994,153.1522399247121,148.3935900587033,129.01697338838713
65,2002-01-15 14:20:54+00:00,257.2810071375363,189.81177313024256,195.3444893768728,193.89861527473536,189.801448086126,181.96701925050633,168.43076582388312
66,2002-01-16 14:24:26+00:00,249.813859810658,184.04869649046495,185.0296771698487,183.57396052656335,178.61902002909008,177.51274344053544,168.1256965999313
67,2002-02-01 14:24:29+00:00,249.8306623161366,192.59421250960568,189.74481541567016,193.8228093442961,189.74492651826463,188.4415991757941,173.89849858392864
68,2002-02-16 14:20:20+00:00,242.21880798691618,202.57311034708533,202.26346275557177,202.2312374208064,193.44133353803966,185.6223924207801,173.8136231977947
69,2002-02-24 14:30:46+00:00,249.75158758800723,206.3111615738335,205.20741073093814,192.8679784652689,186.7379969531954,168.77981833189915,167.08815393266758
70,2002-03-04 14:20:03+00:00,257.33957094854605,190.5546708261976,190.17143868431356,186.7183393962349,173.9849396691979,179.9406341536091,196.35097872723532
71,2002-04-13 14:30:39+00:00,249.6761180998414,188.32298143218495,182.06401204706032,178.8281957855462,163.79141972836618,157.64721187883515,185.53696401151618
72,2002-05-08 14:24:29+00:00,249.75378611095536,183.06525674427314,174.2527463700635,163.31745095585856,139.3997829285476,,
73,2002-08-19 14:29:59+00:00,249.7683933603494,162.04639999494407,146.1704556385933,131.70386699732336,108.33403393689099,,164.22959052629915
74,2002-10-22 14:29:38+00:00,234.84320482695358,183.88157091638305,176.42536487798256,158.3274040196379,129.56188957761182,147.59956112537753,208.30885961282263
75,2002-12-09 14:30:05+00:00,,,,,150.0406541218763,157.94171339295724,189.63729064913218
76,2003-01-03 14:24:00+00:00,,,,,121.75659816243152,,
77,2003-01-10 14:30:12+00:00,,185.643654247725,176.66151994326987,178.50138106945337,164.38846516201363,173.14562257409503,169.95531963056544
78,2003-02-20 14:24:20+00:00,234.9393732692538,186.6957236938801,189.96276212396583,194.7249535397811,177.39719043779183,183.17847789182468,190.425150242608
79,2003-03-08 14:24:24+00:00,249.93782854935597,203.89772308517502,199.51425410086335,194.63612305797142,191.25581329588286,191.60908906204844,189.08505138034803
80,2003-03-15 14:30:34+00:00,234.89950030392728,191.04027267429223,189.65582089961106,190.1167830932941,187.0819606957903,181.87673514208893,184.85057428725048
81,2003-03-31 14:30:33+00:00,249.75661568613222,201.296652924853,201.82357324628137,201.3922300649281,195.63781809490825,193.91034919806873,186.73557708012942
82,2003-04-09 14:24:25+00:00,249.37710422507385,212.61762955908708,208.10736409155191,203.49850659880073,204.83790489355948,205.4053608189078,199.61097668640573
83,2003-04-25 14:24:24+00:00,249.51992307719695,191.09334827131468,198.15331693092722,191.42566976376563,178.7016985280816,174.30100140789762,165.40743735809616
84,2003-05-02 14:30:37+00:00,234.8649788247189,201.8514276424309,199.92439532487995,196.66937915432345,180.42104112776306,174.74401971823494,165.31641005933443
85,2003-05-18 14:30:32+00:00,249.9691637043309,191.09065135878012,196.76899611189728,193.1656900039116,174.84960439962225,164.99982186487784,162.85369943440725
86,2003-08-22 14:30:14+00:00,249.54031237492055,180.2313016098094,170.67587213738693,163.15059912261614,141.94142635670318,,
87,2003-10-02 14:23:50+00:00,,,,165.74710615019302,146.68779931061727,162.0765636932034,
88,2003-10-10 14:13:30+00:00,232.33714865878122,165.45916050773013,153.76111771932824,146.76647902592657,116.24040250583727,128.77310960804692,175.94354465853178
89,2003-10-26 14:13:42+00:00,232.16734847686743,147.18901514171407,134.39513764647427,121.90192053397557,96.97417560851102,97.39932958487745,
90,2003-12-20 14:20:29+00:00,242.2958801270467,179.5191065301821,176.30726939675577,173.32177121085957,156.62387012376493,157.34711306523664,168.60511907969436
91,2004-01-13 14:30:45+00:00,,,,,,,196.08154396003587
92,2004-01-14 14:14:26+00:00,257.35856592145643,191.97022573671052,183.8294421000503,187.62230429283645,178.31461129699966,184.35769014775664,172.5556409618651
93,2004-01-21 14:20:39+00:00,257.43133559500995,180.78230100324836,172.02542666157478,175.03797811706494,164.71831296489256,164.66717290590873,159.01467265598114
94,2004-01-22 14:24:41+00:00,219.01432991356864,178.85187456347325,176.80965281812044,170.39506698530013,,,
95,2004-01-30 14:14:31+00:00,242.07256569237276,190.4079621243134,190.518578780246,187.24690949379126,178.4657711138811,179.89953036755418,184.74753003195883
96,2004-02-06 14:20:44+00:00,257.34626443533193,192.0179693789977,189.6247342992787,193.15303341199672,178.7837331460409,189.85302519085462,197.80997018257764
97,2004-02-14 14:30:58+00:00,,,,,,204.21998886924027,202.627865325176
98,2004-02-15 14:14:36+00:00,245.35605052036414,194.8865499611519,193.2382515546708,195.19066457137268,195.08408082268107,194.5950778812915,190.71847776807425
99,2004-03-02 14:14:40+00:00,229.25671675769314,176.68294825945162,171.34656954599666,171.0917580352247,160.1276564356947,163.1229429639947,157.5359422301342
100,2004-03-10 14:24:53+00:00,,,,,,,178.7852855205247
101,2004-03-18 14:14:46+00:00,242.13137037156054,186.3850732520426,190.26297073045313,186.623993884649,174.67326550509145,169.5699149208164,177.1289510259425
102,2004-03-25 14:20:55+00:00,242.44293883118016,216.06806166987712,213.73609888096306,216.26109723359258,209.34256301179997,200.22081200048467,177.66720329664992
103,2004-03-26 14:24:57+00:00,249.822420265003,202.3765477955925,202.28402992320963,198.96698683725964,195.3682374541242,197.54692678963113,188.8666253551312
104,2004-04-18 14:30:58+00:00,219.67872711114214,175.72874531206182,177.18380591567802,163.88833635625923,160.73759785958833,138.2450471758862,
105,2004-04-19 14:15:28+00:00,242.27210238419278,178.6052831763011,171.43142037576348,161.24718200259895,148.48823643382934,,151.33054994895463
106,2004-05-05 14:15:55+00:00,257.3373174965453,186.16367600689063,171.01975381244128,168.20151080698952,149.88339502887808,,156.2215690411127
107,2004-05-12 14:22:19+00:00,272.537201471305,204.51675060090702,193.7743389441994,187.84501170006445,173.2810226097572,173.52473168487603,175.45537612831578
108,2004-05-21 14:16:23+00:00,257.0492675561473,198.31434285098464,185.92557315538136,176.60704511371142,153.66211441439725,,
109,2004-06-29 14:23:43+00:00,,,,,,,
110,2004-08-08 14:30:39+00:00,249.65094197911898,181.10312775013574,169.5655315150833,153.78584213946743,152.62734218675297,151.90846939299252,187.32172049259202
111,2004-08-09 14:18:29+00:00,259.2066058362892,186.33020434455491,170.76485366502112,152.79762351834955,150.162044000628,,173.82871798381944
112,2004-08-16 14:24:53+00:00,257.2437925870739,176.67546551502713,163.16192959955703,144.52398680366792,115.85996831019351,,174.24722080759716
113,2004-08-17 14:24:28+00:00,,,,,,,
114,2004-08-24 14:30:37+00:00,,,,,,,185.53034751317756
115,2004-09-09 14:30:31+00:00,,192.77406702464293,198.1995067257033,,132.5219003846555,,
116,2004-09-10 14:19:23+00:00,246.38657102511166,177.22030222916206,165.6207973273925,153.31898814757693,139.9405795277267,137.29242873458418,177.77319312456234
117,2004-10-12 14:20:07+00:00,242.23634513405312,163.29990806541042,149.05120810339164,143.55782723286143,127.9075873027906,119.09895001290339,157.88654394545307
118,2004-11-04 14:26:45+00:00,242.18737659059812,176.3847157498746,173.71478530157373,167.68170924510008,168.14238424153424,143.69334345502165,
119,2004-11-21 14:24:40+00:00,249.8360649904775,180.11535381291088,173.4292298871557,166.99475099260883,155.47165971088344,,
120,2004-12-07 14:24:49+00:00,249.7589822402588,179.47459894165593,170.18713696862488,166.04595135180813,155.97315669887297,,
121,2005-01-15 14:31:15+00:00,234.71281135366254,189.163551578416,192.54819514617347,193.0101116502102,180.2213476455523,186.02197476160063,167.11068799493222
122,2005-01-16 14:21:48+00:00,249.1821536267245,210.02957679264767,211.96711750454395,208.59225788710643,197.28185391586663,204.03248898461047,189.29845971412476
123,2005-01-31 14:31:18+00:00,249.87522499298626,211.96715524678268,207.0580733513051,206.00915565515317,202.05306113101653,214.29581718220618,201.7175916336966
124,2005-02-01 14:22:00+00:00,257.33445348523765,218.47051999778932,217.28871218517997,218.0631811792121,217.135823919912,214.24190799769684,205.48415956328438
125,2005-02-08 14:28:18+00:00,242.49519999077896,195.36782205125263,198.70418022106094,197.3971275241736,190.61178845027007,201.0213581132566,188.26494856747155
126,2005-02-09 14:25:13+00:00,,,200.40849101312102,197.67276353972943,193.45379654969162,202.65574132225657,188.33597044119975
127,2005-02-24 14:28:34+00:00,261.82933552455864,211.00344538175506,207.17566788357306,204.53885988488054,191.27515512792633,200.1223971965577,189.77908803545762
128,2005-03-04 14:31:32+00:00,234.88299986246955,203.83073548233304,192.85250091201206,188.9791116811579,194.1037760324521,196.99289236693147,187.2079619591442
129,2005-03-05 14:22:30+00:00,257.0049631064344,210.6044193492541,202.29875834429797,185.351848154521,191.10704504695735,192.20896158261615,168.83883620448245
130,2005-03-21 14:22:40+00:00,242.2758592343754,209.83423244995075,204.2471210865397,198.7020320792813,171.37770863696198,191.1360341812487,179.14479218754346
131,2005-03-29 14:25:20+00:00,,,,,,,181.031353203545
132,2005-04-13 14:28:57+00:00,244.94305879899485,208.51958304784532,201.7498795013219,195.63215455777177,171.89095151813132,190.67487000141654,178.45372432796705
133,2005-05-24 14:23:03+00:00,227.82098515406315,162.70885642323952,150.53265558332703,133.7367285382171,,,
134,2005-07-10 14:31:16+00:00,234.57851477573777,,,,160.61010082207372,,
135,2005-07-18 14:29:38+00:00,245.23822399678295,175.47358917649854,154.32868112047112,155.2252810585632,121.3986612754145,,
136,2005-08-04 14:25:03+00:00,,,,,,,
137,2005-09-12 14:30:55+00:00,,,,158.79011125338735,157.2247334894364,162.05839174166684,186.6495551482668
