,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,jap0035-0000,144.0681145027012,42.94896553433709,144.06914981195388,42.94644689270426,,,
1,jap0035-0001,144.06725428251332,42.94877608257745,144.068289591766,42.94625743319267,0.15,0.0685,0.2
2,jap0035-0002,144.06639406232546,42.948586630234715,144.0674293715781,42.946067973097975,0.185,0.0785,0.2
3,jap0035-0003,144.06553384213757,42.94839717730887,144.06656915139027,42.94587851242016,0.085,0.0521,0.2
4,jap0035-0004,144.06467362194968,42.948207723799875,144.06570893120235,42.94568905115921,0.115,0.0577,0.2
5,jap0035-0005,144.0638134017618,42.94801826970778,144.0648487110145,42.94549958931518,0.06,0.0448,0.0928
6,jap0035-0006,144.06294200072986,42.94782632350429,144.06399967167067,42.94531261851817,0.115,0.0701,0.2
7,jap0035-0007,144.0619565976018,42.94759568772703,144.06327307650255,42.94514833726444,0.095,0.0674,0.1535
8,jap0035-0008,144.06103079428465,42.94727615677512,144.06257712174818,42.94490191889664,0.12,0.0747,0.2
9,jap0035-0009,144.0602199152489,42.94699318555555,144.06176624271242,42.944618936762986,0.135,0.0901,0.2
10,jap0035-0010,144.05940903621305,42.94671021303517,144.06095536367664,42.94433595332853,0.14,0.0953,0.2
11,jap0035-0011,144.0585981571773,42.94642723921397,144.06014448464083,42.94405296859325,0.115,0.0858,0.1648
12,jap0035-0012,144.05777144668144,42.94613866957663,144.05934943706518,42.94377557728783,0.12,0.0854,0.192
13,jap0035-0013,144.05693718729717,42.94583272714159,144.0585776840369,42.943492543352434,0.105,0.0782,0.1548
14,jap0035-0014,144.0561265448697,42.94552101524965,144.05779787097606,42.94319253852447,0.12,0.0869,0.1916
15,jap0035-0015,144.05533131712556,42.945215161043315,144.05700264323193,42.94288667274954,0.125,0.091,0.2
16,jap0035-0016,144.05453608938143,42.94490930531736,144.05620741548773,42.94258080545498,0.165,0.099,0.2
17,jap0035-0017,144.05374086163724,42.94460344807181,144.0554121877436,42.94227493664084,0.15,0.0993,0.2
18,jap0035-0018,144.05294563389307,42.94429758930665,144.0546169599994,42.94196906630709,0.115,0.0905,0.1633
19,jap0035-0019,144.05215040614894,42.943991729021874,144.05382173225524,42.94166319445376,0.185,0.118,0.2
20,jap0035-0020,144.05135517840466,42.94368586721749,144.0530265045111,42.941357321080844,0.1,0.0641,0.2
21,jap0035-0021,144.0505599506606,42.94338000389352,144.05223127676695,42.94105144618831,0.14,0.0859,0.2
22,jap0035-0022,144.04976472291645,42.94307413904995,144.0514360490228,42.940745569776205,0.12,0.0872,0.1913
23,jap0035-0023,144.04896949517232,42.94276827268675,144.05064082127868,42.940439691844475,0.15,0.0999,0.2
24,jap0035-0024,144.04815570132934,42.94245516186381,144.04986415963333,42.94014105560644,0.15,0.1021,0.2
25,jap0035-0025,144.04734711910848,42.94212633777759,144.0491024086524,42.939831078925934,0.115,0.0843,0.1853
26,jap0035-0026,144.0465597153681,42.941801247675954,144.04832491717443,42.93951005425349,0.15,0.0989,0.2
27,jap0035-0027,144.04577726775892,42.941478194566805,144.04754246956523,42.9391869891224,0.15,0.0966,0.2
28,jap0035-0028,144.04499482014973,42.941155139762564,144.04676002195603,42.938863922296235,0.16,0.1045,0.2
29,jap0035-0029,144.04421237254056,42.940832083263224,144.04597757434686,42.938540853775024,0.13,0.093,0.2
30,jap0035-0030,144.0434299249314,42.94050902506879,144.0451951267377,42.9382177835587,0.16,0.1014,0.2
31,jap0035-0031,144.04264747732222,42.94018596517929,144.0444126791285,42.937894711647296,0.165,0.1098,0.2
32,jap0035-0032,144.04186502971302,42.93986290359469,144.04363023151933,42.937571638040815,,,
33,jap0035-0033,144.0410825821038,42.93953984031497,144.0428477839101,42.937248562739256,0.15,0.1012,0.2
34,jap0035-0034,144.0403001344946,42.9392167753402,144.0420653363009,42.93692548574263,0.165,0.1038,0.2
35,jap0035-0035,144.0395176868854,42.93889370867032,144.04128288869174,42.93660240705093,0.165,0.1106,0.2
36,jap0035-0036,144.03873523927624,42.93857064030536,144.04050044108257,42.93627932666414,0.175,0.1052,0.2
37,jap0035-0037,144.03795279166707,42.93824757024533,144.03971799347335,42.93595624458227,0.18,0.1185,0.2
38,jap0035-0038,144.03717034405787,42.937924498490226,144.03893554586418,42.93563316080535,0.15,0.0966,0.2
39,jap0035-0039,144.03638789644867,42.93760142504001,144.038153098255,42.935310075333355,0.14,0.0945,0.2
40,jap0035-0040,144.0356054488395,42.93727834989473,144.03737065064578,42.93498698816629,0.155,0.1102,0.2
41,jap0035-0041,144.03478121246658,42.93693747141206,144.0366299918004,42.934681701603736,0.15,0.1035,0.2
42,jap0035-0042,144.03398126093924,42.93656483692832,144.03591486597875,42.93434749997856,0.185,0.118,0.2
43,jap0035-0043,144.03322322100058,42.93620985735502,144.03515940779184,42.933993715535564,,,
44,jap0035-0044,144.03246647193777,42.935855479673215,144.03440265872905,42.93363932510063,0.185,0.121,0.2
45,jap0035-0045,144.031709722875,42.935501099952056,144.03364590966632,42.93328493262633,0.165,0.1147,0.2
46,jap0035-0046,144.03095297381222,42.93514671819153,144.03288916060347,42.93293053811268,,,
47,jap0035-0047,144.03019622474943,42.93479233439165,144.03213241154072,42.93257614155972,0.14,0.0991,0.2
48,jap0035-0048,144.02942953723905,42.93443326055373,144.03138560092555,42.93222643113443,0.17,0.1121,0.2
49,jap0035-0049,144.028639845234,42.93405235192809,144.03067506136162,42.93188421768148,,,
50,jap0035-0050,144.02788052130026,42.93365407985458,144.02997427063073,42.931516017471914,,,
51,jap0035-0051,144.02715046396793,42.93327084771753,144.02924421329837,42.9311327720304,,,
52,jap0035-0052,144.02642040663557,42.93288761319573,144.02851415596604,42.93074952420415,,,
53,jap0035-0053,144.02569034930323,42.93250437628915,144.0277840986337,42.930366273993165,,,
54,jap0035-0054,144.02496029197087,42.93212113699782,144.02705404130137,42.92998302139744,0.155,0.1094,0.2
55,jap0035-0055,144.02423023463854,42.931737895321746,144.02632398396904,42.929599766416935,,,
56,jap0035-0056,144.02350017730623,42.931354651260904,144.02559392663667,42.9292165090517,0.175,0.1209,0.2
57,jap0035-0057,144.02277011997387,42.930971404815296,144.0248638693043,42.928833249301725,0.125,0.0851,0.2
58,jap0035-0058,144.0220400626415,42.93058815598496,144.02413381197195,42.92844998716702,,,
59,jap0035-0059,144.02131000530918,42.93020490476984,144.02340375463962,42.92806672264757,,,
60,jap0035-0060,144.0205895347052,42.92982664914364,144.02266411057886,42.92767845759583,,,
61,jap0035-0061,144.01986498175057,42.92945674036581,144.02191499420124,42.92729593026633,,,
62,jap0035-0062,144.0191289410789,42.929083806617335,144.02117364653648,42.926920289223624,0.18,0.1226,0.2
