,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,mex0155-0000,-101.23700820481496,17.446207389575125,-101.23873645979458,17.442996775392388,0.07,0.044,0.1875
1,mex0155-0001,-101.23784443478395,17.446622113613838,-101.23957267546729,17.443411487478336,0.085,0.0506,0.2
2,mex0155-0002,-101.23868066979145,17.447036833267,-101.24040889617818,17.443826195178946,0.065,0.0447,0.1164
3,mex0155-0003,-101.23951922449052,17.447452694481047,-101.24124280731385,17.44423975258076,0.07,0.0445,0.1553
4,mex0155-0004,-101.24037834919912,17.447875731560654,-101.24205848987526,17.444641654176,0.055,0.0377,0.0906
5,mex0155-0005,-101.24124500148805,17.448278746155577,-101.24288610902998,17.44502625130655,0.06,0.0404,0.1063
6,mex0155-0006,-101.24209214954269,17.44867255309561,-101.24373324176393,17.445420046749312,0.045,0.0333,0.0704
7,mex0155-0007,-101.24293930244423,17.44906635549814,-101.24458037934448,17.445813837654757,0.055,0.0365,0.1169
8,mex0155-0008,-101.2437966764955,17.449464865937106,-101.2454173056547,17.446202911586504,0.08,0.0462,0.2
9,mex0155-0009,-101.24465993082019,17.449853927930388,-101.24625810737042,17.44658177940075,0.05,0.0334,0.0903
10,mex0155-0010,-101.24551340636536,17.45023740011604,-101.24710962106779,17.446964365321726,0.05,0.0349,0.1039
11,mex0155-0011,-101.24636591363561,17.450620430176592,-101.24796211251002,17.44734738412964,0.045,0.0299,0.0769
12,mex0155-0012,-101.24721638112507,17.451002535611757,-101.24881665318311,17.447731318310336,0.05,0.0331,0.1
13,mex0155-0013,-101.24805846966639,17.451383220183665,-101.24967764490746,17.44812057967877,0.04,0.0295,0.0587
14,mex0155-0014,-101.24889910168129,17.45177190647383,-101.25053306276754,17.448516059800795,0.045,0.0324,0.0692
15,mex0155-0015,-101.24974713921878,17.452163990908655,-101.25138108490151,17.448908132777973,0.04,0.0284,0.0599
16,mex0155-0016,-101.25059518158716,17.452556070793523,-101.25222911186604,17.44930020120538,0.04,0.0283,0.0584
17,mex0155-0017,-101.2514564728171,17.45295420823359,-101.2530638998729,17.449686203155075,0.045,0.0324,0.0764
18,mex0155-0018,-101.25232843340713,17.453341431678826,-101.2539004881958,17.45005760864172,0.05,0.0333,0.1076
19,mex0155-0019,-101.25318916050634,17.453718480540285,-101.25475241937255,17.45043078738658,0.04,0.03,0.0698
20,mex0155-0020,-101.25401940048427,17.454081929231194,-101.2556348464352,17.45081755656831,0.06,0.0389,0.1506
21,mex0155-0021,-101.25483074866743,17.454466749198,-101.25651126422905,17.451232776272402,0.055,0.0368,0.1139
22,mex0155-0022,-101.25566483127398,17.45486999109385,-101.2573585576015,17.451642368862707,0.08,0.0457,0.2
23,mex0155-0023,-101.25650553164132,17.455276409821955,-101.25819924325755,17.45204877581827,0.17,0.0665,0.2
24,mex0155-0024,-101.25735501901745,17.45568704196335,-101.25903115198757,17.452450960587907,0.105,0.0563,0.2
25,mex0155-0025,-101.25823573794672,17.456101566173423,-101.25984030290854,17.452832231401906,0.105,0.0544,0.2
26,mex0155-0026,-101.2591207457472,17.456485580659525,-101.26067095756265,17.453192172014013,0.065,0.0439,0.119
27,mex0155-0027,-101.2599785895232,17.456857558840362,-101.26152878500375,17.453564139200815,0.115,0.06,0.2
28,mex0155-0028,-101.26083643793547,17.457229532332885,-101.26238661708081,17.453936101699522,0.115,0.0623,0.2
29,mex0155-0029,-101.26170001204679,17.457603970785343,-101.26323873284025,17.454305589934815,0.08,0.0515,0.2
30,mex0155-0030,-101.26256652664333,17.45797304589699,-101.26409304193993,17.454669440830852,0.08,0.0505,0.2
31,mex0155-0031,-101.2634274793038,17.458339315134264,-101.264953248136,17.455035388621003,0.08,0.0505,0.1867
32,mex0155-0032,-101.26428807160504,17.45870542434581,-101.26581382383955,17.455401486977987,0.075,0.0492,0.179
33,mex0155-0033,-101.26514866848407,17.459071528829988,-101.26667440412058,17.455767580607823,0.07,0.0473,0.1452
34,mex0155-0034,-101.26600926994084,17.459437628586787,-101.26753498897905,17.456133669510486,0.07,0.0492,0.1233
35,mex0155-0035,-101.26686907271872,17.459803381704884,-101.26839638165609,17.456500095586986,0.07,0.05,0.1274
36,mex0155-0036,-101.26772640862374,17.46016899709534,-101.26925953551611,17.456868190809153,0.085,0.0575,0.1626
37,mex0155-0037,-101.26858361209453,17.46053697659135,-101.2701209485439,17.457237970541097,0.085,0.0547,0.1979
38,mex0155-0038,-101.26944596340996,17.460907154657125,-101.27097722303682,17.457605542350276,0.115,0.0672,0.2
39,mex0155-0039,-101.2703179300105,17.461277902298335,-101.27182656122893,17.457966703926065,,,
40,mex0155-0040,-101.27119052210195,17.461639371664084,-101.27268255527382,17.458321248987787,0.095,0.0585,0.2
41,mex0155-0041,-101.27205482806177,17.461997379375724,-101.27354684427985,17.458679246040504,0.115,0.0638,0.2
42,mex0155-0042,-101.27291913851747,17.46235538230716,-101.27441113778146,17.459037238313172,0.075,0.0495,0.144
43,mex0155-0043,-101.27378345346902,17.462713380458222,-101.2752754357786,17.459395225805746,0.08,0.0516,0.1737
44,mex0155-0044,-101.27464195848458,17.463068954416297,-101.27614555258934,17.45975562785878,0.085,0.052,0.2
45,mex0155-0045,-101.2754938822901,17.463428361596907,-101.27701717112639,17.460123328436463,0.08,0.0505,0.2
46,mex0155-0046,-101.27634984400099,17.4637940837515,-101.27788120729615,17.460492485734814,0.055,0.0382,0.0939
47,mex0155-0047,-101.27720985584163,17.464161524226938,-101.27874120259679,17.460859915325635,0.055,0.0394,0.0915
48,mex0155-0048,-101.27806987227375,17.46452895998331,-101.27960120248858,17.46122734019757,0.075,0.0489,0.1482
49,mex0155-0049,-101.2789298932973,17.464896391020556,-101.28046120697148,17.461594760350646,0.07,0.0454,0.1503
50,mex0155-0050,-101.27978991891227,17.465263817338602,-101.2813212160455,17.46196217578472,0.08,0.0513,0.1622
51,mex0155-0051,-101.28064994911864,17.46563123893743,-101.2821812297106,17.462329586499788,0.07,0.0446,0.1501
52,mex0155-0052,-101.28153381483476,17.46600864788961,-101.28301741751228,17.462687000719946,0.09,0.053,0.2
53,mex0155-0053,-101.28243372060521,17.46636501904102,-101.28385790891843,17.463019499567515,0.095,0.0566,0.2
54,mex0155-0054,-101.28331208247764,17.466706225088206,-101.2847247906433,17.46335622184474,0.055,0.04,0.0993
55,mex0155-0055,-101.28418471739532,17.467045189410978,-101.28559740780207,17.463695175980025,0.08,0.0525,0.1902
56,mex0155-0056,-101.28505735661088,17.467384148833954,-101.28647002925841,17.464034125215736,0.075,0.0492,0.1644
57,mex0155-0057,-101.28593000012425,17.467723103357102,-101.2873426550123,17.464373069551858,0.075,0.0489,0.1536
58,mex0155-0058,-101.28680264793543,17.468062052980354,-101.28821528506367,17.46471200898828,0.1,0.0608,0.2
59,mex0155-0059,-101.2876753000444,17.468400997703654,-101.28908791941252,17.46505094352499,0.075,0.0496,0.173
60,mex0155-0060,-101.28853616929388,17.46873531485919,-101.28997234497739,17.465394495690983,0.075,0.0489,0.1563
61,mex0155-0061,-101.28939211549692,17.469080805764726,-101.29085198827227,17.465749457264344,0.08,0.0531,0.1809
62,mex0155-0062,-101.29025977782267,17.469431090026504,-101.2917198392796,17.466099814201208,0.065,0.0452,0.1272
63,mex0155-0063,-101.29112802560985,17.46978160394923,-101.29258711367116,17.466449931824926,0.155,0.0743,0.2
64,mex0155-0064,-101.29202517835155,17.470142955807052,-101.29342587864377,17.46678827816933,0.165,0.0757,0.2
65,mex0155-0065,-101.29293359731233,17.47047601482084,-101.29427648502684,17.467099629292857,0.12,0.0644,0.2
66,mex0155-0066,-101.29381312301814,17.470798219605886,-101.29515599230164,17.467421824318926,0.16,0.0747,0.2
67,mex0155-0067,-101.29469265284168,17.471120419391443,-101.29603550369387,17.467744014345737,,,
68,mex0155-0068,-101.29557218678288,17.471442614177477,-101.29691501920348,17.468066199373222,0.085,0.0512,0.2
69,mex0155-0069,-101.29645025282667,17.47176426406774,-101.29779601081466,17.46838891928116,0.11,0.0615,0.2
70,mex0155-0070,-101.2973176077776,17.472083550379846,-101.29868657823067,17.46871681138981,0.125,0.0712,0.2
71,mex0155-0071,-101.2981825156657,17.472413044217063,-101.29957171000628,17.469053940899688,0.1,0.0629,0.2
72,mex0155-0072,-101.29905754883521,17.472746356035668,-101.30044672518514,17.46938724267513,0.085,0.0544,0.1816
73,mex0155-0073,-101.29993258624265,17.473079662919915,-101.30132174460165,17.46972053951644,0.14,0.0757,0.2
74,mex0155-0074,-101.30081171023751,17.473414514530393,-101.30219268599033,17.470052281809775,0.085,0.0592,0.164
75,mex0155-0075,-101.30169398373693,17.473746007024207,-101.3030636990389,17.470379531339876,0.135,0.0769,0.2
76,mex0155-0076,-101.30257277894319,17.47407448058378,-101.30393940485395,17.470706845567136,0.185,0.086,0.2
77,mex0155-0077,-101.30345004272156,17.47440237445432,-101.30481665042426,17.471034729533166,0.13,0.0704,0.2
