,dates,nzd0060-0000,nzd0060-0001,nzd0060-0002,nzd0060-0003,nzd0060-0004,nzd0060-0005,nzd0060-0006,nzd0060-0007
0,1999-08-17 22:10:26+00:00,193.2716245437024,225.92820734336757,218.17615428563266,217.5890778869845,195.26361436558136,177.48209957772315,184.7236809486343,189.52110391814136
1,1999-10-04 22:10:38+00:00,212.44724828410787,243.18898826467938,238.08111062441725,229.6066218751261,198.46029254933165,188.8520380938188,199.3494685727322,204.94547781846137
2,2000-03-28 22:10:07+00:00,204.9573804512393,233.89197037926974,242.66177346416058,232.20294224196047,206.44615406754542,199.16532256500375,211.6973833012755,207.30743670574697
3,2000-04-13 22:09:54+00:00,206.77288034859973,,,183.78725053923137,183.3604703812791,188.7324953726055,196.8522299428789,200.8017946270068
4,2000-04-29 22:09:53+00:00,204.99715014202482,225.73123360519315,229.48142907171257,217.09361758849826,206.3283880692191,198.08267541803912,202.2657027754854,201.10830125667388
5,2000-08-03 22:08:44+00:00,,,,,186.47636958544973,182.548575724683,187.84541852719389,178.6736936221381
6,2000-08-19 22:08:38+00:00,166.48057895308415,,,,178.6366755467975,167.21992477368963,165.66819811568627,166.64843434431765
7,2000-09-20 22:08:03+00:00,199.08297542446837,228.75642532832285,225.4521738147813,223.5419019780897,204.83484323352698,185.74386215608368,193.42286591956676,198.65450871978567
8,2000-10-22 22:07:50+00:00,210.10833461120086,242.72542991914443,244.72334942077754,241.08367391614598,221.32613537170016,203.40046092874542,210.635179517684,212.21296349257594
9,2000-11-07 22:07:53+00:00,178.09584372785133,196.3372002846329,188.60878789463453,194.6159915281661,188.20349295495524,181.89570507501102,184.39297382004847,183.47864247699403
10,2001-05-18 22:07:26+00:00,180.5586681719705,200.96117958930176,200.67533887374142,207.4757446473195,198.31049232764002,191.25488932660988,198.06468528549027,200.90296870775694
11,2001-06-03 22:07:16+00:00,182.1912468126959,182.1546518493629,182.33385786066748,191.28183213606556,191.93018976396124,179.98907650076117,187.81402983707335,182.86629593700135
