,dates,nzd0282-0000,nzd0282-0001,nzd0282-0002,nzd0282-0003,nzd0282-0004,nzd0282-0005,nzd0282-0006,nzd0282-0007,nzd0282-0008,nzd0282-0009,nzd0282-0010,nzd0282-0011,nzd0282-0012,nzd0282-0013,nzd0282-0014,nzd0282-0015,nzd0282-0016,nzd0282-0017,nzd0282-0018,nzd0282-0019,nzd0282-0020,nzd0282-0021,nzd0282-0022,nzd0282-0023,nzd0282-0024,nzd0282-0025,nzd0282-0026,nzd0282-0027,nzd0282-0028,nzd0282-0029,nzd0282-0030,nzd0282-0031,nzd0282-0032,nzd0282-0033,nzd0282-0034,nzd0282-0035,nzd0282-0036,nzd0282-0037,nzd0282-0038,nzd0282-0039,nzd0282-0040,nzd0282-0041,nzd0282-0042,nzd0282-0043,nzd0282-0044,nzd0282-0045,nzd0282-0046,nzd0282-0047,nzd0282-0048,nzd0282-0049,nzd0282-0050,nzd0282-0051,nzd0282-0052,nzd0282-0053,nzd0282-0054,nzd0282-0055,nzd0282-0056,nzd0282-0057,nzd0282-0058,nzd0282-0059,nzd0282-0060,nzd0282-0061,nzd0282-0062,nzd0282-0063,nzd0282-0064,nzd0282-0065,nzd0282-0066,nzd0282-0067,nzd0282-0068,nzd0282-0069,nzd0282-0070,nzd0282-0071,nzd0282-0072,nzd0282-0073,nzd0282-0074,nzd0282-0075,nzd0282-0076,nzd0282-0077,nzd0282-0078,nzd0282-0079,nzd0282-0080,nzd0282-0081,nzd0282-0082,nzd0282-0083,nzd0282-0084,nzd0282-0085,nzd0282-0086,nzd0282-0087,nzd0282-0088,nzd0282-0089,nzd0282-0090,nzd0282-0091,nzd0282-0092,nzd0282-0093,nzd0282-0094,nzd0282-0095,nzd0282-0096,nzd0282-0097,nzd0282-0098,nzd0282-0099,nzd0282-0100,nzd0282-0101,nzd0282-0102,nzd0282-0103,nzd0282-0104,nzd0282-0105,nzd0282-0106,nzd0282-0107,nzd0282-0108,nzd0282-0109,nzd0282-0110,nzd0282-0111,nzd0282-0112,nzd0282-0113,nzd0282-0114,nzd0282-0115,nzd0282-0116,nzd0282-0117,nzd0282-0118,nzd0282-0119,nzd0282-0120,nzd0282-0121,nzd0282-0122,nzd0282-0123,nzd0282-0124,nzd0282-0125,nzd0282-0126,nzd0282-0127,nzd0282-0128,nzd0282-0129,nzd0282-0130,nzd0282-0131,nzd0282-0132,nzd0282-0133,nzd0282-0134,nzd0282-0135,nzd0282-0136,nzd0282-0137,nzd0282-0138,nzd0282-0139,nzd0282-0140,nzd0282-0141,nzd0282-0142,nzd0282-0143,nzd0282-0144,nzd0282-0145,nzd0282-0146,nzd0282-0147,nzd0282-0148,nzd0282-0149,nzd0282-0150,nzd0282-0151,nzd0282-0152,nzd0282-0153,nzd0282-0154,nzd0282-0155,nzd0282-0156,nzd0282-0157,nzd0282-0158,nzd0282-0159,nzd0282-0160,nzd0282-0161,nzd0282-0162,nzd0282-0163,nzd0282-0164,nzd0282-0165,nzd0282-0166,nzd0282-0167
0,1999-08-12 21:53:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.35144053243596,198.205266929427,204.32986488105658,205.34068529350253,,156.25333152565506,153.85210197722162,148.63347403049517,149.16997433739908,151.5870175753907,153.06482497762806,152.47404526628125,156.44601285345604,152.00082417469937,145.58744776313424,146.2701868877499,147.5284287858481,151.92570272220294,155.72798726759288,154.33632322455583,160.25706819857643,159.3962223911546,162.3117579595038,155.07115040442113,157.7506459461913,149.79569322554167,151.36869849380028,151.75464114469554,150.27170325268824,148.79836835971585,151.3605320590066,153.6985465013701,153.963992346004,155.01969626645499,153.78530931105712,149.78931857152537,149.06396981337744,148.82684935664358,154.21916282465529,152.30284154667993,150.29104890659,156.52792573088814,163.24656228592562,166.76966449456785,171.58145801175058,168.69359985284834,,,160.98677962454863,156.85740333996415,,,,132.94818064898786,132.58727216929495,143.30645087778638,135.01877383414856,134.12654095231431,137.93622017647752,118.77903721326685,83.83551844357011,72.99173450680185,84.44131637982304,87.08515035761918,,127.04598022823114,133.86911666719817,135.53007824295898,139.24153171006623,139.5942750654904,140.82878732686993,141.9573407917434,141.9291163111616,145.05633146825562,142.98478701558548,146.39017262990367,148.6655645764818,,155.21936293363945,145.7836340240732,,145.04944448574017,152.6384183198622,153.72248140287124,,163.37966785609785,162.99360100193275,158.8075132439572,156.8999809172736
1,1999-08-21 21:46:56+00:00,148.03898247167012,141.38826656504312,141.15403267808173,144.1633232917874,,,,,,,,,,,,,137.30943750490277,138.44312084138457,140.34409730822523,143.6656811296922,140.23435209534622,144.5630210632978,144.3946615792925,137.48145055828218,112.2177305573056,,,,,133.02121957935557,110.83831863506543,104.37811750393882,117.14486419227204,111.00755981223764,,,,135.2907097195788,134.27812536063234,137.4365991823375,140.72633173945033,145.88840062068758,148.71721956903866,149.77709059910313,151.8385958380081,150.75676211434845,156.64529753311243,157.41965125644427,151.33605710234642,140.40910882138246,144.90227107192675,147.26114701644602,147.54741441703732,148.23341710634918,143.89594752363163,140.29978987232147,136.70674691358403,132.37600227284887,131.90407768596225,134.1671898996914,134.77363747374847,142.16400255592865,137.74001433367872,140.86121979443246,140.80457741345623,139.83174575756783,135.6254137167722,136.53396231964777,140.27509876352826,135.46718231051287,141.71664186994352,139.18731868768242,146.40048791311713,145.57648739650432,154.96199047148596,160.57113843749048,164.502838980403,159.76583016375457,171.53434993745068,170.94825244722333,173.25145204620333,182.36272635163834,183.90545828700118,118.63956385501483,131.065289598999,130.58168970893158,128.9716891046772,123.90443171209135,130.92568610805657,127.55541177965355,131.58122124465334,131.91632898035687,136.00273369347977,127.57899055057122,128.61187622371196,127.89883818325886,131.77135584163503,131.8665152757517,137.67539062058552,135.05318628592158,141.17803653606015,139.11012741490526,140.15691582311027,134.51942430094175,138.40564630167339,143.51002300270014,135.58763274659998,131.6491660145843,130.86184910683005,135.85310460826477,128.5516059938095,128.311838338358,128.60829363124847,133.2248173954621,127.56559954262889,128.92046923433338,124.51355779216865,129.46682699889672,135.93307643422128,135.07865589402397,142.6586753374067,147.5727794206464,147.9843675987396,148.08026304717032,151.2568667818275,141.39986162727408,136.51365543121034,142.94619374530612,134.08333214118866,,,,119.37293091175333,122.23621801956686,124.04750113040059,118.93825593287772,115.7113124284783,116.6438255085898,105.8088006340956,79.2304046292325,62.723056746532485,82.74607849279342,85.30099577239257,,108.21650889192681,118.99782740015746,122.18463399265428,120.54455142579924,121.8647860462013,125.40098049471094,125.68341721283686,127.52576847472704,127.57482283170042,130.86639886255563,134.7055010313337,130.65174162243076,,125.63166608776335,119.49338545681202,117.71773067049334,133.80714429955904,138.15763475670892,136.02014755291617,133.64725559509782,136.44632256781367,145.6009437348304,140.98480637145562,142.95820444034808
2,1999-08-28 21:53:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.1403390014124,132.52478294294465,129.76805970091976,129.28388152644501,127.43567363518785,132.72686809855236,131.2221047429873,135.6819051191274,139.6779105730801,133.21662674373718,140.53258864049855,139.15993149634994,139.18009129958185,135.30071186625588,128.39087619464865,135.1402916160464,130.15867358291905,129.79692495421457,134.01836942907053,130.79398172465312,129.81650135560415,129.24428691592004,132.9899550462307,134.59539062420131,132.20547104803842,129.04074813562968,125.37356833306895,128.47794734010162,130.80655115322634,126.1700324768428,129.28431870553237,137.20655707051057,145.76572612900276,151.613340203078,149.10002608779988,147.14584529330875,143.50395104241056,141.4600924364087,139.24595963652976,130.22860476596625,129.04498905326534,,120.5392753465114,117.6023735434524,115.74856309766656,115.27864017791549,115.58531652478226,117.15120318395394,115.81091394294899,108.37780425198488,97.07273995077661,76.2012698385131,,106.6514319151697,,104.91806052675594,112.22732109800401,118.98042620684434,112.67108411832945,114.0579518978421,118.46996319226278,113.20531530305948,120.54221199134393,121.24629799008545,129.41654069032947,132.91908595878468,134.2862777189971,126.88137585771027,131.82265818115,129.21526579314983,130.9211830520573,135.09139281351952,136.57848616437082,139.30812742743342,138.925210125466,135.86432339591101,141.09927265836762,144.27124024755008,146.50523598584886
3,1999-09-22 21:47:00+00:00,143.1844742257931,140.0303328137278,148.72190470243714,149.83045188861124,148.60212876365333,145.36984279518498,151.07321692355947,140.48346165877285,140.09881144310535,121.81846457437818,136.8012809337578,139.5432125449638,143.93682411992012,149.60087717344905,155.9876148047111,141.44215456133884,148.6621122152135,144.2371962379071,139.24351016876938,142.79981246633375,151.63469033085426,148.40315525397924,145.58358999089324,146.54285332792105,127.34220086495515,129.72555503132776,129.87312362451976,141.04294089031572,138.9913956549509,132.99945638817184,113.70683107375955,116.59760344462065,114.4634359454363,121.91740703576292,135.8898003609054,139.3787071327436,139.34551557687448,137.05091256835516,139.84990182024427,137.67575543510725,147.0944884327376,144.47305840433108,151.0188056296553,152.14191200896263,159.24467916726837,166.5933796091938,164.9251942351234,157.01934343909684,156.92093701167983,150.313291220488,154.04738599867892,152.0077022811419,153.4762034509116,153.4981052356031,148.59153026848384,147.49752026583727,146.07019986690156,138.74405399809726,137.85010120628348,141.95536082200505,141.3503247585078,145.91133507556785,144.79877453650982,147.4455965045674,141.15915328507037,144.02981441414252,139.41459976908885,144.1783789428124,147.11872306003477,139.23548916403942,146.18904915149264,149.41226108549188,151.53481887753875,157.28068247165763,155.27298612147766,158.71053497964172,159.91741149988826,168.22641024460174,201.98164356714057,,,127.73287537689373,148.55171072326698,142.6832003297341,134.70571932004896,139.88633298807852,133.99819173446494,130.90633024597497,128.98398511162839,130.1332104928985,133.5790251483913,127.1971336683734,130.84097594217874,139.0605062549063,129.9253978797649,124.0423981111819,135.80117401156912,133.9986486868359,138.0120486123513,135.15176803415022,143.3595834309579,138.78414058132594,140.7858795294265,138.5351006142002,141.4326736941518,140.56482396030884,135.9427506623936,134.99409304373054,129.28479073650504,132.76275175950408,131.16589833939153,133.67816079302236,130.8945207952137,132.032633618614,128.54102055599807,126.8933153979549,126.81934886355586,137.0296295921452,135.7966964757604,137.09616053598148,145.3483709747315,148.30547797951073,152.04154375284892,155.9748452351787,157.6559813687205,155.05867965959393,147.98302220724133,143.4972336929358,135.3325387009832,129.93045817912449,126.38288849080986,128.70683967693333,125.8889459558101,126.56937971980815,128.35740815419518,126.82516963996372,128.63421363161245,128.51479759305641,110.15964932917659,122.23959595651375,120.43551616919939,106.81462332342245,118.03552236272485,118.4080262496845,111.43661451066092,117.8366341032837,122.79178179845883,117.97107220877575,115.76567098007993,119.73191178626665,119.57494774291553,124.60122610912208,125.26448001997917,127.0810527432841,130.92413837267915,130.00758439694422,131.7677407695714,133.0725973862001,131.62978209244557,131.77681715071878,137.6043362012837,134.89846756171804,140.89233458532544,144.232318986072,142.38615918865295,146.9503604415224,142.59592759772474,147.43019156932672
4,1999-09-29 21:53:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1999-10-24 21:46:56+00:00,149.67500633531694,156.12979357952102,155.42660214057847,153.57743539645776,145.76935232380245,151.35174851920013,146.66819902584825,148.9974796498417,141.91491344660938,146.4953358359734,149.1974409581995,150.58522689994646,154.12820826380226,151.426096979666,149.88153673591003,156.68352549994844,159.03950561226782,150.44767598621905,148.81917693666065,150.680584158641,150.97410237298655,151.4658967609989,144.32171299095222,141.01299766313912,138.0658484711808,144.67534037946672,147.0883790377575,148.1844463793178,141.89099486270155,137.95003402031332,135.20478653384262,129.77378849421217,136.43065183021693,139.4128761838915,140.78878612565205,138.25850334678748,145.6870243206739,145.87509923812135,148.66517743650152,151.8495307053499,152.229155117831,153.58233531000113,157.35127384555543,162.5940147501904,167.1799545286129,169.35042630285628,166.07251374455615,164.55569148601097,163.7735874562356,161.8408659068579,158.1118875670359,157.27388973008487,157.622041253949,159.6275680415644,156.8019981976242,154.96961405711346,152.52413806114623,149.8387075155185,153.1338862379587,150.66727502093937,153.05795503871963,150.39779246091837,154.6485814223425,155.85308152192505,150.55131536827437,154.6964334663825,152.37897354712575,152.94612422842548,151.26843819568126,158.50682592353346,155.85323043029965,154.3844253162925,152.45436872448326,159.42927742388414,159.50497819116993,168.39057017325234,178.118963332949,192.10526800899734,225.05567294637737,,157.89856865157117,140.68851028417822,159.74952608510563,156.89954876450557,155.9805676803216,146.3956143661111,143.3133063750675,144.49550078449292,143.0584507456938,145.77915312772734,140.52516814448174,136.84827387057064,139.01059576268466,137.77818092756394,136.76669884315987,138.0039666382655,140.74240643043845,140.64247732272548,142.53442299053333,141.3408167603999,140.90962421336826,144.9966533601865,141.8841447111081,145.09783502736235,141.48257217639315,144.082392212007,141.30964189197755,144.64470097063358,139.9391370011176,140.5361787135639,138.85453399102352,137.81188829444267,135.2405820729545,132.5161110919697,135.35321478471127,137.07035036035225,147.70556102476348,,,,155.17233458140362,157.82173235353844,155.3858086511554,162.26910395578554,155.26912434990658,154.0311967177825,150.4715569786772,146.18577813786996,139.53761539688293,139.14862219221092,137.85099887841523,136.2918532193682,135.41054014557074,132.36348725030732,132.96023395169067,131.57574069369932,131.9033885120376,133.2658383294463,126.62354934535102,129.71419620570606,128.12623486193482,127.64382923588605,126.51829923777446,128.1613805903216,124.77906377498938,125.97856700486291,121.6293411978267,126.77613079035865,128.68049713616503,127.95900571528392,133.03134283877182,134.00858471633535,137.53121370289597,137.14396706652164,135.9101297251537,139.80075856098054,137.29273257247897,136.5851274573923,134.11064698502344,136.5593223072447,142.73139940791515,144.64306017818168,146.54171992521125,150.07094835479023,149.18175560750456,151.54494090376093,155.41310424500062,149.0634442776705
6,1999-10-31 21:53:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.49870589072606,151.47790898062533,157.40287116180062,156.4784715746512,157.7539168530699,154.89978526617253,156.13345632084213,152.04954455694028,150.10751891556356,148.07508658412084,140.0103274462639,140.53424315451394,138.29261097164752,137.72237957437198,143.18102571195607,145.80124899132002,143.6086057066149,142.47022991633617,136.1565051759395,138.3174868541814,138.441151544059,138.12680936940708,134.93757466458996,133.54710533852128,134.03813624304513,137.31677113367576,135.39280034505364,139.06257629079866,140.08348598754424,139.53534564144368,142.57068382903492,141.23084720021333,141.18809453290098,140.81790505000683,144.22892100981946,144.60226730827688,149.12327661113366,151.3401213753259,154.87459819521263,159.42257753289522,165.1924612296354,162.8435048495621,162.49011982226907,160.0635200209319,153.56413906302708,145.01940197663967,148.22411454490162,145.5845825190215,143.2811358271759,144.85231936643635,143.1072589375759,138.48919252964632,136.99946314209748,136.72889120993395,134.414869081121,132.78740762262635,130.97515137982762,131.97180814586469,127.26723777795516,130.44474892122975,130.41210636016788,131.13834086127818,129.9596652197437,131.33251856757107,130.60007883824957,130.41118198352927,127.54330226512876,125.60395920920338,129.5362650534197,133.00028555026873,138.70113904382129,133.62591700143227,134.29538844569325,132.2022745556552,136.23558123929337,133.1928816153631,132.3410224300984,138.57206315934863,145.32576576064554,145.95350054306067,148.48845413661496,149.70503863549987,151.40401298247238,151.50514704816197,148.60781657962855
7,2000-01-19 21:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.63465794847582,140.29142738282715,143.00904087344443,142.26674293096505,143.91015014971103,143.42310291537606,154.61826052656542,150.64262235849017,156.50502802738572,155.43150958735478,156.47898220138802,155.54828358969536,159.9341298950736,160.3930927983693,167.0248164027746,170.405517629732,182.48744732822928,221.5531933700984,,,100.23292436820182,115.58703144172766,106.74039832489731,116.27818024092386,130.97183520032291,134.0804382502149,141.22122607301546,147.36020994493094,148.04464422928658,141.9020845755525,142.21494825790256,144.50348774131606,145.75170855800656,137.7574059464913,142.2888362992025,141.87937668377506,143.41185417031804,144.0549771001709,142.2152889399226,141.69730932343342,147.9817440474916,148.9186064217682,152.74019835924273,149.48049258400212,144.43951456596682,142.90184835499366,141.3005123946999,140.08038301330657,142.19414577653592,137.9054405424318,138.28510706450388,132.12972411921564,132.64330371327776,130.52668933302215,135.10034955478764,137.38735650350478,135.7329969209567,143.03878126656682,144.57750793566615,142.32475037732857,149.68351647934932,152.16553539456922,157.96733087775863,163.5349271725349,168.22560253428878,168.0812025355328,159.07766291389774,146.1855873805231,145.7619572844734,145.93018231402894,139.5333633821204,131.53869890807903,135.89053213150305,134.55493533856554,136.51692382869578,136.21386214605405,129.4321778535783,131.04309475352693,133.75529246231653,132.48455124221746,130.70462993313336,131.6797338042366,127.31345258215157,122.52575209329282,126.03821919381497,123.64458139353209,124.39046265691007,124.97028332529273,127.18450510781622,130.16052141843798,125.54728252284607,128.73712070353284,132.8728608549577,126.02831146035922,127.89995795797276,132.50921789008632,136.22810914814514,135.95538982432828,133.8323554080853,132.7845209517138,137.80033728447475,145.4448130735504,147.79419030661992,151.51308825604502,153.59926954909147,152.29584395011744,151.46103888875862,150.1811839941934,150.1873355125466
8,2000-02-04 21:53:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8131729310074,149.40161685690236,150.10589018568993,156.6192179268686,154.0060836780282,158.68793705649455,160.25291357891496,165.78000793604454,155.1941449418696,159.5406722273953,193.24534925494913,207.8622073461773,,143.1509639623862,113.49506317104432,110.36120574613682,101.24252876257376,110.2706875691132,106.8667472962138,113.94530205726664,122.93912121557645,119.66710436142085,129.38907063209228,131.70706500425317,135.23297625050694,128.2832632456992,132.86329120993028,124.85080443926036,123.7451770949885,122.68389492859785,125.66595317801408,127.11139161471813,129.07909553717255,131.62570427558785,137.98233736633384,136.36360123246723,137.76032975710163,130.3530821198342,133.3814375596628,127.6818965364637,128.51057721344003,127.59471315382443,125.56564226177842,130.02985704886584,126.99591653278311,132.14953370420181,124.94891207575925,127.36536545468034,127.12156306970363,127.0542001178154,129.74909981916602,130.98296035944364,131.85747004206235,129.23062091901593,133.14233326744576,142.09437363933122,147.11388793859217,152.35125589660487,152.55496964157678,145.40388880889373,142.49416922740832,139.758629056563,134.0510842423611,129.44034872024713,123.79544823539725,124.02593586848488,125.21713019103079,124.6340784775178,122.84965008180801,120.53752521065019,120.13648254775275,119.46452686283335,119.22281101769357,119.40495030824573,120.04566753804717,116.31908135113899,120.2205063466707,117.020910497687,114.23979225918,116.58851907600948,120.94036647976522,117.49103385678899,116.9760026736236,116.32649530453749,118.81786223841722,125.34068842577204,126.1124902949227,127.7653898266027,126.07269742762851,131.12922420961823,131.47336903884755,133.66154010136646,128.08500130578958,128.60785525050693,135.2576930307416,136.15625827558173,138.02595650690435,141.3175272602188,139.8883475107524,140.6407075291333,143.1104591310762,139.71153931801345
9,2000-02-13 21:46:48+00:00,145.47087323394888,142.4845936189482,150.6814125922424,140.52461971946906,141.74559311934007,144.21100987389843,146.3403984154778,144.87135975880253,140.53350647243778,138.03237842500397,139.46678460099662,140.68483795452252,151.35448013155934,153.98900271648213,154.17591216751845,154.6443389592842,147.89315545161085,142.08610110933532,141.27830009020332,144.96371741858633,141.70498191225292,129.7672418583339,126.63617223110941,125.44049725172256,128.63152301421397,136.23042073695004,140.46264072261965,136.41280010049059,135.40986961985877,127.72964494912459,127.16279821720495,127.51919518325025,129.8346362607527,132.29549972140225,128.90940018146048,127.47433082640846,125.95549852457421,134.40737355229732,140.17427191951026,142.1709340617727,139.1861280024582,141.4486262219848,146.3882391777495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.50633639006804,,,,,,,,,,,,,151.38575032133767,149.1873125691146,142.3194611579928,150.6463811582309,154.9443972318581,171.8652417102615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4385396629529,137.68755296498455,152.1917525114019,125.72119097310541,127.26666903283528,143.34933624264642,121.52825141575101,125.03660589320906,115.6583505795098,118.07166776798454,122.3534176908375,123.24288046292101,125.8865112539329,122.36232196151741,123.67538343390252,123.99757594986811,133.32807725741384,125.57725306458924,129.56603049331676,128.3450775745352,133.24431021263584,137.24166032587303,136.60137726543692,135.2068280948869,135.74672187879798,138.2243845675226,138.7116966388412
