,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,nzd0529-0000,169.84038598933105,-46.32838648023703,169.84162056749452,-46.330716613741956,0.065,0.0533,0.0837
1,nzd0529-0001,169.8393897091328,-46.32864377634163,169.8409295908693,-46.330885562586765,0.085,0.0648,0.1141
2,nzd0529-0002,169.83841951813633,-46.32903601762701,169.84036248727705,-46.33112316392926,0.095,0.0738,0.1355
3,nzd0529-0003,169.8375021019783,-46.32948113032072,169.83980893760344,-46.331383454428405,0.11,0.0794,0.1707
4,nzd0529-0004,169.83683768250435,-46.329938471269365,169.83922159843883,-46.33179491750884,0.105,0.0789,0.1675
5,nzd0529-0005,169.8362445102728,-46.330256044834854,169.83839942008154,-46.33224146974447,0.08,0.0628,0.1055
6,nzd0529-0006,169.835623553109,-46.33056561022092,169.8375640057011,-46.33265381407077,0.075,0.0616,0.0997
7,nzd0529-0007,169.83492325998398,-46.330839520667254,169.83670373539331,-46.332994595001274,0.08,0.0642,0.1014
8,nzd0529-0008,169.83412149552927,-46.33115546970043,169.83594493641513,-46.33329333552527,0.075,0.0607,0.0963
9,nzd0529-0009,169.83333187529362,-46.331486659223266,169.83519921189344,-46.333606371075476,0.07,0.0579,0.0955
10,nzd0529-0010,169.8325665674919,-46.33180838843538,169.8344299345611,-46.33392975250783,0.07,0.0568,0.0898
11,nzd0529-0011,169.83180557057185,-46.33212585153389,169.83365318018716,-46.33425376374211,0.07,0.057,0.0849
12,nzd0529-0012,169.83103879695594,-46.33244079636506,169.83287588047855,-46.33457303654794,0.075,0.0647,0.0957
13,nzd0529-0013,169.83026676029368,-46.33275790956884,169.83210384381624,-46.33489013738818,0.07,0.0588,0.0807
14,nzd0529-0014,169.82949794171137,-46.333073702253635,169.83132858907405,-46.33520855501856,0.07,0.0583,0.084
15,nzd0529-0015,169.8287272500234,-46.333387262449136,169.83055139457875,-46.33552475483826,0.075,0.0603,0.0912
16,nzd0529-0016,169.82795331892785,-46.33370211463981,169.82977740477773,-46.3358396186051,0.075,0.06,0.0923
17,nzd0529-0017,169.82717790317554,-46.33401756964069,169.82900489963356,-46.336153875959944,0.07,0.058,0.0856
18,nzd0529-0018,169.82636750869335,-46.3343490642207,169.82826915937252,-46.33645407200235,0.07,0.0563,0.0894
19,nzd0529-0019,169.82558126794672,-46.33470513914992,169.82755362261886,-46.336778887468235,0.07,0.0543,0.0969
20,nzd0529-0020,169.82483037919656,-46.335045588384666,169.82680273386865,-46.337119323792734,0.075,0.0589,0.1091
21,nzd0529-0021,169.8240683696717,-46.33539111844412,169.82606296589313,-46.33745467524585,0.08,0.0581,0.1207
22,nzd0529-0022,169.82330374073845,-46.33574911631831,169.825340775383,-46.3377928028991,0.08,0.0594,0.126
23,nzd0529-0023,169.8225571216611,-46.336109046897604,169.82461436339958,-46.33814304885279,0.075,0.0588,0.1144
24,nzd0529-0024,169.82182060613064,-46.336464139372204,169.82387784786926,-46.3384981281192,0.085,0.0615,0.1267
25,nzd0529-0025,169.82109289165518,-46.33681501326696,169.82313253128393,-46.3388574211968,0.065,0.0509,0.0955
26,nzd0529-0026,169.82036185528324,-46.337158555277256,169.822378407608,-46.339211848677024,0.07,0.0514,0.1022
27,nzd0529-0027,169.81960152746854,-46.33751321002055,169.82164987110582,-46.33955143571386,0.07,0.0535,0.095
28,nzd0529-0028,169.81882608960024,-46.337894824347,169.82096280585506,-46.33988932337575,0.075,0.0563,0.106
29,nzd0529-0029,169.81808803016935,-46.338285592225745,169.82027552325883,-46.34025366669223,0.07,0.0517,0.1023
30,nzd0529-0030,169.81736600875578,-46.3386681392318,169.819572202645,-46.34062622536784,0.075,0.0545,0.1216
31,nzd0529-0031,169.81664640378895,-46.339059834427445,169.8188810401869,-46.3410024734331,0.065,0.0493,0.1007
32,nzd0529-0032,169.81591265566814,-46.339465313638485,169.81821175656916,-46.34137174885538,0.06,0.0469,0.0936
33,nzd0529-0033,169.8151756257446,-46.33990630766595,169.8175921741487,-46.3417421935088,0.07,0.0522,0.113
34,nzd0529-0034,169.8144941690028,-46.340354112363535,169.81697293398545,-46.342150015034754,0.07,0.0501,0.1053
35,nzd0529-0035,169.81382162762452,-46.34079678140007,169.81634477845859,-46.342562965346794,0.075,0.0561,0.1159
36,nzd0529-0036,169.8131635888843,-46.34126027466107,169.8157457975525,-46.342985284694876,0.07,0.0533,0.1131
37,nzd0529-0037,169.81253522779792,-46.34171407386523,169.8151327452768,-46.343428081008696,0.075,0.052,0.1297
