,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,per0092-0000,-78.22473950220694,-9.941801024999457,-78.22824668596918,-9.94081515148557,0.08,0.0563,0.1308
1,per0092-0001,-78.22449090747821,-9.94093174686705,-78.22799808152973,-9.939945874015702,0.06,0.0432,0.1013
2,per0092-0002,-78.22424231358578,-9.940062468800262,-78.22774947792725,-9.939076596611025,0.04,0.0326,0.0582
3,per0092-0003,-78.2239933257726,-9.939191808320638,-78.22750126993378,-9.938208701749035,0.045,0.0347,0.0651
4,per0092-0004,-78.22370442701418,-9.938140532406647,-78.2272958467677,-9.937520924903263,0.05,0.0362,0.072
5,per0092-0005,-78.22361824335538,-9.9370556154718,-78.22725471996159,-9.93680316978893,0.05,0.0388,0.0737
6,per0092-0006,-78.22355459198253,-9.936154280130015,-78.22719105835556,-9.935901832918393,0.08,0.0637,0.1112
7,per0092-0007,-78.22348665256509,-9.935102541387753,-78.22713168606347,-9.935150899813268,0.095,0.0708,0.1518
8,per0092-0008,-78.22358488112559,-9.934035749848547,-78.2272093364571,-9.934422161042534,0.11,0.0828,0.1594
9,per0092-0009,-78.22369374312152,-9.933119948215593,-78.22731398619679,-9.933543318000059,0.17,0.1156,0.2
10,per0092-0010,-78.22381249647489,-9.932138761622804,-78.22740874297261,-9.932729859760514,0.1,0.0788,0.1445
11,per0092-0011,-78.22404968767007,-9.93105485067905,-78.22755162827045,-9.932058515385432,0.08,0.0632,0.1043
12,per0092-0012,-78.22440228548814,-9.93008706805403,-78.22782550562519,-9.931329309811582,0.075,0.0613,0.103
