,dates,per0134-0000,per0134-0001,per0134-0002,per0134-0003,per0134-0004,per0134-0005,per0134-0006,per0134-0007,per0134-0008,per0134-0009,per0134-0010,per0134-0011,per0134-0012,per0134-0013,per0134-0014,per0134-0015,per0134-0016,per0134-0017,per0134-0018,per0134-0019,per0134-0020,per0134-0021,per0134-0022,per0134-0023,per0134-0024,per0134-0025,per0134-0026,per0134-0027,per0134-0028,per0134-0029,per0134-0030,per0134-0031,per0134-0032,per0134-0033,per0134-0034,per0134-0035,per0134-0036,per0134-0037,per0134-0038,per0134-0039,per0134-0040,per0134-0041,per0134-0042,per0134-0043,per0134-0044
0,1986-04-19 14:36:16+00:00,,51.039227860153,40.34311383890232,55.21309355186791,,15.965525945790322,24.050724023689394,29.420383602170315,38.68601085819368,66.64879187515538,45.060911830974426,33.9071095320184,22.049810868053555,38.41616162202887,65.21236077231109,,,,43.432415943192865,47.93178567416884,38.729825753552376,,,65.3310966997295,63.820716941288275,49.867616022557165,,54.53636695506081,,,23.354029560944717,25.68969132725845,56.96957385722693,,,35.0030368975488,50.41522197290896,63.80749863329009,,,74.52679475945543,,92.48540533617735,63.09202338684708,104.13258860932046
1,1986-05-05 14:35:53+00:00,,30.673380755831133,23.17907691656617,21.784959459129794,,,,,26.38201523141386,26.955350540753912,26.020126806286335,14.416846531894562,10.044973618614833,20.12213529327989,23.54937152324932,,26.403068538516713,24.083021774351515,17.066016836918436,22.430237195996284,29.545039879965085,,,35.64265882724406,34.236681169391645,39.49410617756307,,21.748179177780017,11.938236208173599,17.369717147694683,10.828886905550899,12.805749988082868,20.535072965604535,,14.933120559270677,16.619017339709313,23.003655650605438,26.598645270690827,34.30407287726843,,40.73344539136735,,55.34495542170282,62.64564684009914,71.93494362607363
2,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-12-15 14:29:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1987-02-01 14:31:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987-02-08 14:37:40+00:00,126.73913800072391,75.76809580873405,67.62019284440585,93.1429226840686,60.24137824813769,33.60599824393976,38.788690992244426,61.10443985901985,66.76961007841297,75.7793703039724,64.31507902993184,48.206299451510475,48.89241414937278,64.03352197252117,97.27916769139951,76.39408067590308,52.585767446976575,63.639715767847804,98.06983620778578,61.95942670299633,64.94010715163381,90.40117929437238,93.03766016269454,85.07083670492521,81.16807160018828,71.30149667892523,74.15318918601018,53.29728032099952,45.1096714327536,56.23068781942732,52.527438604502365,72.48968143729142,80.98012751467316,61.69946561615808,32.36565059933338,53.1850447500376,99.070153736557,63.45599857147829,52.14395954879457,96.6456505916248,75.35682097253361,87.0253387312637,92.42115746102913,102.02279962126623,96.49627657519162
9,1987-03-05 14:32:27+00:00,131.71135500568,85.10802221753565,62.020312114823085,83.5673437181354,65.79231974629825,31.98313840348204,49.13176921694283,59.95024369339707,62.41835051568423,65.79835674621297,75.98334256178089,66.74222095112214,43.46272020947843,64.11866274007065,82.06461157937456,75.34991078147901,48.23751360886169,44.085822687347445,73.12133817207022,48.930639990334505,77.03791714542449,82.20855048173154,79.12013865263222,86.78909887107501,76.46420050104054,75.05698129473835,64.58766165873456,47.83611406085656,34.42413416583025,71.05479180559676,57.45752783281723,76.43200540321202,76.12174384983183,66.61979560277724,38.953793421999904,63.93935253723888,75.00231285475734,68.0426771153264,55.98400285235033,75.83042989250758,81.91514473825731,88.39084440061163,,,
