,Transect id,Longitude - Origin,Latitude - Origin,Longitude - Seawards point,Latitude - Seawards point,Beach face slope,Lower bound,Upper bound
0,usa_CA_0143-0000,-121.20917372092008,35.64675183139562,-121.21229384965315,35.64413649414922,0.055,0.0515,0.0566
1,usa_CA_0143-0001,-121.20996492684432,35.647364559032795,-121.2130850489707,35.64474919873418,0.05,0.0478,0.0518
2,usa_CA_0143-0002,-121.21076252157036,35.647982194526335,-121.21386988986866,35.645356980700775,0.05,0.0482,0.0544
3,usa_CA_0143-0003,-121.21160841506688,35.648625672897175,-121.21461861988567,35.64592809710817,0.055,0.0493,0.0579
4,usa_CA_0143-0004,-121.21248841054214,35.649228231555284,-121.21541221185234,35.6464699368697,0.055,0.053,0.0624
5,usa_CA_0143-0005,-121.21338591361405,35.64984041358833,-121.21618832641278,35.647002137339236,0.055,0.051,0.0601
6,usa_CA_0143-0006,-121.21439298503,35.65043271911626,-121.21695086975987,35.64745026396206,0.05,0.0481,0.0582
7,usa_CA_0143-0007,-121.21538322678488,35.65093682469119,-121.21781930006553,35.64789014589354,0.05,0.0481,0.0584
8,usa_CA_0143-0008,-121.21641640489081,35.651458315571965,-121.21864482255691,35.64831262402735,0.055,0.0522,0.0591
9,usa_CA_0143-0009,-121.21760656446868,35.65192209447687,-121.21942543705262,35.64861563842906,0.06,0.0583,0.0654
10,usa_CA_0143-0010,-121.21844648707975,35.65215191503711,-121.22065457206638,35.64899719076963,0.035,0.0317,0.0354
11,usa_CA_0143-0011,-121.21907480819408,35.6525628338182,-121.2217561025171,35.64965042198029,0.05,0.0483,0.0509
12,usa_CA_0143-0012,-121.22027606718473,35.65321693413283,-121.22232764901135,35.64999649996426,0.05,0.0494,0.056
13,usa_CA_0143-0013,-121.22167065396988,35.65359846858409,-121.22303235323713,35.650159888871606,0.045,0.0437,0.0459
14,usa_CA_0143-0014,-121.22284954376138,35.65385592360074,-121.22398096833085,35.65036778896072,0.04,0.039,0.0406
15,usa_CA_0143-0015,-121.22451965409374,35.6540818019282,-121.22447649301432,35.65049981330707,0.06,0.0568,0.063
16,usa_CA_0143-0016,-121.22611394542079,35.65377726865363,-121.22503038225459,35.65032449015886,0.04,0.0395,0.0455
17,usa_CA_0143-0017,-121.22691822571086,35.65358368729214,-121.2263815426963,35.65003784043447,0.04,0.0364,0.0407
18,usa_CA_0143-0018,-121.22770605779706,35.65358768781931,-121.22774226621904,35.650004032862874,0.06,0.0547,0.0642
