dates,nzd0006-0000,nzd0006-0001,nzd0006-0002,nzd0006-0003,nzd0006-0004,nzd0006-0005,nzd0006-0006,nzd0006-0007,nzd0006-0008,nzd0006-0009,nzd0006-0010,nzd0006-0011,nzd0006-0012,nzd0006-0013,satname
1999-12-07 22:10:30+00:00,375.72,364.54,338.72,318.64,324.21,333.56,336.33,338.23,338.42,344.21,355.96,363.54,360.58,356.52,L7
2000-03-28 22:10:07+00:00,354.51,351.65,337.36,333.20,331.68,328.88,314.95,321.95,337.08,360.69,357.43,351.02,351.11,353.93,L7
2000-04-29 22:09:53+00:00,372.17,358.33,349.54,351.77,353.94,341.59,341.41,343.67,361.63,358.92,370.88,359.36,361.94,371.88,L7
2000-05-15 22:09:42+00:00,349.24,346.14,335.01,329.84,322.98,315.80,321.64,317.86,333.04,338.05,344.85,341.41,345.28,356.92,L7
2000-08-03 22:08:44+00:00,349.39,328.96,322.03,318.34,326.20,317.45,311.11,307.89,324.96,344.29,336.65,340.14,326.58,331.12,L7
2000-08-19 22:08:38+00:00,326.37,303.00,304.61,304.02,309.40,294.15,302.55,302.11,309.54,317.26,319.47,330.94,315.57,318.14,L7
2000-10-06 22:07:59+00:00,367.29,349.32,351.60,360.06,354.42,341.99,331.87,325.57,342.33,339.68,,366.71,358.12,366.18,L7
2001-04-16 22:07:42+00:00,358.62,350.33,328.48,325.54,320.41,329.08,329.16,333.65,328.09,332.52,333.13,343.03,347.88,345.63,L7
2001-05-18 22:07:26+00:00,,,,,,,,,,332.35,361.71,,386.45,369.18,L7
2001-06-03 22:07:16+00:00,,,,,,,,,317.48,323.63,341.53,345.23,346.72,327.36,L7
2001-06-19 22:07:05+00:00,354.92,347.34,327.66,323.91,322.06,316.44,307.52,314.62,323.22,327.12,342.81,344.53,348.39,344.25,L7
2002-01-29 22:06:21+00:00,342.84,334.36,315.17,317.15,323.34,324.70,327.15,314.32,316.67,329.43,337.48,341.08,350.03,354.74,L7
2002-03-18 22:06:22+00:00,366.35,351.30,338.52,342.91,334.30,341.37,335.93,332.98,336.61,345.25,348.81,365.54,369.27,356.63,L7
2002-04-03 22:06:21+00:00,361.33,357.21,334.01,336.84,327.41,336.66,323.32,323.96,334.97,341.72,346.00,365.21,357.56,359.81,L7
2002-07-24 22:05:50+00:00,366.78,353.95,326.51,321.69,336.37,337.94,329.02,329.99,333.44,343.72,350.94,371.66,386.01,379.57,L7
2002-11-13 22:05:30+00:00,383.11,,343.04,331.32,330.40,327.22,324.83,324.85,343.27,348.97,351.78,361.84,359.21,350.85,L7
2003-01-16 22:06:02+00:00,358.85,355.00,329.44,332.54,331.34,317.44,321.28,324.90,334.43,340.00,345.42,342.10,352.23,355.40,L7
2003-03-21 22:06:15+00:00,,,,,,,,,322.47,328.51,337.17,348.03,351.64,354.41,L7
2003-04-22 22:06:19+00:00,365.36,356.38,337.84,319.30,329.04,322.04,335.17,325.91,335.78,337.15,331.77,338.45,333.33,334.79,L7
2003-05-24 22:06:17+00:00,355.69,350.96,334.26,325.52,328.02,328.02,318.64,325.19,327.84,340.52,346.10,340.27,345.98,335.57,L7
2003-08-20 21:54:39+00:00,339.29,323.35,314.26,301.34,301.83,298.99,295.03,304.12,298.51,305.26,307.55,305.83,311.54,,L5
2004-01-19 22:06:35+00:00,349.60,342.00,332.50,325.48,324.46,309.94,319.25,319.18,324.60,335.29,346.85,353.89,355.68,348.21,L7
2004-04-08 22:06:49+00:00,368.45,357.54,341.06,334.82,333.24,334.02,321.92,297.43,313.27,318.27,,318.07,343.61,387.09,L7
2004-05-18 21:58:14+00:00,348.40,332.41,321.56,331.42,323.94,318.16,317.66,317.85,325.13,324.34,331.81,330.79,333.66,,L5
2004-06-11 22:06:38+00:00,,,,,,,,328.26,327.24,340.19,349.00,,,372.76,L7
2004-06-19 21:59:10+00:00,355.66,344.34,328.53,335.89,338.82,328.73,327.20,325.34,340.14,334.87,333.69,335.25,338.89,342.90,L5
2004-07-21 22:00:04+00:00,,,,,,,,,,331.18,333.96,347.90,358.28,359.08,L5
2004-07-29 22:06:27+00:00,,,,,,,,,,323.03,338.31,339.73,347.88,326.41,L7
2004-08-30 22:06:20+00:00,359.21,339.05,335.95,340.97,333.31,332.28,322.45,321.12,331.31,342.37,343.15,351.58,343.95,344.07,L7
2004-10-17 22:06:14+00:00,379.32,372.58,349.87,352.89,355.65,346.60,350.42,341.41,,,,,,,L7
2004-12-04 22:06:44+00:00,365.27,356.09,333.39,333.67,335.02,333.93,342.13,350.84,357.28,357.78,,,,,L7
2005-01-13 22:03:41+00:00,362.10,343.81,332.88,329.04,334.92,335.73,346.06,352.14,357.26,372.48,370.24,376.29,373.59,367.85,L5
2005-01-21 22:06:59+00:00,,,328.92,329.92,335.38,335.17,340.19,348.15,353.84,360.24,368.98,373.43,372.15,380.95,L7
2005-04-03 22:04:40+00:00,379.85,,330.31,330.51,331.39,328.94,331.14,339.33,362.07,360.37,363.75,374.68,372.54,381.13,L5
2005-06-06 22:05:05+00:00,362.48,352.97,341.07,342.63,344.28,332.79,327.55,328.02,338.80,351.67,354.10,369.53,370.81,384.76,L5
2005-06-14 22:07:02+00:00,330.07,311.92,314.68,303.93,299.04,296.40,286.10,285.02,296.19,311.28,311.21,,,,L7
2005-08-25 22:05:41+00:00,352.36,334.55,323.91,320.67,316.85,310.45,299.29,302.55,308.42,316.87,323.19,334.22,333.81,,L5
2005-09-02 22:06:46+00:00,357.53,332.56,328.56,335.54,329.88,319.70,315.09,316.77,318.12,327.97,341.71,339.99,333.88,,L7
2005-09-26 22:05:42+00:00,381.53,,346.50,359.50,370.89,362.01,,,352.12,346.86,369.26,366.73,351.54,376.00,L5
2005-11-13 22:05:57+00:00,348.88,338.89,339.38,339.32,347.49,332.36,312.21,311.25,283.82,292.91,319.84,,,,L5
2005-11-21 22:07:07+00:00,340.43,332.42,310.69,316.46,324.68,326.31,326.98,326.41,320.22,321.84,338.23,332.61,335.79,344.70,L7
2006-01-08 22:07:25+00:00,385.50,,348.94,353.42,352.97,346.30,342.63,341.32,348.11,361.43,368.97,371.02,389.75,392.11,L7
2006-05-08 22:09:38+00:00,363.98,362.03,333.39,333.62,334.15,319.26,324.68,325.52,347.82,346.39,362.70,354.98,364.54,376.70,L5
2006-05-16 22:07:40+00:00,,,,,,,,,,,,342.97,354.59,350.77,L7
2006-06-25 22:10:20+00:00,346.23,333.98,330.47,330.86,326.00,310.59,312.27,296.90,318.90,317.05,,331.03,341.21,340.60,L5
2006-07-03 22:07:28+00:00,,,,,,,,,307.68,317.55,,327.46,332.25,335.46,L7
2006-08-12 22:10:59+00:00,358.13,341.51,330.10,329.11,324.31,341.10,340.39,337.53,347.20,357.02,361.33,362.43,,,L5
2006-09-21 22:07:05+00:00,370.61,360.04,343.70,340.61,344.44,341.21,326.59,334.08,339.52,343.84,349.95,357.54,367.95,361.47,L7
2006-09-29 22:11:34+00:00,360.88,352.80,340.72,345.48,343.98,347.18,333.83,344.17,339.98,341.24,349.05,358.10,368.88,361.78,L5
2006-12-02 22:12:34+00:00,,,,,,,,316.13,317.01,332.50,356.84,346.10,,,L5
2006-12-10 22:07:44+00:00,381.65,372.55,366.84,368.91,370.50,362.40,364.04,358.80,366.23,368.22,376.30,389.32,395.16,395.67,L7
2007-03-16 22:08:07+00:00,369.57,373.24,359.02,357.92,361.05,343.51,342.86,347.44,354.52,370.08,377.77,379.19,,,L7
2007-04-17 22:08:06+00:00,357.88,347.26,342.63,344.23,349.62,351.83,350.07,347.93,350.40,351.56,362.69,374.15,371.46,388.59,L7
2007-05-03 22:08:02+00:00,372.86,367.60,350.70,352.94,354.19,352.91,352.50,347.62,351.84,360.01,378.99,391.94,396.12,404.75,L7
2007-07-22 22:07:45+00:00,,,,,,,,,328.87,328.72,335.72,347.76,353.32,354.85,L7
2007-09-24 22:07:22+00:00,,,,,,,,,,,358.24,351.24,379.36,371.63,L7
2007-10-10 22:07:19+00:00,363.10,356.48,338.60,336.53,340.36,348.09,340.51,327.90,333.55,344.95,355.37,369.43,376.13,390.55,L7
2007-11-27 22:07:48+00:00,341.78,329.43,321.72,324.83,330.87,320.58,316.50,314.27,324.91,335.25,340.61,,,,L7
2007-12-29 22:07:56+00:00,361.84,359.57,340.82,346.38,349.57,351.80,350.73,340.19,355.39,358.45,365.95,367.77,370.67,374.45,L7
2008-01-14 22:07:57+00:00,356.55,347.20,334.58,340.31,343.11,346.90,339.76,329.63,342.65,350.63,359.80,365.55,368.35,371.90,L7
2008-03-18 22:07:44+00:00,349.95,346.22,331.09,327.24,326.93,315.67,313.83,319.23,323.20,329.34,338.90,345.27,348.22,344.01,L7
2008-06-22 22:07:15+00:00,363.63,354.44,343.22,349.67,354.23,354.95,340.70,332.51,344.15,350.38,340.20,355.01,356.72,368.69,L7
2008-08-09 22:06:47+00:00,359.43,356.28,353.43,342.34,356.20,360.69,361.69,373.28,380.47,388.78,395.32,399.41,389.17,380.96,L7
