dates,satname,nzd0011-0000,nzd0011-0001,nzd0011-0002,nzd0011-0003,nzd0011-0004,nzd0011-0005,nzd0011-0006,nzd0011-0007,nzd0011-0008,nzd0011-0009,nzd0011-0010,nzd0011-0011,nzd0011-0012,nzd0011-0013,nzd0011-0014,nzd0011-0015,nzd0011-0016,nzd0011-0017,nzd0011-0018,nzd0011-0019,nzd0011-0020,nzd0011-0021,nzd0011-0022,nzd0011-0023,nzd0011-0024,nzd0011-0025,nzd0011-0026,nzd0011-0027,nzd0011-0028,nzd0011-0029,nzd0011-0030,nzd0011-0031,nzd0011-0032,nzd0011-0033,nzd0011-0034,nzd0011-0035,nzd0011-0036,nzd0011-0037,nzd0011-0038,nzd0011-0039,nzd0011-0040,nzd0011-0041,nzd0011-0042,nzd0011-0043,nzd0011-0044,nzd0011-0045,nzd0011-0046,nzd0011-0047,nzd0011-0048,nzd0011-0049,nzd0011-0050,nzd0011-0051,nzd0011-0052,nzd0011-0053,nzd0011-0054,nzd0011-0055,nzd0011-0056,nzd0011-0057,nzd0011-0058,nzd0011-0059,nzd0011-0060,nzd0011-0061,nzd0011-0062,nzd0011-0063,nzd0011-0064,nzd0011-0065,nzd0011-0066,nzd0011-0067,nzd0011-0068,nzd0011-0069,nzd0011-0070,nzd0011-0071,nzd0011-0072,nzd0011-0073,nzd0011-0074,nzd0011-0075,nzd0011-0076,nzd0011-0077,nzd0011-0078,nzd0011-0079,nzd0011-0080,nzd0011-0081,nzd0011-0082,nzd0011-0083,nzd0011-0084,nzd0011-0085,nzd0011-0086,nzd0011-0087,nzd0011-0088,nzd0011-0089,nzd0011-0090,nzd0011-0091,nzd0011-0092,nzd0011-0093,nzd0011-0094,nzd0011-0095
1999-12-07 22:10:30+00:00,L7,377.63,379.40,375.10,371.56,384.69,377.20,385.50,378.74,387.04,379.90,376.05,378.83,390.64,366.13,364.31,375.94,366.71,357.97,349.82,356.66,362.92,352.41,356.36,361.63,355.29,372.03,345.28,362.85,363.04,352.80,344.48,352.53,356.85,345.35,354.33,350.08,335.45,296.36,349.22,341.83,338.62,312.06,313.21,337.77,330.21,321.85,341.95,349.35,337.41,311.03,341.72,327.20,320.06,334.38,333.64,346.17,339.70,340.43,350.12,344.26,345.57,350.76,354.80,357.60,359.05,360.74,363.07,365.49,364.90,364.33,364.40,361.05,358.70,355.74,348.65,357.77,363.21,365.45,364.93,363.17,362.80,357.51,347.35,338.53,329.98,351.96,371.97,371.47,373.11,374.86,374.12,359.98,304.84,328.23,337.34,358.46
2000-04-29 22:09:53+00:00,L7,439.00,435.88,431.95,430.32,449.77,447.67,456.07,452.92,470.17,459.51,461.66,453.28,449.83,430.21,425.28,443.46,440.53,445.09,437.64,439.06,441.98,430.05,432.31,433.69,420.59,438.22,424.31,416.54,419.30,415.82,412.66,410.88,418.86,410.89,421.86,414.18,410.77,395.85,400.89,405.33,407.77,411.52,398.63,418.53,408.55,393.83,413.99,414.22,406.60,380.11,408.43,403.26,397.70,411.43,401.43,411.40,413.91,411.44,425.56,411.93,411.55,406.65,407.50,403.86,409.73,422.57,430.56,427.37,420.54,412.07,408.48,409.28,404.90,408.55,414.59,421.96,424.57,418.76,418.58,419.06,,,417.41,425.58,411.34,431.16,,420.36,432.79,434.69,,433.50,395.60,399.16,377.46,400.18
2000-05-15 22:09:42+00:00,L7,416.87,417.49,421.02,419.19,430.42,428.01,427.47,428.55,428.49,426.10,429.75,427.54,430.33,423.48,409.56,422.79,421.90,415.47,409.81,413.66,415.30,403.88,410.73,418.99,399.81,399.69,402.94,406.62,409.30,402.81,393.02,398.83,397.34,395.98,399.19,399.43,395.17,380.67,389.69,391.92,389.58,381.56,385.62,386.66,367.95,380.47,384.50,390.70,386.33,368.23,379.08,375.80,376.04,384.29,385.10,388.06,389.66,390.63,394.48,398.23,395.79,395.67,397.96,395.85,396.28,404.98,413.63,414.38,411.63,404.77,402.21,400.45,403.96,405.57,400.66,399.29,401.92,405.89,403.44,401.26,400.79,403.96,403.34,408.56,401.34,418.06,421.59,425.02,426.20,422.68,419.63,418.08,386.45,379.43,374.46,391.74
2000-08-19 22:08:38+00:00,L7,400.07,395.70,391.94,391.25,401.58,405.91,408.01,399.07,404.62,402.65,409.46,404.25,411.40,395.07,383.57,401.15,402.12,398.49,384.10,384.56,383.35,370.82,365.04,372.89,377.83,378.59,379.93,385.86,386.01,380.58,374.53,377.96,382.77,379.62,382.17,378.02,367.00,358.75,364.56,364.63,358.81,341.58,351.75,362.77,352.78,358.15,366.83,368.49,363.82,350.41,360.00,353.54,350.46,364.37,360.14,366.30,363.11,358.40,356.13,362.73,366.09,376.84,377.66,372.31,377.08,381.90,384.75,391.66,390.41,390.85,391.30,392.35,386.49,376.22,365.19,375.42,379.23,387.56,388.30,385.06,384.42,386.21,376.47,378.77,374.96,387.82,398.38,403.57,404.64,404.38,403.37,398.92,358.77,355.69,357.88,373.89
2000-09-20 22:08:03+00:00,L7,441.39,442.17,443.21,428.65,431.76,427.97,436.29,436.09,446.68,436.17,442.09,433.94,441.68,435.54,411.27,438.34,435.27,435.43,423.47,414.94,412.59,406.59,407.23,411.75,403.24,414.82,400.88,411.69,416.39,411.97,411.94,413.34,416.52,410.48,424.36,422.81,420.36,405.53,400.14,404.30,400.50,384.49,389.17,397.36,389.29,380.41,395.84,398.35,406.87,380.15,404.48,400.89,392.38,399.77,394.64,402.43,394.67,398.82,399.27,405.01,405.12,399.22,406.51,403.89,399.09,415.06,425.80,421.99,422.37,423.03,412.98,412.94,410.15,395.49,396.92,395.99,401.25,406.95,408.89,411.72,411.69,406.58,405.12,399.70,420.84,426.51,429.42,423.31,432.55,428.41,425.13,419.87,385.68,380.26,376.15,407.60
2000-10-06 22:07:59+00:00,L7,448.20,447.72,448.83,440.78,445.66,439.37,448.47,443.22,453.16,446.36,451.49,447.35,456.39,447.04,426.64,449.33,438.32,439.76,440.89,440.97,449.42,430.02,424.22,418.82,406.99,421.65,413.56,414.74,418.64,418.21,414.34,420.45,428.07,421.02,429.21,427.92,426.27,421.20,412.75,413.35,407.52,396.28,395.63,413.59,410.15,403.79,415.63,418.48,417.91,389.53,419.64,409.51,410.63,419.48,408.07,409.32,408.66,404.21,407.54,403.60,401.22,401.83,406.25,408.00,416.69,424.28,431.87,431.20,427.91,425.27,435.10,432.43,424.48,418.69,412.33,408.98,408.51,417.44,417.50,427.84,428.73,419.26,413.67,422.51,422.72,431.58,435.14,434.53,434.45,434.72,435.69,431.26,402.18,396.77,388.18,410.39
2000-10-22 22:07:50+00:00,L7,441.58,440.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.92,413.96,414.86,417.57,412.79,393.68,,,,,,,,,,,393.52,370.89,398.90,397.20,386.55,405.09,401.64,407.59,401.82,400.69,406.71,416.34,416.61,415.27,407.25,398.24,400.02,410.96,418.81,423.92,427.04,429.68,420.66,419.28,413.12,410.53,414.09,419.05,416.42,428.02,421.62,422.40,419.59,417.47,412.70,419.44,,421.67,424.78,431.91,444.15,440.15,444.35,451.08,,395.75,373.92,396.55
2001-01-26 22:08:07+00:00,L7,407.71,400.92,396.58,381.76,399.02,393.46,396.23,389.63,406.14,396.30,402.18,398.23,400.60,385.02,364.17,395.76,393.50,385.87,374.29,393.99,389.44,371.83,377.46,381.58,364.93,375.61,365.68,378.73,381.01,370.44,369.14,373.59,374.96,368.70,377.97,371.84,363.24,361.84,349.38,362.47,369.29,334.78,349.25,369.22,351.48,345.14,361.26,364.22,354.33,334.40,360.63,354.65,346.07,352.78,347.66,360.38,356.53,359.76,367.33,365.71,367.42,371.52,376.59,376.48,377.84,378.96,381.35,386.23,387.73,390.02,385.80,384.64,381.41,376.62,361.37,379.72,380.80,382.02,385.63,382.97,381.33,372.64,367.85,361.83,352.77,380.56,389.52,396.42,395.87,399.56,400.85,395.12,345.37,351.93,346.31,365.25
2001-06-03 22:07:16+00:00,L7,422.25,423.68,418.63,421.76,433.62,424.70,429.85,425.21,428.17,416.61,419.88,418.96,420.98,415.72,410.17,412.86,408.30,400.65,391.52,393.20,399.24,388.91,388.25,398.60,385.53,397.85,394.20,402.05,402.66,395.68,394.51,397.22,401.10,393.60,399.20,401.11,389.12,376.24,381.06,381.30,385.34,378.04,383.66,392.47,375.80,386.14,388.64,385.94,372.71,354.79,378.49,372.92,378.58,382.65,381.79,387.51,384.63,385.02,388.43,390.33,389.88,399.02,405.02,407.76,405.84,402.72,403.30,406.32,401.76,396.27,399.29,404.19,399.52,394.96,380.64,391.04,396.86,409.23,410.82,414.87,410.00,407.85,402.01,399.75,403.24,,,,428.66,432.85,429.19,437.75,402.69,379.75,370.63,389.53
2001-09-07 22:06:11+00:00,L7,407.87,410.76,415.54,408.41,418.63,421.02,420.61,423.58,426.93,420.79,421.15,414.93,417.14,400.71,394.72,406.56,408.02,407.68,405.02,403.80,400.95,391.50,384.31,395.82,386.81,389.79,391.12,394.55,401.69,402.11,397.42,404.50,401.45,399.63,399.42,393.82,387.96,377.00,383.98,387.06,388.53,367.78,374.36,374.58,375.78,380.66,387.33,390.98,386.64,360.48,380.99,375.89,378.94,378.01,374.84,384.72,381.12,380.97,376.10,376.20,379.25,386.81,392.36,396.70,392.20,391.62,392.65,396.11,398.18,399.68,405.80,405.33,406.23,403.06,396.17,393.23,390.14,395.21,398.22,400.68,400.83,395.33,394.63,395.27,400.10,407.21,408.40,405.50,406.64,411.99,417.42,411.17,369.78,372.75,373.88,391.57
