dates,nzd0014-0000,nzd0014-0001,satname
1999-08-17 22:10:26+00:00,373.35,,L7
1999-10-04 22:10:38+00:00,376.27,,L7
2000-03-28 22:10:07+00:00,375.90,,L7
2000-05-15 22:09:42+00:00,378.78,,L7
2000-08-03 22:08:44+00:00,375.76,,L7
2000-09-20 22:08:03+00:00,375.42,,L7
2000-10-06 22:07:59+00:00,376.11,,L7
2000-10-22 22:07:50+00:00,376.94,,L7
2001-01-26 22:08:07+00:00,375.80,476.50,L7
2001-02-27 22:07:54+00:00,376.67,464.45,L7
2001-05-18 22:07:26+00:00,370.14,464.45,L7
2001-09-07 22:06:11+00:00,363.14,476.36,L7
2001-09-23 22:06:03+00:00,367.70,476.36,L7
2001-11-26 22:06:09+00:00,369.11,476.36,L7
2001-12-12 22:06:14+00:00,366.18,476.36,L7
2001-12-28 22:06:14+00:00,364.88,476.36,L7
2002-02-14 22:06:29+00:00,364.15,465.38,L7
2002-03-18 22:06:22+00:00,366.23,456.10,L7
2002-07-24 22:05:50+00:00,373.21,443.36,L7
2002-12-31 22:05:56+00:00,370.50,417.89,L7
2003-10-31 22:06:00+00:00,374.08,389.48,L7
2004-02-04 22:06:41+00:00,374.08,398.45,L7
2004-03-07 22:06:48+00:00,374.77,420.04,L7
2004-03-23 22:06:52+00:00,378.31,435.80,L7
2004-04-08 22:06:49+00:00,379.23,446.68,L7
2004-05-18 21:58:14+00:00,379.75,460.98,L5
2004-07-13 22:06:34+00:00,378.14,460.98,L7
2004-08-30 22:06:20+00:00,378.19,467.69,L7
2004-11-02 22:06:28+00:00,368.92,421.88,L7
2004-11-18 22:06:34+00:00,368.87,422.82,L7
2004-12-04 22:06:44+00:00,366.48,422.82,L7
2005-01-13 22:03:41+00:00,369.81,422.82,L5
2005-02-06 22:07:07+00:00,369.73,422.82,L7
2005-02-14 22:04:09+00:00,370.02,421.49,L5
2005-04-03 22:04:40+00:00,371.32,417.23,L5
2005-04-19 22:04:43+00:00,372.69,417.23,L5
2005-06-06 22:05:05+00:00,380.36,410.63,L5
2005-06-30 22:06:59+00:00,378.54,410.63,L7
2005-07-24 22:05:27+00:00,378.33,410.63,L5
2005-08-01 22:06:59+00:00,379.30,410.63,L7
2005-09-02 22:06:46+00:00,380.89,392.07,L7
2005-09-18 22:06:39+00:00,379.05,392.07,L7
2005-09-26 22:05:42+00:00,379.87,392.07,L5
2006-02-01 22:07:49+00:00,369.11,380.37,L5
2006-02-09 22:07:38+00:00,370.04,372.29,L7
2006-02-17 22:08:11+00:00,370.05,372.29,L5
2006-04-14 22:07:36+00:00,365.66,364.21,L7
2006-05-08 22:09:38+00:00,368.92,350.36,L5
2006-06-17 22:07:34+00:00,368.92,367.45,L7
2006-06-25 22:10:20+00:00,370.79,384.61,L5
2006-07-19 22:07:20+00:00,370.70,384.61,L7
2006-07-27 22:10:47+00:00,373.06,398.96,L5
2006-08-12 22:10:59+00:00,378.18,423.49,L5
2006-11-24 22:07:37+00:00,379.13,445.51,L7
2006-12-10 22:07:44+00:00,379.11,442.44,L7
2007-02-12 22:08:00+00:00,368.95,436.86,L7
2007-05-03 22:08:02+00:00,372.44,438.84,L7
2007-07-22 22:07:45+00:00,371.80,442.80,L7
2007-10-02 22:10:31+00:00,375.15,427.62,L5
2007-10-10 22:07:19+00:00,374.67,420.96,L7
2007-11-27 22:07:48+00:00,370.44,410.04,L7
2007-12-29 22:07:56+00:00,367.99,413.04,L7
2008-06-22 22:07:15+00:00,358.16,431.58,L7
2008-08-25 22:06:40+00:00,373.86,444.11,L7
2008-09-26 22:06:23+00:00,372.02,444.11,L7
2008-11-13 22:06:43+00:00,372.02,432.92,L7
2008-11-21 22:01:05+00:00,367.42,432.92,L5
2008-12-15 22:07:05+00:00,366.58,432.92,L7
2009-01-24 22:02:55+00:00,368.45,416.12,L5
2009-03-21 22:07:47+00:00,368.97,416.12,L7
2009-05-08 22:08:01+00:00,370.01,416.12,L7
2009-06-09 22:08:01+00:00,372.96,422.00,L7
2009-09-29 22:07:43+00:00,369.49,433.50,L7
2009-10-15 22:07:44+00:00,363.49,433.50,L7
2010-01-27 22:08:26+00:00,363.92,,L5
2010-02-12 22:08:30+00:00,367.28,406.22,L5
2010-03-24 22:09:46+00:00,368.39,406.22,L7
2010-05-27 22:09:43+00:00,375.63,401.24,L7
2010-06-12 22:09:43+00:00,375.86,401.24,L7
2010-10-02 22:09:49+00:00,387.35,396.25,L7
2010-11-03 22:10:09+00:00,374.21,396.25,L7
2010-12-05 22:10:32+00:00,374.99,426.42,L7
2011-01-14 22:07:31+00:00,372.07,426.42,L5
2011-02-07 22:11:00+00:00,370.42,437.37,L7
2011-02-15 22:07:34+00:00,370.59,437.37,L5
2011-02-23 22:11:05+00:00,369.47,432.47,L7
2011-03-11 22:11:09+00:00,368.98,429.16,L7
2011-05-30 22:11:11+00:00,368.28,429.16,L7
2011-07-17 22:11:06+00:00,370.15,430.07,L7
2011-09-11 22:06:09+00:00,377.35,390.58,L5
2011-09-19 22:10:52+00:00,377.71,397.64,L7
2011-10-21 22:10:56+00:00,375.67,397.64,L7
2012-02-10 22:11:42+00:00,371.10,397.64,L7
2012-03-13 22:11:42+00:00,366.99,413.12,L7
