dates,nzd0045-0000,nzd0045-0001,nzd0045-0002,nzd0045-0003,nzd0045-0004,nzd0045-0005,nzd0045-0006,nzd0045-0007,nzd0045-0008,nzd0045-0009,nzd0045-0010,nzd0045-0011,nzd0045-0012,satname
1999-08-17 22:10:26+00:00,396.09,408.40,397.02,397.90,394.74,396.77,394.55,390.81,396.76,386.16,375.57,,,L7
1999-09-27 22:04:25+00:00,402.42,412.81,401.54,400.77,397.28,398.06,395.91,392.31,398.47,387.40,376.74,373.52,362.93,L7
1999-10-04 22:10:38+00:00,402.99,412.27,401.41,399.81,396.65,398.28,397.36,396.01,401.53,390.19,381.96,387.56,376.86,L7
1999-11-14 22:04:18+00:00,403.57,413.63,403.33,400.09,396.13,397.24,397.06,396.78,400.64,390.31,382.27,386.95,377.69,L7
2000-02-09 22:10:19+00:00,404.45,415.34,404.33,401.66,397.59,398.05,397.96,398.62,401.95,391.53,383.45,388.35,380.61,L7
2000-04-13 22:09:54+00:00,408.19,417.94,406.94,402.58,398.95,399.93,400.25,402.85,404.40,393.10,386.52,389.03,390.45,L7
2000-04-29 22:09:53+00:00,408.65,418.21,406.14,402.40,398.73,400.56,401.20,401.89,404.97,391.18,384.98,387.64,388.38,L7
2000-05-15 22:09:42+00:00,406.56,415.02,402.02,399.36,400.11,399.35,399.94,402.83,404.13,389.04,381.90,388.29,391.39,L7
2000-05-24 22:03:22+00:00,406.56,416.06,403.27,399.44,399.18,399.26,399.48,402.31,404.20,389.16,381.78,388.55,389.76,L7
2000-06-16 22:09:26+00:00,407.33,415.53,403.99,399.59,399.47,399.72,399.27,400.82,403.93,388.89,383.76,390.61,389.32,L7
2000-08-03 22:08:44+00:00,409.41,416.75,405.26,401.06,400.45,400.16,399.70,401.28,404.13,390.01,383.42,390.52,388.06,L7
2000-08-12 22:02:30+00:00,406.99,413.30,401.52,398.41,398.23,398.59,398.09,397.92,401.39,387.34,379.12,386.42,385.67,L7
2000-09-04 22:08:22+00:00,403.73,410.47,398.49,395.97,396.43,396.49,395.77,395.02,398.42,384.97,375.53,382.95,382.16,L7
2001-01-03 22:01:48+00:00,398.64,406.92,394.15,394.85,395.66,394.89,394.89,391.56,392.93,382.72,366.96,377.85,378.90,L7
2001-01-26 22:08:07+00:00,399.95,408.88,396.09,396.56,396.55,396.03,396.32,393.68,395.48,384.58,370.14,380.66,381.87,L7
2001-02-11 22:08:01+00:00,395.61,408.43,394.28,392.97,393.23,395.18,395.72,393.77,395.57,383.53,370.41,381.33,385.38,L7
2001-03-24 22:01:35+00:00,406.33,415.46,399.90,398.02,395.75,398.73,399.87,397.91,400.51,387.67,376.20,384.62,389.50,L7
2001-06-03 22:07:16+00:00,406.03,414.13,400.28,397.98,395.63,397.79,399.15,397.38,400.19,387.35,373.72,380.61,386.54,L7
2001-06-19 22:07:05+00:00,406.57,413.73,399.99,397.05,394.71,396.99,397.87,396.42,399.66,385.89,371.74,377.61,384.33,L7
2001-08-15 22:00:14+00:00,406.60,411.71,399.32,395.96,392.80,393.81,394.32,392.86,395.69,380.36,364.51,366.74,374.22,L7
2001-08-31 22:00:05+00:00,403.91,409.61,396.35,392.25,390.21,391.48,391.11,389.53,392.42,376.93,362.78,365.73,371.57,L7
2001-12-05 21:59:55+00:00,400.46,406.82,393.41,388.12,386.45,388.92,388.00,385.86,387.75,371.38,360.97,365.25,368.39,L7
2001-12-21 22:00:05+00:00,400.34,409.02,395.68,390.77,388.02,389.39,388.52,385.29,386.20,371.33,363.52,369.75,368.36,L7
2002-01-22 22:00:16+00:00,399.31,410.60,397.96,393.38,390.72,391.89,391.13,387.71,389.26,373.76,365.75,374.30,374.56,L7
2002-02-14 22:06:29+00:00,401.54,413.54,401.36,395.42,393.33,393.76,392.73,389.48,391.97,376.62,370.84,378.49,375.37,L7
2002-03-27 22:00:13+00:00,405.10,415.36,404.42,399.68,395.98,394.58,394.79,392.05,394.28,379.31,373.07,380.41,377.32,L7
2002-06-15 21:59:55+00:00,402.96,411.94,400.68,396.80,395.27,392.99,392.18,389.39,392.07,377.63,372.94,379.91,374.48,L7
2002-06-22 22:06:03+00:00,400.50,409.39,398.98,395.69,393.03,391.76,390.73,388.72,392.54,377.61,375.25,382.47,375.47,L7
2002-07-01 21:59:51+00:00,398.66,407.22,396.83,393.82,390.71,389.83,388.33,386.36,389.99,375.19,373.13,381.26,373.15,L7
2002-07-08 22:06:00+00:00,397.52,407.01,396.95,394.45,390.61,390.27,388.73,386.42,389.84,376.11,373.54,381.75,374.44,L7
2002-07-17 21:59:44+00:00,397.85,407.25,397.38,394.80,391.05,390.80,389.63,386.45,389.42,376.47,375.26,385.05,377.70,L7
2002-07-24 22:05:50+00:00,397.79,406.37,396.48,393.07,388.66,388.33,386.75,384.90,386.15,375.46,375.34,383.98,374.09,L7
2002-10-12 22:05:14+00:00,394.50,404.26,394.93,392.67,387.07,388.19,385.42,383.61,384.97,376.13,377.63,389.13,377.57,L7
2002-10-28 22:05:22+00:00,394.84,404.66,395.46,393.51,388.23,389.35,386.68,385.72,386.51,377.52,379.99,391.54,380.34,L7
2002-11-13 22:05:30+00:00,394.61,404.90,396.38,394.50,389.36,390.73,388.38,387.56,388.25,379.23,381.53,393.33,382.96,L7
2002-11-22 21:59:33+00:00,395.57,405.88,397.15,395.94,390.62,392.13,389.80,389.05,389.74,380.43,383.50,395.15,384.57,L7
2003-02-01 22:06:10+00:00,396.08,407.67,400.58,400.74,397.28,399.15,396.26,396.04,396.49,387.58,391.43,403.92,396.38,L7
2003-04-06 22:06:21+00:00,398.12,408.85,400.66,399.34,396.40,397.24,394.93,395.07,396.25,387.47,390.69,400.71,394.00,L7
2003-04-22 22:06:19+00:00,400.65,411.31,402.08,399.17,395.72,396.44,394.62,394.66,396.41,385.90,387.35,394.32,389.17,L7
2003-05-08 22:06:20+00:00,403.93,413.44,403.55,399.78,395.91,396.91,394.85,394.46,396.61,385.96,384.81,389.55,385.78,L7
2003-05-24 22:06:17+00:00,406.80,413.87,402.72,396.47,392.88,391.85,389.63,390.50,393.62,382.95,377.44,377.46,378.18,L7
2003-07-28 21:48:04+00:00,405.21,412.40,401.77,395.24,392.47,391.91,388.74,389.59,392.60,381.62,375.26,375.14,374.86,L5
2003-08-29 21:48:38+00:00,409.22,415.31,404.21,398.31,394.74,394.07,391.99,392.89,395.94,382.77,375.74,372.69,369.89,L5
2003-09-05 21:54:56+00:00,405.61,413.42,403.03,397.82,394.19,393.91,391.10,391.56,394.70,381.04,374.17,372.72,371.44,L5
2003-10-23 21:55:36+00:00,404.16,411.55,402.29,397.87,395.12,395.50,393.02,392.88,395.86,379.88,371.52,370.30,368.86,L5
2003-10-31 22:06:00+00:00,404.16,411.55,402.29,397.87,395.12,393.82,392.10,391.89,394.75,379.39,371.72,371.39,368.39,L7
2003-11-09 21:59:54+00:00,401.14,410.74,401.51,397.61,395.78,394.52,392.41,392.43,395.32,380.38,370.52,370.39,367.01,L7
2003-11-16 22:06:11+00:00,401.14,410.74,401.51,398.16,396.54,395.33,393.48,393.30,395.83,381.29,372.37,373.45,369.74,L7
