dates,satname,nzd0093-0000,nzd0093-0001,nzd0093-0002,nzd0093-0003,nzd0093-0004,nzd0093-0005,nzd0093-0006,nzd0093-0007
1999-09-27 22:04:48+00:00,L7,374.35,374.39,365.07,352.80,360.89,355.78,359.52,365.40
1999-11-14 22:04:42+00:00,L7,373.54,377.23,371.48,363.21,361.57,357.00,365.49,369.13
1999-11-30 22:04:35+00:00,L7,458.44,374.86,370.55,358.45,358.46,355.35,354.50,366.77
2000-01-17 22:04:35+00:00,L7,462.08,378.94,373.71,367.77,363.68,359.15,367.12,374.35
2000-07-11 22:03:17+00:00,L7,464.02,384.17,371.92,360.29,351.02,352.12,361.60,
2000-09-13 22:02:26+00:00,L7,373.05,377.03,362.73,359.25,358.17,356.11,356.55,368.07
2000-10-15 22:01:56+00:00,L7,365.36,353.99,356.92,349.07,355.28,,,365.92
2001-01-03 22:02:12+00:00,L7,466.45,366.66,367.44,362.00,362.35,357.94,367.31,372.51
2001-06-12 22:01:24+00:00,L7,387.05,365.47,364.78,351.92,332.61,,,360.99
2001-06-28 22:01:09+00:00,L7,469.44,377.45,372.58,362.43,345.69,,,374.58
2001-08-15 22:00:38+00:00,L7,478.05,385.32,382.52,375.06,364.22,363.11,,
2001-10-18 22:00:06+00:00,L7,358.70,364.81,358.18,351.56,347.99,350.47,,
2001-11-03 22:00:10+00:00,L7,358.74,364.85,363.28,351.25,354.74,344.24,349.85,356.16
2002-01-22 22:00:40+00:00,L7,456.18,378.50,375.19,359.28,362.60,358.25,365.29,374.82
2002-03-27 22:00:37+00:00,L7,422.77,374.46,363.93,358.22,348.49,353.14,364.07,368.84
2002-04-28 22:00:38+00:00,L7,365.50,364.61,347.52,336.09,331.53,337.04,351.54,354.47
2002-06-15 22:00:19+00:00,L7,382.20,371.35,364.11,354.85,342.60,355.72,366.72,368.23
2002-07-17 22:00:08+00:00,L7,472.26,380.91,377.50,373.15,354.46,360.93,377.38,381.60
2002-08-02 22:00:01+00:00,L7,,,,,,,,
2002-08-18 21:59:57+00:00,L7,478.72,391.00,385.66,375.92,368.80,365.52,375.80,374.43
2002-11-22 21:59:57+00:00,L7,360.51,371.28,369.48,356.71,360.93,353.15,352.26,361.75
2002-12-24 22:00:09+00:00,L7,365.75,371.84,366.76,365.85,358.07,355.78,356.84,365.63
2003-02-10 22:00:29+00:00,L7,423.87,378.33,373.00,358.12,361.57,356.66,363.32,369.18
2003-08-05 22:00:11+00:00,L7,460.24,372.08,362.44,,,,361.43,356.73
2003-09-14 21:49:18+00:00,L5,,,,365.51,352.07,357.16,359.25,368.42
2003-09-30 21:49:30+00:00,L5,357.92,360.91,360.49,355.79,345.90,353.62,364.73,365.21
2003-11-09 22:00:18+00:00,L7,361.63,360.40,367.22,356.09,361.39,356.49,357.01,365.66
2003-12-03 21:50:19+00:00,L5,495.66,401.05,394.00,378.84,377.49,375.09,370.93,379.34
2003-12-19 21:50:27+00:00,L5,480.52,379.91,375.42,369.80,363.62,360.38,368.86,369.71
2004-04-01 22:01:04+00:00,L7,473.20,383.49,378.56,377.51,372.94,364.53,377.92,376.27
2004-04-25 21:51:47+00:00,L5,373.74,374.91,375.04,361.79,362.76,351.99,359.90,365.30
2004-06-20 22:00:50+00:00,L7,363.81,354.49,355.72,342.08,331.50,342.70,350.80,358.64
2004-07-06 22:00:48+00:00,L7,362.23,358.33,367.50,351.77,340.67,,,362.01
2004-07-22 22:00:44+00:00,L7,,357.19,357.49,344.46,329.62,332.93,354.97,354.66
2004-07-30 21:54:28+00:00,L5,475.30,385.36,382.22,374.11,360.87,361.29,370.68,378.07
2004-11-11 22:00:45+00:00,L7,457.25,379.33,372.93,364.74,358.93,353.88,360.60,365.97
2004-11-19 21:56:55+00:00,L5,390.68,392.03,384.96,371.04,364.94,361.85,368.10,373.11
2004-12-21 21:57:36+00:00,L5,464.20,378.52,374.36,372.77,366.46,362.63,373.39,371.92
2005-01-14 22:01:13+00:00,L7,,380.00,377.77,360.23,362.85,356.10,356.97,365.82
2005-02-15 22:01:25+00:00,L7,467.59,380.12,373.31,370.10,363.06,359.15,367.10,370.12
2005-02-23 21:58:31+00:00,L5,377.34,377.47,368.59,355.03,355.23,346.21,357.25,363.71
2005-03-03 22:01:30+00:00,L7,437.59,378.93,372.35,371.80,363.81,359.38,370.16,369.64
2005-03-11 21:58:44+00:00,L5,373.00,377.27,352.52,314.89,310.27,,,
2005-04-20 22:01:20+00:00,L7,,,,,,363.28,378.93,377.83
2005-07-09 22:01:14+00:00,L7,,,356.86,349.63,337.89,353.99,357.03,
2005-07-17 21:59:35+00:00,L5,477.81,390.83,384.02,373.67,354.69,357.53,369.45,369.14
2005-07-25 22:01:13+00:00,L7,345.37,357.47,354.21,349.56,349.98,353.27,361.22,361.28
2005-08-10 22:01:10+00:00,L7,,,357.32,347.95,336.33,338.70,352.29,
2005-10-05 21:59:53+00:00,L5,363.43,371.17,366.04,356.08,358.38,352.27,358.38,365.63
2005-10-13 22:00:54+00:00,L7,470.96,388.91,385.78,375.88,364.93,361.91,368.14,377.00
2005-11-14 22:01:17+00:00,L7,469.58,,,,,,,
2005-11-30 22:01:24+00:00,L7,370.18,366.40,359.07,343.63,328.17,344.84,354.95,358.14
2006-03-22 22:01:54+00:00,L7,,370.57,361.71,356.94,355.95,359.18,367.87,368.49
2006-05-17 22:03:57+00:00,L5,364.79,364.67,366.17,353.63,338.44,350.07,363.69,356.31
2006-06-10 22:01:49+00:00,L7,460.10,375.85,,,,,,351.85
2006-07-28 22:01:30+00:00,L7,373.67,,,,,,,
2006-08-13 22:01:29+00:00,L7,351.69,363.47,362.23,356.31,351.27,358.11,358.35,359.07
2006-08-29 22:01:26+00:00,L7,341.06,,,,,353.95,345.73,369.38
2006-09-14 22:01:21+00:00,L7,453.25,,370.37,366.09,360.42,357.91,,
2006-11-25 22:06:19+00:00,L5,438.29,423.63,404.45,379.28,363.59,351.07,347.36,352.56
2006-12-11 22:06:28+00:00,L5,526.53,,461.56,,364.03,347.28,323.41,310.21
2007-01-04 22:02:01+00:00,L7,372.22,371.47,368.10,354.29,355.98,348.84,350.66,357.39
2007-02-13 22:06:47+00:00,L5,472.24,380.27,375.35,368.88,361.94,361.96,371.42,370.23
2007-05-12 22:02:11+00:00,L7,479.59,389.04,383.84,378.58,367.72,367.41,378.24,378.35
2007-05-28 22:02:04+00:00,L7,475.18,389.05,,,,,,380.26
