dates,nzd0109-0000,nzd0109-0001,nzd0109-0002,nzd0109-0003,nzd0109-0004,nzd0109-0005,nzd0109-0006,nzd0109-0007,nzd0109-0008,nzd0109-0009,nzd0109-0010,nzd0109-0011,nzd0109-0012,nzd0109-0013,nzd0109-0014,nzd0109-0015,nzd0109-0016,satname
1999-08-26 22:04:44+00:00,387.45,386.84,387.23,400.46,386.48,382.88,387.41,391.58,381.45,386.74,391.45,398.37,402.22,384.39,390.77,375.60,366.54,L7
1999-09-27 22:04:48+00:00,385.28,388.99,391.62,394.52,390.25,383.99,392.17,394.81,384.02,387.89,384.42,407.24,400.99,384.08,388.31,378.88,365.80,L7
1999-10-13 22:04:48+00:00,381.20,384.50,388.07,394.52,386.84,381.11,386.77,389.21,382.20,384.38,380.88,405.48,398.93,385.21,385.74,378.48,363.15,L7
1999-11-14 22:04:42+00:00,379.51,384.23,388.30,393.10,385.91,381.36,383.61,387.15,381.49,384.61,384.16,404.64,400.57,388.55,384.27,377.73,364.09,L7
2000-07-11 22:03:17+00:00,380.85,384.13,380.91,395.95,385.62,375.19,377.28,383.39,378.14,379.71,386.79,379.59,395.65,384.15,377.94,343.94,364.95,L7
2001-01-03 22:02:12+00:00,384.16,388.94,385.52,393.37,382.82,372.04,378.20,382.98,378.57,381.34,392.17,387.56,395.65,384.15,377.94,343.94,364.95,L7
2001-05-11 22:01:45+00:00,387.47,393.76,390.14,390.78,380.02,368.89,379.12,382.57,376.44,378.50,392.17,389.92,363.14,396.25,375.56,367.65,356.99,L7
2001-07-14 22:01:09+00:00,395.15,403.40,401.19,402.01,400.37,391.97,384.74,392.67,377.32,379.19,392.13,388.74,385.92,398.57,388.81,377.40,366.06,L7
2001-08-15 22:00:38+00:00,390.96,394.66,391.21,395.14,391.12,382.20,379.43,385.64,374.24,378.77,390.43,385.00,388.74,396.60,391.29,373.84,369.29,L7
2001-09-16 22:00:17+00:00,390.96,394.66,391.21,395.14,391.12,370.04,369.35,374.72,368.14,375.24,384.58,382.42,387.20,393.35,391.29,373.84,369.29,L7
2001-10-02 22:00:04+00:00,387.54,390.81,388.62,387.98,385.09,370.44,369.35,373.77,367.76,374.17,383.59,382.55,387.58,391.63,387.88,376.68,367.34,L7
2001-12-05 22:00:18+00:00,383.71,387.42,387.15,383.55,380.69,368.08,366.78,371.83,364.50,371.75,381.63,383.20,391.46,386.71,385.37,377.42,366.30,L7
2001-12-21 22:00:29+00:00,383.31,386.69,384.45,375.37,380.69,365.32,365.97,373.14,365.69,372.98,382.91,385.49,391.46,386.71,385.37,377.42,366.30,L7
2002-01-22 22:00:40+00:00,381.22,383.60,381.99,374.30,377.19,363.75,365.96,372.99,366.37,373.14,382.81,385.92,390.73,387.09,381.27,374.48,364.57,L7
