dates,nzd0120-0000,nzd0120-0001,nzd0120-0002,nzd0120-0003,nzd0120-0004,nzd0120-0005,nzd0120-0006,nzd0120-0007,nzd0120-0008,nzd0120-0009,nzd0120-0010,nzd0120-0011,nzd0120-0012,nzd0120-0013,nzd0120-0014,nzd0120-0015,nzd0120-0016,nzd0120-0017,nzd0120-0018,nzd0120-0019,nzd0120-0020,nzd0120-0021,nzd0120-0022,nzd0120-0023,nzd0120-0024,nzd0120-0025,nzd0120-0026,nzd0120-0027,nzd0120-0028,nzd0120-0029,nzd0120-0030,nzd0120-0031,nzd0120-0032,satname
1999-10-06 21:58:40+00:00,385.93,370.08,372.62,373.01,373.15,370.52,374.18,378.61,394.58,390.88,398.32,397.36,402.56,391.58,382.11,392.06,389.69,390.43,373.46,379.33,393.07,389.00,397.98,400.84,396.69,395.13,375.61,374.92,375.72,373.33,379.61,391.20,382.94,L7
1999-10-22 21:58:28+00:00,373.22,372.28,372.75,374.25,378.42,379.06,375.14,378.58,390.78,389.87,391.97,393.99,399.27,392.57,383.50,381.47,377.65,387.35,390.34,388.67,396.22,392.16,396.36,398.93,404.12,401.62,383.95,381.41,382.13,373.98,378.18,390.40,369.40,L7
1999-12-09 21:58:33+00:00,,,,358.04,368.98,379.27,362.90,367.76,369.63,394.67,395.94,401.82,400.68,400.06,395.40,379.93,380.90,398.28,403.98,402.41,400.83,395.42,399.19,401.72,404.71,406.99,394.86,375.16,378.14,370.66,379.92,388.30,378.96,L7
2000-03-14 21:58:11+00:00,,,374.78,371.46,365.14,379.84,367.19,368.35,377.78,387.59,402.93,394.29,388.72,381.44,377.91,376.38,395.08,395.59,,,,406.21,,,,,,378.18,383.70,382.34,395.06,403.37,390.07,L7
2000-12-27 21:56:05+00:00,346.22,347.58,338.77,335.62,343.79,358.67,354.25,371.99,376.24,383.50,384.47,358.11,361.93,369.42,359.78,355.47,357.03,359.42,337.87,347.36,367.20,374.86,386.47,398.98,,,,,,,,,,L7
2001-01-12 21:56:06+00:00,337.05,323.87,326.48,323.86,339.42,336.96,342.59,365.23,354.25,375.40,361.91,340.94,351.21,363.15,351.56,337.31,337.72,351.28,348.05,359.05,353.70,360.38,369.22,385.65,379.50,384.64,374.70,377.79,372.95,368.48,379.34,397.26,393.35,L7
2001-06-05 21:55:16+00:00,,,,,,,,,,,,,,,,,,356.18,348.50,350.39,,363.53,376.54,394.22,380.91,368.65,368.14,365.09,371.11,362.82,367.18,380.58,366.08,L7
2001-10-11 21:53:46+00:00,358.42,355.46,330.35,344.20,348.72,355.06,360.68,375.65,377.63,375.89,383.21,388.22,377.42,375.33,366.37,367.55,356.63,361.87,376.56,,,,,,,,,,,362.63,368.93,379.75,381.16,L7
2002-01-31 21:54:26+00:00,354.56,351.91,342.07,334.47,333.27,335.66,347.77,359.61,362.84,382.39,383.84,376.06,365.91,375.36,377.59,373.63,368.17,358.81,384.28,386.13,382.76,382.49,391.70,403.25,406.14,398.77,377.39,367.66,372.94,370.82,378.90,392.29,372.80,L7
2002-08-27 21:53:36+00:00,337.77,331.92,334.85,333.84,342.61,356.57,360.86,376.46,380.29,390.73,387.94,373.01,361.79,369.73,363.15,362.17,376.04,373.13,391.29,402.97,407.64,405.82,417.63,426.16,416.83,410.47,403.42,395.41,391.16,379.32,384.40,399.42,381.88,L7
2002-10-30 21:53:25+00:00,,,,,366.47,370.87,380.36,386.62,404.47,389.16,393.75,399.95,,384.94,394.61,389.20,395.10,402.35,402.77,398.74,402.38,402.60,418.36,409.43,405.88,401.82,400.69,405.66,403.80,395.13,399.53,408.83,,L7
2002-12-01 21:53:52+00:00,335.24,321.01,319.14,324.37,328.73,336.90,347.59,345.82,361.59,365.64,360.22,362.89,357.01,347.69,,364.34,368.09,363.40,,,,367.20,386.68,390.15,376.79,374.78,366.52,369.05,374.54,373.83,,,,L7
