dates,tide
1999-07-18 22:00:00+00:00,0.48
1999-08-26 22:00:00+00:00,-0.03
1999-09-27 22:00:00+00:00,1.03
1999-10-22 22:00:00+00:00,-0.73
1999-11-14 22:00:00+00:00,0.5
1999-12-25 22:00:00+00:00,1.4
2000-01-01 22:00:00+00:00,-0.65
2000-03-05 22:00:00+00:00,0.25
2000-03-14 22:00:00+00:00,-0.56
2000-03-30 22:00:00+00:00,-0.58
2000-04-15 22:00:00+00:00,-0.74
2000-05-17 22:00:00+00:00,-0.03
2000-05-24 22:00:00+00:00,0.29
2000-06-18 22:00:00+00:00,0.57
2000-07-20 22:00:00+00:00,0.73
2000-08-12 22:00:00+00:00,-0.58
2000-09-13 22:00:00+00:00,0.11
2000-10-15 22:00:00+00:00,0.97
2000-11-25 22:00:00+00:00,0.18
2000-12-02 22:00:00+00:00,0.42
2001-01-03 22:00:00+00:00,-0.18
2001-01-12 22:00:00+00:00,1.43
2001-02-13 22:00:00+00:00,0.66
2001-03-17 22:00:00+00:00,-0.29
2001-03-24 22:00:00+00:00,0.3
2001-05-20 22:00:00+00:00,-0.62
2001-06-05 22:00:00+00:00,-0.04
2001-06-12 22:00:00+00:00,0.18
2001-06-28 22:00:00+00:00,-0.39
2001-08-08 21:50:00+00:00,0.7
2001-09-09 21:50:00+00:00,0.34
2001-09-25 21:50:00+00:00,-0.48
2001-10-02 22:00:00+00:00,0.24
2001-10-11 21:50:00+00:00,-0.63
2001-10-18 22:00:00+00:00,1.0
2001-11-03 22:00:00+00:00,0.93
2001-11-28 21:50:00+00:00,-0.36
2001-12-05 22:00:00+00:00,1.0
2001-12-30 21:50:00+00:00,0.53
2002-01-06 22:00:00+00:00,-0.17
2002-01-22 22:00:00+00:00,-0.21
2002-01-31 21:50:00+00:00,1.4
2002-03-27 22:00:00+00:00,-0.23
2002-04-12 22:00:00+00:00,0.32
2002-05-23 21:50:00+00:00,-0.95
2002-06-15 22:00:00+00:00,0.73
2002-06-24 21:50:00+00:00,0.03
2002-07-01 22:00:00+00:00,0.09
2002-07-17 22:00:00+00:00,-0.31
2002-08-11 21:50:00+00:00,1.12
2002-08-18 22:00:00+00:00,-0.93
2002-08-27 21:50:00+00:00,0.72
2002-09-19 22:00:00+00:00,-0.42
2002-10-05 22:00:00+00:00,-0.38
2002-10-21 22:00:00+00:00,0.37
2002-12-24 22:00:00+00:00,0.96
2003-01-18 21:50:00+00:00,0.58
2003-01-25 22:00:00+00:00,-0.07
2003-03-23 21:50:00+00:00,0.58
2003-03-30 22:00:00+00:00,-0.25
2003-05-10 21:50:00+00:00,-0.56
2003-05-26 21:50:00+00:00,-0.76
2003-07-21 21:40:00+00:00,-0.4
2003-08-05 22:00:00+00:00,-0.19
2003-08-06 21:40:00+00:00,-0.74
2003-08-13 21:50:00+00:00,0.67
2003-08-30 21:50:00+00:00,1.09
2003-09-07 21:40:00+00:00,-0.8
2003-09-14 21:50:00+00:00,0.9
2003-10-25 21:40:00+00:00,0.37
2003-11-09 22:00:00+00:00,0.47
2003-11-17 21:50:00+00:00,-0.18
2003-11-18 21:50:00+00:00,-0.5
2003-12-04 21:50:00+00:00,-0.63
2003-12-12 21:40:00+00:00,0.93
2004-01-21 21:50:00+00:00,0.4
2004-02-13 22:00:00+00:00,0.04
2004-03-25 21:50:00+00:00,0.77
2004-04-18 21:50:00+00:00,0.08
2004-05-03 22:00:00+00:00,-0.39
2004-05-04 21:50:00+00:00,0.15
2004-05-12 21:50:00+00:00,-0.64
2004-05-20 21:50:00+00:00,0.58
2004-06-21 21:50:00+00:00,0.64
2004-06-29 21:50:00+00:00,-1.04
2004-07-06 22:00:00+00:00,0.86
2004-07-07 21:50:00+00:00,0.45
2004-07-23 21:50:00+00:00,0.38
2004-07-30 21:50:00+00:00,-0.5
2004-07-31 21:50:00+00:00,0.02
2004-08-16 21:50:00+00:00,0.35
2004-08-23 22:00:00+00:00,-0.07
2004-09-16 22:00:00+00:00,0.8
2004-09-25 21:50:00+00:00,-0.87
2004-10-02 22:00:00+00:00,0.98
2004-10-10 22:00:00+00:00,-0.69
2004-10-18 22:00:00+00:00,1.05
2004-11-03 22:00:00+00:00,0.44
2004-11-04 21:50:00+00:00,0.1
2004-11-11 22:00:00+00:00,-0.25
2004-11-19 22:00:00+00:00,-0.12
2005-01-14 22:00:00+00:00,1.17
2005-01-15 21:50:00+00:00,0.71
2005-01-22 22:00:00+00:00,-0.28
2005-02-16 21:50:00+00:00,-0.22
2005-02-23 22:00:00+00:00,0.32
2005-03-11 22:00:00+00:00,0.94
2005-03-27 22:00:00+00:00,0.82
2005-03-28 22:00:00+00:00,0.97
2005-04-05 21:50:00+00:00,-0.76
2005-04-13 22:00:00+00:00,0.73
2005-04-21 21:50:00+00:00,-0.48
2005-04-28 22:00:00+00:00,0.87
2005-04-29 22:00:00+00:00,0.58
2005-05-07 21:50:00+00:00,-0.01
2005-05-22 22:00:00+00:00,-0.41
2005-05-31 22:00:00+00:00,-0.62
2005-06-08 21:50:00+00:00,0.59
2005-07-09 22:00:00+00:00,0.68
2005-07-17 22:00:00+00:00,-0.93
2005-07-18 22:00:00+00:00,-1.0
2005-07-26 21:50:00+00:00,0.53
2005-08-19 21:50:00+00:00,0.03
2005-09-11 22:00:00+00:00,0.0
2005-09-20 21:50:00+00:00,1.15
2005-11-07 22:00:00+00:00,0.73
2005-11-14 22:00:00+00:00,-0.38
2005-11-22 22:00:00+00:00,0.38
2005-11-30 22:00:00+00:00,-0.12
2006-01-10 22:00:00+00:00,-0.61
2006-02-03 22:00:00+00:00,0.83
2006-02-11 22:00:00+00:00,0.03
2006-02-18 22:00:00+00:00,0.74
2006-02-19 22:00:00+00:00,0.53
2006-03-15 22:00:00+00:00,0.59
2006-04-08 22:00:00+00:00,-0.61
2006-05-02 22:00:00+00:00,0.65
2006-05-17 22:00:00+00:00,0.75
2006-05-26 22:00:00+00:00,-0.2
2006-06-02 22:00:00+00:00,0.16
2006-06-10 22:00:00+00:00,-0.36
2006-06-19 22:00:00+00:00,-0.58
2006-06-26 22:00:00+00:00,0.34
2006-07-05 22:00:00+00:00,-0.63
2006-07-13 22:00:00+00:00,0.94
2006-07-21 22:00:00+00:00,-0.93
2006-07-28 22:00:00+00:00,0.77
2006-08-21 22:10:00+00:00,-0.6
2006-08-22 22:00:00+00:00,-0.26
2006-08-29 22:00:00+00:00,0.58
2006-09-07 22:00:00+00:00,-0.07
2006-09-23 22:00:00+00:00,0.52
2006-10-16 22:00:00+00:00,-0.64
2006-10-25 22:00:00+00:00,0.91
2006-11-01 22:00:00+00:00,-0.89
2006-11-26 22:00:00+00:00,0.73
2006-12-11 22:10:00+00:00,0.4
2007-01-04 22:00:00+00:00,0.77
2007-01-29 22:00:00+00:00,-0.63
2007-02-13 22:10:00+00:00,-0.52
2007-03-02 22:00:00+00:00,0.03
2007-03-09 22:00:00+00:00,0.63
2007-03-18 22:00:00+00:00,0.08
2007-05-05 22:00:00+00:00,0.7
2007-05-12 22:00:00+00:00,-0.93
2007-05-28 22:00:00+00:00,-0.7
2007-06-22 22:00:00+00:00,-0.22
2007-07-08 22:00:00+00:00,-0.48
2007-07-24 22:00:00+00:00,-0.66
2007-08-09 22:00:00+00:00,-0.96
2007-09-10 22:00:00+00:00,-0.19
2007-09-18 22:00:00+00:00,0.3
2007-10-12 22:00:00+00:00,0.63
2007-10-28 22:00:00+00:00,1.22
2007-11-20 22:00:00+00:00,-0.8
2008-01-23 22:00:00+00:00,0.85
2008-02-01 22:00:00+00:00,-0.42
2008-03-04 22:00:00+00:00,-0.48
2008-03-11 22:00:00+00:00,1.13
2008-03-27 22:00:00+00:00,0.52
2008-04-21 22:00:00+00:00,0.53
2008-05-14 22:00:00+00:00,-0.81
