dates,nzd0156-0000,nzd0156-0001,nzd0156-0002,nzd0156-0003,nzd0156-0004,nzd0156-0005,nzd0156-0006,nzd0156-0007,nzd0156-0008,nzd0156-0009,nzd0156-0010,nzd0156-0011,nzd0156-0012,nzd0156-0013,nzd0156-0014,nzd0156-0015,nzd0156-0016,nzd0156-0017,nzd0156-0018,nzd0156-0019,nzd0156-0020,nzd0156-0021,nzd0156-0022,nzd0156-0023,nzd0156-0024,nzd0156-0025,nzd0156-0026,nzd0156-0027,nzd0156-0028,nzd0156-0029,nzd0156-0030,nzd0156-0031,nzd0156-0032,nzd0156-0033,nzd0156-0034,nzd0156-0035,nzd0156-0036,nzd0156-0037,nzd0156-0038,nzd0156-0039,nzd0156-0040,nzd0156-0041,nzd0156-0042,nzd0156-0043,nzd0156-0044,nzd0156-0045,nzd0156-0046,nzd0156-0047,nzd0156-0048,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.06,326.85,323.44,337.16,,L7
1999-10-22 21:58:28+00:00,325.61,315.55,318.54,339.35,360.19,356.86,340.46,336.98,339.22,341.16,343.80,340.68,340.66,346.13,341.71,350.58,347.38,359.27,358.67,345.77,345.52,345.85,345.18,356.42,356.89,357.93,358.33,366.98,369.30,363.52,366.12,366.18,378.83,366.68,363.72,354.23,359.54,363.52,355.85,359.59,359.63,367.80,359.47,356.88,341.10,339.38,336.70,349.94,363.27,L7
1999-12-09 21:58:33+00:00,320.97,307.54,312.50,336.47,350.11,347.69,337.11,335.17,335.90,336.60,339.78,338.43,338.44,339.47,340.36,345.68,347.12,356.19,354.31,344.92,342.37,345.73,345.94,349.72,351.82,356.12,353.01,359.68,364.46,360.13,362.55,361.58,370.73,365.81,360.04,358.31,358.76,362.55,356.02,359.73,360.12,365.06,357.22,356.45,344.63,343.12,341.75,355.25,364.00,L7
1999-12-25 21:58:28+00:00,315.27,304.21,307.58,330.67,350.59,346.69,332.77,332.01,332.66,334.09,336.39,333.82,336.96,337.16,337.76,342.11,342.82,353.45,353.42,345.00,342.93,343.73,342.77,345.69,347.35,353.42,351.15,355.25,361.61,358.95,358.08,349.21,361.96,363.27,356.26,354.12,356.56,360.22,352.88,354.63,358.89,360.79,354.35,347.55,341.31,341.15,341.33,354.71,359.01,L7
2000-03-14 21:58:11+00:00,315.76,305.00,308.38,330.02,350.75,343.98,331.95,331.41,331.86,333.57,335.69,334.14,337.34,338.58,338.60,342.96,343.98,354.01,353.02,345.79,343.65,344.07,343.90,346.78,348.55,354.07,352.43,355.97,363.88,361.25,360.60,352.75,365.06,364.75,358.37,356.59,357.51,360.57,354.55,356.19,360.38,362.50,355.56,349.89,346.99,348.43,348.65,361.24,359.73,L7
2000-03-30 21:58:09+00:00,317.87,306.50,308.73,331.70,351.63,343.43,332.31,330.80,330.98,333.20,335.71,335.17,338.94,340.79,340.71,345.13,345.96,355.75,354.46,347.20,345.68,345.12,345.99,348.70,350.69,355.98,355.02,358.19,367.27,365.58,364.46,357.16,368.73,366.75,360.86,358.35,360.20,362.37,357.07,357.72,362.43,365.15,357.44,352.94,348.64,351.02,350.94,362.47,361.31,L7
2000-05-01 21:57:54+00:00,317.70,306.09,307.65,329.29,351.65,342.78,330.27,329.25,329.08,330.89,334.16,334.66,338.53,339.26,340.02,343.89,347.15,354.82,353.67,347.41,345.50,344.86,345.67,346.63,349.84,355.74,354.81,357.35,366.65,366.22,366.81,362.07,370.60,367.42,362.37,360.20,362.19,363.84,358.39,358.51,363.13,366.17,358.58,353.65,349.40,351.84,351.11,361.86,360.97,L7
2000-06-18 21:57:51+00:00,318.04,307.74,307.95,328.21,354.55,343.85,329.11,327.88,328.20,330.61,333.77,334.28,339.11,340.88,340.27,344.67,347.22,355.25,354.60,348.24,347.07,344.67,341.10,344.41,348.32,354.24,354.11,357.13,367.74,367.19,367.00,362.47,369.93,368.04,363.87,359.65,363.24,364.40,358.94,358.18,363.76,367.14,359.49,353.06,348.82,352.15,350.92,360.86,360.04,L7
2000-10-24 21:55:53+00:00,324.78,313.53,313.16,327.30,360.26,353.62,318.64,320.69,324.77,324.71,329.05,330.98,332.53,334.27,332.74,339.37,344.17,347.39,346.99,342.11,339.09,336.48,333.17,339.12,344.18,347.85,346.45,353.29,362.00,362.71,364.54,367.09,362.59,361.17,357.36,351.22,355.52,357.32,352.56,353.41,356.71,364.91,356.75,351.16,343.94,342.88,327.99,350.56,357.75,L7
2000-12-11 21:56:00+00:00,295.25,286.85,290.34,304.59,331.71,323.28,318.42,317.64,321.61,319.53,320.19,322.34,325.04,328.19,326.20,332.52,332.53,341.44,341.28,338.87,334.23,328.69,329.86,335.61,339.07,344.21,341.56,347.62,358.35,359.50,357.82,351.49,352.45,354.70,343.47,338.97,341.57,347.63,345.51,345.77,352.16,356.27,350.43,343.80,337.69,336.20,324.47,347.35,354.64,L7
