,dates,nzd0169-0000,nzd0169-0001,nzd0169-0002
0,1999-08-26 22:04:44+00:00,171.8053468153874,172.1374414356283,171.21984288376916
1,1999-09-27 22:04:48+00:00,160.5072420239792,160.92397003911017,160.6557079491432
2,1999-10-13 22:04:48+00:00,158.90739259921898,160.5340210793394,158.54951483871815
3,1999-12-25 21:58:52+00:00,158.86955099797294,152.19520274372204,148.23400447044526
4,2000-02-11 21:58:45+00:00,162.46166873429917,161.04620086460244,165.99932054577613
5,2000-03-30 21:58:33+00:00,188.392679035206,169.6298234112183,160.71898108359753
6,2000-05-24 22:03:46+00:00,171.49592973054737,164.67236134655425,165.10582295562403
7,2000-06-09 22:03:40+00:00,182.2733355298224,171.231735484437,171.3894088964145
8,2000-07-11 22:03:17+00:00,191.27006977248868,176.66388078700973,176.5416797100688
9,2000-08-12 22:02:54+00:00,176.87617844801022,170.43986528246472,169.8765826979768
10,2000-08-21 21:57:02+00:00,,,
11,2000-11-09 21:56:21+00:00,172.9865412282172,172.192585487803,175.80161806394034
12,2001-01-03 22:02:12+00:00,173.03372401917522,165.809732245392,173.41380575286246
13,2001-01-12 21:56:30+00:00,156.76705241589696,151.01403655120765,147.5790819222209
14,2001-02-04 22:02:14+00:00,179.14657291174137,171.13211477039087,155.52750888651593
15,2001-02-13 21:56:27+00:00,164.90378822472297,158.5179003360719,157.7082467263534
16,2001-03-01 21:56:21+00:00,169.81042766441067,160.8032354553379,167.12113432204166
17,2001-03-17 21:56:16+00:00,178.9074497367466,170.7206316327378,171.29981979547517
18,2001-03-24 22:01:59+00:00,171.20504044847308,165.27858414179798,162.23704340441793
19,2001-06-21 21:55:29+00:00,174.1260226374178,162.00716327824742,166.82690851374574
20,2001-08-08 21:55:01+00:00,159.7660718138567,156.10375778559353,155.26046054876468
21,2001-08-15 22:00:38+00:00,189.2366540995367,174.5747227705205,180.56118656748
22,2001-09-09 21:54:36+00:00,171.28762643158353,162.79811926747217,155.4910565232998
23,2001-09-25 21:54:28+00:00,171.1030452831766,168.15899779095736,175.46507565369234
24,2001-10-02 22:00:04+00:00,167.0776202863652,157.3889814983352,156.9883343416431
25,2001-10-11 21:54:09+00:00,178.0500223697291,170.41396766310703,172.32816466887812
26,2001-11-03 22:00:10+00:00,156.0490209372448,138.464546061701,138.25075978547096
27,2001-12-05 22:00:18+00:00,139.007690078071,143.31578521895284,143.67748348874852
28,2001-12-30 21:54:37+00:00,158.87351682036777,158.12762920967677,162.26698584719657
29,2002-01-15 21:54:47+00:00,158.310318557033,153.4888940964038,153.925189099891
30,2002-01-22 22:00:40+00:00,177.44575073176412,170.41814895166982,174.189359300733
31,2002-02-16 21:54:54+00:00,154.0557997040333,149.19331930448212,149.63584051036386
32,2002-04-28 22:00:38+00:00,159.00588432916817,156.3290162775402,154.78065837004962
33,2002-05-07 21:54:52+00:00,181.91957762863925,170.13960834864875,172.56647125503747
34,2002-05-23 21:54:42+00:00,194.0516427030779,180.7509702355935,186.2670900552885
35,2002-05-30 22:00:25+00:00,159.13604355950145,152.54877517453295,154.98074303972166
36,2002-06-15 22:00:19+00:00,159.66698805410672,157.3680576359451,159.45966754005977
37,2002-06-24 21:54:28+00:00,174.61075805834218,169.89195341294928,162.59384716310336
38,2002-07-01 22:00:15+00:00,175.23274487258325,171.54896619538326,165.2545146848028
39,2002-07-17 22:00:08+00:00,187.24225056954955,174.86422266075428,172.98078066778854
40,2002-08-27 21:54:00+00:00,162.7339421813116,159.78269197876,163.52298810403764
41,2002-10-14 21:53:43+00:00,184.35337901436168,171.64938699440208,174.2523629505272
42,2002-12-01 21:54:16+00:00,187.43061421471663,176.0490239532379,180.7774214048894
43,2003-01-18 21:54:30+00:00,165.05883309951528,159.45914565548415,158.36858960293696
44,2003-01-25 22:00:18+00:00,174.19031439496607,166.87518405708585,169.46208179174263
45,2003-02-26 22:00:28+00:00,,,
46,2003-05-10 21:54:46+00:00,170.9815250590034,,173.9618354530829
47,2003-05-26 21:54:43+00:00,189.72935402397383,173.58133172979356,
48,2003-07-21 21:42:33+00:00,,,
49,2003-08-05 22:00:11+00:00,177.01918225957695,168.21535711874083,169.06448083441504
50,2003-08-06 21:42:51+00:00,188.45075266931667,172.5873371192016,181.4810420657052
51,2003-08-13 21:48:45+00:00,,,
52,2003-09-30 21:49:30+00:00,,,
53,2003-10-25 21:44:04+00:00,,,
54,2003-11-17 21:50:09+00:00,,,
55,2003-12-04 21:54:43+00:00,178.94067433615626,171.18991232863158,178.68289594788203
56,2003-12-11 22:00:34+00:00,153.50739654006122,154.8171641320761,
57,2003-12-12 21:44:34+00:00,,,
58,2003-12-27 22:00:42+00:00,147.72757193904002,146.40364396438963,
59,2004-02-13 22:00:55+00:00,162.51959989377264,163.36419555104007,
