dates,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041,satname
1999-07-18 21:58:49+00:00,378.60,359.72,354.95,356.06,368.11,344.20,321.49,305.36,301.99,290.65,296.41,306.17,307.41,314.86,335.20,327.26,328.95,332.99,326.00,318.68,321.20,332.53,342.86,338.46,312.29,322.27,351.84,,,329.82,329.34,331.78,337.06,340.32,355.07,354.93,341.92,337.68,338.73,328.54,321.52,340.82,L7
1999-09-13 21:52:41+00:00,372.55,348.97,342.19,345.66,355.85,337.70,313.42,296.78,291.33,284.53,285.88,294.73,299.31,307.86,327.75,321.67,323.81,329.62,327.82,323.34,323.62,330.92,342.52,336.94,314.60,322.26,348.91,361.82,345.44,328.39,328.54,342.29,335.10,336.44,350.40,347.89,338.58,326.73,331.25,327.37,318.24,331.56,L7
1999-09-29 21:52:52+00:00,374.17,352.07,344.98,349.19,359.50,342.72,319.01,303.89,296.15,290.14,291.99,301.70,305.73,313.68,331.30,326.47,328.82,335.65,336.07,331.90,331.51,340.51,352.07,349.86,327.34,332.87,357.23,366.62,355.29,337.00,338.29,348.53,342.88,344.59,357.63,352.67,342.08,330.67,333.79,329.06,321.80,330.98,L7
1999-10-15 21:52:49+00:00,373.47,351.95,342.10,347.84,356.83,341.96,319.62,301.82,296.63,290.37,292.61,301.03,305.71,314.14,331.31,326.80,329.38,336.51,338.25,334.16,333.54,341.77,353.50,352.99,330.02,335.15,358.60,364.53,354.88,339.29,340.47,349.57,344.97,347.39,359.28,353.12,342.04,330.87,331.48,327.55,319.48,328.44,L7
1999-11-23 21:58:47+00:00,371.32,348.80,340.57,346.17,355.27,338.99,316.10,299.08,294.06,287.89,290.49,300.11,305.12,313.07,329.69,324.80,327.29,334.79,336.31,333.14,332.22,338.63,349.50,350.42,329.14,333.47,352.81,359.48,350.82,337.82,339.13,347.17,343.57,347.27,357.90,349.60,338.51,328.39,328.13,324.51,317.13,325.01,L7
1999-12-02 21:52:40+00:00,369.29,347.52,340.86,344.45,356.07,339.21,316.10,299.08,294.06,287.89,290.49,300.11,305.12,313.07,329.69,324.80,326.57,334.01,337.00,332.63,333.05,337.20,347.21,350.25,329.67,334.04,350.90,358.64,352.07,338.16,338.42,346.04,343.85,348.29,357.91,348.93,337.79,327.96,327.92,322.85,318.02,324.22,L7
2000-01-19 21:52:37+00:00,366.60,345.56,338.87,342.19,354.48,337.18,315.19,298.73,292.44,287.34,290.40,300.05,305.70,314.00,329.93,325.42,327.17,335.17,340.02,335.66,335.36,337.83,348.59,352.99,330.00,335.97,351.92,359.49,352.80,339.62,340.74,348.29,346.41,350.86,359.81,348.66,336.99,328.84,325.75,321.72,317.32,320.91,L7
2000-02-04 21:52:37+00:00,367.97,346.59,340.13,343.90,356.29,337.49,317.23,301.33,295.25,290.93,293.89,302.97,308.48,316.54,332.17,327.30,329.47,337.79,342.33,338.16,337.07,339.94,349.73,353.91,330.11,336.63,354.03,362.57,356.19,343.21,343.39,350.21,349.10,354.25,363.76,350.90,339.41,332.41,329.40,325.75,321.16,324.26,L7
2000-03-14 21:58:35+00:00,367.82,348.21,342.23,345.93,359.20,339.98,319.86,305.55,298.77,295.07,298.45,308.03,312.96,320.75,336.62,331.62,333.00,341.70,346.74,341.66,339.54,343.26,353.93,359.04,331.98,339.36,356.88,363.48,359.14,346.83,347.09,350.67,353.99,359.75,368.60,355.46,342.58,337.59,333.77,329.69,327.42,329.57,L7
2000-03-30 21:58:33+00:00,366.75,347.66,341.66,346.93,359.69,339.02,318.79,304.35,298.27,294.21,297.18,306.38,311.51,319.36,335.84,331.05,332.96,341.89,347.66,341.93,339.71,343.37,355.66,358.03,328.82,337.88,354.99,362.23,356.99,344.58,344.70,348.62,353.43,360.46,369.23,356.55,343.76,339.21,336.09,332.67,330.28,332.66,L7
