dates,nzd0215-0000,nzd0215-0001,nzd0215-0002,nzd0215-0003,nzd0215-0004,nzd0215-0005,nzd0215-0006,nzd0215-0007,nzd0215-0008,nzd0215-0009,nzd0215-0010,nzd0215-0011,nzd0215-0012,nzd0215-0013,nzd0215-0014,nzd0215-0015,nzd0215-0016,nzd0215-0017,nzd0215-0018,nzd0215-0019,nzd0215-0020,nzd0215-0021,nzd0215-0022,nzd0215-0023,nzd0215-0024,nzd0215-0025,nzd0215-0026,nzd0215-0027,nzd0215-0028,nzd0215-0029,nzd0215-0030,nzd0215-0031,nzd0215-0032,nzd0215-0033,nzd0215-0034,nzd0215-0035,nzd0215-0036,nzd0215-0037,nzd0215-0038,nzd0215-0039,nzd0215-0040,nzd0215-0041,nzd0215-0042,nzd0215-0043,nzd0215-0044,nzd0215-0045,nzd0215-0046,nzd0215-0047,nzd0215-0048,nzd0215-0049,nzd0215-0050,nzd0215-0051,nzd0215-0052,nzd0215-0053,nzd0215-0054,nzd0215-0055,nzd0215-0056,nzd0215-0057,nzd0215-0058,nzd0215-0059,nzd0215-0060,nzd0215-0061,nzd0215-0062,nzd0215-0063,nzd0215-0064,nzd0215-0065,nzd0215-0066,nzd0215-0067,nzd0215-0068,nzd0215-0069,nzd0215-0070,nzd0215-0071,nzd0215-0072,satname
1999-08-21 21:46:33+00:00,434.08,386.85,372.54,361.14,351.60,355.63,346.89,359.02,,367.03,360.69,351.84,362.71,387.23,398.96,379.17,364.42,354.92,348.41,357.09,365.06,385.42,386.89,,,,387.04,378.64,379.44,359.60,349.74,337.70,334.58,,343.77,333.81,,344.61,357.06,370.16,371.85,,,359.99,367.27,374.62,,416.84,,404.09,402.50,409.93,401.63,385.66,365.76,358.15,353.89,367.85,381.35,378.98,386.30,405.42,397.26,391.57,389.49,378.30,379.16,377.78,381.90,385.79,395.31,399.67,,L7
1999-09-22 21:46:36+00:00,430.48,399.94,384.87,375.39,358.64,359.09,371.14,364.75,411.09,387.01,375.64,373.76,381.22,399.67,407.28,390.58,379.21,382.91,387.59,387.85,393.42,422.47,412.65,,443.24,432.64,407.94,400.36,400.97,399.03,379.36,370.36,361.19,367.60,362.85,362.86,382.78,384.17,392.73,386.52,388.88,414.87,413.42,394.46,379.59,,451.75,438.78,445.35,415.55,425.12,426.40,419.66,400.52,396.56,381.16,374.70,389.76,392.68,416.04,403.36,420.64,419.46,423.33,422.91,411.01,410.55,,400.74,394.94,401.09,431.10,453.06,L7
2000-04-01 21:46:10+00:00,413.07,385.87,375.35,378.75,379.99,379.29,386.34,399.62,384.55,391.57,391.59,392.76,381.79,388.73,388.15,386.16,383.55,388.57,392.78,402.99,426.67,413.05,385.34,388.87,411.93,403.78,405.00,392.82,397.55,384.60,383.92,378.16,372.13,358.92,365.96,363.77,386.89,379.17,381.12,367.52,370.77,384.04,381.15,403.39,400.62,407.48,440.22,443.34,426.04,412.48,409.25,403.64,398.23,393.86,398.64,403.41,406.15,410.77,,431.75,449.15,452.85,426.93,415.29,409.12,406.94,402.77,407.00,406.40,410.19,414.63,424.22,444.38,L7
2000-05-19 21:45:43+00:00,401.34,377.31,377.12,367.19,362.60,372.54,383.15,388.61,390.43,394.31,384.16,384.51,387.83,390.37,388.99,386.71,385.22,385.42,391.72,389.70,402.98,406.79,390.58,402.39,394.43,393.03,403.93,398.25,393.14,380.77,373.81,372.96,375.49,363.40,362.04,362.48,368.87,379.64,378.61,377.51,383.52,390.45,396.67,395.54,,,,,,,,,,,,,,,,,424.36,440.52,434.92,424.98,404.39,391.01,393.76,402.61,399.00,403.12,410.29,422.54,431.40,L7
2000-06-04 21:45:32+00:00,389.83,364.82,359.33,349.20,345.86,349.48,349.46,355.68,363.35,365.24,357.43,353.69,361.27,369.19,374.01,370.36,369.50,372.00,369.05,377.24,376.30,,355.10,383.26,385.77,381.39,375.96,373.24,368.67,365.33,356.32,352.79,353.80,339.15,335.25,342.22,345.90,357.01,357.42,358.27,355.60,361.00,367.46,367.89,378.23,395.54,401.83,410.63,409.59,393.23,385.24,372.84,367.31,366.51,370.68,366.06,371.28,374.02,385.58,395.16,399.16,423.49,413.47,402.30,390.23,379.22,376.62,388.28,387.91,395.81,404.17,411.99,432.01,L7
2000-08-07 21:44:45+00:00,438.13,388.18,368.63,355.71,354.76,368.59,379.92,366.66,353.06,346.89,352.24,362.65,375.07,389.32,396.39,393.93,372.60,358.18,364.71,370.08,382.91,389.51,391.20,381.08,377.08,372.80,383.29,384.41,380.35,369.81,363.81,359.60,355.07,352.33,356.99,346.85,362.65,357.64,364.80,361.79,367.76,364.91,360.88,366.95,377.06,384.99,396.39,408.54,397.58,387.33,372.95,369.56,366.96,365.43,369.93,370.66,374.28,379.00,391.41,403.12,400.53,417.24,410.72,398.55,387.16,375.22,377.79,384.84,391.62,395.56,408.81,415.15,427.38,L7
2001-01-14 21:44:09+00:00,439.60,408.83,408.39,393.11,387.87,388.87,407.82,,414.74,410.32,411.28,412.73,412.07,417.98,426.16,416.67,407.97,397.72,401.46,413.77,424.00,444.09,405.62,435.27,423.27,413.93,401.48,400.05,406.07,396.63,397.67,395.84,403.11,397.42,375.45,383.69,388.01,397.29,397.15,398.82,396.51,405.98,402.33,384.87,389.47,415.50,421.05,448.30,440.75,413.15,408.73,397.15,390.11,390.68,379.11,380.27,383.95,390.54,393.05,405.82,419.36,437.52,425.49,410.84,396.73,385.65,385.93,399.71,400.79,405.16,409.57,421.49,448.08,L7
2001-04-04 21:43:43+00:00,420.70,395.06,381.75,378.70,376.56,370.96,373.61,375.47,389.09,397.43,382.65,387.91,386.38,392.67,394.79,389.36,387.65,403.27,393.63,395.10,399.60,404.86,388.05,420.51,443.54,,393.22,395.94,408.75,399.59,383.15,383.80,371.26,363.42,350.25,373.81,383.83,383.99,367.86,371.75,370.93,369.95,369.71,388.73,420.45,,430.06,425.26,435.94,405.13,403.53,393.20,403.02,405.27,405.71,405.49,393.31,397.94,422.72,427.38,428.50,450.66,431.77,402.63,385.88,379.86,382.56,388.27,389.47,397.51,400.96,423.51,448.63,L7
2001-04-20 21:43:46+00:00,416.41,387.39,371.17,362.61,367.05,366.07,369.95,386.67,389.16,396.61,383.94,393.03,395.38,398.98,399.46,389.42,386.17,396.67,407.16,399.41,397.23,401.09,384.58,410.05,413.63,388.51,390.53,393.93,395.15,386.14,384.06,375.51,368.15,356.33,360.30,358.09,367.37,376.64,381.29,375.05,369.91,366.98,381.77,396.41,393.68,401.97,407.92,417.03,412.23,406.02,398.96,392.47,396.26,395.14,392.95,400.80,395.22,400.87,404.55,415.51,416.20,436.61,421.61,400.06,383.65,381.72,381.37,389.97,391.94,397.51,408.21,421.43,441.96,L7
2001-05-22 21:43:30+00:00,,,,360.07,363.18,364.11,382.69,394.97,391.35,387.84,384.22,389.50,396.25,400.92,400.17,388.83,389.61,387.09,380.52,386.64,385.59,390.72,382.83,369.02,385.31,390.10,391.49,393.52,388.02,378.25,372.32,368.38,375.09,369.83,355.53,350.78,364.13,373.58,372.33,369.02,371.47,380.98,382.77,379.41,385.70,399.17,404.29,402.11,409.87,399.24,395.19,391.27,393.11,393.67,390.31,389.65,395.48,397.48,404.83,405.46,401.10,419.98,413.94,398.74,386.74,379.11,378.19,384.77,385.88,395.62,406.58,410.86,418.68,L7
2001-07-25 21:42:54+00:00,416.00,384.88,378.14,365.89,364.08,371.88,380.21,391.81,389.93,393.92,390.09,391.58,408.45,407.14,415.13,400.17,387.08,383.34,376.38,387.37,400.01,430.24,424.79,395.55,406.04,397.55,398.23,394.88,395.87,379.96,371.49,371.64,374.35,369.30,367.76,364.51,365.33,376.67,374.50,372.53,378.00,376.23,378.73,374.84,389.46,401.49,412.74,424.12,422.59,415.93,409.26,400.10,394.33,383.32,378.67,373.75,382.75,386.77,390.91,398.32,410.07,429.92,420.43,408.34,396.58,383.69,383.43,392.72,388.31,398.69,409.05,415.00,437.28,L7
