dates,satname,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0021,nzd0237-0022,nzd0237-0023,nzd0237-0024,nzd0237-0025,nzd0237-0026,nzd0237-0027,nzd0237-0028,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055
1999-12-25 21:58:52+00:00,L7,321.82,324.15,324.42,318.29,323.84,323.40,315.20,310.82,310.48,299.90,293.58,286.15,286.88,289.38,297.25,303.57,296.67,292.57,288.42,283.23,282.02,280.94,275.97,257.88,288.92,297.07,298.56,304.92,319.56,331.75,343.29,350.50,354.23,350.18,341.14,337.67,341.10,341.88,341.42,347.18,353.60,348.25,344.46,341.34,337.79,337.13,340.66,330.32,329.74,325.82,337.97,341.43,335.89,346.92,347.23,354.83
2000-01-10 21:58:52+00:00,L7,334.23,345.09,349.33,348.61,346.22,343.65,336.56,327.07,326.53,323.77,316.86,312.80,309.49,309.40,313.28,316.94,314.11,316.68,303.83,308.49,299.65,303.39,302.13,292.82,306.97,320.54,327.69,328.26,336.64,348.10,351.11,357.04,366.80,366.47,359.41,347.09,338.62,339.96,350.77,367.43,364.18,355.00,343.62,342.67,350.73,353.97,358.94,346.92,348.70,338.77,348.90,349.90,337.71,352.25,363.14,365.73
2000-03-30 21:58:33+00:00,L7,353.26,360.11,357.84,349.61,347.73,347.13,339.77,343.69,341.65,335.22,323.09,319.55,320.37,322.91,324.13,321.15,325.59,330.29,341.54,345.77,338.96,332.87,319.88,326.33,317.33,325.28,331.98,343.19,347.54,356.67,353.24,359.93,369.41,368.95,370.51,369.05,372.52,368.13,363.95,361.87,366.90,365.83,362.52,363.25,361.58,359.79,369.65,363.82,364.70,358.11,368.68,365.82,367.87,375.78,385.89,385.32
2000-05-17 21:58:07+00:00,L7,292.42,291.79,306.99,297.81,307.83,294.04,289.31,292.91,296.42,290.70,289.83,283.64,279.90,271.78,275.42,276.50,272.91,273.77,260.93,270.56,262.19,271.05,261.31,242.76,153.72,285.48,293.81,164.32,301.15,317.38,321.25,331.30,336.10,328.91,334.64,332.31,332.20,331.88,332.49,330.66,328.92,338.63,325.21,303.40,311.49,307.50,319.01,316.96,313.13,300.55,327.29,327.94,324.39,330.12,333.32,326.32
2000-08-05 21:57:08+00:00,L7,369.55,367.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.62,354.68,354.12,361.96,363.55,371.15,362.19,367.17,371.69,372.74,380.12,380.31,374.61,374.86,371.54,373.64,363.04,369.87,360.60,358.15,352.09,362.51,366.22,376.12,372.56,382.44,381.61
2000-08-21 21:57:02+00:00,L7,382.23,394.47,389.25,376.98,364.08,358.12,360.05,362.90,357.94,355.17,364.55,363.61,349.64,332.88,320.19,320.60,336.88,362.48,365.80,374.70,379.56,357.12,331.39,356.60,321.71,350.19,375.83,374.48,366.17,356.63,357.67,369.74,370.66,360.60,372.56,375.30,382.64,387.74,386.01,386.62,370.42,366.77,377.65,378.84,388.32,395.43,400.16,382.96,374.48,366.24,368.81,,,,,
2001-03-17 21:56:16+00:00,L7,401.75,403.67,392.60,387.89,380.95,376.02,375.30,367.33,360.62,350.71,350.13,357.40,362.98,350.43,332.22,329.03,353.64,366.16,368.59,373.80,381.34,349.50,344.92,376.05,374.80,365.32,376.34,388.49,398.27,397.74,393.20,388.30,381.57,376.15,377.91,382.73,391.41,393.78,380.80,371.43,382.64,388.36,393.99,394.58,390.60,376.12,384.28,375.04,373.94,369.65,381.28,377.25,389.01,383.23,388.05,392.35
2001-06-05 21:55:40+00:00,L7,302.53,315.76,308.52,300.41,302.45,302.00,297.97,287.45,290.40,287.53,287.87,285.71,285.65,284.29,286.62,284.73,299.25,299.11,296.97,291.03,293.73,297.78,284.80,261.23,237.84,298.07,295.20,305.13,325.99,328.12,340.18,334.59,333.80,336.97,326.05,332.98,335.02,327.42,321.35,317.12,311.24,314.10,318.72,309.03,312.68,314.54,313.93,328.74,337.24,318.68,320.29,317.12,311.54,313.70,327.33,322.28
2001-08-24 21:54:48+00:00,L7,331.11,335.87,328.25,329.67,328.93,321.12,322.92,326.89,320.30,322.78,332.72,321.09,321.91,317.19,315.36,311.91,316.13,316.54,326.95,330.90,314.72,290.87,342.49,310.14,330.14,339.22,347.39,354.31,352.80,352.61,363.92,367.47,362.24,353.03,355.17,353.91,354.28,362.40,373.22,332.42,363.94,377.62,369.93,369.43,337.49,346.31,360.28,355.46,341.11,302.30,341.33,357.05,372.77,381.74,375.18,362.41
2001-09-09 21:54:36+00:00,L7,409.92,394.07,399.00,393.85,383.89,379.33,368.76,362.78,365.52,366.70,355.76,346.83,349.29,348.88,347.51,355.52,362.07,363.16,368.93,370.10,354.08,389.96,417.19,424.23,346.96,361.74,390.54,394.98,378.69,375.29,381.63,389.57,394.39,393.40,389.84,389.47,397.84,396.86,399.94,392.69,393.96,387.78,390.32,395.26,394.11,386.95,384.32,383.26,379.93,379.62,375.05,371.21,396.75,391.08,409.46,416.75
