dates,nzd0261-0000,nzd0261-0001,nzd0261-0002,nzd0261-0003,nzd0261-0004,nzd0261-0005,nzd0261-0006,nzd0261-0007,nzd0261-0008,nzd0261-0009,nzd0261-0010,nzd0261-0011,nzd0261-0012,nzd0261-0013,nzd0261-0014,nzd0261-0015,nzd0261-0016,nzd0261-0017,nzd0261-0018,nzd0261-0019,nzd0261-0020,nzd0261-0021,nzd0261-0022,nzd0261-0023,nzd0261-0024,nzd0261-0025,nzd0261-0026,nzd0261-0027,nzd0261-0028,nzd0261-0029,nzd0261-0030,nzd0261-0031,nzd0261-0032,nzd0261-0033,nzd0261-0034,nzd0261-0035,satname
1999-12-25 21:59:16+00:00,354.72,352.37,340.00,340.26,339.38,339.53,330.69,324.85,344.06,346.89,360.28,359.11,359.54,367.79,368.06,373.83,376.63,369.34,364.53,373.06,364.26,362.64,362.34,367.91,371.36,360.50,347.67,352.42,361.06,366.20,358.24,351.75,345.63,336.11,344.85,331.36,L7
2000-01-10 21:59:16+00:00,357.97,353.25,343.53,344.37,348.08,346.03,339.53,331.14,344.48,345.26,357.82,359.21,367.13,372.51,371.81,377.96,377.15,373.62,370.97,371.59,367.17,367.68,371.74,372.90,376.30,369.32,358.53,358.31,365.48,367.72,360.47,355.91,348.54,338.10,341.94,330.95,L7
2000-03-14 21:58:59+00:00,358.52,352.91,348.01,343.24,345.49,343.21,340.69,334.97,344.92,348.03,358.54,361.19,366.27,370.94,375.08,378.83,379.31,378.52,375.90,378.04,373.67,372.44,374.69,378.61,380.11,375.22,369.32,368.81,372.88,372.71,363.90,357.49,349.81,340.86,338.02,323.83,L7
2000-03-30 21:58:57+00:00,354.22,347.76,346.56,342.36,344.28,342.55,344.01,338.76,345.24,350.28,357.41,360.16,367.07,371.33,374.55,378.76,380.45,381.45,377.92,379.83,376.87,376.08,378.38,382.07,382.02,379.83,377.40,376.39,378.74,377.56,367.77,358.85,352.11,342.21,338.19,326.68,L7
2000-07-04 21:58:02+00:00,346.51,335.25,346.37,344.14,345.02,343.55,342.59,343.76,346.56,350.83,358.11,360.46,369.58,372.50,373.56,375.27,381.72,385.49,382.39,382.09,381.07,380.56,383.73,386.79,385.58,386.27,387.31,384.38,384.64,381.34,370.95,361.22,354.27,344.24,335.97,325.12,L7
2000-08-05 21:57:32+00:00,336.87,317.80,346.13,340.81,337.14,327.63,334.52,343.53,345.13,353.05,357.88,364.55,371.67,372.43,367.96,369.90,374.38,382.90,376.79,376.56,377.95,384.48,385.02,391.23,387.75,390.33,396.28,394.47,392.01,387.40,375.08,361.79,355.68,346.32,334.44,322.41,L7
2000-08-21 21:57:26+00:00,338.02,321.90,345.51,336.11,333.13,321.96,333.79,343.50,347.06,353.59,361.36,366.15,371.74,368.81,368.26,368.52,370.37,376.87,373.62,373.71,373.26,376.54,383.34,380.35,376.99,378.54,388.19,389.83,392.44,382.72,369.28,361.46,348.93,342.43,334.18,323.78,L7
2000-11-09 21:56:45+00:00,338.83,321.47,346.68,338.25,337.12,321.20,326.92,345.30,354.68,355.34,362.92,372.86,378.61,370.88,366.16,365.67,359.00,366.28,363.11,361.68,362.01,367.79,380.33,368.21,370.65,370.75,377.04,378.26,389.39,369.66,357.68,353.11,343.46,336.63,341.01,334.45,L7
2000-11-25 21:56:47+00:00,338.83,321.47,343.16,337.07,336.01,319.82,321.91,339.55,353.86,353.58,359.84,369.30,378.61,365.02,366.16,361.63,354.68,359.80,356.26,356.20,355.65,362.63,371.08,362.08,366.94,369.00,372.42,373.26,380.14,363.75,350.13,342.55,338.00,337.15,340.98,330.09,L7
2001-03-17 21:56:40+00:00,353.02,353.91,345.41,342.10,345.29,337.57,326.20,337.08,355.84,353.41,355.53,370.07,381.27,362.56,383.93,361.22,356.58,359.66,358.12,357.47,356.17,365.38,368.73,363.83,375.29,381.38,382.01,379.03,383.76,371.48,356.86,340.42,339.10,339.60,339.85,330.37,L7
2001-07-07 21:55:48+00:00,343.12,340.00,333.65,343.05,344.06,346.10,339.95,331.80,332.87,345.63,347.16,356.44,379.66,307.87,374.40,357.93,357.72,357.03,361.33,363.28,366.48,371.20,371.09,373.45,381.91,391.75,392.71,388.78,394.94,387.87,374.93,363.09,342.28,342.01,313.40,315.42,L7
2001-08-24 21:55:12+00:00,351.31,340.00,337.78,349.82,340.94,346.10,339.95,331.80,332.87,345.63,347.16,356.44,379.66,294.15,374.40,357.93,357.72,357.03,361.33,363.28,366.48,371.20,371.09,373.45,381.91,391.75,392.71,388.78,394.94,387.87,374.93,363.09,342.28,342.01,313.40,315.42,L7
2001-09-25 21:54:52+00:00,361.55,349.58,344.29,360.91,352.45,355.07,348.37,345.70,342.31,353.95,360.39,365.62,371.70,320.98,369.34,368.23,365.95,366.78,366.43,373.69,381.30,387.86,380.76,383.57,389.05,391.94,392.63,386.61,391.77,387.66,376.63,370.19,349.91,347.51,313.11,314.25,L7
2001-10-11 21:54:33+00:00,359.65,349.64,346.63,360.53,355.63,353.57,348.48,345.34,343.01,355.81,366.85,372.09,379.00,336.69,372.47,371.25,368.36,365.52,369.50,372.32,384.31,387.28,380.76,383.57,389.05,391.94,392.63,386.61,391.77,387.66,376.63,370.19,349.91,347.51,320.37,317.25,L7
2002-02-16 21:55:18+00:00,364.09,365.94,361.26,369.13,362.38,359.06,359.65,362.52,362.82,371.22,385.77,389.59,382.22,358.63,384.03,383.15,384.51,382.55,384.13,385.86,394.42,396.99,396.92,394.12,397.66,394.44,397.97,395.48,395.60,390.07,376.75,367.94,358.86,352.39,337.41,325.46,L7
2002-03-20 21:55:12+00:00,365.45,365.19,366.33,371.06,371.61,359.06,359.65,362.52,362.82,371.22,385.77,389.59,382.22,384.69,384.03,383.15,384.51,382.55,384.13,385.86,394.42,390.02,396.92,394.12,397.66,394.44,397.97,395.48,395.60,390.07,376.75,367.94,358.86,352.39,337.41,325.46,L7
2002-08-27 21:54:24+00:00,360.82,365.09,362.70,359.24,355.81,350.71,356.60,348.93,342.86,346.04,347.58,359.51,373.76,377.99,382.65,387.23,382.24,373.96,377.42,370.81,364.39,369.52,378.91,376.88,363.23,359.71,372.19,371.52,377.72,370.53,359.19,356.95,331.78,328.19,334.25,,L7
2002-10-14 21:54:07+00:00,362.30,372.64,366.15,359.69,355.14,346.46,358.74,359.18,359.08,359.16,353.70,364.96,372.30,381.84,382.02,386.81,376.19,378.03,381.33,372.00,363.91,363.79,376.73,371.38,361.63,359.78,371.25,372.63,375.85,365.53,351.60,353.76,331.06,327.25,330.61,306.39,L7
