dates,nzd0267-0000,nzd0267-0001,nzd0267-0002,nzd0267-0003,nzd0267-0004,nzd0267-0005,nzd0267-0006,nzd0267-0007,nzd0267-0008,nzd0267-0009,nzd0267-0010,nzd0267-0011,nzd0267-0012,nzd0267-0013,nzd0267-0014,nzd0267-0015,nzd0267-0016,nzd0267-0017,nzd0267-0018,nzd0267-0019,nzd0267-0020,nzd0267-0021,nzd0267-0022,satname
1999-08-21 21:46:56+00:00,347.36,270.42,277.71,249.13,242.92,257.62,277.98,302.04,296.93,289.67,288.13,280.25,276.83,301.90,299.92,282.22,291.16,,275.02,254.35,229.27,245.63,280.20,L7
1999-09-06 21:46:59+00:00,373.63,300.80,254.22,248.66,251.22,255.33,269.31,297.95,296.31,290.79,304.28,297.04,278.27,312.22,305.66,311.88,,,286.88,257.51,231.88,246.01,274.44,L7
1999-09-22 21:47:00+00:00,316.86,282.88,257.09,246.73,257.43,249.46,251.22,293.41,287.92,286.18,286.06,277.04,273.69,298.74,292.81,283.38,281.40,287.39,266.01,246.23,222.24,243.91,267.80,L7
1999-10-24 21:46:56+00:00,312.29,279.13,251.83,247.62,245.29,249.52,260.69,290.94,287.39,281.46,287.95,279.91,267.26,290.19,291.06,278.92,284.17,284.58,268.91,246.86,225.46,238.04,264.51,L7
2000-01-12 21:46:54+00:00,332.74,293.47,277.33,251.90,235.61,253.29,276.84,304.78,304.82,304.41,292.59,292.72,291.06,300.28,300.65,301.50,307.10,314.84,285.00,263.76,233.15,254.26,294.68,L7
2000-02-13 21:46:48+00:00,321.58,265.62,262.86,229.58,219.46,229.04,248.46,280.24,278.83,273.18,261.19,257.17,259.99,269.27,264.48,263.94,271.54,270.24,257.16,220.71,203.82,221.83,260.33,L7
2000-04-01 21:46:34+00:00,325.54,272.54,261.71,268.77,244.70,253.12,269.81,293.64,290.91,285.28,279.91,266.10,262.86,283.13,277.18,274.63,278.63,276.29,266.74,235.07,222.94,245.73,273.12,L7
2000-05-19 21:46:07+00:00,319.34,279.96,252.61,230.91,239.69,244.73,268.49,302.26,295.43,287.34,282.79,273.69,272.18,288.74,287.57,278.11,287.19,287.39,272.83,246.58,234.38,246.19,278.43,L7
2000-08-07 21:45:08+00:00,301.12,275.86,272.12,230.34,234.69,255.66,269.36,298.98,296.03,289.18,286.13,272.34,268.62,288.67,287.50,285.17,289.52,295.38,278.55,250.57,221.83,235.39,269.48,L7
2000-10-26 21:44:22+00:00,,,,,223.86,240.13,257.31,278.83,284.68,282.75,277.10,264.04,,,,,,,,235.00,222.47,235.69,258.97,L7
2001-04-04 21:44:06+00:00,323.76,272.77,257.05,241.55,234.16,250.77,260.32,292.79,294.68,278.09,275.79,267.34,263.18,281.78,280.26,277.24,286.97,299.07,263.06,246.99,220.75,231.65,263.31,L7
2001-04-20 21:44:10+00:00,326.23,281.21,264.21,243.68,242.24,251.26,263.70,293.58,295.43,283.71,277.42,277.26,267.61,294.92,284.72,282.23,285.77,284.31,266.37,239.19,214.62,228.14,261.01,L7
2001-05-22 21:43:54+00:00,317.98,282.35,262.69,231.85,235.74,250.21,255.31,283.97,296.82,282.54,275.49,263.61,271.88,281.48,287.50,279.59,282.67,280.60,262.34,247.65,224.78,236.08,265.13,L7
2001-07-25 21:43:18+00:00,312.22,267.53,244.80,245.25,241.37,241.36,264.08,290.25,285.32,284.16,284.22,277.07,276.89,300.66,296.29,293.99,295.36,301.11,278.57,249.86,226.89,240.72,271.12,L7
2001-08-10 21:43:00+00:00,327.03,280.69,253.32,245.26,240.85,253.36,266.53,291.85,283.06,278.60,282.89,276.90,266.73,291.73,290.42,284.21,289.48,289.78,278.22,247.46,218.10,229.30,263.96,L7
2001-09-11 21:42:38+00:00,316.11,287.69,278.77,251.33,237.18,252.63,281.08,290.17,281.50,291.30,285.26,272.91,264.84,291.30,287.60,286.43,289.09,295.84,275.13,254.73,216.92,238.69,275.86,L7
2001-10-13 21:42:15+00:00,337.87,274.38,255.78,247.12,236.66,240.97,273.12,283.92,277.83,286.10,273.93,263.73,257.98,278.68,277.91,276.22,276.83,288.41,266.41,247.51,223.25,241.81,264.25,L7
2001-10-29 21:42:21+00:00,324.58,280.47,258.93,213.00,228.19,245.73,264.82,277.14,277.57,287.35,286.30,274.29,263.75,287.40,284.07,276.83,280.37,277.83,261.79,244.55,225.46,235.13,266.27,L7
2002-01-17 21:42:52+00:00,333.14,295.69,292.51,208.18,235.82,269.40,282.02,297.27,311.14,302.44,297.45,291.90,281.28,303.76,301.05,296.73,304.02,307.54,284.74,265.93,233.85,245.69,288.30,L7
2002-02-02 21:42:54+00:00,,,,,,,,284.90,269.76,256.62,260.96,257.95,253.45,293.56,282.70,288.13,291.54,299.97,277.23,248.93,219.19,230.51,262.88,L7
2002-02-18 21:42:54+00:00,328.09,293.88,259.75,213.97,232.43,252.57,267.97,286.05,282.64,283.93,282.77,273.63,261.64,295.80,294.25,288.30,287.49,297.96,277.63,247.10,221.40,240.59,284.40,L7
2002-03-22 21:42:52+00:00,321.89,291.02,273.25,243.67,243.35,255.95,275.07,289.37,286.24,282.38,282.88,,,288.71,291.25,283.39,287.01,291.49,272.47,250.61,225.34,232.18,265.31,L7
2002-09-14 21:41:55+00:00,326.65,282.95,246.90,236.62,253.96,265.05,275.87,277.01,277.25,288.00,285.97,277.70,268.18,292.07,288.98,286.26,286.76,298.72,276.70,259.02,236.32,243.69,267.43,L7
2002-09-30 21:41:47+00:00,326.93,284.33,247.38,242.28,254.92,265.25,279.32,279.96,271.99,284.25,285.95,279.06,266.55,288.33,287.34,285.50,287.70,297.63,278.44,253.65,227.65,240.22,268.38,L7
2003-01-20 21:42:33+00:00,323.13,291.50,,264.74,246.71,249.66,269.51,295.05,294.94,301.20,293.23,285.95,276.85,301.78,297.80,297.70,299.22,311.04,284.17,258.21,230.89,246.97,285.64,L7
2003-02-05 21:42:41+00:00,314.08,287.61,,263.11,256.76,262.72,277.38,292.63,294.49,303.53,297.61,291.03,284.04,301.00,298.32,296.24,301.69,316.43,285.06,256.20,223.89,237.66,280.66,L7
2003-02-21 21:42:44+00:00,301.69,,254.07,252.50,246.64,253.14,270.20,288.85,293.21,295.67,289.60,283.86,277.92,296.39,297.75,292.07,302.40,302.84,282.44,251.76,225.03,239.43,277.01,L7
