dates,nzd0297-0000,nzd0297-0001,nzd0297-0002,nzd0297-0003,nzd0297-0004,nzd0297-0005,nzd0297-0006,nzd0297-0007,satname
1999-08-05 21:47:23+00:00,336.35,339.88,,344.45,346.81,359.28,357.18,346.34,L7
1999-08-12 21:53:32+00:00,342.83,342.70,342.87,349.49,352.62,365.64,362.50,354.70,L7
1999-08-21 21:47:20+00:00,346.57,343.36,343.25,350.91,351.44,366.80,359.44,353.51,L7
1999-09-22 21:47:24+00:00,350.97,345.66,347.37,356.20,356.72,370.80,361.72,352.87,L7
1999-09-29 21:53:40+00:00,350.47,343.82,345.98,355.76,355.39,368.42,358.44,350.67,L7
1999-10-24 21:47:20+00:00,351.99,345.23,347.91,357.63,357.55,370.18,358.88,350.59,L7
1999-11-16 21:53:32+00:00,353.84,347.00,350.91,359.91,359.68,371.57,360.84,352.31,L7
1999-11-25 21:47:14+00:00,350.93,343.57,346.46,356.22,356.04,367.16,358.32,352.31,L7
2000-01-19 21:53:25+00:00,350.44,343.07,346.51,356.64,356.12,366.76,358.90,352.68,L7
2000-02-20 21:53:17+00:00,353.49,344.70,349.10,361.07,359.92,368.24,359.85,352.82,L7
2000-05-03 21:46:43+00:00,349.42,343.78,348.47,359.80,359.64,366.09,360.42,356.09,L7
2000-05-19 21:46:31+00:00,345.54,341.29,345.40,358.42,358.18,364.77,358.00,354.53,L7
2000-05-26 21:52:36+00:00,350.53,349.01,353.61,366.10,366.59,374.26,365.02,354.57,L7
2000-07-13 21:52:07+00:00,350.53,347.91,352.50,364.33,364.69,371.96,363.43,353.70,L7
2000-07-29 21:51:50+00:00,333.71,347.94,353.23,363.95,365.99,372.73,362.76,353.11,L7
2000-08-07 21:45:32+00:00,333.88,346.46,352.11,363.33,364.70,371.85,361.23,351.92,L7
2000-08-14 21:51:44+00:00,332.95,344.51,349.46,361.59,362.94,370.29,359.99,349.98,L7
2000-09-15 21:51:13+00:00,328.89,341.76,347.32,359.05,360.74,367.65,357.19,347.38,L7
2000-11-27 21:44:50+00:00,330.49,338.39,344.32,354.95,355.60,361.68,352.58,342.69,L7
2001-01-05 21:51:04+00:00,335.86,341.01,345.58,356.21,356.20,363.03,354.12,344.68,L7
2001-01-21 21:51:10+00:00,339.24,342.23,345.71,356.64,356.50,363.96,354.81,344.49,L7
2001-04-04 21:44:30+00:00,358.10,349.77,349.31,358.87,356.11,365.67,357.31,347.45,L7
2001-04-20 21:44:34+00:00,358.63,351.46,350.86,361.64,357.68,367.39,358.95,348.95,L7
2001-04-27 21:50:43+00:00,356.91,351.19,350.50,361.77,357.99,367.81,360.27,349.51,L7
2001-05-13 21:50:33+00:00,356.91,349.48,349.18,361.10,357.38,366.69,360.38,348.41,L7
2001-05-22 21:44:18+00:00,356.91,348.79,348.89,360.36,357.16,366.26,360.13,349.47,L7
2001-07-25 21:43:42+00:00,355.45,343.90,346.51,359.96,357.03,365.08,359.24,349.93,L7
2001-08-26 21:43:13+00:00,353.77,343.30,345.75,359.11,356.40,363.54,358.02,349.68,L7
2001-09-11 21:43:02+00:00,352.81,343.37,346.05,359.30,357.16,363.37,357.71,350.09,L7
2001-09-18 21:49:05+00:00,352.50,343.76,346.62,359.32,356.57,363.48,357.50,350.08,L7
2001-10-04 21:48:54+00:00,353.19,344.92,347.66,360.63,357.73,364.37,358.67,351.05,L7
2001-10-13 21:42:40+00:00,355.26,346.25,348.72,360.90,357.59,364.22,358.16,349.99,L7
2001-10-20 21:48:57+00:00,356.12,346.58,349.13,360.98,357.73,364.29,358.71,350.64,L7
2001-10-29 21:42:45+00:00,357.31,346.32,349.10,360.86,358.15,363.92,357.40,350.01,L7
2002-02-02 21:43:18+00:00,357.77,350.20,351.62,361.57,358.89,365.51,356.57,349.04,L7
2002-02-18 21:43:18+00:00,358.30,349.94,351.42,361.86,359.44,365.50,356.87,349.62,L7
2002-02-25 21:49:35+00:00,358.58,350.13,351.27,362.39,360.51,366.42,357.24,349.30,L7
2002-03-06 21:43:23+00:00,358.61,349.13,350.04,362.03,360.02,365.98,356.43,349.05,L7
2002-04-07 21:43:17+00:00,359.06,347.74,348.11,361.34,360.32,365.73,355.68,347.81,L7
2002-04-14 21:49:26+00:00,357.41,345.93,346.47,361.81,361.30,365.73,356.56,349.19,L7
2002-05-09 21:43:16+00:00,350.19,342.40,343.84,358.67,360.27,363.94,354.46,348.14,L7
2002-06-10 21:43:00+00:00,350.19,341.21,343.84,357.87,359.50,363.55,353.67,347.39,L7
2002-07-19 21:48:57+00:00,350.19,341.31,343.37,357.22,358.57,363.09,354.27,348.57,L7
2002-09-05 21:48:38+00:00,342.77,337.70,340.30,355.93,360.79,364.77,358.59,350.00,L7
2002-09-14 21:42:19+00:00,345.16,339.01,340.90,355.62,359.74,364.06,358.71,349.47,L7
2002-09-30 21:42:11+00:00,347.07,340.10,341.55,355.31,358.82,363.63,357.80,350.36,L7
2002-10-23 21:48:03+00:00,347.83,340.37,341.13,352.49,356.21,363.14,357.11,349.83,L7
2002-12-10 21:48:53+00:00,356.86,343.64,342.03,353.99,355.34,363.15,357.16,347.91,L7
2003-01-11 21:49:02+00:00,357.48,344.74,342.47,354.61,354.78,363.15,357.16,347.91,L7
2003-01-20 21:42:57+00:00,357.84,345.62,342.92,354.67,354.54,363.07,355.45,345.08,L7
2003-01-27 21:49:09+00:00,355.27,344.68,342.06,353.58,354.13,361.55,354.40,343.66,L7
2003-02-21 21:43:08+00:00,355.78,344.79,342.41,353.26,353.70,361.04,354.33,343.35,L7
2003-03-16 21:49:22+00:00,356.20,345.16,342.70,352.33,349.30,358.07,350.60,343.50,L7
2003-03-25 21:43:05+00:00,356.26,344.67,342.23,351.77,349.16,357.99,351.33,344.45,L7
2003-05-03 21:49:25+00:00,353.99,345.00,342.04,352.81,349.36,359.24,351.97,344.55,L7
2003-05-12 21:43:12+00:00,353.99,344.78,341.98,353.08,351.14,360.37,352.66,344.89,L7
2003-05-19 21:49:19+00:00,351.59,344.78,341.98,350.24,350.01,358.94,351.20,343.34,L7
2003-07-30 21:37:21+00:00,349.15,339.98,340.17,348.19,349.23,359.49,352.89,346.93,L5
2003-08-15 21:37:36+00:00,347.58,339.94,340.89,350.07,351.26,360.87,353.44,346.49,L5
2003-10-18 21:38:36+00:00,346.56,342.47,345.85,354.41,357.40,366.77,357.39,349.55,L5
2003-10-19 21:42:44+00:00,346.56,342.47,345.85,354.41,358.03,368.31,359.18,351.28,L7
2003-10-26 21:49:02+00:00,346.56,342.47,345.85,354.41,358.03,368.31,357.13,350.50,L7
2003-11-04 21:42:51+00:00,351.10,340.84,346.48,354.12,359.26,368.18,358.02,349.08,L7
2003-11-19 21:39:02+00:00,359.59,343.41,347.04,359.46,359.82,370.46,360.15,352.29,L5
2003-12-06 21:43:10+00:00,357.29,342.43,344.81,358.26,358.90,369.74,359.52,351.50,L7
2003-12-13 21:49:25+00:00,358.69,344.24,345.59,359.60,359.22,371.19,361.49,351.50,L7
2003-12-14 21:33:02+00:00,362.07,346.67,346.52,359.61,359.26,371.98,362.15,352.62,L5
2004-01-22 21:39:28+00:00,361.80,346.51,346.40,359.10,358.35,369.99,360.39,350.67,L5
2004-02-16 21:33:24+00:00,363.56,349.11,346.14,358.45,357.70,370.09,360.34,351.34,L5
2004-02-23 21:39:37+00:00,363.60,349.19,346.63,358.83,358.28,370.75,360.85,350.26,L5
2004-02-24 21:43:33+00:00,364.40,349.86,346.99,358.82,358.00,370.33,360.38,350.07,L7
2004-03-19 21:33:35+00:00,363.69,349.67,347.17,358.75,358.24,370.64,360.70,350.32,L5
2004-03-27 21:43:45+00:00,363.69,349.67,347.17,359.42,358.98,370.89,361.31,350.38,L7
2004-04-03 21:49:54+00:00,363.69,349.67,347.17,358.43,358.39,370.36,360.88,350.35,L7
2004-04-20 21:34:19+00:00,361.55,348.54,345.47,356.84,356.83,368.32,358.32,348.21,L5
2004-05-21 21:49:49+00:00,344.78,346.95,344.76,356.12,356.71,368.61,359.45,348.51,L7
2004-06-06 21:49:44+00:00,330.32,345.33,345.17,356.14,356.79,368.26,359.21,348.71,L7
2004-06-22 21:49:40+00:00,305.41,341.82,343.55,354.63,356.04,364.43,355.10,346.30,L7
2004-06-23 21:36:10+00:00,294.14,341.82,343.55,355.06,356.48,364.57,355.00,347.13,L5
2004-07-08 21:49:38+00:00,284.68,340.74,343.55,355.06,356.48,364.57,355.00,347.13,L7
2004-07-25 21:37:01+00:00,270.01,340.52,343.71,355.21,357.22,365.49,356.39,348.41,L5
2004-08-02 21:43:16+00:00,264.25,340.52,343.71,355.21,356.89,365.67,356.26,348.61,L7
2004-08-09 21:49:27+00:00,264.25,340.52,342.66,354.61,355.90,364.80,355.66,348.08,L7
2004-08-25 21:49:25+00:00,241.75,335.91,341.47,353.82,355.68,364.02,355.50,348.61,L7
2004-09-03 21:43:11+00:00,241.75,335.91,341.31,354.24,355.65,363.85,355.00,348.22,L7
2004-09-18 21:44:34+00:00,241.40,334.55,340.88,354.61,355.76,362.92,353.67,347.66,L5
2004-09-19 21:43:05+00:00,252.27,335.71,341.56,354.61,355.76,362.92,353.53,347.36,L7
2004-09-26 21:49:14+00:00,252.27,335.71,341.56,353.27,356.17,364.47,354.55,348.57,L7
2004-10-20 21:45:16+00:00,253.48,336.83,342.58,355.94,357.60,365.61,355.83,349.32,L5
2004-11-13 21:49:35+00:00,261.75,336.83,342.58,355.94,357.60,365.61,355.83,349.32,L7
2004-11-29 21:49:45+00:00,274.42,337.70,343.44,357.51,358.33,365.61,355.83,349.52,L7
2005-01-08 21:46:40+00:00,318.30,341.37,344.86,359.12,359.52,370.90,360.35,350.94,L5
2005-01-16 21:50:03+00:00,322.87,343.48,346.75,361.37,360.94,372.05,361.13,350.94,L7
2005-01-17 21:40:37+00:00,327.55,345.62,348.67,363.56,362.38,373.47,362.79,351.76,L5
2005-02-17 21:49:52+00:00,355.51,345.95,351.00,367.30,366.90,378.63,366.16,353.37,L7
2005-02-18 21:41:06+00:00,356.06,347.51,351.55,366.22,364.75,376.38,365.57,353.16,L5
2005-03-05 21:50:20+00:00,358.83,350.55,353.04,367.58,366.09,378.41,367.51,355.49,L7
2005-03-30 21:44:08+00:00,358.99,352.52,353.45,365.79,365.64,378.82,371.33,356.03,L7
2005-04-22 21:50:11+00:00,358.56,352.26,353.57,365.73,365.92,377.39,369.31,353.95,L7
2005-05-08 21:50:15+00:00,355.18,352.26,353.57,365.73,365.92,377.39,366.00,352.62,L7
2005-05-09 21:41:44+00:00,353.58,350.67,352.14,364.49,365.65,375.86,364.43,352.43,L5
2005-05-24 21:50:14+00:00,353.67,349.08,352.10,363.29,365.08,375.68,364.67,352.70,L7
2005-05-25 21:41:52+00:00,353.67,348.57,352.88,362.78,364.80,374.96,364.65,353.14,L5
2005-06-09 21:50:08+00:00,337.32,348.57,352.88,362.78,364.80,374.96,364.04,353.13,L7
2005-06-10 21:42:00+00:00,323.95,346.42,351.92,363.03,365.75,375.63,363.89,353.34,L5
2005-06-26 21:42:04+00:00,313.85,346.42,351.92,362.61,364.70,374.65,363.40,353.28,L5
2005-07-12 21:42:11+00:00,301.00,345.20,350.78,361.66,362.99,371.75,361.20,352.38,L5
2005-07-19 21:48:27+00:00,287.36,341.90,353.64,361.76,361.12,368.87,358.91,352.61,L5
2005-07-20 21:43:53+00:00,276.41,341.90,353.64,361.76,361.12,367.53,358.46,352.46,L7
2005-07-28 21:42:21+00:00,269.10,341.72,353.64,363.69,361.12,367.94,358.49,351.62,L5
2005-08-05 21:43:51+00:00,269.10,342.37,355.05,364.01,362.42,370.22,359.60,352.23,L7
2005-08-13 21:42:29+00:00,269.10,342.47,354.42,363.93,363.05,370.52,360.31,352.79,L5
2005-08-20 21:48:42+00:00,251.62,341.09,353.66,364.06,363.78,370.97,360.98,353.39,L5
2005-08-21 21:43:45+00:00,249.85,341.09,353.66,364.06,362.72,370.00,360.59,352.66,L7
2005-08-29 21:42:34+00:00,258.75,341.98,353.38,363.89,362.59,370.05,360.93,353.04,L5
2005-09-21 21:48:46+00:00,257.38,340.17,352.00,362.31,361.21,368.75,360.34,352.76,L5
2005-09-29 21:49:43+00:00,257.01,339.81,352.89,363.17,361.21,368.75,360.34,353.05,L7
2005-10-15 21:49:47+00:00,265.14,340.92,354.36,365.23,363.66,370.65,360.34,353.05,L7
