dates,nzd0339-0000,nzd0339-0001,nzd0339-0002,nzd0339-0003,nzd0339-0004,nzd0339-0005,nzd0339-0006,satname
1999-08-17 22:12:02+00:00,373.01,369.04,365.82,351.75,338.62,333.06,334.97,L7
1999-08-26 22:06:20+00:00,366.32,365.55,363.25,339.88,333.57,333.82,337.80,L7
1999-10-13 22:06:24+00:00,361.17,356.54,354.56,326.52,333.57,333.82,337.80,L7
1999-11-21 22:12:00+00:00,361.73,358.64,355.95,333.00,331.76,332.04,341.40,L7
2000-01-17 22:06:11+00:00,361.73,358.64,355.95,333.00,335.00,334.84,343.25,L7
2000-02-18 22:06:05+00:00,358.61,355.52,354.18,331.51,336.15,335.59,347.06,L7
2000-03-21 22:06:01+00:00,354.80,346.38,345.99,330.85,333.95,330.85,343.32,L7
2000-04-13 22:11:30+00:00,359.91,350.68,350.16,342.35,335.92,332.22,343.08,L7
2000-05-24 22:05:22+00:00,361.56,345.94,350.23,342.94,339.91,335.02,340.04,L7
2000-06-25 22:05:07+00:00,370.49,345.94,350.23,349.58,345.06,335.02,340.04,L7
2000-07-11 22:04:53+00:00,370.49,345.94,350.23,348.39,345.52,334.45,337.30,L7
2000-08-12 22:04:29+00:00,365.08,340.39,350.23,343.66,341.48,326.74,332.75,L7
2000-08-19 22:10:13+00:00,367.04,338.54,352.26,344.78,340.86,327.74,331.21,L7
2000-09-13 22:04:02+00:00,364.22,336.96,346.50,341.68,337.56,324.14,330.33,L7
2000-10-15 22:03:32+00:00,364.28,336.23,346.86,341.07,335.74,320.65,328.42,L7
2000-11-07 22:09:29+00:00,363.83,338.69,347.41,342.30,335.09,321.68,329.92,L7
2000-11-23 22:09:30+00:00,362.20,341.30,345.66,341.16,334.17,319.88,332.67,L7
2000-12-18 22:03:49+00:00,361.75,343.92,348.75,342.96,335.38,322.62,335.01,L7
2001-01-10 22:09:39+00:00,355.68,345.61,349.78,340.23,329.44,322.80,337.32,L7
2001-01-19 22:03:55+00:00,356.67,346.97,351.19,341.98,330.95,324.54,338.32,L7
2001-01-26 22:09:42+00:00,356.83,347.17,350.51,341.84,331.41,325.94,338.00,L7
2001-02-20 22:03:48+00:00,358.88,350.67,349.91,346.12,335.05,329.92,341.18,L7
2001-03-15 22:09:27+00:00,361.79,354.33,354.78,350.57,337.87,334.10,344.02,L7
2001-03-31 22:09:19+00:00,363.66,356.33,357.66,353.09,339.66,335.18,345.09,L7
2001-04-16 22:09:18+00:00,363.60,357.90,359.14,355.17,341.30,336.94,345.07,L7
2001-05-02 22:09:15+00:00,363.93,357.41,358.96,355.01,342.42,337.26,343.88,L7
2001-05-11 22:03:21+00:00,364.22,357.53,359.69,354.82,344.01,338.01,342.70,L7
2001-05-27 22:03:12+00:00,365.98,359.28,362.40,360.35,344.34,343.60,341.71,L7
2001-07-05 22:08:33+00:00,366.80,359.24,364.77,363.13,344.26,346.92,340.63,L7
2001-07-14 22:02:45+00:00,367.95,364.51,365.65,369.78,345.79,347.44,340.23,L7
2001-08-31 22:02:05+00:00,369.60,368.72,369.23,372.75,344.17,346.69,339.07,L7
2001-09-23 22:07:39+00:00,362.86,369.57,366.55,370.26,342.19,344.68,333.14,L7
2001-10-02 22:01:40+00:00,361.74,370.58,365.31,369.25,342.41,345.49,332.62,L7
2001-11-03 22:01:46+00:00,360.04,371.96,365.22,369.53,338.00,349.01,332.14,L7
2001-12-21 22:02:05+00:00,359.06,374.85,363.29,365.07,337.88,344.44,336.89,L7
2002-01-29 22:07:57+00:00,363.38,364.27,359.42,351.30,339.05,340.28,340.71,L7
2002-02-07 22:02:17+00:00,370.20,372.14,365.84,357.57,345.20,346.76,345.79,L7
2002-03-02 22:08:08+00:00,370.43,372.14,366.00,357.67,347.24,351.25,345.01,L7
2002-04-03 22:07:57+00:00,379.58,373.41,374.40,364.29,354.74,365.30,355.88,L7
2002-05-14 22:02:07+00:00,381.69,380.31,382.31,368.73,360.44,365.30,362.60,L7
2002-05-30 22:02:01+00:00,381.69,380.31,382.31,368.73,360.44,371.37,367.56,L7
2002-07-17 22:01:44+00:00,384.28,386.08,386.44,373.24,363.60,376.46,370.20,L7
2002-08-02 22:01:37+00:00,381.16,382.09,386.27,372.96,362.70,373.74,366.78,L7
2002-08-18 22:01:33+00:00,369.03,363.03,370.24,361.75,351.86,355.58,355.51,L7
2002-08-25 22:07:12+00:00,367.77,363.03,370.24,361.75,351.86,355.58,355.51,L7
