dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030
1999-09-29 21:54:04+00:00,L7,348.09,345.90,,,,,,,,,,,,,,,,,,354.10,367.30,355.32,339.92,319.47,315.67,321.67,326.42,338.90,326.89,310.47,320.86
2000-01-19 21:53:49+00:00,L7,391.91,382.25,385.75,390.43,391.53,391.62,385.82,387.29,382.33,382.11,380.28,376.83,368.79,370.20,374.99,373.34,378.30,374.86,381.09,381.20,395.81,380.16,353.27,340.94,335.63,335.23,341.30,350.11,340.72,327.07,342.06
2000-05-26 21:53:00+00:00,L7,371.05,365.05,359.36,368.51,376.19,379.24,374.02,361.96,360.78,363.26,367.43,363.73,361.08,358.48,361.08,356.59,354.90,358.28,363.31,368.77,371.53,362.81,331.58,322.39,322.94,322.19,329.92,336.72,332.96,321.12,328.85
2000-07-13 21:52:31+00:00,L7,375.76,376.21,372.36,369.92,373.53,383.11,376.19,369.18,366.98,363.83,367.12,369.18,364.00,359.23,362.71,364.64,363.29,370.57,373.32,372.11,374.75,374.55,345.32,332.01,322.89,327.91,343.75,349.87,342.83,328.97,341.84
2000-07-29 21:52:14+00:00,L7,387.71,384.54,380.54,377.40,382.87,388.21,379.82,374.19,370.73,373.61,375.85,374.46,372.66,371.05,376.66,384.49,375.05,378.15,379.32,382.23,382.47,375.88,350.81,340.75,331.73,333.92,346.35,366.37,355.48,337.21,358.98
2000-08-14 21:52:08+00:00,L7,367.33,359.51,358.05,354.94,358.30,366.07,365.56,362.21,361.98,358.60,359.10,362.46,357.40,354.95,358.51,359.34,358.40,360.42,369.45,369.80,373.09,356.09,336.63,327.54,320.54,324.19,331.18,343.57,339.69,320.55,329.70
2001-01-05 21:51:28+00:00,L7,386.67,373.66,372.07,375.33,381.42,388.41,385.49,379.28,371.84,366.25,366.92,371.34,372.65,368.05,368.87,368.30,368.83,370.02,374.13,380.34,382.46,364.93,344.66,330.27,328.79,332.04,338.95,350.39,346.62,327.94,337.29
2001-04-11 21:51:09+00:00,L7,356.44,350.36,346.87,348.64,351.37,363.27,355.01,347.58,348.93,346.72,347.66,345.43,341.38,346.55,346.27,344.52,346.45,349.24,351.57,355.80,359.20,342.85,323.43,310.85,313.10,313.76,318.46,330.11,324.22,305.05,309.70
2001-04-27 21:51:07+00:00,L7,359.75,352.76,349.64,351.04,355.92,363.54,357.90,351.68,348.75,346.91,346.55,351.37,344.95,344.91,348.33,348.25,349.28,351.07,356.73,359.58,364.83,349.87,326.85,317.46,316.22,317.04,321.00,333.79,329.44,309.37,320.80
2001-05-13 21:50:57+00:00,L7,360.39,355.28,348.81,348.09,357.04,361.84,357.06,350.11,349.55,346.99,342.43,345.21,345.54,347.36,346.01,346.87,349.08,349.61,356.47,356.11,360.17,345.02,327.67,317.57,311.80,316.03,318.81,334.45,328.40,314.01,321.23
2001-06-14 21:50:38+00:00,L7,366.26,361.88,359.86,367.44,372.47,378.76,373.14,366.16,363.06,362.96,358.30,357.69,358.38,360.04,358.33,355.67,360.34,358.92,368.66,371.78,373.22,353.38,335.11,327.82,323.02,326.53,329.08,345.24,337.50,323.49,337.13
2001-09-18 21:49:29+00:00,L7,382.02,379.77,373.94,370.09,375.91,387.17,387.32,377.79,369.79,360.54,354.40,366.55,371.65,364.63,368.37,365.73,366.17,368.83,367.83,363.59,372.05,366.51,341.49,329.18,321.56,325.45,342.60,348.46,339.48,326.13,339.68
2001-10-04 21:49:17+00:00,L7,371.83,368.62,366.23,369.47,377.80,386.02,383.26,373.58,366.06,357.81,363.94,369.23,364.22,355.91,359.83,363.00,366.69,367.88,365.85,366.97,370.73,357.41,341.18,328.89,322.31,325.77,333.84,344.72,332.93,319.54,328.72
2002-06-17 21:49:33+00:00,L7,344.04,334.06,339.32,339.03,343.57,356.87,352.59,343.20,339.53,336.03,343.25,344.63,344.59,348.03,342.93,339.93,344.68,335.63,351.73,353.94,354.89,336.90,317.96,307.47,304.91,305.02,306.65,316.97,317.30,305.50,320.31
2002-07-19 21:49:21+00:00,L7,378.52,370.32,356.66,357.48,369.70,379.93,380.03,367.71,364.11,361.64,366.34,368.58,372.54,365.72,362.93,357.50,354.41,362.11,368.60,373.21,375.22,358.41,341.19,324.58,322.97,321.92,330.90,340.65,333.14,326.49,335.21
2002-08-20 21:49:10+00:00,L7,383.11,372.15,361.75,360.46,365.26,375.51,379.37,374.15,369.20,366.16,363.90,366.69,365.97,359.62,369.00,363.41,362.22,364.59,372.25,372.64,373.69,361.06,339.93,319.95,322.54,324.70,335.04,346.71,334.06,326.30,344.80
2002-10-23 21:48:51+00:00,L7,369.44,359.38,359.25,361.38,363.72,369.40,369.59,356.73,353.47,357.97,364.65,366.63,355.27,358.08,355.83,350.77,348.97,350.50,358.57,364.79,369.36,353.78,325.60,317.73,313.91,317.56,322.63,337.43,321.74,317.05,327.78
2002-12-26 21:49:23+00:00,L7,352.07,350.82,350.45,349.64,354.34,365.79,357.14,350.99,350.21,350.54,354.79,350.70,340.57,339.25,339.87,341.21,338.82,340.37,347.01,348.27,353.31,342.89,318.46,307.16,300.88,301.47,312.60,319.31,311.39,302.68,315.03
2003-01-27 21:49:33+00:00,L7,374.81,371.06,366.03,367.88,370.31,377.48,374.08,363.68,362.07,365.20,362.94,363.34,359.18,356.23,356.17,354.74,352.11,351.95,359.76,364.78,369.86,356.80,330.29,317.02,315.93,317.67,326.90,337.52,328.69,316.65,324.81
2003-03-16 21:49:46+00:00,L7,395.35,391.95,380.73,375.23,379.56,389.40,383.42,371.76,371.88,374.96,372.54,371.55,370.41,369.14,362.42,363.68,365.40,368.35,375.45,370.27,374.10,384.18,353.01,327.95,318.36,323.94,343.49,357.25,351.17,336.30,353.43
