dates,nzd0350-0000,nzd0350-0001,nzd0350-0002,nzd0350-0003,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0013,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017,satname
1999-08-03 22:00:08+00:00,,,,350.74,,,,,,,333.48,331.56,334.39,335.45,342.59,342.71,349.03,348.45,L7
1999-08-28 21:53:59+00:00,369.26,350.80,353.46,353.69,363.69,352.68,351.04,353.04,343.64,341.44,335.77,334.93,334.22,335.69,345.10,346.56,354.39,356.35,L7
1999-09-29 21:54:04+00:00,364.77,352.03,353.20,354.08,358.12,351.08,346.52,348.27,344.39,340.58,338.04,337.52,337.27,337.38,347.47,347.97,355.13,359.12,L7
2000-01-26 22:00:02+00:00,372.62,353.15,352.07,354.46,355.97,351.41,343.95,344.92,342.86,335.84,337.03,337.70,337.48,337.78,346.08,346.50,352.78,357.75,L7
2000-02-27 21:59:52+00:00,371.08,356.83,350.86,352.38,351.18,352.25,343.12,341.22,343.23,335.25,338.25,341.70,342.95,341.58,347.70,347.02,352.87,358.75,L7
2000-03-14 21:59:47+00:00,367.71,354.50,348.35,350.24,349.48,351.18,343.04,339.78,341.81,335.10,336.99,338.36,340.15,341.58,347.70,347.02,352.87,358.75,L7
2000-03-30 21:59:45+00:00,381.11,355.91,348.34,349.59,348.58,351.94,344.56,340.50,342.16,335.97,337.26,339.33,340.62,343.74,347.00,347.65,352.31,356.31,L7
2000-04-15 21:59:31+00:00,390.11,356.12,349.89,351.10,351.32,352.26,346.70,341.92,343.21,337.26,338.66,339.61,342.10,344.25,348.01,348.27,352.35,355.14,L7
2000-05-01 21:59:30+00:00,393.66,355.32,349.61,351.41,350.98,351.66,347.12,342.95,344.00,338.92,339.09,339.75,342.25,344.66,347.85,348.56,352.13,355.74,L7
2000-05-17 21:59:19+00:00,389.19,353.92,347.98,350.80,350.24,350.89,346.63,342.67,343.26,339.09,339.08,339.40,341.86,344.04,347.25,348.45,352.11,354.91,L7
2000-06-18 21:59:03+00:00,384.49,351.79,345.35,348.34,348.43,348.39,344.66,340.63,341.79,338.58,338.80,338.53,340.26,341.46,345.32,347.16,350.95,353.24,L7
2000-07-04 21:58:50+00:00,380.93,351.50,344.82,347.64,348.17,347.04,344.52,340.23,341.99,338.63,338.98,338.41,339.54,340.26,343.92,345.88,349.84,352.08,L7
2000-08-05 21:58:20+00:00,380.92,350.31,343.61,345.77,346.67,344.96,344.26,339.74,341.64,339.34,339.51,338.24,339.06,339.78,344.42,346.44,349.74,351.51,L7
2000-11-18 21:51:22+00:00,364.11,341.15,334.51,336.76,338.31,333.68,335.16,330.44,332.42,330.30,332.79,329.91,328.54,325.47,333.96,336.09,340.73,342.27,L7
2000-11-25 21:57:34+00:00,376.09,343.45,337.12,339.54,341.16,335.33,338.01,331.83,333.89,332.28,333.93,331.39,330.58,328.73,336.34,338.72,343.06,345.46,L7
2000-12-04 21:51:22+00:00,373.89,346.33,339.71,342.86,343.71,338.48,341.32,333.08,335.93,333.62,335.84,333.62,332.92,330.84,337.31,340.09,344.37,347.98,L7
2000-12-20 21:51:28+00:00,380.15,349.10,344.33,346.77,347.53,341.63,345.77,335.71,338.62,334.75,337.21,335.51,334.93,333.18,338.19,340.17,344.87,349.68,L7
2001-01-05 21:51:28+00:00,385.73,353.00,347.71,349.46,350.29,346.38,348.63,337.48,340.68,337.46,338.73,337.86,337.61,336.26,341.13,342.81,347.35,353.31,L7
2001-02-06 21:51:26+00:00,383.53,354.28,350.00,352.10,353.12,349.57,351.23,340.01,342.25,339.72,339.21,338.11,339.15,338.18,341.07,342.69,347.94,354.43,L7
2001-03-10 21:51:22+00:00,383.41,354.92,351.30,353.80,354.66,351.42,352.10,342.04,344.49,342.00,340.98,339.03,340.08,339.38,341.77,343.61,348.69,354.93,L7
2001-03-17 21:57:28+00:00,387.49,355.93,351.15,353.89,354.53,351.92,352.26,343.75,345.74,343.16,342.16,340.70,341.33,340.73,342.82,344.67,349.29,355.78,L7
2001-04-11 21:51:09+00:00,387.49,356.08,350.77,353.93,353.60,351.31,350.95,343.59,345.73,342.71,341.58,339.64,340.21,340.04,343.10,344.49,349.67,356.22,L7
2001-05-13 21:50:57+00:00,387.49,356.36,350.11,353.38,353.04,350.69,350.76,343.59,345.73,342.71,341.58,340.38,340.64,340.13,343.42,344.44,349.67,356.22,L7
2001-05-20 21:57:04+00:00,389.45,358.12,351.26,355.02,354.65,351.90,352.34,345.88,348.64,346.58,344.85,343.20,342.94,343.58,345.25,346.57,351.08,358.11,L7
2001-08-24 21:56:00+00:00,400.40,356.28,348.47,352.96,351.16,351.22,347.33,347.33,347.77,344.94,343.37,342.05,340.55,341.55,344.01,345.25,349.10,354.78,L7
2001-09-02 21:49:41+00:00,399.58,355.48,349.60,353.29,351.72,350.94,347.54,346.09,346.03,344.04,342.56,341.12,339.76,340.12,342.33,343.67,347.72,354.29,L7
2001-09-18 21:49:29+00:00,401.44,353.91,349.71,352.64,351.18,348.29,346.00,342.10,341.91,340.75,339.21,338.88,337.77,338.14,340.51,341.48,345.64,353.24,L7
2001-11-05 21:49:26+00:00,401.44,353.24,350.10,352.32,352.17,348.66,347.11,342.04,340.97,341.15,338.21,339.36,338.44,337.07,338.53,338.42,342.51,351.03,L7
2001-12-30 21:55:49+00:00,399.89,351.30,352.51,352.77,352.59,349.61,346.48,339.30,338.38,337.48,334.38,334.18,333.78,331.73,332.81,332.76,339.56,349.17,L7
2002-05-07 21:56:03+00:00,397.28,350.36,346.06,349.44,344.79,344.19,340.01,328.48,327.03,330.00,326.95,321.99,324.84,320.90,320.63,322.63,329.75,336.45,L7
2002-06-24 21:55:40+00:00,387.34,349.86,347.75,347.21,342.82,341.11,339.26,326.41,327.38,330.92,327.31,320.46,327.86,325.40,326.12,328.53,335.32,342.70,L7
2002-07-10 21:55:37+00:00,387.35,347.48,346.89,347.38,337.74,335.81,331.71,320.19,322.41,327.12,326.77,316.67,323.69,318.94,321.50,329.10,336.93,343.76,L7
2002-08-20 21:49:10+00:00,382.64,348.77,346.94,348.54,340.05,337.80,332.05,322.26,323.76,327.40,327.31,319.61,325.42,322.32,324.82,331.10,338.15,344.71,L7
2002-09-12 21:55:07+00:00,386.90,349.84,347.91,348.06,341.82,340.25,334.29,325.22,326.36,327.88,329.52,324.12,327.69,325.42,328.31,332.33,339.59,346.29,L7
2002-10-30 21:55:01+00:00,388.14,351.87,347.46,348.56,343.31,340.07,335.89,326.51,328.25,327.83,329.94,326.12,329.40,327.12,330.80,333.95,341.14,347.73,L7
2002-12-01 21:55:28+00:00,386.48,353.49,348.72,349.35,345.18,340.79,337.51,329.35,331.16,329.99,331.42,328.61,331.23,329.51,334.11,337.05,343.90,352.63,L7
2002-12-26 21:49:23+00:00,390.70,355.78,348.59,350.36,346.82,342.97,338.40,332.01,332.36,329.49,332.07,331.77,332.33,329.55,334.67,336.38,343.52,352.25,L7
2003-01-02 21:55:34+00:00,390.24,355.79,349.25,350.79,347.59,343.24,338.87,332.19,333.01,330.95,332.22,331.90,332.59,329.59,334.25,336.45,342.44,351.70,L7
2003-01-27 21:49:33+00:00,387.33,356.93,349.27,349.85,349.77,344.77,341.61,334.88,335.90,332.05,332.61,335.18,335.39,332.93,337.51,338.19,342.98,350.61,L7
2003-02-19 21:55:54+00:00,389.34,358.05,349.61,350.04,350.13,345.69,343.60,336.26,338.18,333.24,333.61,337.17,336.87,333.75,338.50,338.78,344.17,351.72,L7
2003-04-08 21:55:59+00:00,382.02,356.39,347.61,348.86,348.58,342.85,341.96,334.21,336.59,332.51,331.61,334.40,334.56,330.27,335.41,336.03,343.97,351.83,L7
2003-07-21 21:43:45+00:00,370.62,351.03,342.89,345.75,344.66,340.93,341.06,332.06,336.24,331.99,331.46,334.55,331.94,326.90,332.42,333.12,344.74,346.98,L5
