dates,nzd0375-0000,nzd0375-0001,nzd0375-0002,nzd0375-0003,satname
1999-09-04 22:00:09+00:00,305.61846153846153,297.29846153846154,301.19555555555553,315.2733333333333,L7
1999-09-20 22:00:08+00:00,306.2469230769231,298.3869230769231,302.9233333333333,319.78,L7
1999-12-25 22:00:04+00:00,312.70076923076925,305.2507692307692,302.13222222222225,325.6533333333333,L7
2000-01-26 22:00:02+00:00,319.59153846153845,311.89153846153846,315.29,335.08,L7
2000-02-27 21:59:52+00:00,309.3115384615385,306.08153846153846,306.14222222222224,326.0833333333333,L7
2000-03-14 21:59:47+00:00,298.23615384615385,287.5661538461539,288.87333333333333,309.74,L7
2000-03-30 21:59:45+00:00,304.0615384615385,296.88153846153847,298.81444444444446,315.93666666666667,L7
2000-04-15 21:59:31+00:00,306.21846153846155,299.1984615384616,302.37444444444446,311.0266666666667,L7
2000-05-01 21:59:30+00:00,306.75,299.02,307.48777777777775,312.5866666666667,L7
2000-05-17 21:59:19+00:00,290.6453846153846,287.67538461538464,295.3722222222222,310.0233333333333,L7
2000-06-02 21:59:07+00:00,293.27461538461534,288.91461538461533,299.2733333333333,310.6,L7
2000-06-18 21:59:03+00:00,287.21384615384613,287.06384615384616,,,L7
2000-08-05 21:58:20+00:00,306.97461538461533,304.07461538461536,305.28222222222223,328.25333333333333,L7
2000-10-08 21:57:36+00:00,313.04615384615386,306.4461538461539,302.13444444444445,318.4866666666667,L7
2000-11-25 21:57:34+00:00,303.9984615384615,296.02846153846156,299.36888888888893,309.7333333333333,L7
2000-12-11 21:57:36+00:00,309.22923076923075,298.77923076923076,300.1333333333333,308.71,L7
2001-02-13 21:57:39+00:00,320.5053846153846,313.04538461538465,308.8711111111111,326.3366666666667,L7
2001-05-20 21:57:04+00:00,300.1953846153846,294.36538461538464,307.77222222222224,323.3333333333333,L7
2001-06-05 21:56:52+00:00,291.6176923076923,285.5076923076923,295.8,,L7
2001-08-08 21:56:12+00:00,308.37615384615384,303.34615384615387,305.0522222222222,325.4033333333333,L7
2001-08-24 21:56:00+00:00,307.7515384615385,305.52153846153846,306.82,321.93,L7
2001-10-11 21:55:21+00:00,310.28076923076924,307.2607692307692,307.2677777777778,326.1166666666667,L7
2001-12-30 21:55:49+00:00,310.40384615384613,300.34384615384613,303.1433333333333,314.05,L7
2002-03-04 21:56:09+00:00,313.47769230769234,311.90769230769234,311.7188888888889,332.7033333333333,L7
2002-05-07 21:56:03+00:00,290.1638461538461,283.9938461538461,289.71777777777777,309.9666666666667,L7
2002-05-23 21:55:54+00:00,286.6823076923077,284.47230769230765,,,L7
2002-06-24 21:55:40+00:00,287.72615384615386,283.34615384615387,295.25666666666666,311.28,L7
2002-08-27 21:55:12+00:00,305.9630769230769,292.7730769230769,300.14,316.08,L7
2002-09-12 21:55:07+00:00,320.2307692307692,314.34076923076924,310.59555555555556,332.74333333333334,L7
2002-10-14 21:54:55+00:00,307.53,301.09,304.8788888888889,317.55333333333334,L7
2002-10-30 21:55:01+00:00,307.02461538461534,302.51461538461535,306.0288888888889,319.18333333333334,L7
2003-01-02 21:55:34+00:00,313.97153846153844,304.95153846153846,311.20111111111106,324.5566666666667,L7
2003-01-18 21:55:42+00:00,307.7923076923077,302.4323076923077,304.65444444444444,314.68666666666667,L7
2003-02-19 21:55:54+00:00,309.1369230769231,300.1169230769231,301.3466666666667,325.04,L7
2003-03-23 21:55:52+00:00,307.3784615384615,300.07846153846157,303.1033333333333,320.66,L7
2003-04-08 21:55:59+00:00,301.84384615384613,298.2338461538461,297.6044444444445,314.12666666666667,L7
2003-04-24 21:55:58+00:00,297.11846153846153,294.63846153846157,302.63111111111107,320.3566666666667,L7
2003-07-21 21:43:45+00:00,287.13,282.04,291.2888888888889,321.24333333333334,L5
2003-07-29 21:55:41+00:00,287.3207692307692,282.78076923076924,287.70111111111106,304.4266666666667,L7
2003-08-06 21:44:03+00:00,295.7530769230769,289.1130769230769,293.8611111111111,317.0466666666667,L5
2003-08-30 21:55:34+00:00,,,301.6122222222222,314.0233333333333,L7
2003-10-17 21:55:27+00:00,,,305.99333333333334,326.29,L7
2003-11-18 21:55:51+00:00,318.1892307692308,310.97923076923075,,,L7
2003-12-04 21:55:54+00:00,,,305.51222222222225,318.7333333333333,L7
2003-12-12 21:45:46+00:00,313.7769230769231,318.7669230769231,328.0411111111111,342.3566666666667,L5
2003-12-20 21:56:04+00:00,,,301.81666666666666,313.4,L7
2003-12-21 21:39:43+00:00,,,295.27,300.77,L5
2003-12-28 21:45:57+00:00,321.2969230769231,311.7569230769231,308.01444444444445,336.94666666666666,L5
2004-03-09 21:56:27+00:00,316.2523076923077,302.58230769230767,304.5366666666667,318.94,L7
2004-04-02 21:46:30+00:00,310.40538461538466,301.3253846153846,298.13222222222225,304.3333333333333,L5
2004-04-10 21:56:26+00:00,309.94153846153847,304.72153846153844,306.67555555555555,323.5433333333333,L7
2004-05-04 21:47:27+00:00,298.1961538461539,289.86615384615385,298.9866666666667,311.15,L5
2004-05-12 21:56:25+00:00,308.22230769230765,301.9923076923077,306.09222222222223,324.0833333333333,L7
2004-06-05 21:48:24+00:00,301.7669230769231,295.9669230769231,303.5422222222222,323.00333333333333,L5
2004-07-07 21:49:21+00:00,290.54153846153844,295.11153846153843,305.97555555555556,329.3533333333333,L5
2004-07-31 21:56:03+00:00,293.8715384615385,,,303.99,L7
2004-08-24 21:50:29+00:00,295.9569230769231,290.9869230769231,296.24666666666667,318.54,L5
2004-09-02 21:44:33+00:00,314.4384615384615,306.89846153846156,309.7944444444445,300.3966666666667,L5
2004-09-25 21:51:19+00:00,319.96846153846155,306.53846153846155,313.85888888888894,326.1933333333333,L5
2004-10-19 21:55:55+00:00,318.37461538461537,310.4846153846154,305.25666666666666,,L7
2004-10-27 21:51:59+00:00,303.58076923076925,289.60076923076923,305.8366666666667,319.7,L5
2004-11-04 21:56:07+00:00,323.0753846153846,317.43538461538463,317.1222222222222,333.6933333333333,L7
2004-11-12 21:52:15+00:00,320.10923076923075,312.8792307692308,317.68333333333334,326.9,L5
2004-11-20 21:56:13+00:00,300.9907692307692,298.77076923076925,299.8277777777778,317.9066666666667,L7
2004-12-14 21:52:54+00:00,298.14,288.73,292.6733333333333,,L5
2005-02-08 21:56:46+00:00,309.3730769230769,294.5930769230769,297.53,310.18,L7
2005-02-24 21:56:53+00:00,303.14230769230767,298.77230769230766,303.54888888888894,314.2333333333333,L7
2005-03-04 21:54:04+00:00,323.3469230769231,313.7969230769231,321.02222222222224,333.3933333333333,L5
2005-03-12 21:56:56+00:00,316.01384615384615,308.63384615384615,309.5755555555555,323.7833333333333,L7
2005-04-05 21:54:19+00:00,317.36,303.96,311.61777777777775,318.74666666666667,L5
2005-04-21 21:54:22+00:00,316.8730769230769,312.1030769230769,317.03444444444443,324.0466666666667,L5
2005-05-23 21:54:36+00:00,312.02923076923076,307.3292307692308,308.0333333333333,319.65,L5
2005-05-31 21:56:47+00:00,287.7930769230769,288.2230769230769,,,L7
2005-06-08 21:54:44+00:00,286.38153846153847,285.92153846153843,293.0188888888889,318.7633333333333,L5
2005-08-03 21:56:37+00:00,292.80846153846153,290.11846153846153,299.2788888888889,315.8233333333333,L7
2005-08-27 21:55:20+00:00,309.14230769230767,298.40230769230766,301.6211111111111,320.0866666666667,L5
2005-09-20 21:56:18+00:00,303.0061538461539,301.5761538461539,301.5333333333333,316.28,L7
2005-09-28 21:55:20+00:00,312.9484615384616,303.27846153846156,307.4222222222222,326.6133333333333,L5
2005-10-22 21:56:27+00:00,307.7830769230769,307.64307692307693,304.7488888888889,319.5233333333333,L7
2005-11-07 21:56:39+00:00,328.6530769230769,320.4730769230769,315.68333333333334,335.58,L7
2005-11-08 21:49:16+00:00,,324.9876923076923,325.1588888888889,350.5333333333333,L5
2005-12-25 21:56:55+00:00,313.79,307.37,310.40444444444444,324.9766666666667,L7
2006-02-11 21:57:16+00:00,303.70461538461535,297.41461538461533,299.7077777777778,310.7266666666667,L7
2006-02-19 21:57:51+00:00,312.16615384615386,302.40615384615387,301.5166666666667,324.17,L5
2006-02-27 21:57:19+00:00,303.2515384615385,,,,L7
2006-03-07 21:58:11+00:00,320.05846153846153,313.57846153846157,313.47555555555556,332.2033333333333,L5
2006-03-15 21:57:19+00:00,308.96384615384613,298.7838461538461,,,L7
2006-03-31 21:57:18+00:00,311.34846153846155,299.76846153846157,303.9011111111111,313.69666666666666,L7
2006-05-02 21:57:17+00:00,315.4976923076923,,,,L7
2006-06-19 21:57:12+00:00,288.44153846153847,289.17153846153843,299.3622222222222,320.49333333333334,L7
2006-06-27 22:00:00+00:00,282.60769230769233,278.0576923076923,287.40777777777777,,L5
2006-07-21 21:56:57+00:00,,273.85846153846154,288.0833333333333,300.38,L7
2006-08-22 21:56:53+00:00,,,295.9566666666667,306.28,L7
2006-09-15 22:01:03+00:00,319.4338461538461,315.25384615384615,313.71444444444444,328.4666666666667,L5
2006-10-09 21:56:36+00:00,317.45,310.18,311.06444444444446,323.5166666666667,L7
2006-10-25 21:56:53+00:00,325.6976923076923,313.6776923076923,,,L7
2006-11-02 22:01:32+00:00,321.95923076923077,308.04923076923075,315.79777777777775,322.3566666666667,L5
2006-11-10 21:57:06+00:00,318.69384615384615,307.7238461538461,305.71777777777777,,L7
2006-12-12 21:57:23+00:00,310.7661538461539,304.67615384615385,305.7766666666667,331.36,L7
2006-12-28 21:57:26+00:00,307.1776923076923,307.16769230769233,307.24555555555554,329.18333333333334,L7
2006-12-29 21:55:50+00:00,270.2592307692308,,273.8355555555555,,L5
2007-01-05 22:02:04+00:00,314.3830769230769,303.9130769230769,303.4266666666667,316.67,L5
2007-01-21 22:02:09+00:00,315.83461538461535,307.53461538461534,308.80444444444447,324.1166666666667,L5
2007-01-29 21:57:33+00:00,312.48153846153843,294.11153846153843,293.47555555555556,312.9133333333333,L7
2007-01-30 21:56:00+00:00,312.57384615384615,307.40384615384613,310.73888888888894,333.4233333333333,L5
2007-02-06 22:02:11+00:00,321.72615384615386,300.8961538461539,298.3266666666667,324.02,L5
2007-02-14 21:57:39+00:00,311.64384615384614,296.71384615384613,303.6333333333333,367.35,L7
2007-03-18 21:57:45+00:00,,296.35769230769233,302.43555555555554,376.3433333333333,L7
2007-04-19 21:57:43+00:00,317.59538461538466,309.90538461538466,,,L7
2007-06-06 21:57:29+00:00,,,308.96555555555557,340.7933333333333,L7
2007-08-25 21:57:11+00:00,316.86846153846153,316.21846153846155,320.55333333333334,342.34,L7
2007-09-10 21:57:03+00:00,319.37538461538463,312.46538461538466,324.78222222222223,343.4533333333333,L7
2007-09-26 21:56:59+00:00,315.5615384615385,308.03153846153845,318.8366666666667,340.04,L7
2007-10-12 21:56:59+00:00,332.1107692307692,318.91076923076923,318.77,333.09,L7
2007-10-28 21:57:10+00:00,323.49,314.81,313.70444444444445,338.81666666666666,L7
2007-11-06 21:51:05+00:00,,,,369.9666666666667,L7
2007-11-22 21:51:13+00:00,,,333.23777777777775,351.7866666666667,L7
2007-12-15 21:57:32+00:00,342.4830769230769,327.4230769230769,324.29888888888894,348.7833333333333,L7
2007-12-31 21:57:34+00:00,,,327.7322222222222,356.4133333333333,L7
2008-02-25 21:57:37+00:00,340.83,332.77,328.91777777777776,352.12666666666667,L5
2008-03-04 21:57:24+00:00,329.26,312.42,319.89222222222224,,L7
2008-03-20 21:57:22+00:00,334.5261538461539,,,,L7
2008-05-07 21:57:16+00:00,321.2061538461539,323.15615384615387,321.30888888888893,332.4633333333333,L7
2008-06-08 21:57:01+00:00,305.77384615384614,304.1138461538461,307.9833333333333,331.5,L7
2008-07-10 21:56:40+00:00,,,332.76444444444445,323.2866666666667,L7
2008-08-27 21:56:17+00:00,323.5761538461539,317.16615384615386,318.0755555555555,330.4733333333333,L7
2008-09-12 21:56:09+00:00,334.8107692307692,325.20076923076925,328.3311111111111,346.06666666666666,L7
2008-10-14 21:55:54+00:00,336.82846153846157,,,329.0466666666667,L7
2008-12-01 21:56:35+00:00,343.96153846153845,328.84153846153845,328.4666666666667,332.57,L7
2008-12-09 21:51:18+00:00,321.6169230769231,316.8969230769231,309.57,321.92,L5
2008-12-10 21:50:30+00:00,331.3107692307692,,,,L7
2008-12-25 21:51:46+00:00,316.22230769230765,311.3023076923077,314.5,308.83,L5
