dates,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047,satname
1999-08-17 22:12:26+00:00,500.56,379.30,380.44,381.07,358.58,357.32,355.90,354.45,353.25,362.68,358.94,360.69,354.29,357.18,385.76,366.02,359.63,371.61,369.05,376.34,370.90,364.52,363.86,365.73,362.44,364.29,362.59,362.52,348.39,350.87,347.55,343.18,353.07,368.24,367.61,365.73,359.70,352.75,352.82,340.25,343.54,353.76,355.09,352.16,352.62,370.20,,422.94,L7
1999-10-13 22:06:24+00:00,489.35,370.95,387.68,383.26,357.11,353.59,354.89,352.54,354.87,362.94,362.46,363.96,360.00,362.12,385.49,367.73,357.36,365.01,364.88,370.68,367.40,363.54,361.45,361.26,360.27,366.42,363.31,361.94,350.04,349.67,349.12,347.01,355.45,364.99,362.61,356.81,353.55,343.94,349.27,341.75,347.50,356.87,360.43,358.47,353.91,367.54,386.04,405.32,L7
1999-11-21 22:12:24+00:00,489.35,366.87,389.63,385.34,358.98,355.16,357.69,355.42,360.86,370.38,371.35,371.58,366.39,365.69,385.32,370.00,358.86,367.63,369.39,373.95,372.59,368.99,367.30,368.02,371.56,374.86,370.01,368.13,357.50,355.12,352.79,352.53,355.49,365.11,362.08,359.15,358.45,349.96,356.37,351.63,356.54,364.17,365.21,364.49,355.23,368.86,393.50,404.60,L7
2000-01-24 22:12:23+00:00,489.35,366.87,389.63,385.34,358.98,355.16,359.54,355.61,359.96,369.90,374.00,378.50,372.19,368.95,388.50,374.54,363.90,374.27,371.86,373.81,370.02,367.34,367.09,370.81,373.30,377.25,374.75,369.73,359.08,357.59,354.94,352.42,353.83,362.04,359.19,356.55,357.38,350.55,357.44,354.26,360.56,367.37,366.43,364.84,357.60,372.80,393.50,402.55,L7
2000-03-21 22:06:01+00:00,478.14,360.66,394.22,387.47,359.17,354.09,360.75,356.00,362.19,372.31,379.01,384.44,378.16,373.21,389.42,377.39,365.33,375.16,372.79,372.96,369.73,368.28,368.16,372.51,376.92,381.58,378.81,372.13,362.64,359.83,357.41,355.50,354.09,359.97,356.39,353.49,356.60,349.81,358.98,358.94,366.23,371.90,370.21,369.06,359.26,373.66,393.50,404.77,L7
2000-05-24 22:05:22+00:00,,379.30,377.67,380.78,360.79,360.90,361.90,355.47,356.49,367.05,377.48,399.25,389.60,376.48,398.05,388.19,379.04,394.20,379.25,373.37,362.34,362.40,366.45,379.20,378.52,384.44,389.00,373.79,364.69,360.36,356.45,349.27,348.90,351.98,348.33,346.71,353.06,350.06,361.83,359.66,370.92,375.37,371.83,367.04,364.72,384.61,,414.12,L7
2000-05-31 22:11:30+00:00,486.59,354.58,363.47,374.50,355.71,356.24,357.68,350.30,355.56,366.13,374.55,382.60,377.13,369.74,384.88,376.97,366.68,379.21,373.10,369.76,366.16,366.13,368.18,377.05,379.40,381.78,383.44,374.06,363.15,358.58,352.61,349.64,346.90,352.73,351.16,347.30,354.07,350.73,363.17,362.27,369.49,374.99,371.83,367.04,364.72,384.61,,414.12,L7
2000-08-19 22:10:38+00:00,488.82,354.58,372.98,378.18,359.61,359.34,357.79,350.72,357.68,367.55,372.15,371.59,370.45,368.93,383.63,366.93,357.12,365.09,366.26,366.77,361.21,366.21,364.90,368.75,371.12,374.13,372.48,370.56,362.11,354.73,345.45,343.43,342.82,346.07,344.71,344.80,352.03,347.85,357.41,355.68,363.46,373.32,374.55,370.50,360.63,381.00,410.77,420.14,L7
2000-09-13 22:04:02+00:00,488.82,354.58,372.98,378.18,359.61,359.34,357.79,350.72,357.68,367.55,372.15,371.59,370.45,368.93,383.63,366.93,357.12,365.09,366.26,366.77,361.21,366.21,364.90,368.75,371.12,374.13,372.48,370.56,362.11,354.73,345.45,343.43,342.82,346.07,344.71,344.80,352.03,347.85,357.41,355.68,363.46,373.32,374.55,370.50,360.63,381.00,410.77,400.31,L7
2000-09-20 22:10:03+00:00,485.98,354.58,373.65,378.48,360.39,359.75,357.58,350.84,356.49,367.18,371.98,372.00,368.91,369.06,387.19,372.57,362.49,368.43,364.72,366.89,358.40,361.15,358.98,360.29,361.71,364.67,359.72,361.19,352.38,347.03,338.42,336.04,336.14,340.51,338.74,341.04,348.15,344.91,354.17,350.92,357.80,367.21,367.02,363.94,354.65,371.93,389.71,375.94,L7
