dates,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0011,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0042,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0059,nzd0384-0060,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073,satname
1999-07-02 21:59:57+00:00,,,,,,,,314.68,320.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-07-18 22:00:01+00:00,,,,,,,,,,,,,,,,,285.29,,,,,,,,,,,,,315.51,331.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.41,,325.24,344.97,362.98,,,L7
1999-09-04 22:00:09+00:00,319.53,314.78,312.11,309.66,307.47,306.77,299.10,299.11,300.64,304.57,303.49,301.24,309.04,307.82,305.85,302.11,301.06,297.19,297.06,297.86,296.89,295.29,300.15,310.85,312.50,319.23,320.72,321.29,327.04,329.87,331.39,327.52,329.77,334.20,339.71,341.78,330.56,332.35,332.29,331.94,337.56,338.87,340.61,337.85,332.17,328.72,326.78,325.26,324.48,318.83,324.01,325.93,329.34,338.92,345.65,343.88,345.97,348.62,344.71,341.10,349.68,354.74,365.53,361.49,361.66,360.93,347.83,358.01,360.98,362.69,364.89,356.93,351.01,343.77,L7
1999-10-22 22:00:04+00:00,306.92,307.91,305.06,306.26,301.75,301.79,301.44,299.92,299.05,304.19,311.28,310.23,312.11,309.13,312.79,309.47,303.38,300.52,294.35,295.34,299.04,304.84,310.74,318.06,318.41,323.92,327.20,326.38,326.24,328.05,335.89,335.23,333.41,334.63,339.75,346.57,347.91,351.48,346.45,352.32,352.80,345.56,344.17,346.61,345.79,342.55,336.34,334.84,334.37,330.98,331.23,332.47,344.65,349.06,360.61,365.73,361.94,357.12,355.45,355.20,359.42,364.46,361.10,359.97,362.95,355.58,360.14,353.95,354.60,356.89,362.73,360.45,345.72,350.14,L7
1999-12-09 22:00:09+00:00,345.46,316.42,309.44,307.48,307.50,302.93,301.06,293.47,292.65,291.42,298.04,297.49,305.79,312.31,306.74,302.77,301.53,296.45,294.63,301.83,302.02,308.85,312.49,312.66,315.06,321.30,326.06,326.68,325.03,325.95,323.81,321.16,324.61,328.57,332.87,336.27,339.21,342.27,340.79,344.22,338.36,341.85,345.93,342.77,334.85,332.61,332.86,324.80,331.06,330.09,327.21,325.95,335.00,343.09,354.44,352.22,355.17,350.13,349.88,347.46,351.30,354.84,355.62,350.25,351.53,346.57,337.71,337.62,343.32,338.81,350.16,340.75,335.47,342.24,L7
1999-12-25 22:00:04+00:00,331.07,315.76,302.72,293.12,289.05,286.94,284.25,283.78,283.50,290.74,288.78,293.80,295.05,297.85,299.79,297.87,291.83,284.39,289.74,288.61,293.91,292.60,295.34,301.16,307.26,308.05,316.48,313.41,311.35,311.26,316.75,315.75,314.01,317.76,324.40,321.30,321.53,327.77,332.75,336.71,331.68,331.97,333.58,329.32,322.39,323.99,322.16,316.51,316.26,312.94,315.02,320.37,328.64,332.90,340.00,336.75,341.59,334.44,333.03,330.69,333.06,334.34,334.95,336.58,340.58,338.30,335.04,329.72,328.22,330.38,340.30,339.91,341.80,345.46,L7
2000-02-11 21:59:57+00:00,340.32,331.73,325.00,314.18,306.55,299.57,295.36,288.87,296.28,295.42,296.52,302.74,306.52,307.68,308.09,304.31,304.07,299.42,292.87,298.43,300.85,303.78,308.00,315.81,322.31,323.85,323.79,331.76,328.00,331.74,323.83,326.64,325.48,321.78,332.12,333.78,335.07,340.47,342.77,343.47,344.63,342.43,348.71,344.52,338.49,337.63,335.83,333.54,330.24,331.70,329.82,329.64,340.83,344.31,360.14,358.38,358.93,355.77,346.63,348.94,349.38,355.54,352.79,355.39,348.07,348.28,345.97,341.22,345.76,342.68,350.10,341.37,343.99,343.02,L7
2000-02-27 21:59:52+00:00,333.34,324.05,319.66,311.38,308.06,303.92,298.06,295.05,296.33,298.13,298.21,299.06,301.81,301.88,304.14,304.07,300.48,295.74,295.53,293.93,293.70,297.15,303.38,316.70,321.86,321.66,324.37,326.80,325.37,326.63,327.20,326.95,326.71,321.86,328.75,331.70,334.53,344.27,342.79,342.96,346.23,348.35,349.63,340.24,336.76,336.70,332.12,330.52,324.40,330.70,332.22,337.86,339.61,345.31,352.24,352.92,356.95,354.42,347.04,347.17,352.28,356.02,352.66,347.84,354.59,342.79,341.26,338.70,341.22,335.88,351.71,352.84,346.47,353.55,L7
2000-03-30 21:59:45+00:00,323.77,318.33,311.63,307.67,311.21,312.42,305.94,306.79,307.42,306.29,309.56,311.14,307.69,314.04,317.99,316.55,307.60,302.04,298.50,299.39,295.81,300.65,307.72,313.27,320.17,326.68,330.10,330.94,333.02,334.19,335.56,335.76,337.44,333.15,339.96,342.08,346.16,346.82,346.83,342.59,337.73,342.74,342.00,338.90,337.46,341.53,340.21,336.96,334.29,331.91,332.07,330.44,336.27,338.36,352.00,353.20,352.44,350.30,347.35,343.97,345.33,350.54,353.87,357.06,357.44,353.35,348.26,345.34,351.57,351.06,365.60,363.89,364.76,359.61,L7
2000-04-15 21:59:31+00:00,335.86,315.47,302.00,302.37,302.55,301.67,300.24,296.60,304.23,301.12,307.11,306.89,304.44,310.33,304.14,308.05,302.50,298.13,297.35,298.44,296.30,307.83,306.92,310.37,315.44,323.09,329.55,322.49,330.57,327.66,329.27,328.61,329.55,327.57,326.75,337.54,340.11,341.01,345.01,338.44,338.40,343.67,340.56,330.60,331.45,327.44,328.17,324.50,320.70,326.47,325.91,327.13,337.25,340.17,347.94,347.80,347.99,345.76,339.53,337.82,341.14,353.21,350.22,348.68,345.25,346.09,343.07,348.46,342.85,348.32,358.26,362.61,355.06,356.13,L7
