dates,satname,nzd0400-0000,nzd0400-0001,nzd0400-0002,nzd0400-0003,nzd0400-0004,nzd0400-0005,nzd0400-0006,nzd0400-0007,nzd0400-0008,nzd0400-0009,nzd0400-0010,nzd0400-0011,nzd0400-0012,nzd0400-0013,nzd0400-0014,nzd0400-0015,nzd0400-0016,nzd0400-0017,nzd0400-0018,nzd0400-0019,nzd0400-0020,nzd0400-0021,nzd0400-0022,nzd0400-0023,nzd0400-0024,nzd0400-0025,nzd0400-0026,nzd0400-0027,nzd0400-0028,nzd0400-0029,nzd0400-0030,nzd0400-0031,nzd0400-0032,nzd0400-0033,nzd0400-0034,nzd0400-0035,nzd0400-0036,nzd0400-0037,nzd0400-0038,nzd0400-0039,nzd0400-0040,nzd0400-0041,nzd0400-0042,nzd0400-0043,nzd0400-0044,nzd0400-0045,nzd0400-0046,nzd0400-0047,nzd0400-0048,nzd0400-0049,nzd0400-0050,nzd0400-0051,nzd0400-0052,nzd0400-0053,nzd0400-0054,nzd0400-0055,nzd0400-0056,nzd0400-0057,nzd0400-0058,nzd0400-0059,nzd0400-0060,nzd0400-0061,nzd0400-0062,nzd0400-0063,nzd0400-0064,nzd0400-0065,nzd0400-0066,nzd0400-0067,nzd0400-0068,nzd0400-0069,nzd0400-0070,nzd0400-0071,nzd0400-0072,nzd0400-0073,nzd0400-0074,nzd0400-0075,nzd0400-0076,nzd0400-0077,nzd0400-0078,nzd0400-0079,nzd0400-0080,nzd0400-0081,nzd0400-0082,nzd0400-0083,nzd0400-0084,nzd0400-0085,nzd0400-0086,nzd0400-0087,nzd0400-0088,nzd0400-0089,nzd0400-0090,nzd0400-0091,nzd0400-0092,nzd0400-0093,nzd0400-0094,nzd0400-0095,nzd0400-0096,nzd0400-0097,nzd0400-0098,nzd0400-0099,nzd0400-0100,nzd0400-0101,nzd0400-0102,nzd0400-0103,nzd0400-0104,nzd0400-0105,nzd0400-0106,nzd0400-0107,nzd0400-0108,nzd0400-0109,nzd0400-0110,nzd0400-0111,nzd0400-0112,nzd0400-0113,nzd0400-0114,nzd0400-0115,nzd0400-0116,nzd0400-0117
1999-08-17 22:12:50+00:00,L7,,,,,,,,,,,,,,,,,309.76,310.88,319.33,321.39,321.91,327.21,343.46,365.98,372.13,381.45,386.35,390.86,393.27,389.41,389.53,374.55,363.23,361.32,352.38,346.18,348.54,354.01,350.36,342.85,339.60,346.21,343.65,340.69,326.67,327.78,324.99,321.33,316.74,316.62,318.77,313.84,320.51,319.14,311.39,314.10,318.48,296.21,301.93,296.14,293.78,,,,,,,,,,,,,,,,,,364.10,363.86,371.11,375.04,373.82,372.27,372.70,380.19,379.74,378.72,379.81,389.06,387.24,381.65,381.95,388.58,388.59,389.71,385.56,388.56,390.01,400.00,396.89,391.82,393.43,391.13,388.10,397.28,386.82,383.50,396.59,392.34,385.27,386.05,381.80,389.15,391.87,,,
1999-08-26 22:06:44+00:00,L7,,241.35,258.93,268.37,275.08,285.57,286.30,282.84,264.40,252.34,245.83,245.86,251.10,257.94,270.03,278.60,292.95,300.93,302.67,301.54,306.07,313.57,326.33,333.65,349.07,354.52,360.23,363.07,369.26,371.65,366.44,352.26,338.47,336.78,332.09,325.10,330.00,330.33,323.94,318.24,313.86,321.71,326.09,324.18,319.68,317.92,309.85,297.56,298.13,294.41,291.25,294.72,292.73,296.68,294.61,297.18,297.27,277.62,275.19,269.93,273.85,277.82,280.50,280.34,280.31,288.35,289.03,297.60,283.17,303.48,317.85,321.28,318.63,297.79,321.14,330.98,340.17,342.22,346.62,343.58,340.92,347.34,345.47,344.61,341.71,346.29,349.91,357.05,358.48,361.16,362.85,365.55,369.94,372.78,373.25,376.13,372.72,377.94,373.09,371.14,366.13,366.79,369.95,365.79,366.13,370.42,365.95,367.00,377.68,377.65,372.63,370.43,369.39,371.86,371.88,364.04,351.25,336.48
1999-10-13 22:06:48+00:00,L7,,301.03,282.63,286.81,289.67,287.46,281.86,278.54,280.27,280.90,274.45,262.67,252.16,255.93,265.18,277.80,290.58,299.34,304.57,309.69,316.05,324.01,334.22,351.38,355.66,364.98,369.40,374.59,378.83,394.11,396.28,372.91,351.78,343.63,332.47,329.68,323.32,325.33,326.76,322.53,320.83,323.95,322.10,320.11,322.31,322.92,321.00,324.95,315.53,316.80,314.98,312.61,310.90,306.86,304.43,310.34,309.85,292.15,280.21,285.17,286.33,286.03,288.10,292.40,297.91,296.28,302.12,312.18,328.21,317.73,323.21,330.26,336.38,346.71,352.24,343.60,340.87,344.00,349.68,349.89,355.97,352.46,362.32,362.15,366.13,367.25,368.26,370.52,368.84,369.87,372.88,377.10,379.61,385.67,391.12,394.83,393.70,386.08,384.27,382.45,382.67,381.88,379.77,377.32,377.39,378.51,376.67,376.25,386.18,379.17,375.77,375.66,369.31,376.59,375.84,373.90,358.75,356.17
1999-11-21 22:12:47+00:00,L7,,260.16,282.64,273.36,260.59,256.71,250.70,243.15,241.19,239.23,238.33,241.50,238.68,247.18,257.97,268.31,279.13,281.95,289.60,298.47,299.70,308.75,318.72,326.33,329.65,329.77,334.90,340.79,347.23,352.90,352.86,339.34,323.12,311.46,306.25,310.35,309.58,311.07,299.44,299.24,306.76,304.29,307.71,306.43,299.30,306.87,300.12,283.21,288.94,290.90,290.39,291.38,286.70,277.07,273.20,276.94,275.10,262.13,257.43,253.90,252.83,254.19,252.64,255.84,233.92,241.76,266.08,268.02,272.29,283.11,294.28,297.96,303.75,283.69,,323.28,328.24,328.90,329.45,325.79,326.63,324.35,329.41,331.02,341.11,345.17,346.17,350.23,347.02,337.91,337.26,343.65,344.48,354.19,358.86,360.20,359.49,353.07,351.79,350.87,351.25,355.69,358.83,358.61,357.39,355.35,354.94,356.49,366.18,364.60,359.03,355.50,,,357.09,353.27,337.86,321.19
1999-12-07 22:12:53+00:00,L7,,293.95,321.67,310.61,272.69,265.74,255.97,257.21,247.89,243.14,242.18,240.77,233.96,243.41,254.09,257.30,278.59,286.47,304.47,307.29,307.32,313.56,316.39,325.57,330.46,330.64,333.09,339.42,345.37,355.88,365.04,350.59,333.02,325.23,321.20,320.13,317.30,317.53,311.94,304.79,301.55,303.65,306.27,306.65,304.34,303.38,304.82,306.46,301.87,299.73,295.13,290.82,287.66,280.47,279.14,284.46,290.12,267.30,259.04,262.65,261.58,259.80,257.36,257.30,251.17,260.25,272.82,276.82,281.62,287.70,295.24,299.60,306.73,304.83,303.68,324.38,332.37,336.47,338.14,332.86,332.65,342.76,340.03,339.20,338.20,344.42,346.93,350.11,350.12,345.35,346.10,346.97,349.52,360.08,362.71,370.35,370.64,365.94,366.15,370.12,362.40,362.16,357.48,356.48,352.99,354.68,355.19,357.88,364.94,365.93,359.30,355.15,358.46,359.64,357.96,355.70,344.56,326.96
2000-01-17 22:06:35+00:00,L7,489.00,334.40,340.25,330.99,307.09,299.63,286.28,268.97,257.34,252.01,246.05,241.00,243.04,251.68,268.21,284.11,291.76,293.94,303.90,309.49,317.37,327.06,339.50,348.27,341.57,344.07,348.81,356.32,359.02,366.10,372.95,349.28,337.28,330.48,326.79,331.59,332.53,332.40,325.80,326.06,323.83,326.49,330.11,328.16,321.88,320.69,320.39,309.67,300.80,296.63,299.20,297.37,301.44,299.14,296.71,298.33,294.74,278.04,279.74,281.31,283.95,277.46,277.22,278.63,278.57,281.64,290.67,295.31,301.62,301.10,311.10,317.34,325.16,322.17,329.00,342.74,345.70,349.60,350.11,351.03,351.15,355.35,353.54,352.70,352.66,351.35,359.02,360.51,361.47,360.17,364.06,366.51,369.14,373.94,373.43,378.12,381.84,380.92,379.08,378.01,372.82,370.65,372.09,368.13,367.99,370.34,365.46,367.41,373.66,366.81,362.98,365.14,359.99,366.90,364.47,358.60,343.91,342.91
2000-02-18 22:06:29+00:00,L7,,285.06,178.86,161.57,143.22,117.13,269.00,264.54,258.51,242.91,239.44,238.96,233.92,239.64,253.12,262.58,280.74,284.79,289.39,298.76,306.01,307.79,317.07,321.31,324.57,330.27,331.23,339.46,348.22,352.06,357.15,344.53,329.05,324.41,315.29,315.66,317.40,313.65,309.13,304.76,302.87,300.33,303.68,306.03,298.46,299.48,296.96,282.79,281.06,281.93,281.57,275.45,278.92,276.11,279.46,286.85,288.24,272.17,266.65,265.00,264.64,266.22,265.37,,237.03,252.16,274.11,278.17,284.26,284.80,284.99,288.43,302.97,297.87,305.22,321.38,323.84,330.76,332.32,332.80,335.00,339.05,339.05,332.00,,,,,,,,,,,,,,359.23,,,372.14,352.87,352.69,351.24,353.34,353.43,,362.20,,,,,,,,,,
2000-03-21 22:06:25+00:00,L7,,288.25,304.30,311.12,306.88,290.62,280.71,265.98,263.64,262.14,258.94,263.71,268.26,266.16,271.11,283.34,291.25,281.64,283.73,286.74,284.90,291.25,299.71,311.47,330.20,341.17,340.54,346.81,353.31,357.20,362.43,349.58,335.03,333.58,335.81,333.74,326.46,319.48,318.33,312.88,314.04,310.46,313.38,315.71,315.34,319.70,321.69,311.42,298.16,291.75,287.34,283.47,282.86,287.71,283.21,287.72,288.86,266.94,260.05,265.05,268.42,270.43,268.05,273.62,280.52,284.85,278.18,298.21,299.68,301.99,306.64,311.01,325.87,332.44,328.13,343.34,346.32,347.52,347.27,348.19,351.67,350.26,349.97,344.06,343.53,347.70,349.83,352.92,353.19,351.44,353.25,355.16,364.54,370.80,371.93,370.02,360.39,355.64,358.69,363.32,358.48,355.01,357.70,356.16,356.85,361.68,360.29,360.43,361.68,358.49,354.68,351.80,347.55,352.02,354.06,349.86,337.41,331.12
2000-04-13 22:12:18+00:00,L7,,283.80,298.16,303.99,302.54,305.07,290.68,280.42,277.44,273.72,270.35,271.81,276.63,283.48,293.75,304.70,305.65,297.97,290.50,292.00,296.02,296.27,312.63,324.40,340.30,353.45,363.61,367.71,364.80,361.21,371.10,356.20,345.92,344.32,346.85,344.44,338.97,334.83,329.15,328.00,320.81,317.66,317.35,323.07,328.67,325.65,323.53,328.80,324.81,323.49,317.46,304.90,294.48,292.45,285.49,293.77,296.28,272.93,277.33,279.01,283.70,284.88,287.08,290.40,288.16,296.05,306.50,313.09,322.66,311.97,319.53,329.74,339.58,346.20,349.99,356.97,361.09,364.77,367.61,371.76,368.16,368.14,371.69,372.13,376.17,368.22,365.52,358.51,363.28,362.79,362.96,368.70,375.53,378.08,380.22,389.10,391.45,389.23,380.77,378.72,375.05,371.93,371.53,369.16,368.86,374.75,379.84,378.32,377.14,371.17,363.99,364.96,364.26,369.55,369.04,369.31,361.49,353.70
2000-05-24 22:05:46+00:00,L7,106.51,280.54,311.25,347.30,537.16,516.54,414.51,304.42,301.97,302.46,309.67,304.57,304.43,306.94,316.55,317.72,319.03,313.94,307.23,308.21,317.91,321.00,326.39,333.98,342.57,351.97,357.55,361.31,377.34,396.04,405.34,405.85,388.56,353.19,350.17,351.74,352.70,348.41,354.43,349.48,345.34,344.50,340.69,337.69,334.22,330.70,330.48,331.57,312.79,313.41,314.91,326.92,332.17,332.51,333.68,322.36,323.37,297.78,292.43,293.45,292.49,293.53,287.73,291.88,300.95,298.48,291.92,273.30,276.55,283.49,286.15,288.28,,,277.61,341.56,342.46,354.12,356.83,346.46,343.38,355.90,360.44,349.56,350.11,351.56,371.08,373.62,371.78,358.61,357.07,362.32,356.12,367.64,376.15,383.93,395.63,401.05,401.54,409.35,409.69,399.05,397.62,396.71,402.31,,,,,381.79,375.08,370.25,365.85,370.72,376.63,385.88,379.59,369.20
