dates,nzd0426-0000,nzd0426-0001,nzd0426-0002,nzd0426-0003,nzd0426-0004,nzd0426-0005,nzd0426-0006,nzd0426-0007,nzd0426-0008,nzd0426-0009,nzd0426-0010,nzd0426-0011,nzd0426-0012,nzd0426-0013,nzd0426-0014,nzd0426-0015,nzd0426-0016,nzd0426-0017,nzd0426-0018,nzd0426-0019,nzd0426-0020,nzd0426-0021,nzd0426-0022,nzd0426-0023,nzd0426-0024,nzd0426-0025,nzd0426-0026,nzd0426-0027,nzd0426-0028,nzd0426-0029,nzd0426-0030,nzd0426-0031,nzd0426-0032,nzd0426-0033,nzd0426-0034,nzd0426-0035,nzd0426-0036,nzd0426-0037,nzd0426-0038,nzd0426-0039,nzd0426-0040,satname
1999-11-21 22:12:47+00:00,352.59,375.65,396.20,406.56,411.17,413.59,402.09,387.39,399.46,395.34,415.82,401.94,399.91,389.62,402.80,404.62,401.33,390.87,392.61,388.95,391.30,402.67,407.60,396.15,396.71,397.89,403.07,393.50,391.73,391.33,385.63,403.55,398.72,404.46,395.74,391.71,381.51,380.59,367.37,368.61,361.92,L7
1999-12-07 22:12:53+00:00,363.34,382.25,390.00,400.97,404.73,401.86,400.46,384.20,399.40,396.36,411.93,411.73,408.13,397.10,404.74,410.87,407.38,395.13,392.26,391.93,391.21,401.96,401.41,406.01,403.92,405.48,405.05,395.58,387.74,382.05,384.42,399.89,396.68,395.25,389.64,385.09,381.76,374.39,369.13,361.14,358.52,L7
2000-01-24 22:12:47+00:00,378.36,397.04,407.45,420.90,415.50,401.96,389.08,370.57,378.58,381.78,387.50,410.75,410.94,393.19,402.82,395.36,396.74,396.36,390.21,395.65,404.11,398.21,398.28,410.43,412.65,404.53,400.95,398.06,403.47,397.52,398.35,401.00,400.90,392.47,390.81,386.88,375.78,377.54,372.20,367.23,359.47,L7
2000-04-13 22:12:18+00:00,412.96,426.71,425.94,433.73,436.70,433.72,412.12,389.62,405.43,410.45,414.84,430.51,429.15,415.66,430.95,419.49,412.80,411.04,411.48,417.62,413.07,426.31,423.62,429.04,426.08,428.78,422.29,417.81,419.21,409.60,410.12,413.28,408.72,400.22,393.44,388.62,394.72,384.56,376.55,376.41,366.62,L7
2000-08-19 22:11:01+00:00,409.92,433.65,451.24,453.76,447.86,414.88,401.33,385.24,410.32,405.42,403.00,404.91,395.93,398.52,417.19,418.76,425.67,427.77,426.23,410.09,407.74,401.26,402.77,402.92,410.77,405.70,399.86,403.73,406.93,405.27,396.47,402.23,402.74,,,,,,,,,L7
2000-09-20 22:10:27+00:00,387.37,413.82,428.13,433.75,430.90,410.34,398.42,390.65,405.52,396.77,394.60,402.91,396.76,390.31,402.97,403.41,398.76,403.99,403.85,397.91,408.60,412.07,421.54,427.63,406.09,391.05,381.59,381.52,384.86,379.35,385.03,386.24,393.93,387.88,387.27,374.60,372.11,357.43,,,364.18,L7
2000-11-07 22:10:17+00:00,364.88,390.48,407.51,419.44,422.84,415.05,401.80,386.94,402.66,391.55,389.67,380.31,385.16,388.37,400.25,401.97,401.43,396.61,398.92,402.83,404.22,406.52,406.80,401.37,397.79,397.78,400.13,394.19,395.20,390.97,387.18,388.34,385.79,384.52,376.20,374.52,360.14,361.80,,,367.96,L7
2001-01-10 22:10:27+00:00,374.81,393.19,398.38,412.68,414.90,415.19,411.52,403.06,417.50,405.92,408.36,390.12,391.87,384.70,400.53,406.96,405.40,404.74,406.23,407.03,404.44,405.19,410.78,412.00,410.97,409.15,406.37,398.75,393.55,398.36,401.39,406.70,402.62,402.52,394.38,383.81,373.88,377.81,365.79,362.25,368.65,L7
2001-01-26 22:10:30+00:00,360.06,383.40,391.61,400.60,398.50,401.73,396.71,389.23,405.07,387.34,384.40,380.19,374.79,369.94,388.98,385.01,385.45,393.18,400.25,399.02,389.63,389.52,399.66,400.47,400.79,396.25,390.21,386.33,388.17,388.81,391.43,388.72,387.45,383.07,378.54,363.68,356.16,363.63,362.87,364.02,363.89,L7
2001-02-27 22:10:18+00:00,390.03,419.74,419.53,426.19,426.23,405.86,394.57,395.23,413.39,401.68,402.68,402.91,397.46,389.58,408.38,411.11,413.91,418.22,416.47,415.12,409.11,409.78,414.77,418.96,419.21,409.85,405.25,401.27,405.54,401.28,399.84,399.15,403.20,400.87,400.15,391.07,386.10,377.90,374.35,372.81,377.42,L7
