dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027,satname
1999-08-08 22:19:28+00:00,392.32,375.92,375.58,371.22,365.63,356.79,351.98,347.56,354.65,366.89,357.76,329.30,325.70,339.74,352.30,364.13,354.01,351.09,366.19,370.48,359.97,354.64,347.65,334.85,,,252.31,267.43,L7
1999-09-25 22:19:33+00:00,403.81,393.81,390.79,387.62,386.41,370.81,359.42,363.57,357.29,348.44,336.07,331.35,345.44,360.70,344.35,346.37,358.31,365.05,372.67,362.79,367.46,360.54,330.60,311.88,302.14,,260.53,295.61,L7
1999-11-12 22:19:27+00:00,390.12,369.05,359.19,353.39,358.76,369.07,370.94,352.29,320.35,316.65,330.17,352.07,347.83,327.00,342.18,355.97,363.44,359.88,344.02,332.71,342.49,363.43,324.99,290.54,284.32,293.67,,,L7
1999-11-28 22:19:20+00:00,401.67,377.27,364.28,361.51,361.84,365.79,363.32,345.56,320.91,324.61,352.23,359.51,347.43,336.06,377.79,375.59,364.37,356.57,339.03,339.21,341.38,343.84,317.92,299.76,292.76,323.75,,,L7
2000-01-31 22:19:21+00:00,387.86,380.19,377.40,364.44,361.75,362.20,355.64,342.60,328.93,328.06,330.26,343.63,343.11,349.07,336.66,338.75,354.31,354.83,353.39,345.52,343.92,325.00,326.80,338.57,,344.64,,291.73,L7
2000-04-20 22:18:51+00:00,361.06,347.87,354.11,350.65,353.46,350.64,346.60,340.03,325.99,311.04,306.04,328.62,341.73,351.46,353.96,352.79,323.21,335.17,360.90,377.62,375.28,359.27,345.78,318.24,290.84,,228.18,260.21,L7
2000-05-22 22:18:33+00:00,,,,,,,,,,,,329.66,338.82,335.51,347.09,341.74,341.77,349.40,353.02,362.12,358.19,345.52,322.05,,,,221.43,253.26,L7
2000-09-27 22:17:00+00:00,,,,,,,359.24,353.64,343.51,355.37,358.95,350.93,344.49,341.31,324.35,333.83,348.56,355.58,351.78,321.44,318.57,312.71,313.13,332.71,335.56,288.60,279.96,300.82,L7
2000-11-14 22:16:54+00:00,423.25,404.84,386.33,375.60,363.97,361.45,369.06,368.71,359.75,357.01,354.00,345.70,319.16,314.76,324.83,340.38,344.81,340.67,337.61,329.66,326.21,322.75,307.06,313.65,322.05,317.08,293.78,288.47,L7
2000-12-16 22:16:59+00:00,399.76,382.00,367.76,364.36,357.81,358.75,363.86,358.81,358.98,356.56,349.92,344.48,335.55,315.35,329.77,337.62,344.60,347.82,350.66,356.50,340.53,329.19,318.27,313.92,317.12,326.03,310.41,284.97,L7
2001-01-01 22:16:57+00:00,403.56,399.02,385.43,371.23,362.58,355.76,341.36,343.50,348.07,348.76,346.96,350.81,343.19,327.89,334.77,337.63,326.95,330.41,351.11,370.36,352.08,325.91,306.69,304.81,305.89,322.72,323.72,287.34,L7
2001-01-17 22:17:03+00:00,396.91,381.48,368.54,354.42,351.97,348.29,346.25,344.29,346.44,344.92,343.92,344.40,332.96,325.49,327.86,320.82,323.11,348.57,363.09,369.54,354.94,324.82,298.82,298.90,310.20,320.47,318.39,286.15,L7
2001-04-07 22:16:37+00:00,383.99,373.81,359.57,350.37,347.77,334.55,318.25,323.78,331.04,341.15,341.17,348.47,340.69,341.01,327.25,342.62,367.46,370.50,379.67,365.71,367.50,343.25,329.39,328.93,322.38,,258.58,280.83,L7
2001-08-13 22:15:25+00:00,,349.65,316.44,302.40,298.57,,313.38,322.54,318.85,309.53,310.29,326.51,344.69,342.87,340.88,328.62,337.79,350.98,341.55,332.33,337.40,346.64,328.74,292.06,,,222.46,255.79,L7
2001-08-29 22:15:16+00:00,390.75,341.14,327.45,328.20,326.31,344.35,339.77,332.45,323.66,319.91,330.04,340.62,341.14,340.40,338.71,351.70,353.95,347.77,343.32,352.19,368.36,353.48,336.96,325.57,,,253.25,,L7
2002-01-20 22:15:25+00:00,356.81,349.23,347.79,348.97,342.55,327.69,323.08,318.92,320.37,325.52,345.59,360.70,339.96,327.16,343.91,358.79,365.76,362.50,340.03,329.87,332.42,344.15,336.30,325.94,332.37,329.84,,293.80,L7
2002-02-05 22:15:25+00:00,380.84,357.01,353.36,347.73,333.01,323.38,313.68,321.21,320.96,325.19,348.88,342.63,331.72,328.51,351.89,360.39,358.35,349.10,334.16,331.86,331.24,341.91,331.22,323.54,328.01,330.42,262.25,288.26,L7
2002-03-09 22:15:29+00:00,380.06,362.97,348.80,349.16,341.74,326.17,322.93,329.04,335.18,342.37,344.83,337.35,338.53,348.50,343.14,356.75,353.09,343.92,333.45,335.44,341.47,335.74,340.23,341.63,338.24,313.83,261.29,291.85,L7
2002-10-03 22:14:17+00:00,419.01,411.08,392.58,372.78,365.24,363.05,364.64,360.75,357.19,350.43,343.67,344.74,345.68,354.86,343.84,340.90,345.47,351.56,369.41,357.52,338.22,317.90,309.42,316.68,330.49,320.24,266.85,300.52,L7
2002-12-06 22:14:49+00:00,387.14,372.55,356.91,340.66,333.16,331.63,328.24,330.10,329.27,328.12,325.37,332.60,327.51,323.16,325.46,323.36,331.17,338.35,341.12,332.59,335.03,323.18,298.70,282.54,284.61,288.68,295.36,287.96,L7
2003-01-07 22:14:52+00:00,357.38,354.61,355.35,354.83,343.16,335.88,334.30,341.04,356.25,351.02,346.63,350.55,356.37,346.02,344.82,358.12,354.62,346.05,345.04,357.39,356.81,328.09,317.39,309.23,304.46,324.27,334.76,291.88,L7
2003-01-23 22:15:03+00:00,356.00,350.75,335.36,333.22,326.40,334.28,339.85,341.23,331.21,329.97,340.78,340.41,338.43,331.19,344.51,343.82,340.55,337.80,343.20,357.18,331.36,312.57,286.27,292.83,311.90,335.21,330.58,287.37,L7
2003-02-24 22:15:13+00:00,372.25,355.53,349.16,340.96,341.08,342.14,345.58,350.76,355.59,351.05,357.73,350.01,349.07,347.35,356.42,348.36,353.64,354.60,353.49,354.63,332.89,331.29,323.33,320.20,325.45,356.53,347.45,287.82,L7
2003-03-12 22:15:18+00:00,359.65,352.57,343.49,330.34,333.22,332.90,331.42,337.70,345.21,344.52,346.37,347.23,346.49,346.50,344.68,340.45,346.51,350.96,353.06,342.09,329.06,321.71,318.97,317.73,325.09,324.40,252.08,286.66,L7
2003-08-11 22:03:27+00:00,397.09,374.49,374.72,375.09,369.02,374.72,367.67,359.01,344.80,336.54,331.87,343.88,344.10,341.75,331.79,342.55,353.71,348.98,344.22,332.29,347.46,339.40,336.44,,,,244.00,270.52,L5
2003-08-27 22:03:45+00:00,401.29,367.99,353.84,347.71,350.86,343.32,329.33,321.15,323.86,326.71,327.73,333.77,330.41,338.63,328.23,330.28,330.29,322.51,318.34,307.05,313.47,330.63,322.72,328.71,,,250.28,276.61,L5
2003-09-20 22:14:46+00:00,390.65,392.10,383.88,370.66,341.83,316.15,308.28,317.12,337.51,339.87,330.29,333.35,327.26,312.47,307.35,306.65,304.70,306.51,307.75,307.05,304.12,307.59,307.39,315.26,314.29,297.42,253.41,288.93,L7
2003-11-07 22:15:01+00:00,406.04,396.02,386.74,362.20,342.92,325.54,320.73,327.39,332.08,323.51,334.24,332.78,316.25,311.69,305.66,328.83,321.69,320.05,331.05,314.49,307.97,297.36,304.62,319.12,330.68,312.09,297.67,285.64,L7
2003-11-23 22:15:14+00:00,416.90,398.28,392.81,375.18,353.15,341.62,336.50,328.98,333.50,330.73,329.33,330.88,322.32,325.90,314.94,322.02,341.59,332.77,329.86,318.15,333.58,326.49,320.62,327.67,341.08,324.11,295.69,302.31,L7
2003-12-01 22:05:04+00:00,,,,357.96,352.88,337.69,327.77,312.95,313.81,312.74,310.86,306.26,291.55,285.83,300.21,324.72,328.04,323.40,317.51,321.47,324.36,325.89,306.62,306.07,309.76,320.72,317.60,262.43,L5
2003-12-17 22:05:10+00:00,396.66,380.23,368.82,373.20,369.31,357.45,345.76,337.48,343.38,338.59,318.88,313.62,309.38,298.99,311.55,323.28,332.60,335.87,336.87,345.31,332.41,330.76,338.89,336.42,324.96,331.81,334.84,283.50,L5
2004-01-18 22:05:21+00:00,393.86,369.10,359.65,342.07,333.33,333.89,333.52,328.64,320.84,305.73,315.46,313.95,309.50,,,,,,,,,,303.85,317.77,322.45,301.44,,291.45,L5
2004-01-26 22:15:37+00:00,398.14,373.78,363.38,357.25,353.04,352.48,337.86,336.05,341.85,332.44,325.80,325.36,311.70,313.13,325.38,330.67,332.51,325.21,327.43,328.86,323.88,326.90,325.71,324.34,313.57,329.81,332.20,282.63,L7
2004-02-11 22:15:41+00:00,386.98,379.50,371.07,365.51,352.04,353.84,347.26,350.05,345.40,329.94,320.14,319.87,320.54,313.32,317.67,329.35,332.73,329.71,320.00,327.33,321.85,328.18,326.00,322.51,313.67,324.39,,286.54,L7
2004-03-14 22:15:49+00:00,,,,,366.36,356.16,345.42,356.65,344.95,329.85,323.60,304.49,310.34,,,,,,,,,,320.89,,295.85,290.04,292.35,,L7
2004-04-23 22:06:29+00:00,353.28,345.17,354.92,343.71,350.31,355.31,355.09,355.72,351.19,325.89,320.70,324.57,324.39,312.23,319.69,328.08,346.48,356.03,355.39,348.71,340.60,347.59,341.26,312.68,,,,262.19,L5
2004-05-17 22:15:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,320.92,320.37,,L7
2004-09-06 22:15:16+00:00,364.09,363.87,361.05,347.75,337.90,339.67,336.01,322.69,321.57,322.44,324.06,317.82,324.85,330.27,329.49,325.27,326.11,331.13,331.46,326.11,318.97,325.56,321.27,301.41,265.82,,250.15,284.23,L7
2004-09-30 22:10:46+00:00,380.70,365.20,353.10,339.09,347.76,345.00,335.81,330.06,323.84,312.84,312.87,324.07,334.89,333.97,327.91,326.02,329.80,333.02,333.84,333.37,333.37,327.16,302.21,299.33,291.14,,258.06,283.68,L5
2004-11-09 22:15:30+00:00,382.94,370.55,364.83,358.17,349.32,352.06,351.91,335.66,324.51,321.51,332.61,341.65,344.76,346.45,328.22,330.75,341.63,348.11,353.91,343.78,348.45,333.44,315.03,312.20,307.25,293.22,262.21,293.09,L7
2004-11-25 22:15:38+00:00,385.64,356.88,348.07,353.51,359.08,360.87,336.25,318.96,314.44,319.71,336.69,342.75,343.64,329.85,324.13,334.94,345.06,347.45,351.40,329.66,343.69,332.98,316.28,304.01,293.56,296.59,,300.20,L7
2005-02-21 22:13:15+00:00,391.74,370.47,362.08,357.06,355.94,346.36,339.51,336.17,328.00,318.44,322.04,344.65,339.88,334.09,323.38,337.13,347.13,361.33,356.34,340.26,345.14,351.68,334.61,312.03,317.45,277.29,259.13,289.50,L5
2005-04-10 22:13:40+00:00,363.06,357.09,350.82,331.53,327.91,333.09,339.06,329.51,,,,,,,,,,,,,,,,,,,,,L5
2005-04-26 22:13:44+00:00,,,,,,,,,,,,,,,,333.23,339.69,342.52,338.03,336.57,344.27,347.11,336.61,317.90,,,252.30,265.19,L5
2005-05-04 22:16:10+00:00,366.81,356.25,345.82,342.98,339.66,338.36,332.77,336.02,334.94,339.30,347.73,345.33,327.00,317.02,326.19,358.71,360.28,358.23,357.20,332.42,347.42,344.61,340.15,315.42,,,244.40,276.07,L7
2005-06-05 22:16:05+00:00,382.35,361.74,340.50,335.65,341.35,333.86,329.13,346.97,349.73,341.32,336.70,318.59,330.23,349.71,364.21,358.35,353.39,339.35,336.31,334.36,357.01,360.64,330.21,,,217.93,223.05,264.89,L7
2005-06-21 22:15:59+00:00,396.53,397.48,351.25,342.71,342.66,335.19,327.69,340.62,346.10,,332.74,327.07,330.18,350.63,356.95,365.25,344.75,326.33,328.28,331.83,,354.68,,,,203.84,231.05,263.95,L7
2005-06-29 22:14:10+00:00,383.26,371.90,344.98,321.89,336.20,332.98,318.44,328.88,344.24,347.71,331.65,315.68,338.39,351.90,356.24,345.05,316.53,315.69,317.87,339.70,,331.99,,,,217.87,229.64,263.20,L5
2005-08-16 22:14:36+00:00,,,,,,,,,,,,,,,351.63,349.04,346.36,347.12,349.74,356.11,368.43,338.00,312.45,313.61,316.27,235.75,247.89,276.63,L5
2005-08-24 22:15:50+00:00,373.98,385.58,378.78,365.95,359.51,346.07,358.05,355.29,341.55,318.19,,,,,330.85,330.79,330.56,330.00,337.85,356.63,340.04,324.52,299.86,297.01,,206.55,236.42,258.40,L7
