dates,nzd0455-0000,nzd0455-0001,nzd0455-0002,nzd0455-0003,nzd0455-0004,nzd0455-0005,nzd0455-0006,nzd0455-0007,nzd0455-0008,nzd0455-0009,nzd0455-0010,nzd0455-0011,nzd0455-0012,nzd0455-0013,nzd0455-0014,nzd0455-0015,nzd0455-0016,nzd0455-0017,nzd0455-0018,nzd0455-0019,nzd0455-0020,satname
1999-08-08 22:19:28+00:00,369.85,340.62384615384616,341.0,343.51,347.2,359.71142857142854,356.72,351.61,359.91,363.32,357.6636363636364,348.29,343.00363636363636,,,,,,,,,L7
1999-09-25 22:19:33+00:00,366.94,349.2869230769231,345.52000000000004,348.78000000000003,367.04,374.0,362.99,359.32000000000005,362.52000000000004,362.98,352.3381818181818,349.29,338.6981818181818,334.43333333333334,334.3381818181818,345.2781818181818,330.50333333333333,324.66818181818184,327.26000000000005,339.0681818181818,329.91818181818184,L7
1999-11-12 22:19:27+00:00,361.69,338.80615384615385,339.88,345.04,349.87,354.31571428571425,355.8,348.91,344.78000000000003,343.96000000000004,342.7009090909091,335.24,320.53090909090906,315.78,320.05090909090904,314.23090909090905,306.5,303.2009090909091,314.57000000000005,315.92090909090905,311.65090909090907,L7
1999-12-14 22:19:31+00:00,361.36,343.36538461538464,342.11,349.93,360.76,363.76142857142855,351.12,350.7,353.86,358.52000000000004,365.51909090909095,342.85,333.5590909090909,342.2333333333333,340.95909090909095,331.21909090909094,,,,,,L7
2000-01-31 22:19:21+00:00,355.32,341.08923076923077,335.58,341.67,345.88,355.2571428571428,350.12,345.89,347.57,348.06,346.00636363636363,335.86,327.2763636363636,326.0966666666667,328.2863636363636,325.0363636363636,314.6566666666667,308.3263636363636,305.32,318.3363636363636,321.06636363636363,L7
2000-05-22 22:18:33+00:00,392.54,338.6353846153846,329.92,339.2,341.35,349.11,356.01,345.59,343.59,345.04,343.68636363636364,340.59,324.36636363636364,313.4766666666667,321.4663636363636,328.9163636363636,310.0466666666667,304.87636363636364,301.74,315.1963636363636,327.0363636363636,L7
2000-06-07 22:18:24+00:00,,349.0876923076923,341.21999999999997,349.46999999999997,347.49,347.2914285714286,373.78,364.56,362.05,367.11,356.5981818181818,339.55,338.66818181818184,340.12666666666667,343.1881818181818,345.8981818181818,334.6066666666667,319.66818181818184,324.34999999999997,335.29818181818183,323.28818181818184,L7
2000-11-14 22:16:54+00:00,,336.23,329.99,340.32,347.18,354.46,349.73,344.02,336.57,338.27,343.27,347.03,333.23,324.18,321.91,324.67,310.5,305.62,317.27,320.33,318.88,L7
2000-12-16 22:16:59+00:00,,336.1130769230769,332.31,336.62,338.67,348.51428571428573,346.56,340.36,341.92,347.39,352.18545454545455,342.82,337.5154545454546,326.93333333333334,333.38545454545454,325.72545454545457,313.2633333333333,314.61545454545455,323.32,326.3454545454546,328.30545454545455,L7
2001-01-01 22:16:57+00:00,356.96999999999997,336.4430769230769,332.39,340.90999999999997,341.65,354.10285714285715,353.87,348.24,348.96,350.49,345.48272727272723,334.58,336.39272727272726,334.6466666666667,329.4927272727273,335.60272727272724,323.6566666666667,309.91272727272724,318.21999999999997,327.40272727272725,325.96272727272725,L7
2001-01-17 22:17:03+00:00,366.54999999999995,333.0530769230769,332.14,341.71,343.49,359.40142857142854,354.10999999999996,342.56,350.03999999999996,350.44,341.83,332.34999999999997,327.44,325.24,326.56,328.48,317.38,306.82,318.46,324.54,313.98,L7
2001-04-07 22:16:37+00:00,368.54,344.9992307692308,349.34000000000003,355.96000000000004,364.02,372.73285714285714,362.86,356.85,354.95,357.13,353.9681818181818,350.32,345.0281818181818,339.4066666666667,341.7581818181818,342.0681818181818,336.0866666666667,330.0981818181818,328.32,340.8981818181818,333.8781818181818,L7
2001-08-13 22:15:25+00:00,367.16,334.8707692307692,330.14,340.52000000000004,336.3,346.8828571428572,357.34000000000003,344.04,342.07,345.05,342.7136363636364,339.7,332.51363636363635,322.1533333333333,337.07363636363635,329.5436363636364,321.9033333333333,317.38363636363636,303.47,332.14363636363635,335.44363636363636,L7
2001-08-29 22:15:16+00:00,362.46000000000004,340.68461538461537,338.95000000000005,342.29,353.5,359.0342857142857,352.20000000000005,345.52000000000004,343.06,350.31,353.6372727272728,350.14000000000004,345.09727272727275,335.56,333.04727272727274,329.71727272727276,321.57,321.67727272727274,332.42,336.39727272727276,337.21727272727276,L7
