dates,nzd0470-0000,nzd0470-0001,nzd0470-0002,nzd0470-0003,nzd0470-0004,nzd0470-0005,nzd0470-0006,nzd0470-0007,nzd0470-0008,nzd0470-0009,nzd0470-0010,nzd0470-0011,nzd0470-0012,nzd0470-0013,nzd0470-0014,nzd0470-0015,nzd0470-0016,nzd0470-0017,nzd0470-0018,nzd0470-0019,nzd0470-0020,nzd0470-0021,nzd0470-0022,nzd0470-0023,nzd0470-0024,nzd0470-0025,nzd0470-0026,nzd0470-0027,nzd0470-0028,nzd0470-0029,nzd0470-0030,nzd0470-0031,nzd0470-0032,nzd0470-0033,nzd0470-0034,nzd0470-0035,nzd0470-0036,nzd0470-0037,nzd0470-0038,nzd0470-0039,nzd0470-0040,nzd0470-0041,nzd0470-0042,nzd0470-0043,nzd0470-0044,nzd0470-0045,nzd0470-0046,nzd0470-0047,nzd0470-0048,nzd0470-0049,nzd0470-0050,nzd0470-0051,nzd0470-0052,nzd0470-0053,nzd0470-0054,nzd0470-0055,nzd0470-0056,nzd0470-0057,nzd0470-0058,nzd0470-0059,nzd0470-0060,nzd0470-0061,nzd0470-0062,nzd0470-0063,nzd0470-0064,nzd0470-0065,nzd0470-0066,nzd0470-0067,nzd0470-0068,nzd0470-0069,nzd0470-0070,nzd0470-0071,nzd0470-0072,nzd0470-0073,nzd0470-0074,nzd0470-0075,nzd0470-0076,nzd0470-0077,nzd0470-0078,nzd0470-0079,nzd0470-0080,nzd0470-0081,nzd0470-0082,nzd0470-0083,nzd0470-0084,nzd0470-0085,nzd0470-0086,nzd0470-0087,nzd0470-0088,nzd0470-0089,nzd0470-0090,nzd0470-0091,nzd0470-0092,nzd0470-0093,nzd0470-0094,nzd0470-0095,nzd0470-0096,nzd0470-0097,nzd0470-0098,nzd0470-0099,nzd0470-0100,nzd0470-0101,nzd0470-0102,nzd0470-0103,nzd0470-0104,nzd0470-0105,nzd0470-0106,nzd0470-0107,nzd0470-0108,nzd0470-0109,nzd0470-0110,nzd0470-0111,nzd0470-0112,nzd0470-0113,nzd0470-0114,nzd0470-0115,nzd0470-0116,nzd0470-0117,nzd0470-0118,nzd0470-0119,nzd0470-0120,nzd0470-0121,nzd0470-0122,nzd0470-0123,nzd0470-0124,nzd0470-0125,nzd0470-0126,nzd0470-0127,nzd0470-0128,nzd0470-0129,nzd0470-0130,nzd0470-0131,nzd0470-0132,nzd0470-0133,satname
1999-08-26 22:07:08+00:00,316.89,321.46,324.62,320.63,323.25,325.22,321.67,312.72,313.51,312.85,310.84,313.10,314.71,316.16,318.63,320.04,317.34,314.31,315.36,317.89,324.00,316.43,322.62,323.55,323.82,322.64,325.01,324.56,327.81,329.39,331.10,323.34,327.43,325.59,328.76,333.78,330.19,326.93,326.65,321.49,323.67,326.74,329.22,327.09,321.88,317.65,317.20,312.16,309.56,315.07,321.14,327.01,325.94,331.90,324.56,332.18,332.04,332.05,326.79,325.72,330.06,325.08,324.91,320.85,321.45,321.90,328.03,322.95,322.11,322.61,323.32,326.65,326.38,324.09,320.95,323.91,319.95,321.36,325.81,328.32,323.62,327.31,322.16,320.52,315.34,312.66,311.51,303.59,302.85,295.96,302.17,296.49,300.11,295.57,301.07,297.57,303.03,301.61,306.76,301.66,307.81,313.37,314.38,318.73,319.67,326.87,327.85,,,,,,,,338.82,342.84,335.45,328.89,,,,,,,,,,,,,,,,,L7
1999-10-13 22:07:12+00:00,321.95,324.48,328.18,327.66,328.71,326.60,324.65,318.75,317.43,316.44,315.40,315.57,318.36,319.56,323.52,322.57,322.03,320.69,320.36,319.97,323.04,318.57,323.10,325.75,327.39,325.77,328.94,324.56,327.81,333.60,333.73,328.91,332.97,328.87,331.29,332.88,330.01,327.12,326.96,325.34,330.44,329.35,331.46,330.97,326.95,324.92,321.88,313.12,313.00,318.61,321.45,326.85,329.07,332.04,331.65,336.87,336.21,335.77,331.51,329.52,331.86,326.72,324.46,323.35,323.37,322.69,326.99,322.87,325.93,327.13,328.91,329.88,327.45,328.78,326.31,328.18,324.88,326.46,328.22,329.62,325.30,328.94,324.67,321.50,317.08,316.15,312.71,308.31,305.39,299.90,304.62,299.68,299.78,296.25,301.20,301.02,304.06,305.55,311.90,309.72,315.20,317.15,321.63,326.03,326.45,329.06,327.34,329.82,335.76,340.33,339.14,342.62,344.50,342.20,342.24,342.94,336.03,335.49,341.12,346.07,348.86,352.84,352.55,360.35,364.89,365.88,361.59,368.75,368.18,366.66,355.27,354.27,,,L7
2000-02-18 22:06:52+00:00,323.20,325.25,328.06,329.66,328.71,326.60,324.65,318.75,322.38,324.57,318.33,317.37,318.36,319.56,323.52,322.57,322.03,320.69,320.36,319.97,323.04,318.57,323.10,325.75,327.39,325.77,329.99,330.10,331.65,334.24,335.03,333.28,335.43,331.30,331.98,334.21,332.31,329.76,328.35,327.85,330.39,330.86,332.31,330.70,327.36,323.55,322.26,316.28,316.50,318.61,321.45,326.85,329.07,336.38,335.68,341.90,336.81,336.12,332.35,330.16,332.63,328.31,326.64,325.18,324.83,324.58,328.25,323.99,327.90,328.31,330.45,330.11,329.46,330.32,328.20,329.60,327.88,327.81,329.26,329.27,325.19,327.80,323.91,322.18,317.46,317.08,314.65,310.18,306.36,302.18,305.47,299.78,299.16,297.93,301.25,300.90,304.57,306.26,312.58,311.88,316.98,318.72,322.88,325.33,326.98,328.27,329.16,331.40,334.12,334.49,332.54,336.89,339.12,337.90,340.72,341.70,337.28,337.71,342.24,343.31,350.38,351.58,351.64,356.99,363.15,364.37,356.05,361.96,358.89,358.30,345.19,336.55,311.33,272.86,L7
2000-05-08 22:06:20+00:00,326.56,329.51,332.55,332.06,335.59,334.46,331.20,325.49,327.93,331.22,325.30,323.37,326.45,324.15,332.04,328.78,331.90,333.73,328.89,329.17,331.53,330.21,332.71,336.37,339.75,338.59,335.46,339.05,336.80,339.81,340.88,340.08,340.18,341.00,334.78,338.22,335.67,336.79,335.12,335.32,333.64,337.44,334.97,335.95,330.90,327.64,326.75,326.06,325.03,333.03,328.57,336.26,336.01,344.70,346.31,350.17,341.34,342.39,339.01,337.26,338.23,334.24,333.88,331.49,332.16,331.98,336.06,330.49,335.50,333.59,339.46,333.99,337.54,335.23,333.67,334.48,335.84,333.24,336.60,332.00,331.12,328.61,326.39,324.84,321.45,322.84,321.39,318.38,313.19,313.09,310.99,303.20,303.27,305.47,306.54,308.86,309.75,311.84,319.31,318.64,323.06,325.17,329.02,329.23,331.37,330.84,337.80,338.50,337.88,339.12,335.03,339.22,340.18,342.07,342.56,343.93,345.27,345.91,347.67,348.96,351.90,350.33,350.73,353.62,361.41,362.85,350.52,355.16,349.60,349.94,335.12,318.84,311.33,272.86,L7
2000-06-25 22:05:55+00:00,330.23,333.34,336.61,337.75,340.00,338.48,336.40,332.66,330.04,331.01,327.94,327.65,330.60,329.82,336.49,334.02,333.58,337.63,335.39,333.51,335.00,332.45,335.87,339.12,342.68,340.75,337.34,342.63,341.30,341.52,344.96,341.51,342.81,343.76,340.06,341.93,339.61,339.22,338.00,338.73,337.08,340.37,337.33,339.57,334.30,332.77,329.89,330.73,329.31,335.15,331.69,339.91,336.64,345.79,347.94,351.13,345.03,345.93,343.65,343.26,341.30,338.46,337.28,333.68,335.89,334.95,340.19,334.34,337.65,338.61,342.50,337.19,341.38,338.66,339.16,337.46,338.67,335.93,339.95,334.91,335.41,331.94,330.62,328.75,326.18,326.34,323.63,321.98,317.50,316.46,313.09,306.57,305.18,308.43,308.93,312.26,313.38,317.29,322.94,323.47,325.21,328.01,331.92,330.86,332.34,333.08,338.91,340.17,337.80,341.76,338.68,344.42,344.97,345.43,346.12,343.93,345.27,345.91,347.67,348.96,351.90,350.33,350.73,353.62,361.41,362.85,350.52,355.16,349.60,349.94,335.12,318.84,311.33,285.57,L7
2000-07-11 22:05:41+00:00,329.05,331.23,332.92,336.27,334.56,334.75,329.92,327.56,326.90,326.99,327.94,327.65,330.60,329.82,336.49,334.02,333.58,337.63,335.39,333.51,335.00,332.45,335.87,339.12,342.68,340.75,337.34,342.63,341.30,341.52,344.96,341.51,342.81,343.76,340.06,341.93,339.61,339.22,338.00,337.78,334.16,338.44,335.80,338.25,333.08,332.81,327.66,329.18,326.14,333.36,330.64,337.50,335.84,344.14,344.86,349.02,343.01,343.85,342.07,341.78,339.94,337.16,335.31,331.40,333.80,332.68,337.54,332.30,335.08,336.97,339.06,336.32,339.62,336.92,336.51,336.31,336.00,335.00,336.56,333.28,332.82,331.31,328.53,327.47,325.75,325.57,321.58,322.05,316.72,316.30,312.19,306.08,303.50,304.54,306.59,310.37,312.06,315.43,320.59,319.38,322.25,325.00,327.53,328.52,331.36,331.58,335.76,338.04,335.65,339.68,336.66,342.70,343.96,344.37,344.37,341.78,339.23,340.93,342.63,348.72,346.91,350.65,350.06,359.06,362.64,361.07,347.69,347.32,336.58,335.35,335.12,318.84,311.33,283.39,L7
2000-07-27 22:05:24+00:00,330.30,332.22,334.75,338.16,337.61,336.41,332.41,330.13,328.68,327.57,328.62,328.72,330.43,329.70,337.01,334.68,334.13,337.54,337.56,335.24,336.27,335.00,337.01,339.13,341.83,340.92,338.49,343.96,341.27,342.21,346.42,344.33,343.71,345.75,341.23,343.15,341.37,339.96,339.30,338.41,335.74,338.47,336.15,338.92,334.74,334.70,329.69,331.18,327.42,334.14,332.62,338.14,337.56,345.04,346.03,349.05,344.61,344.04,344.01,343.02,341.60,338.41,337.20,333.12,335.37,333.64,338.08,333.49,336.49,337.58,339.91,336.99,340.65,338.78,338.42,337.80,337.96,336.79,337.99,335.02,334.23,332.73,330.50,328.70,327.04,326.47,322.94,322.95,317.91,317.32,312.79,307.94,305.00,305.56,308.24,312.20,314.18,316.22,321.79,321.06,324.35,326.79,329.79,329.97,333.66,332.99,336.82,339.19,336.71,341.45,338.48,344.17,344.45,346.20,346.23,345.28,342.70,345.21,345.77,352.02,351.64,354.82,354.78,363.25,364.83,361.61,350.74,346.59,335.20,331.48,320.46,309.57,309.77,294.90,L7
2000-08-12 22:05:17+00:00,329.65,332.07,334.70,338.05,337.50,335.73,332.54,329.66,328.41,326.95,328.34,328.47,329.68,328.75,334.56,332.65,332.55,335.47,336.32,333.84,334.79,334.01,335.21,337.70,340.18,339.14,338.13,342.93,340.76,341.72,345.30,342.88,343.50,345.21,340.18,342.38,340.22,339.29,339.23,337.89,335.83,338.42,335.90,338.67,334.31,334.39,329.88,331.06,327.39,332.81,332.89,337.69,337.59,344.38,345.49,348.49,344.41,343.72,343.47,342.16,341.06,338.20,337.15,333.34,334.88,333.81,338.01,334.01,337.03,337.26,339.89,336.70,340.29,338.31,338.51,338.10,337.96,336.87,337.40,334.85,334.28,332.82,329.90,328.89,326.10,326.31,322.19,322.63,317.17,316.23,312.47,307.50,305.06,305.39,308.02,311.07,314.18,315.65,322.04,320.85,325.17,326.89,329.61,329.68,333.13,333.19,336.96,339.29,337.29,340.81,338.70,344.25,344.20,345.70,346.38,346.06,344.24,346.02,346.52,352.27,353.14,356.13,354.78,363.25,364.83,361.61,350.74,346.59,335.20,331.48,320.46,309.57,309.77,294.90,L7
2000-12-18 22:04:37+00:00,329.65,332.47,334.90,339.44,336.92,335.68,331.22,329.15,327.30,324.03,327.84,329.22,328.95,328.94,332.84,332.01,331.79,334.32,336.39,333.49,334.31,332.33,334.08,336.64,337.87,337.20,338.82,342.01,341.09,340.62,345.23,341.89,343.23,344.31,341.87,342.72,340.25,339.64,339.24,337.97,336.06,337.21,335.76,337.85,335.00,335.98,330.24,331.30,327.06,330.66,331.85,335.68,336.82,342.15,343.98,345.98,344.25,342.18,343.34,343.36,340.05,338.77,337.24,333.57,334.52,333.57,337.81,334.43,336.75,337.86,339.19,337.37,340.15,338.46,339.14,339.12,337.90,337.76,336.49,335.70,334.85,333.68,330.30,329.78,326.93,326.71,321.47,322.88,318.06,316.28,312.68,308.63,305.52,304.70,308.29,312.43,316.39,316.69,322.22,321.14,326.23,327.75,329.90,329.90,334.01,334.36,336.54,339.68,336.99,341.65,340.54,346.77,346.21,347.52,348.28,347.48,343.56,346.10,345.76,354.47,353.55,358.06,356.81,368.06,366.54,360.99,350.85,342.30,328.00,322.25,305.79,300.31,308.22,302.25,L7
2001-02-20 22:04:36+00:00,322.32,326.97,330.51,329.96,330.23,330.85,325.25,321.54,319.58,319.38,318.37,321.26,323.53,324.95,325.15,326.24,328.87,329.14,329.17,327.78,329.60,323.51,328.22,332.12,330.54,330.82,335.54,331.52,334.14,332.49,333.51,331.65,330.48,328.50,332.79,333.01,329.77,333.40,330.47,329.81,331.67,328.91,330.89,328.25,327.42,323.22,323.86,320.29,319.58,320.38,321.01,325.51,330.43,333.34,336.50,338.34,335.89,333.90,332.60,334.73,331.26,330.03,325.34,327.14,326.03,328.23,330.64,329.82,331.48,329.00,331.34,332.55,333.70,331.78,332.78,332.68,332.67,332.25,331.02,330.65,328.57,327.29,322.74,321.87,318.86,318.58,314.45,311.46,313.64,310.17,310.53,304.58,303.76,302.10,306.45,313.43,316.38,313.20,317.52,317.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
