dates,nzd0481-0000,nzd0481-0001,nzd0481-0002,nzd0481-0003,nzd0481-0004,nzd0481-0005,nzd0481-0006,nzd0481-0007,nzd0481-0008,satname
1999-08-26 22:07:08+00:00,,342.07,344.21,340.02,345.79,359.59,367.94,362.60,374.82,L7
1999-10-13 22:07:36+00:00,341.12,346.61,350.43,345.45,346.00,352.42,359.40,361.14,365.27,L7
1999-11-30 22:07:23+00:00,343.21,348.54,351.91,344.55,340.84,363.12,366.63,367.05,372.19,L7
1999-12-16 22:07:33+00:00,343.41,350.19,351.94,350.84,352.08,361.07,363.38,368.38,374.88,L7
2000-05-08 22:06:44+00:00,,349.36,355.01,348.95,347.32,350.57,363.02,366.99,376.43,L7
2000-05-24 22:06:10+00:00,328.96,342.47,355.46,347.36,350.80,361.47,364.29,365.68,377.10,L7
2000-05-31 22:12:18+00:00,291.42,333.22,339.91,324.70,333.21,336.67,349.02,354.48,353.79,L7
2000-06-25 22:06:19+00:00,,342.39,360.51,356.64,361.03,369.04,363.40,368.93,378.37,L7
2000-07-27 22:05:48+00:00,,347.00,355.02,355.74,356.03,356.74,365.07,373.24,383.54,L7
2000-08-03 22:11:31+00:00,322.75,351.16,355.80,351.41,350.54,356.93,361.96,363.37,376.38,L7
2000-08-12 22:05:41+00:00,,345.01,350.53,343.35,347.91,362.04,363.26,366.50,376.38,L7
2000-09-20 22:10:50+00:00,343.30,348.48,355.82,356.26,357.12,365.95,367.83,368.59,370.46,L7
2000-12-02 22:04:57+00:00,350.82,354.05,361.05,358.10,355.10,365.99,366.31,368.96,378.04,L7
2000-12-18 22:05:01+00:00,351.26,358.29,365.33,361.79,361.77,364.58,366.82,375.39,378.71,L7
2001-01-03 22:05:00+00:00,342.58,355.01,357.80,356.28,351.10,361.68,364.51,369.43,375.75,L7
2001-02-20 22:04:36+00:00,342.50,352.75,352.00,342.38,345.86,355.19,360.54,363.00,380.04,L7
2001-03-31 22:10:31+00:00,,,,,,,,,331.74,L7
2001-04-09 22:04:41+00:00,333.55,345.18,350.15,346.50,350.52,357.95,359.46,355.21,366.06,L7
2001-07-14 22:03:57+00:00,303.20,329.60,333.01,329.12,330.24,347.11,350.68,356.87,374.73,L7
2001-08-15 22:03:02+00:00,327.40,353.50,359.85,360.96,362.18,363.03,369.04,370.20,378.43,L7
2002-03-11 22:03:07+00:00,346.79,352.12,352.41,344.61,348.29,358.91,366.05,366.22,377.12,L7
2002-04-12 22:03:25+00:00,335.81,347.13,351.71,349.92,357.31,362.53,363.42,358.90,372.64,L7
2002-05-14 22:02:55+00:00,318.12,351.83,359.23,350.70,349.09,358.02,360.51,357.39,369.30,L7
2002-05-30 22:02:49+00:00,355.69,330.04,340.31,354.75,,357.88,359.49,351.44,365.56,L7
2002-06-15 22:02:43+00:00,300.07,,353.80,351.51,353.87,361.48,361.37,363.72,372.43,L7
2002-08-18 22:02:45+00:00,333.67,344.12,343.98,341.97,346.46,352.37,355.53,362.46,365.14,L7
2002-11-22 22:02:21+00:00,352.84,359.61,356.10,349.78,349.78,361.90,368.04,361.25,373.19,L7
2002-12-08 22:02:51+00:00,341.42,345.10,341.68,332.98,342.66,346.57,354.10,357.50,363.35,L7
2002-12-24 22:02:33+00:00,352.55,356.51,357.30,350.84,353.05,357.06,363.84,367.94,373.99,L7
2003-08-05 22:02:35+00:00,325.52,354.42,358.77,350.00,348.42,,,366.57,376.63,L7
2003-08-13 21:51:08+00:00,335.42,353.83,357.08,349.20,358.92,360.71,371.12,367.46,380.71,L5
2003-09-14 21:51:42+00:00,341.19,352.24,354.17,351.06,352.46,361.17,360.99,365.41,367.38,L5
2003-10-16 21:52:08+00:00,351.70,354.36,357.75,355.91,357.39,362.22,361.34,363.94,368.98,L5
2003-11-17 21:52:57+00:00,352.30,351.34,355.30,351.69,353.99,367.75,366.89,369.40,370.07,L5
2003-12-10 21:58:53+00:00,,,328.43,320.21,322.07,341.48,343.45,344.18,,L5
2004-01-12 22:03:07+00:00,,354.12,354.42,347.61,352.47,348.43,352.93,358.69,369.41,L7
2004-01-20 21:53:24+00:00,334.68,340.09,345.33,332.31,347.47,349.50,360.56,378.42,386.60,L5
