dates,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086,satname
1999-08-26 22:07:32+00:00,346.58,364.39,367.14,364.88,356.65,359.27,359.18,343.97,336.18,336.45,339.09,337.90,330.88,329.92,328.65,337.99,339.66,341.40,342.18,346.74,342.85,346.75,348.69,333.42,313.93,317.42,322.61,323.74,318.62,326.87,329.36,316.68,330.07,334.21,325.93,313.51,312.88,320.11,315.41,323.03,322.99,316.00,332.53,340.82,358.02,331.11,315.41,343.00,340.05,329.37,315.99,304.06,322.41,338.16,342.24,356.15,342.95,347.73,364.22,367.45,365.92,349.69,355.08,367.59,367.05,360.02,378.59,386.25,380.31,364.34,357.57,356.21,363.50,360.31,360.93,355.46,357.86,359.17,356.02,363.92,372.19,358.85,360.66,371.00,363.55,366.94,364.97,L7
1999-11-30 22:07:23+00:00,329.99,343.41,352.28,349.40,346.89,353.04,347.18,338.00,330.03,334.47,336.99,325.99,323.17,326.73,313.03,331.63,336.55,346.70,347.28,342.32,341.19,342.65,342.07,333.06,333.91,333.86,323.12,326.49,327.13,337.63,345.26,335.47,336.68,341.42,335.32,327.36,329.28,330.74,323.78,318.68,317.06,326.71,339.81,356.12,351.62,346.18,328.53,341.28,339.47,335.79,329.36,322.81,324.84,357.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-16 22:07:33+00:00,330.51,348.02,357.83,355.78,352.25,358.28,355.39,349.51,338.43,342.65,342.55,333.35,332.65,330.31,,339.84,340.77,348.19,347.86,344.10,346.31,346.35,344.87,336.25,337.01,343.16,329.35,332.58,331.36,339.48,351.47,340.83,340.08,345.65,341.01,330.83,331.91,331.99,328.01,324.06,327.44,324.68,345.41,355.04,358.67,344.28,332.22,345.21,343.81,343.53,333.87,330.77,336.58,362.66,359.09,368.09,367.37,369.51,368.81,373.06,364.88,372.21,377.67,379.34,387.87,391.96,393.38,390.58,384.55,381.35,371.24,369.89,363.08,375.24,374.36,375.63,365.69,372.28,373.52,376.00,381.37,384.75,379.23,374.54,372.24,370.84,359.26,L7
2000-05-08 22:06:44+00:00,322.95,348.23,352.65,361.89,359.04,364.30,361.77,356.60,354.03,355.72,356.10,349.25,341.44,332.79,340.17,345.52,340.22,350.47,353.17,350.89,350.07,346.50,351.73,344.06,338.01,328.94,325.30,333.34,331.65,341.23,345.67,332.95,327.89,336.89,333.61,326.21,331.42,326.32,320.12,324.53,323.89,328.67,339.05,344.89,347.86,336.41,327.30,346.39,348.46,346.59,339.99,331.77,339.79,357.41,355.12,365.23,366.22,367.05,368.88,371.54,368.40,370.42,369.40,380.42,381.18,375.87,383.72,379.16,380.67,373.65,369.94,368.91,366.53,373.61,370.50,367.45,357.47,359.29,358.51,366.40,363.58,367.76,369.89,366.81,362.85,364.26,353.79,L7
2000-06-25 22:06:19+00:00,,357.19,362.93,370.42,362.15,373.46,372.39,364.73,358.49,358.48,360.11,351.96,345.49,338.87,345.66,347.89,342.85,347.39,346.06,344.57,346.60,347.37,348.31,340.81,345.93,328.35,335.17,342.83,344.54,355.47,360.24,350.40,338.78,346.66,339.57,333.83,336.28,336.84,335.29,331.26,334.02,340.57,357.04,361.67,366.99,361.56,352.43,367.20,361.06,350.43,333.73,329.13,343.11,367.10,370.17,376.96,379.03,378.77,385.89,390.82,383.82,383.42,381.35,377.49,392.72,394.05,389.63,380.33,387.82,388.33,384.41,383.21,380.74,384.25,382.41,378.98,372.75,373.64,376.01,382.95,376.29,379.57,380.93,383.17,382.21,,374.30,L7
2000-07-11 22:06:05+00:00,,,,,,,,,,,,,,,,,,,,,,345.12,341.09,329.09,335.87,334.10,322.60,332.80,339.43,342.59,354.00,338.64,337.02,338.33,330.67,318.97,325.75,326.90,324.13,319.46,326.27,326.05,337.49,337.62,344.98,341.07,333.31,353.54,343.10,332.60,323.56,317.36,322.76,348.46,355.28,366.99,355.60,356.78,370.50,375.36,369.68,364.90,362.43,366.58,371.25,375.24,374.06,368.70,369.47,370.35,368.13,366.07,360.23,368.79,363.29,361.51,357.15,361.28,359.97,364.66,360.00,360.49,356.98,360.81,364.61,364.86,360.93,L7
2000-07-27 22:05:48+00:00,,354.29,370.32,370.67,365.12,373.86,369.19,361.52,358.33,358.42,354.37,350.50,343.47,341.69,337.38,340.58,342.00,346.60,347.77,344.36,343.81,347.88,346.75,337.86,335.94,331.87,332.49,337.23,345.38,351.44,357.61,344.13,343.20,349.90,338.47,326.80,334.92,337.78,332.02,333.67,333.77,335.09,342.24,350.70,349.47,354.98,346.07,358.41,348.52,340.59,328.97,328.32,333.54,362.27,364.31,371.55,369.23,372.42,377.96,386.82,382.35,378.49,375.98,382.90,389.63,386.62,387.33,378.45,385.02,381.70,374.67,376.23,380.27,384.02,379.33,376.68,373.99,372.29,371.63,372.28,373.39,367.51,374.43,365.33,371.66,375.17,368.19,L7
2000-08-03 22:11:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.88,326.39,329.43,321.57,322.45,325.05,322.84,333.47,338.73,350.51,334.03,328.97,346.52,339.22,329.64,315.46,310.27,320.04,342.05,342.05,359.41,351.69,364.42,371.11,377.09,371.46,365.81,365.08,356.07,363.89,373.29,368.60,361.30,362.08,360.56,359.10,356.61,367.60,366.46,371.20,359.89,359.85,353.15,350.99,356.41,356.86,356.37,359.03,355.63,356.63,358.25,345.14,L7
2000-08-12 22:05:41+00:00,319.59,338.14,346.23,349.36,350.71,358.67,354.32,348.39,346.32,346.93,345.25,339.63,329.47,327.60,329.80,333.38,337.38,342.90,343.33,341.92,339.95,341.99,344.28,331.45,324.66,324.29,323.16,325.83,327.05,336.02,344.53,325.02,323.14,331.27,322.61,319.06,321.82,323.60,309.33,317.84,318.50,319.97,326.85,333.23,339.48,332.17,323.46,340.56,330.97,324.85,309.22,298.40,320.95,339.15,336.76,352.64,345.46,354.79,360.42,369.92,366.93,358.06,352.83,350.61,349.46,365.82,367.60,355.81,354.21,359.06,361.15,356.91,360.91,367.79,359.94,356.84,349.19,350.86,347.94,352.55,350.01,349.48,352.25,353.75,349.71,356.63,341.64,L7
2000-09-20 22:10:50+00:00,,,,,,,,,,,342.86,337.51,326.84,318.86,,333.40,342.75,362.61,364.94,351.28,339.53,339.96,344.27,345.38,351.38,358.40,344.11,335.86,339.15,350.96,355.52,347.12,328.97,349.23,341.12,332.99,332.10,330.76,329.54,330.73,338.36,337.77,347.58,357.95,353.46,353.21,335.52,350.16,345.85,339.28,325.24,315.49,328.27,357.64,367.19,373.34,371.08,369.15,380.31,379.58,368.75,368.72,373.04,374.02,379.95,378.96,380.10,363.50,366.95,374.10,369.70,366.59,361.64,374.35,374.13,367.97,362.64,357.26,365.51,367.57,371.39,368.58,368.93,364.23,371.21,369.61,362.49,L7
2000-12-18 22:05:01+00:00,332.40,348.99,356.16,352.47,349.79,357.90,349.99,345.08,344.58,344.17,346.99,339.67,335.74,328.42,323.31,333.35,340.41,356.64,356.03,352.00,347.10,348.17,349.41,344.67,344.37,353.88,338.11,342.97,340.28,342.76,349.89,346.65,344.06,348.18,337.98,332.19,330.78,333.46,334.01,330.71,331.88,331.13,347.55,355.57,358.84,348.61,332.91,349.36,346.96,343.27,332.67,325.56,323.36,354.55,363.03,374.18,372.74,368.08,367.95,379.84,370.95,368.62,364.63,364.69,375.12,379.17,375.78,376.20,373.12,375.64,367.57,373.88,361.72,375.66,370.14,366.24,364.10,359.37,368.10,365.92,372.10,369.65,366.59,366.80,364.76,372.57,366.13,L7
2001-01-03 22:05:00+00:00,330.71,348.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.24,369.28,380.39,367.14,370.89,361.53,370.91,369.16,361.26,L7
2001-02-20 22:05:00+00:00,348.36,359.80,359.90,359.14,359.06,364.07,363.20,356.06,352.68,351.14,346.75,339.76,332.21,331.28,340.56,340.65,344.22,351.23,353.51,349.64,350.02,350.00,348.46,341.18,340.60,344.03,,,,,,,,,,,,,,,,,,,,344.80,332.19,344.59,340.64,337.40,324.28,312.30,327.46,347.30,353.32,367.08,355.75,365.22,366.82,370.77,368.23,361.33,361.70,368.16,371.26,371.87,374.31,369.38,369.54,362.90,365.07,365.17,366.40,371.05,370.12,367.36,362.76,354.62,351.09,353.54,352.18,357.44,354.70,350.97,356.45,356.38,336.45,L7
