dates,satname,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014
1999-08-26 22:07:32+00:00,L7,386.00,363.05,362.74,373.27,370.39,359.59,358.06,352.68,360.40,365.45,372.08,367.49,360.67,361.13,363.04
2000-02-25 22:13:25+00:00,L7,,281.84,272.26,311.31,310.49,314.50,311.49,,313.54,,,,,,
2000-05-08 22:06:44+00:00,L7,369.46,338.96,326.27,338.88,340.82,329.60,328.61,321.37,327.95,291.86,314.97,329.87,321.23,318.91,328.76
2000-05-15 22:12:54+00:00,L7,,,,,,,,,,,,,338.55,344.19,340.75
2000-05-31 22:12:42+00:00,L7,,348.24,349.50,343.88,321.98,332.57,336.84,329.80,327.89,302.71,302.02,338.44,348.15,353.73,348.04
2000-08-03 22:11:55+00:00,L7,379.86,341.90,329.12,337.94,342.16,334.82,329.93,320.38,323.55,323.41,332.46,337.50,337.33,344.81,340.02
2000-08-19 22:11:49+00:00,L7,,,,,,,,,,,,,,,
2000-09-20 22:11:14+00:00,L7,369.94,313.09,312.55,326.19,318.76,315.42,316.31,322.87,323.02,319.04,318.22,311.79,275.42,290.74,304.57
2001-01-03 22:05:00+00:00,L7,409.78,334.75,334.19,343.73,343.79,334.94,344.82,349.18,354.44,346.32,344.90,333.50,330.70,342.66,337.47
2001-03-31 22:10:55+00:00,L7,,,,,,,,,,,,,,,
2001-06-28 22:03:56+00:00,L7,373.07,309.91,324.61,341.30,395.91,514.41,403.31,321.30,316.47,300.31,305.52,299.54,305.74,284.88,291.50
2001-07-14 22:03:57+00:00,L7,,,,,322.38,323.11,314.05,293.82,299.90,290.14,295.01,312.01,312.01,286.51,285.67
2001-08-15 22:03:26+00:00,L7,381.97,340.62,349.12,353.59,341.60,328.04,327.87,316.76,305.47,314.07,327.10,332.13,322.91,342.50,342.88
2001-11-03 22:02:58+00:00,L7,376.85,357.68,355.16,359.75,363.82,355.03,351.18,348.65,351.31,346.53,352.70,357.41,357.10,370.44,373.43
2002-04-12 22:03:25+00:00,L7,378.26,364.33,364.68,370.98,372.08,368.73,361.29,363.62,356.26,356.56,363.19,366.25,367.98,373.60,371.37
2002-06-15 22:03:07+00:00,L7,348.88,305.75,301.34,321.24,315.09,322.44,304.76,299.29,288.04,280.99,286.98,303.59,316.55,310.44,312.96
2002-08-18 22:02:45+00:00,L7,372.26,319.69,311.44,325.05,326.12,327.94,326.96,323.83,314.91,320.30,331.32,324.65,299.72,304.27,304.47
2003-03-14 22:03:20+00:00,L7,369.71,334.07,333.32,334.48,326.99,312.24,307.14,319.57,328.62,327.63,321.14,331.01,333.86,323.47,314.51
2003-08-05 22:02:59+00:00,L7,421.21,424.38,399.78,240.05,266.74,277.62,555.61,570.87,559.60,587.19,,,,160.52,
2003-08-13 21:51:32+00:00,L5,,332.10,296.91,205.94,,213.25,275.26,274.41,289.17,344.88,349.59,352.32,351.59,375.03,369.69
2003-08-29 21:51:49+00:00,L5,,,,309.90,337.72,338.07,326.66,332.70,344.19,346.73,344.73,353.27,360.36,362.39,360.90
2003-10-07 21:58:35+00:00,L5,,,,,,,,,,,,,,,
2003-10-24 22:02:58+00:00,L7,391.47,328.32,328.85,342.48,346.32,346.02,335.94,348.94,357.18,349.10,335.62,340.24,351.99,344.44,306.29
2003-11-09 22:03:06+00:00,L7,425.81,330.86,329.23,344.52,356.75,350.25,342.25,353.32,361.25,360.90,350.73,351.08,366.85,387.94,379.68
2003-11-17 21:52:57+00:00,L5,373.35,319.86,324.22,333.16,337.62,325.28,319.35,328.29,329.00,331.30,325.45,334.29,333.21,328.02,321.03
2003-12-10 21:59:17+00:00,L5,,,,,,,,,,,,,,,
2004-04-25 21:54:35+00:00,L5,535.59,530.39,372.45,347.32,319.95,195.02,286.34,292.14,335.52,354.28,346.11,351.06,344.49,352.82,350.64
2004-06-12 21:55:59+00:00,L5,361.84,353.43,328.33,331.18,312.15,317.38,310.74,294.79,288.11,282.94,291.95,338.87,345.80,345.63,356.20
2004-07-22 22:03:32+00:00,L7,594.07,,,,,,323.23,305.46,325.32,327.04,322.17,326.78,,,
2004-08-15 21:57:37+00:00,L5,372.67,337.21,338.51,338.42,338.16,321.47,322.42,306.91,334.12,335.70,346.44,347.10,347.01,340.23,344.32
2004-09-08 22:03:17+00:00,L7,386.82,341.96,339.58,330.97,,,,,,,,,,,
2004-09-24 22:03:12+00:00,L7,388.34,343.06,338.66,332.12,329.69,327.89,325.82,322.33,329.72,331.54,339.13,343.57,337.67,324.33,336.01
2004-10-10 22:03:07+00:00,L7,387.32,342.26,333.12,339.50,335.92,328.61,326.45,325.03,330.07,338.45,331.52,336.86,340.01,326.97,335.71
