dates,nzd0516-0000,nzd0516-0001,nzd0516-0002,nzd0516-0003,nzd0516-0004,nzd0516-0005,nzd0516-0006,nzd0516-0007,nzd0516-0008,nzd0516-0009,nzd0516-0010,nzd0516-0011,nzd0516-0012,nzd0516-0013,nzd0516-0014,nzd0516-0015,nzd0516-0016,nzd0516-0017,nzd0516-0018,nzd0516-0019,nzd0516-0020,nzd0516-0021,nzd0516-0022,nzd0516-0023,nzd0516-0024,satname
1999-08-17 22:13:37+00:00,433.46,440.60,435.77,409.61,374.94,364.14,349.02,337.66,331.56,323.30,320.61,306.08,,321.93,333.46,342.96,350.31,358.71,361.31,351.25,340.36,338.56,348.69,372.19,413.92,L7
1999-09-18 22:13:39+00:00,416.64,426.13,418.03,399.61,370.83,355.73,348.59,334.21,328.94,327.01,311.52,296.25,,292.45,314.39,336.22,345.23,355.14,359.73,356.96,343.13,337.23,347.61,353.60,397.26,L7
1999-09-27 22:07:36+00:00,446.94,401.40,,,346.34,342.44,331.52,325.24,323.94,314.60,301.49,311.90,,300.59,299.72,,,412.19,411.97,,346.93,320.79,327.56,340.59,415.52,L7
1999-10-13 22:07:36+00:00,384.70,391.29,388.91,371.87,359.72,359.63,357.33,352.78,338.27,327.07,310.84,294.16,,,338.44,369.85,,388.57,381.52,351.46,330.95,323.68,331.45,346.43,,L7
1999-12-23 22:13:39+00:00,340.23,,,,324.83,336.35,333.42,324.50,319.01,310.80,299.17,292.50,,,314.06,326.45,343.12,354.32,,380.78,,313.58,303.54,311.92,,L7
2000-02-18 22:07:16+00:00,,,,,,,,,347.60,324.96,,381.03,,,347.79,350.52,359.39,377.12,375.69,362.56,334.58,317.65,308.57,318.42,447.58,L7
2000-05-08 22:06:44+00:00,351.25,375.25,392.29,389.90,376.74,378.49,371.03,368.07,369.82,371.57,,344.78,,,330.53,337.10,337.17,349.78,348.09,337.29,314.30,298.04,296.55,304.47,,L7
2000-05-15 22:12:54+00:00,358.99,382.94,393.27,391.94,376.65,379.22,373.39,372.52,373.92,370.82,,351.23,,,325.91,335.66,338.97,345.70,350.93,343.74,319.10,295.98,290.30,305.61,,L7
2000-06-16 22:12:38+00:00,400.45,374.74,372.59,,,,,,,,,,,,,,,328.33,339.40,328.28,319.56,305.98,304.31,307.97,,L7
2000-06-25 22:06:19+00:00,381.08,408.51,415.51,399.81,378.11,,,,,,,,,,,,,,358.31,350.33,322.33,307.58,299.44,312.52,383.90,L7
2000-07-27 22:05:48+00:00,407.17,420.25,400.18,384.51,364.38,374.73,361.16,362.31,355.97,347.98,335.26,322.58,278.32,304.11,315.31,326.55,339.11,345.58,352.52,346.13,320.56,301.86,294.39,305.21,362.78,L7
2000-08-19 22:11:49+00:00,369.58,381.65,396.15,381.59,370.03,361.78,357.45,353.98,343.76,338.49,330.01,304.09,282.73,300.20,306.19,317.89,329.66,338.92,345.12,336.75,325.72,303.11,294.11,300.57,327.25,L7
2000-09-20 22:11:14+00:00,331.21,388.78,397.54,390.78,368.16,361.74,348.78,339.59,333.62,328.35,324.42,283.85,,,306.77,315.55,335.05,329.64,330.78,321.44,312.67,311.11,298.33,304.11,365.15,L7
2000-12-18 22:05:01+00:00,324.12,352.31,361.10,349.50,342.11,338.77,337.09,340.64,336.92,339.72,331.27,285.84,296.24,314.59,318.38,332.27,349.45,354.45,358.22,334.70,314.20,304.80,295.93,306.19,377.04,L7
2001-01-03 22:05:00+00:00,347.39,357.62,358.21,343.01,335.80,342.63,347.63,343.51,352.19,350.07,334.63,311.24,314.04,329.27,337.72,351.78,363.68,362.23,362.94,346.84,322.60,302.85,298.66,308.05,364.75,L7
2001-01-19 22:05:06+00:00,310.54,331.07,336.92,324.44,317.87,324.42,326.05,332.23,332.96,335.82,325.54,304.21,,,336.33,342.51,350.45,357.53,350.22,327.23,305.04,289.61,282.22,288.08,333.64,L7
2001-04-16 22:10:54+00:00,286.81,,363.91,372.97,,376.92,374.25,372.77,368.52,366.58,352.42,329.84,310.97,318.62,332.52,336.52,339.70,329.69,330.11,319.28,309.56,303.26,307.90,304.74,346.77,L7
2001-05-02 22:10:51+00:00,273.59,,367.53,371.06,,381.37,378.87,375.56,375.60,372.18,358.42,328.56,323.09,321.10,324.50,336.61,329.69,,,,,,,,,L7
2001-06-28 22:03:56+00:00,,,,,,,,,,350.89,336.78,313.47,,,318.07,319.86,322.62,324.86,331.87,321.81,315.37,309.43,304.62,310.61,373.41,L7
2001-07-14 22:03:57+00:00,,,,,,,,,,,,,,,311.25,317.62,320.34,320.15,320.62,314.29,305.18,294.64,295.93,303.10,353.29,L7
2001-08-15 22:03:26+00:00,,390.91,393.00,380.80,355.83,351.82,349.07,344.17,334.22,328.05,316.02,277.61,,301.24,307.21,313.16,313.68,316.10,323.98,319.77,317.17,323.89,325.96,334.54,374.79,L7
2001-09-07 22:09:22+00:00,,384.49,369.90,344.33,322.05,307.75,,318.18,312.39,296.38,,263.20,,287.87,297.21,298.20,299.00,311.60,339.22,339.52,325.78,321.07,318.66,338.67,357.92,L7
2001-11-03 22:02:58+00:00,,360.72,336.45,315.68,299.65,298.73,,295.53,306.07,329.98,323.69,328.18,321.84,322.04,299.38,347.09,,369.81,372.48,362.93,336.75,312.90,,,,L7
2002-01-29 22:09:33+00:00,,,,,,,,,,,,311.50,,338.81,323.13,334.20,327.89,341.42,,392.21,345.94,324.72,310.39,317.50,,L7
2002-03-18 22:09:33+00:00,,413.55,393.87,370.37,335.36,319.96,307.28,297.65,303.12,305.61,306.88,301.61,,,326.62,332.14,338.98,347.58,348.62,336.75,319.06,303.58,294.96,299.01,,L7
2002-04-12 22:03:25+00:00,,434.83,412.75,370.89,335.10,322.97,329.32,324.26,334.20,334.15,327.42,323.05,309.62,317.32,328.38,339.88,345.58,348.55,356.43,338.20,323.38,307.83,303.30,306.84,,L7
2002-05-14 22:03:19+00:00,,412.33,373.02,350.35,359.77,348.66,,349.36,344.22,347.99,326.72,345.48,317.02,314.60,321.45,332.20,337.78,341.43,338.87,327.69,299.79,291.87,289.20,294.03,295.04,L7
2002-05-30 22:03:13+00:00,,,,,374.35,369.88,351.81,357.39,358.12,359.53,,309.47,304.29,306.75,311.00,,,,,,,,,,,L7
2002-06-15 22:03:07+00:00,351.57,367.93,372.26,365.42,345.30,350.83,350.87,355.08,350.06,336.18,315.32,303.51,299.80,295.21,298.33,311.63,315.52,327.22,325.84,308.74,283.32,286.16,283.71,293.94,315.49,L7
2002-06-22 22:09:15+00:00,359.26,370.55,381.78,372.01,359.71,358.81,363.83,358.14,347.52,332.21,319.59,314.44,302.86,299.37,304.65,305.78,321.48,333.34,329.01,306.20,291.35,289.42,283.25,296.54,315.42,L7
2002-07-01 22:03:02+00:00,327.72,357.07,369.19,355.53,347.24,331.91,326.49,333.75,329.47,297.18,,289.22,,279.43,288.92,302.71,312.65,317.78,320.22,298.75,283.45,273.40,271.92,280.35,333.90,L7
2002-09-10 22:08:43+00:00,,,417.91,,400.83,380.87,371.42,357.33,338.30,309.15,318.68,312.21,309.15,298.22,295.67,304.51,323.75,320.25,317.84,306.54,291.17,279.50,275.95,285.85,,L7
2003-02-01 22:09:21+00:00,348.78,338.19,,362.37,380.33,380.45,390.40,388.42,380.98,387.46,,355.46,,313.44,328.71,330.57,324.20,317.53,329.06,326.33,303.00,272.03,260.21,265.35,420.24,L7
2003-05-01 22:03:22+00:00,,,430.61,418.54,402.30,397.66,396.02,387.63,388.21,383.23,,358.34,338.15,321.63,319.90,322.24,324.55,327.33,321.28,313.23,301.69,305.30,299.16,292.97,401.17,L7
2003-08-05 22:02:59+00:00,,,,,,,,,,,350.81,319.19,302.64,305.98,305.12,314.31,320.31,326.66,336.86,328.25,,,,,365.29,L7
2003-08-12 22:09:11+00:00,,,,428.66,401.27,,,,,,334.87,311.36,304.22,289.55,292.72,293.75,306.08,325.81,338.34,335.12,,,,,,L7
2003-08-13 21:51:32+00:00,,,471.50,427.91,402.55,390.78,383.69,375.55,368.90,367.84,340.11,323.04,303.97,291.36,292.85,304.44,317.77,332.59,341.13,340.30,334.69,,287.88,301.97,,L5
2003-08-29 21:51:49+00:00,,,,443.45,410.41,398.58,381.10,360.46,351.82,346.10,323.46,319.06,294.16,279.62,289.76,296.43,318.39,329.20,330.10,346.34,320.88,297.36,291.22,300.19,341.63,L5
2003-10-07 21:58:35+00:00,,,462.13,429.91,400.44,389.85,378.65,372.06,364.58,358.23,,336.67,,,314.34,320.16,331.90,342.74,348.72,342.40,326.27,311.49,302.98,304.27,336.47,L5
2003-10-15 22:08:58+00:00,,,,,399.42,387.25,378.27,371.82,362.70,365.85,349.62,339.77,316.69,320.38,,,,,,343.77,328.81,308.67,303.31,306.14,338.25,L7
2003-10-31 22:09:12+00:00,,,,,,,352.25,342.01,341.34,342.66,326.47,317.44,,,292.18,,,,,,308.06,294.74,286.92,295.88,358.92,L7
2003-11-09 22:03:06+00:00,,,,,387.45,,,,,361.37,338.61,331.78,,311.78,318.67,319.85,336.75,339.40,362.07,374.33,,,,318.93,,L7
2003-11-16 22:09:23+00:00,,,,,,,363.19,352.13,347.53,346.40,341.48,322.75,,,307.92,,,,,,321.15,302.78,293.27,300.66,352.30,L7
2003-11-17 21:52:57+00:00,,,470.74,444.52,411.48,381.88,371.01,370.06,363.66,363.53,352.50,339.45,330.42,336.62,331.51,338.15,345.34,355.23,372.42,354.47,330.02,308.12,296.21,304.67,368.59,L5
2003-12-02 22:09:26+00:00,,,,,380.69,375.74,368.92,354.47,350.24,351.29,341.42,319.80,,,,,,,325.89,332.81,,,,,,L7
2003-12-26 21:59:30+00:00,,,,,375.86,370.49,390.35,393.39,383.31,372.46,349.89,333.64,321.08,306.08,299.73,301.92,309.19,324.47,336.28,323.71,317.73,302.71,303.33,309.00,,L5
2003-12-27 22:03:30+00:00,,441.15,,,,,,,,,341.90,324.49,309.26,303.58,302.61,305.94,313.35,325.20,341.69,331.88,311.37,,,,,L7
2004-03-07 22:09:59+00:00,,,,,403.81,392.55,385.50,373.38,366.97,370.84,339.71,329.03,312.55,,,,,,,349.22,327.83,321.22,302.65,315.29,,L7
2004-03-23 22:10:04+00:00,,,,,387.45,373.87,386.57,383.02,371.22,362.11,338.42,327.85,,,,,,345.74,351.76,343.29,323.79,304.08,297.05,294.71,319.69,L7
2004-03-31 21:59:59+00:00,,497.93,465.03,427.41,398.21,392.99,386.35,379.76,373.64,369.02,356.30,341.63,319.72,315.41,311.28,320.48,328.77,337.53,349.70,348.62,328.80,309.32,305.67,310.60,351.05,L5
2004-04-08 22:10:00+00:00,369.46,,449.70,417.80,387.41,371.97,376.57,,,,,,318.03,318.89,333.90,340.95,337.93,335.05,336.30,331.47,320.69,,,,,L7
2004-04-24 22:09:55+00:00,,,,,,407.77,405.46,399.95,392.21,387.18,372.49,357.87,344.12,342.06,,,,,,337.54,328.06,320.11,312.59,312.99,335.83,L7
2004-04-25 21:54:35+00:00,,,461.28,437.35,400.06,391.68,,,,,360.86,353.18,334.60,337.05,342.59,340.93,346.08,344.92,344.07,333.99,320.99,326.78,,,,L5
2004-05-02 22:00:57+00:00,,,,,,,,,,,,,,,,,,,,,,305.44,,,,L5
2004-05-03 22:03:47+00:00,,,452.04,432.23,407.49,388.80,390.54,383.80,383.98,378.34,359.79,344.50,,,,,336.78,335.52,335.44,328.80,317.48,308.44,302.38,299.63,295.28,L7
2004-05-18 22:01:26+00:00,,,,,413.19,398.37,394.72,394.75,392.49,382.32,376.21,357.15,327.89,343.75,343.51,342.59,344.55,331.96,336.40,325.56,315.31,310.65,302.73,308.47,335.15,L5
2004-06-11 22:09:50+00:00,,510.16,490.49,460.37,429.33,409.40,407.48,,,,,340.14,326.89,336.61,339.38,335.87,330.53,344.24,348.33,340.77,316.27,,,,,L7
