dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088,satname
1999-07-16 22:13:35+00:00,347.45,,,341.86,343.80,348.91,332.42,320.13,324.26,338.48,343.23,346.99,346.92,353.96,344.27,350.01,343.73,347.18,349.91,360.56,329.33,327.57,329.45,,,,,331.66,335.80,351.55,343.95,334.15,330.74,348.55,322.98,329.68,324.72,327.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,331.00,313.62,311.56,317.43,319.61,318.70,314.19,314.46,325.33,335.27,338.06,330.58,334.68,337.46,336.10,341.71,343.17,344.64,337.42,334.31,335.79,329.23,331.18,335.71,342.01,348.20,349.93,350.37,343.54,339.08,327.88,323.24,322.19,313.01,314.91,315.18,323.95,327.71,331.01,331.68,331.99,336.24,337.49,334.36,338.04,339.70,333.79,331.31,323.48,321.51,317.07,314.83,313.57,309.64,310.79,300.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-30 22:19:45+00:00,328.38,312.77,324.13,322.23,325.50,319.47,318.41,312.35,322.91,335.03,336.37,333.72,332.67,339.62,342.04,347.66,346.21,347.05,343.48,340.87,338.38,334.10,330.48,335.56,344.11,351.94,357.35,351.22,342.96,337.47,338.11,330.51,325.40,323.33,325.18,321.89,323.40,329.68,337.74,340.56,342.97,341.49,336.31,333.26,336.90,342.64,341.43,337.09,327.45,323.12,322.93,319.55,319.10,313.64,309.15,300.97,293.04,287.57,280.60,278.65,278.80,279.31,279.05,277.87,278.84,279.48,283.38,285.27,287.57,287.94,288.71,293.47,292.04,287.56,288.83,289.35,291.33,288.30,286.09,282.16,277.69,271.07,279.14,282.09,293.54,305.11,300.92,298.66,296.08,L7
2000-01-24 22:13:35+00:00,350.64,,,,,367.08,358.53,357.63,352.37,368.37,366.66,357.68,363.91,364.06,369.67,366.67,361.65,358.15,354.13,354.59,352.13,348.19,351.81,356.59,369.25,372.70,373.24,366.77,364.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-02-25 22:13:25+00:00,345.27,324.15,328.69,334.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-04-20 22:19:15+00:00,343.78,320.60,330.84,330.87,330.13,327.61,324.88,321.62,335.22,350.69,352.60,344.58,341.44,345.28,347.16,351.27,354.71,350.82,347.80,343.92,342.88,338.66,345.59,345.02,358.17,360.61,356.03,353.14,350.79,352.15,346.45,335.84,333.08,329.21,329.75,327.98,331.41,337.23,340.32,346.82,347.34,347.00,343.05,343.43,344.39,348.76,348.21,337.44,336.87,332.26,325.39,323.29,321.38,317.38,317.89,308.13,299.47,295.40,293.33,291.79,287.25,285.65,286.67,287.86,290.81,290.40,290.53,294.04,295.57,291.38,294.86,292.50,291.41,290.78,284.67,291.56,290.68,291.96,291.70,288.19,282.74,281.74,283.89,294.55,303.25,310.75,308.38,306.32,308.22,L7
2000-04-29 22:13:05+00:00,337.86,299.92,316.95,319.06,325.38,317.85,313.77,317.12,329.22,336.43,344.54,339.05,337.50,340.40,336.44,339.03,336.82,345.62,343.24,343.07,339.52,334.42,334.40,343.34,351.12,355.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-22 22:18:57+00:00,,,,,,,,,,,,,,,,,334.62,332.71,325.45,322.42,326.82,320.51,334.68,,,,342.66,339.78,338.91,333.88,334.73,325.46,313.38,314.91,310.53,319.68,317.26,324.94,327.79,332.08,333.88,328.35,327.07,329.08,330.37,338.14,334.75,326.30,321.94,318.37,312.48,316.16,308.37,306.46,305.28,292.02,281.53,282.93,279.58,273.63,272.45,273.40,271.22,275.86,281.79,277.27,277.86,284.29,286.04,280.31,281.26,280.37,279.49,281.45,277.27,280.73,279.99,281.34,280.33,277.99,271.35,275.43,274.23,283.01,293.14,300.43,297.78,296.09,292.47,L7
2000-05-31 22:12:42+00:00,343.10,289.61,310.97,316.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-06-07 22:18:48+00:00,339.46,265.83,319.63,323.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.86,334.82,326.42,325.92,319.94,309.32,,298.88,297.92,290.62,281.32,274.21,258.14,242.91,,,,,,,,,280.41,283.40,287.25,286.16,285.27,287.04,285.60,288.85,285.34,288.47,289.67,294.74,285.88,293.84,290.63,287.52,295.62,320.08,323.19,313.60,313.29,308.46,L7
