dates,nzd0537-0000,nzd0537-0001,nzd0537-0002,nzd0537-0003,nzd0537-0004,nzd0537-0005,nzd0537-0006,nzd0537-0007,nzd0537-0008,nzd0537-0009,nzd0537-0010,nzd0537-0011,nzd0537-0012,nzd0537-0013,nzd0537-0014,nzd0537-0015,nzd0537-0016,nzd0537-0017,nzd0537-0018,nzd0537-0019,nzd0537-0020,nzd0537-0021,nzd0537-0022,nzd0537-0023,nzd0537-0024,nzd0537-0025,nzd0537-0026,nzd0537-0027,nzd0537-0028,nzd0537-0029,nzd0537-0030,nzd0537-0031,nzd0537-0032,nzd0537-0033,nzd0537-0034,nzd0537-0035,nzd0537-0036,nzd0537-0037,nzd0537-0038,nzd0537-0039,nzd0537-0040,nzd0537-0041,nzd0537-0042,nzd0537-0043,nzd0537-0044,nzd0537-0045,nzd0537-0046,nzd0537-0047,nzd0537-0048,nzd0537-0049,nzd0537-0050,nzd0537-0051,nzd0537-0052,nzd0537-0053,nzd0537-0054,nzd0537-0055,nzd0537-0056,nzd0537-0057,nzd0537-0058,nzd0537-0059,nzd0537-0060,nzd0537-0061,nzd0537-0062,nzd0537-0063,nzd0537-0064,nzd0537-0065,nzd0537-0066,nzd0537-0067,nzd0537-0068,nzd0537-0069,nzd0537-0070,nzd0537-0071,nzd0537-0072,nzd0537-0073,nzd0537-0074,nzd0537-0075,nzd0537-0076,nzd0537-0077,nzd0537-0078,nzd0537-0079,nzd0537-0080,nzd0537-0081,nzd0537-0082,nzd0537-0083,nzd0537-0084,nzd0537-0085,nzd0537-0086,nzd0537-0087,nzd0537-0088,nzd0537-0089,nzd0537-0090,nzd0537-0091,nzd0537-0092,nzd0537-0093,nzd0537-0094,nzd0537-0095,nzd0537-0096,nzd0537-0097,nzd0537-0098,nzd0537-0099,nzd0537-0100,nzd0537-0101,nzd0537-0102,nzd0537-0103,nzd0537-0104,nzd0537-0105,nzd0537-0106,nzd0537-0107,nzd0537-0108,nzd0537-0109,nzd0537-0110,nzd0537-0111,nzd0537-0112,nzd0537-0113,nzd0537-0114,nzd0537-0115,nzd0537-0116,nzd0537-0117,nzd0537-0118,nzd0537-0119,nzd0537-0120,nzd0537-0121,nzd0537-0122,nzd0537-0123,nzd0537-0124,nzd0537-0125,nzd0537-0126,nzd0537-0127,nzd0537-0128,nzd0537-0129,nzd0537-0130,nzd0537-0131,nzd0537-0132,nzd0537-0133,nzd0537-0134,nzd0537-0135,nzd0537-0136,nzd0537-0137,nzd0537-0138,satname
1999-07-16 22:13:35+00:00,,,,,349.76,,312.19,330.29,374.88,367.05,,,,,,379.85,,,,,,,,,,,,,,280.66,,,,,,363.54,,,,,,,,,,,293.53,,,,358.71,,,321.10,,,,,,,,,,,,,,,,,,,,,,,,,,,344.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-08-08 22:19:52+00:00,,,,,,,,,,,,,,375.92,374.86,388.16,385.18,373.81,383.68,382.79,362.88,375.11,368.30,365.08,360.00,354.23,346.49,343.96,326.83,316.74,322.67,338.81,357.46,353.53,378.79,362.41,373.08,358.77,353.99,323.86,300.87,287.02,284.59,281.42,287.39,272.47,285.54,301.43,312.57,327.38,337.71,353.71,334.79,328.80,336.02,321.63,322.74,344.94,341.99,342.37,326.45,315.18,332.37,323.57,338.80,356.08,363.39,356.97,360.03,357.77,346.90,348.11,340.09,332.49,340.74,327.13,331.41,336.84,351.32,338.01,337.41,341.39,326.69,319.15,303.39,319.61,308.17,323.29,325.59,350.45,352.07,364.51,362.84,,,,,,,,,,,,,,,,,390.55,405.97,389.66,386.45,390.33,421.63,436.99,405.47,417.65,403.60,413.16,399.80,394.51,374.56,370.93,357.55,365.72,,323.10,321.47,282.56,,,,,,289.81,325.74,326.67,315.72,L7
1999-10-04 22:13:49+00:00,350.14,355.90,348.57,358.08,358.87,355.94,352.00,357.55,368.21,371.62,359.79,363.05,363.78,356.40,354.61,369.39,364.30,358.46,367.04,367.02,346.38,360.71,354.52,348.84,342.53,336.80,329.93,324.57,316.45,309.12,310.29,321.06,341.07,339.10,358.72,345.19,346.10,337.59,337.31,313.54,290.21,274.61,276.69,274.12,276.33,265.22,282.71,286.24,303.42,316.34,327.54,343.07,324.73,313.04,318.82,304.05,302.83,323.28,324.99,331.67,315.91,309.20,320.27,312.17,327.61,338.86,344.86,340.50,342.17,336.99,331.02,335.07,329.89,325.84,334.90,325.79,325.06,327.21,339.85,332.43,323.24,324.36,307.43,298.98,284.81,299.92,297.19,313.69,317.01,337.47,333.76,346.70,358.80,372.84,380.78,373.45,356.09,370.06,379.55,372.71,368.24,363.70,354.97,375.12,375.82,,,373.27,377.14,378.34,386.68,381.10,385.09,407.98,419.62,427.65,396.81,413.14,406.44,398.34,384.48,382.35,369.69,368.19,355.66,355.11,,,317.81,277.21,,,,,,273.37,296.74,306.39,310.30,L7
1999-11-05 22:13:40+00:00,366.97,365.82,361.02,375.04,379.21,375.87,377.37,382.42,391.94,395.24,389.52,391.35,391.20,387.85,386.58,392.77,391.44,383.76,389.32,388.17,371.19,381.83,379.49,375.98,364.93,357.85,350.81,346.81,336.34,329.56,332.22,345.17,365.99,366.95,380.87,370.21,374.87,361.65,352.68,326.06,304.08,295.37,293.95,289.71,286.76,281.64,296.68,301.20,317.33,326.76,341.22,353.57,343.88,336.14,337.34,325.99,323.55,342.27,338.07,345.69,333.14,323.97,340.50,341.38,358.24,365.68,369.49,366.99,360.73,361.58,355.33,355.88,350.05,350.55,358.66,347.67,348.99,347.74,356.69,346.70,342.78,342.74,329.05,323.80,310.08,319.32,318.15,332.00,329.23,353.89,363.03,376.44,379.14,391.58,404.17,404.17,394.84,398.86,412.40,397.78,393.84,392.25,378.21,384.14,370.88,371.02,386.62,389.89,393.45,396.72,404.38,397.10,396.56,408.20,423.93,445.69,423.67,435.52,427.25,422.92,406.00,398.51,384.84,381.67,370.76,366.80,348.11,333.49,328.03,300.74,,,,,,301.73,322.76,323.61,325.24,L7
1999-12-07 22:13:41+00:00,351.76,354.87,360.83,367.07,369.75,377.09,380.62,382.67,385.22,386.88,385.98,385.41,386.61,387.79,384.70,382.24,377.94,375.32,377.62,375.11,369.42,371.77,367.64,364.04,353.27,346.74,336.47,331.45,330.23,330.08,331.35,340.11,350.07,358.34,373.05,377.90,371.59,359.75,349.90,334.50,318.98,305.49,288.05,283.21,281.72,284.39,295.46,304.19,313.92,325.56,336.55,343.29,339.22,333.28,330.90,329.34,333.30,340.22,340.58,339.90,333.13,331.39,338.93,346.58,351.46,358.52,358.15,355.82,359.53,357.82,353.72,350.18,350.64,350.47,351.52,350.49,348.59,348.79,349.52,346.57,345.05,338.98,325.35,321.18,313.60,313.08,318.34,324.76,336.88,345.43,350.53,360.78,376.02,382.29,384.65,387.43,382.21,383.31,386.57,383.41,382.88,378.84,376.39,377.80,374.35,374.55,383.54,385.80,390.17,391.96,394.75,393.64,391.40,394.13,398.76,406.82,414.42,424.85,433.89,420.04,412.22,398.73,389.15,380.98,366.23,350.82,341.03,327.41,316.85,286.86,,186.21,,,,298.96,310.12,307.05,307.02,L7
1999-12-30 22:19:45+00:00,355.02,357.38,356.39,361.04,366.39,370.96,374.87,383.38,386.78,386.42,383.24,385.64,385.09,384.48,382.84,381.69,378.76,372.80,374.73,376.51,368.21,367.29,367.70,362.91,356.22,346.86,338.50,333.05,325.88,330.00,334.92,343.77,355.77,363.78,373.51,372.72,376.06,366.40,353.91,325.29,313.61,300.52,291.06,283.72,280.92,283.39,294.79,304.43,322.33,333.31,342.39,345.40,339.28,335.97,332.54,332.20,331.26,337.31,338.14,339.78,338.28,338.02,347.95,347.34,350.31,354.01,358.51,355.85,359.94,363.49,359.67,355.83,351.26,348.08,348.49,343.20,341.16,342.11,346.91,344.20,343.81,338.28,326.29,318.73,314.59,315.37,312.26,325.44,330.04,343.34,351.16,360.65,371.70,382.22,391.77,389.62,388.42,389.19,394.07,385.84,382.91,385.55,377.57,382.08,377.95,382.67,387.42,388.33,393.21,397.44,405.17,403.40,406.02,409.12,417.12,425.48,421.03,431.97,431.38,427.41,411.70,402.56,391.81,385.20,372.94,360.09,346.23,328.50,318.31,289.57,248.35,214.51,,,,304.16,311.97,316.06,312.65,L7
2000-04-20 22:19:15+00:00,344.43,347.09,360.18,366.05,365.42,377.97,389.18,381.57,371.36,375.91,381.46,383.46,386.72,383.96,383.76,381.52,382.66,382.43,371.95,373.70,375.42,365.53,362.36,357.88,348.72,341.90,335.75,337.80,336.63,341.00,341.74,353.28,355.20,372.06,377.11,396.06,385.31,376.85,347.91,334.27,322.72,301.28,296.47,294.30,292.28,297.42,301.28,315.69,329.94,344.58,347.59,341.06,345.41,341.60,337.76,335.69,337.41,329.99,338.78,326.06,335.14,344.24,351.56,366.50,356.90,351.68,352.91,364.33,369.72,374.30,374.29,363.40,359.26,359.76,357.50,357.85,358.07,356.35,356.72,375.86,374.71,375.40,362.48,334.95,332.21,319.19,313.06,305.45,324.99,339.42,360.40,371.52,383.02,391.49,389.16,388.16,389.79,384.44,373.15,372.02,379.72,380.75,391.19,386.56,398.11,406.81,404.14,407.25,405.94,409.86,398.17,418.93,422.35,434.93,423.98,412.82,435.26,439.68,451.35,427.94,424.89,408.84,403.41,387.72,,,,,,,,,,,,,,,,L7
2000-04-29 22:13:05+00:00,357.15,357.95,353.34,361.58,367.56,363.40,364.21,374.15,386.70,387.91,380.74,382.60,384.54,385.98,383.76,388.39,379.60,368.20,374.35,373.50,354.91,359.42,355.84,355.82,346.43,343.35,336.33,335.81,326.21,322.76,328.41,339.72,360.82,357.55,373.76,364.27,369.53,358.56,350.92,319.85,301.19,286.76,280.98,280.37,281.50,276.80,284.59,291.69,308.72,313.10,325.18,340.30,331.79,332.67,337.34,330.05,328.62,342.63,338.72,342.91,329.81,327.92,343.64,340.16,355.08,363.36,369.98,362.39,361.64,358.52,354.55,354.39,349.87,344.55,342.65,342.78,343.50,342.13,350.63,347.42,340.94,339.86,322.65,314.43,301.95,317.06,308.82,329.92,331.76,351.34,357.68,369.13,375.91,389.08,399.19,397.07,388.21,392.93,402.55,389.47,390.53,380.49,369.22,378.08,368.22,,372.67,373.53,386.99,387.72,399.53,392.24,391.97,399.86,418.09,436.22,412.56,423.45,423.56,424.74,407.41,400.00,377.14,376.81,366.41,357.85,,307.26,320.25,296.68,,,,,,301.78,316.08,319.54,312.04,L7
2000-05-22 22:18:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.05,371.03,382.08,377.99,,,,,381.79,385.39,367.75,374.20,344.62,,,,,,,,,,,,,,,,L7
2000-05-31 22:12:42+00:00,336.63,342.04,331.00,348.76,353.29,350.86,348.83,356.20,370.78,370.19,363.58,365.74,366.07,361.31,353.02,365.84,363.16,347.95,361.07,364.22,351.35,353.05,353.32,345.89,337.50,326.38,323.43,319.43,305.01,299.58,310.38,325.10,341.10,339.80,360.42,345.51,347.61,340.54,330.29,298.60,277.90,265.75,255.89,256.84,255.95,244.20,259.27,273.51,292.49,304.86,322.36,337.31,322.50,310.97,308.66,296.79,295.88,315.99,294.26,309.51,,,,,313.41,330.54,332.58,329.04,337.35,335.73,324.91,326.07,324.76,317.41,321.06,314.33,312.01,304.33,311.40,,301.93,303.96,291.04,291.12,282.81,299.44,285.49,308.32,302.79,325.69,337.26,347.65,347.83,368.89,380.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.36,265.81,,,,,,288.80,302.71,288.33,283.67,L7
