dates,satname,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034
1999-09-02 22:13:44+00:00,L7,339.47,346.19,346.63,352.78,,,,,447.82,,362.46,354.78,347.24,341.51,341.91,,,,,,352.85,350.94,340.17,336.75,330.99,363.59,411.73,,532.39,316.75,320.03,342.09,357.79,379.61,388.47
1999-12-07 22:13:41+00:00,L7,448.18,443.63,399.84,411.22,407.00,405.05,404.08,407.86,402.01,403.16,403.01,405.04,400.46,398.36,404.83,402.38,404.00,408.88,405.10,405.01,398.62,386.16,381.99,379.78,383.01,380.26,376.74,372.20,365.27,364.18,356.28,371.73,382.77,387.04,413.10
1999-12-16 22:07:33+00:00,L7,364.06,371.31,364.38,372.05,371.30,375.53,373.14,374.40,369.63,369.18,369.62,369.55,366.48,360.26,361.93,363.49,359.69,362.25,363.20,361.58,359.71,350.29,348.18,340.60,341.98,338.31,335.67,329.29,326.01,324.17,316.56,331.94,338.92,341.75,353.33
2000-02-18 22:07:16+00:00,L7,462.84,451.90,394.96,398.96,409.62,411.50,408.49,410.54,411.76,414.15,430.99,419.25,408.58,404.49,416.74,438.81,444.73,434.85,422.07,407.92,389.61,382.37,387.70,397.46,405.46,399.84,448.58,456.55,418.60,408.47,397.26,417.96,390.32,497.79,476.27
2000-05-08 22:06:44+00:00,L7,372.97,377.18,365.45,375.13,373.30,374.90,377.24,375.68,375.96,373.56,378.75,378.88,378.24,389.02,403.14,409.08,411.60,389.51,368.89,355.53,344.00,342.49,345.77,349.59,354.28,358.10,355.99,370.74,371.23,368.53,352.59,359.62,366.59,370.98,366.86
2000-05-15 22:12:54+00:00,L7,360.89,364.03,340.16,358.83,372.18,366.34,366.89,366.45,,,374.14,374.86,372.09,381.96,,,405.15,392.73,,348.31,614.85,638.47,610.82,551.95,552.37,366.54,370.92,367.47,386.45,369.20,353.89,361.84,359.47,374.83,359.02
2000-08-12 22:05:41+00:00,L7,325.46,340.10,,333.95,342.02,345.19,351.13,,,,,,,,,,352.67,346.85,,,331.87,348.65,,311.95,316.79,313.85,338.63,,347.20,337.77,329.69,337.84,337.52,342.40,345.34
2000-08-19 22:11:49+00:00,L7,358.86,368.08,382.21,385.49,,,358.01,368.76,,,385.89,380.31,390.82,407.48,391.96,402.87,389.63,381.50,380.31,374.48,364.64,359.19,368.04,363.17,368.57,371.45,380.29,,426.10,422.54,501.04,,,,
2000-09-20 22:11:14+00:00,L7,353.77,362.79,357.47,368.41,369.57,362.16,363.35,361.23,362.86,365.15,365.10,361.94,359.04,353.98,349.68,347.99,354.09,353.82,360.29,356.73,353.90,351.08,344.20,341.31,339.83,334.70,336.74,336.63,337.02,342.02,340.85,349.35,362.33,372.09,380.51
2000-10-15 22:04:43+00:00,L7,428.72,426.47,383.41,397.32,402.34,397.33,399.84,399.83,399.31,399.73,404.05,396.30,389.36,386.77,384.42,372.09,382.86,392.00,399.40,398.04,402.36,392.41,377.25,375.11,374.28,372.31,373.30,376.95,385.20,395.87,402.18,414.88,430.54,433.46,426.01
2001-01-10 22:11:15+00:00,L7,465.10,441.44,434.35,429.83,412.31,405.32,405.73,409.25,412.41,420.00,422.25,410.69,399.47,408.69,415.33,422.42,419.11,421.87,404.88,385.32,380.24,378.77,373.28,373.08,372.99,374.92,465.78,459.09,467.45,484.56,514.69,432.81,527.36,501.04,469.19
2001-02-11 22:11:12+00:00,L7,393.57,382.66,367.39,370.31,371.63,375.19,372.86,377.36,374.00,372.28,379.74,384.14,378.83,382.14,398.66,413.77,401.38,381.33,377.95,374.53,380.72,388.58,393.93,390.34,388.02,379.37,386.88,390.20,387.10,373.25,371.49,391.19,400.76,407.91,413.23
2001-02-20 22:05:00+00:00,L7,398.37,387.71,379.50,386.78,391.90,388.15,389.64,393.83,391.03,398.52,403.43,407.72,401.47,407.17,412.80,409.93,396.14,385.07,378.79,379.65,376.15,380.11,391.84,383.29,379.02,376.24,380.64,382.58,383.77,377.02,375.30,388.24,402.24,411.99,412.25
2001-04-16 22:10:54+00:00,L7,358.62,365.17,367.24,364.26,372.32,373.86,373.22,374.59,379.56,379.05,374.50,378.50,375.05,374.64,384.05,,379.20,377.42,370.88,370.34,361.21,356.56,358.26,354.99,362.85,360.82,355.34,355.47,355.00,361.48,349.53,370.06,384.36,387.68,387.73
2001-05-11 22:04:33+00:00,L7,384.92,388.11,387.93,388.09,386.20,391.37,384.19,386.84,,,406.18,402.03,409.77,404.66,,,436.49,410.47,,,378.02,372.49,369.04,378.00,372.02,390.27,371.68,379.96,376.59,370.55,375.47,383.94,394.00,399.46,395.93
