dates,satname,nzd0577-0000,nzd0577-0001,nzd0577-0002,nzd0577-0003,nzd0577-0004
1999-07-02 21:59:57+00:00,L7,220.38,213.58,219.27,208.86,211.45
1999-08-26 22:06:20+00:00,L7,226.06,218.46,226.03,214.63,217.11
1999-09-20 22:00:08+00:00,L7,329.85,225.11,232.45,225.26,223.63
1999-09-27 22:06:00+00:00,L7,215.51,209.73,216.05,207.96,202.11
1999-11-07 22:00:08+00:00,L7,210.62,209.82,210.24,206.70,209.45
1999-11-30 22:05:47+00:00,L7,235.26,224.56,226.32,217.19,218.61
1999-12-09 22:00:09+00:00,L7,215.78,216.10,224.66,208.96,214.48
1999-12-25 22:00:04+00:00,L7,222.08,222.92,224.76,217.49,215.66
2000-01-17 22:06:11+00:00,L7,222.73,222.19,226.16,210.61,218.04
2000-02-11 21:59:57+00:00,L7,247.00,234.52,237.79,230.60,226.22
2000-02-18 22:06:05+00:00,L7,217.47,215.54,224.51,214.27,202.15
2000-02-27 21:59:52+00:00,L7,334.42,232.81,236.78,231.96,229.63
2000-03-05 22:05:36+00:00,L7,212.45,218.39,216.39,204.76,199.38
2000-03-21 22:05:37+00:00,L7,216.85,212.52,212.16,206.42,202.42
2000-03-30 21:59:45+00:00,L7,233.61,227.04,233.18,227.22,227.48
2000-04-15 21:59:31+00:00,L7,,,,,
2000-05-01 21:59:30+00:00,L7,332.87,220.03,224.62,208.46,208.17
2000-05-08 22:05:33+00:00,L7,331.29,226.96,234.10,223.91,222.96
2000-05-24 22:04:58+00:00,L7,331.78,230.28,234.90,231.07,227.80
2000-06-18 21:59:03+00:00,L7,237.59,224.63,230.93,207.29,207.56
2000-07-04 21:58:50+00:00,L7,240.60,222.26,229.77,213.26,218.43
2000-07-27 22:04:36+00:00,L7,331.06,231.72,237.65,230.18,228.41
2000-08-05 21:58:20+00:00,L7,329.54,238.35,243.71,233.05,229.74
2000-08-12 22:04:05+00:00,L7,214.68,214.66,216.04,206.29,203.25
2000-09-13 22:03:38+00:00,L7,225.92,223.26,219.26,214.15,211.12
2000-09-22 21:57:41+00:00,L7,,,,,
2000-10-15 22:03:32+00:00,L7,,,,,
2000-11-09 21:57:33+00:00,L7,211.08,208.65,213.09,206.51,204.19
2000-11-16 22:03:20+00:00,L7,233.52,223.24,225.65,223.23,219.49
2000-12-11 21:57:36+00:00,L7,205.47,203.06,207.49,201.81,198.17
2001-01-03 22:03:48+00:00,L7,226.56,224.10,227.76,219.48,222.85
2001-01-12 21:57:42+00:00,L7,221.59,219.76,224.15,210.67,209.55
2001-01-19 22:03:31+00:00,L7,235.96,219.30,225.57,217.46,216.59
2001-01-28 21:57:44+00:00,L7,217.80,214.42,223.36,209.34,208.28
2001-02-13 21:57:39+00:00,L7,332.45,225.76,229.56,223.09,214.22
2001-02-20 22:03:24+00:00,L7,223.22,219.09,222.57,214.96,215.64
2001-04-02 21:57:18+00:00,L7,234.62,228.25,234.56,229.88,226.59
2001-05-20 21:57:04+00:00,L7,220.70,214.32,219.85,210.09,204.08
2001-05-27 22:02:48+00:00,L7,342.41,232.12,234.46,230.75,227.60
2001-06-28 22:02:45+00:00,L7,253.78,237.79,241.39,236.55,228.13
