dates,satname,nzd0580-0000,nzd0580-0001,nzd0580-0002,nzd0580-0003,nzd0580-0004,nzd0580-0005,nzd0580-0006,nzd0580-0007,nzd0580-0008,nzd0580-0009
1999-08-26 22:06:44+00:00,L7,643.57,638.30,257.05,182.40,208.31,210.41,247.66,301.84,779.06,772.57
1999-09-04 22:00:33+00:00,L7,645.50,663.79,182.89,176.88,185.62,212.96,168.76,195.14,724.70,771.19
1999-09-27 22:06:48+00:00,L7,649.97,661.29,242.05,220.85,209.25,213.28,186.15,211.76,635.25,770.20
1999-12-16 22:06:45+00:00,L7,654.64,674.05,212.03,201.50,202.13,203.76,177.50,194.71,659.92,769.96
2000-01-26 22:00:26+00:00,L7,650.98,665.66,223.64,207.81,195.69,215.44,177.74,190.34,653.77,768.74
2000-02-11 22:00:21+00:00,L7,652.14,668.51,212.51,216.79,200.69,222.99,176.94,190.68,648.35,768.61
2000-02-27 22:00:16+00:00,L7,649.79,665.02,221.86,215.80,200.78,225.06,178.52,200.93,647.85,768.05
2000-03-14 22:00:11+00:00,L7,650.45,661.55,202.05,201.98,202.13,212.09,181.51,200.38,664.67,771.59
2000-03-30 22:00:09+00:00,L7,647.31,658.81,179.42,184.18,200.89,215.24,169.71,200.52,668.03,770.83
2000-05-01 21:59:54+00:00,L7,639.08,646.09,176.90,185.74,212.45,210.76,167.19,268.29,783.84,773.06
2000-05-08 22:05:56+00:00,L7,741.16,660.08,302.94,350.12,305.23,323.24,319.44,324.71,762.90,758.25
2000-05-24 22:05:46+00:00,L7,686.07,771.90,171.71,172.80,138.96,205.97,153.80,175.16,783.68,207.58
2000-06-02 21:59:31+00:00,L7,757.69,780.37,163.81,168.60,,204.15,153.53,270.52,784.33,227.76
2000-06-18 21:59:27+00:00,L7,758.61,788.60,158.69,168.20,,,143.00,172.29,785.08,222.03
2000-07-11 22:05:17+00:00,L7,743.98,790.71,167.48,180.77,129.71,204.94,165.46,183.73,784.80,206.23
2000-07-27 22:05:00+00:00,L7,646.13,661.79,167.26,186.27,166.66,200.29,162.12,176.75,782.36,773.45
2000-08-05 21:58:44+00:00,L7,683.89,660.71,176.18,175.51,170.15,199.06,161.94,176.31,747.94,747.40
2000-08-12 22:04:53+00:00,L7,645.77,662.56,176.30,190.50,198.98,210.78,162.79,197.60,785.24,772.45
2000-11-09 21:57:57+00:00,L7,636.94,619.03,,,,247.90,256.55,295.55,314.94,237.42
2000-11-25 21:57:58+00:00,L7,642.50,647.16,256.96,228.09,216.39,240.61,216.73,224.49,627.62,767.12
2000-12-11 21:58:00+00:00,L7,640.07,649.46,242.40,229.75,227.73,244.55,240.29,230.02,618.50,766.56
2001-01-28 21:58:08+00:00,L7,649.47,663.93,223.21,220.60,210.97,231.44,191.76,200.82,647.87,766.93
2001-04-09 22:03:53+00:00,L7,649.99,665.46,190.54,194.50,200.72,217.80,178.75,208.39,653.04,772.24
2001-06-05 21:57:16+00:00,L7,623.32,621.52,167.97,160.00,,201.90,145.28,288.41,785.34,240.00
2001-07-07 21:57:00+00:00,L7,758.57,786.09,167.93,161.03,,152.76,144.50,180.87,218.62,224.37
2001-07-14 22:03:09+00:00,L7,805.39,778.43,167.97,154.44,,193.85,86.27,175.46,207.43,222.09
2001-08-15 22:02:38+00:00,L7,634.73,650.53,184.76,204.99,225.62,226.86,171.40,224.65,702.43,770.73
2001-09-25 21:56:04+00:00,L7,651.18,662.27,197.47,184.38,191.80,214.05,178.34,201.50,653.80,770.26
2001-10-02 22:02:04+00:00,L7,646.14,658.96,257.07,228.86,215.44,232.39,231.27,261.03,627.22,770.05
2001-10-18 22:02:06+00:00,L7,650.43,668.37,220.12,208.21,211.93,223.66,180.24,198.39,642.77,769.06
2001-12-14 21:56:17+00:00,L7,643.08,654.01,229.19,216.63,223.41,238.26,223.33,232.31,635.64,766.67
2001-12-30 21:56:13+00:00,L7,644.23,659.55,227.39,224.42,221.20,232.12,199.15,212.25,641.86,766.58
2002-01-22 22:02:40+00:00,L7,664.99,677.87,219.99,210.07,218.40,225.99,181.79,192.18,651.00,770.05
2002-03-20 21:56:24+00:00,L7,647.84,664.80,197.48,193.05,193.46,210.33,180.24,195.01,661.89,769.48
2002-05-07 21:56:27+00:00,L7,636.92,654.82,175.77,190.17,209.30,212.03,172.62,218.68,784.06,758.49
2002-05-30 22:02:25+00:00,L7,638.74,656.10,167.89,157.45,165.95,208.82,147.81,175.72,785.41,204.77
2002-06-15 22:02:19+00:00,L7,681.50,774.34,152.89,143.27,,189.44,147.31,169.52,783.63,222.13
2002-07-17 22:02:08+00:00,L7,769.23,728.06,256.98,207.44,246.55,234.69,,,657.07,669.65
2002-08-02 22:02:01+00:00,L7,647.84,661.93,161.10,163.08,136.87,210.49,161.19,179.69,784.70,773.54
2002-09-03 22:01:48+00:00,L7,651.48,662.91,167.27,190.94,206.45,208.77,178.73,211.56,691.18,773.07
2002-09-19 22:01:34+00:00,L7,649.39,658.48,257.13,153.71,221.01,240.07,211.63,244.79,674.83,772.83
2002-10-14 21:55:19+00:00,L7,649.71,661.91,212.40,222.74,208.94,226.42,191.54,204.17,648.28,768.37
2002-10-21 22:01:36+00:00,L7,649.13,667.44,257.05,225.67,216.52,233.96,198.16,216.15,627.64,768.14
2002-10-30 21:55:25+00:00,L7,650.78,662.62,221.88,218.58,213.82,224.19,186.36,200.29,649.24,767.04
2002-11-06 22:01:41+00:00,L7,653.16,667.79,226.63,215.62,217.60,226.76,189.44,201.26,646.31,768.34
2002-11-22 22:01:57+00:00,L7,654.46,670.27,227.42,223.46,215.73,229.41,185.37,198.38,642.22,768.05
2002-12-24 22:02:09+00:00,L7,660.23,678.41,212.45,205.95,200.82,213.81,166.48,182.93,659.86,768.26
2003-01-18 21:56:06+00:00,L7,645.83,655.75,228.49,224.13,228.65,236.28,208.64,223.02,642.62,766.80
2003-02-10 22:02:28+00:00,L7,659.52,673.31,227.28,225.53,212.41,229.59,181.27,195.64,635.31,768.83
2003-02-19 21:56:18+00:00,L7,650.19,658.76,212.45,221.94,206.86,226.87,187.92,204.99,646.80,766.91
2003-03-23 21:56:16+00:00,L7,651.32,665.98,185.32,176.12,197.88,214.62,170.23,178.32,658.78,770.48
2003-04-08 21:56:23+00:00,L7,649.24,664.93,182.33,183.90,191.81,212.06,166.35,180.08,674.09,772.87
2003-04-15 22:02:33+00:00,L7,633.93,629.30,287.09,190.21,203.68,271.45,278.00,303.51,739.16,771.61
2003-05-10 21:56:22+00:00,L7,640.27,654.08,171.86,174.93,172.57,200.18,165.37,187.89,782.97,773.30
2003-07-20 22:02:20+00:00,L7,,87.38,157.51,143.39,119.67,182.72,87.01,172.69,768.94,
2003-07-21 21:44:09+00:00,L5,743.21,793.65,,,,130.21,93.10,168.92,211.13,222.60
2003-08-22 21:44:43+00:00,L5,716.78,655.23,169.73,176.83,182.59,214.27,162.89,210.61,682.29,780.72
2003-08-30 21:55:58+00:00,L7,644.23,658.36,179.66,187.84,211.79,210.52,169.64,199.83,690.57,772.48
2003-09-14 21:51:18+00:00,L5,703.66,664.62,184.90,182.33,193.17,213.37,168.54,187.66,662.81,793.08
2003-10-16 21:51:43+00:00,L5,703.36,675.38,208.36,197.22,189.98,212.05,168.98,183.98,644.19,792.22
2003-10-17 21:55:51+00:00,L7,652.45,664.46,208.14,212.82,192.41,216.07,177.49,195.15,652.03,768.06
2003-11-18 21:56:15+00:00,L7,652.44,668.38,225.57,216.41,219.75,224.94,186.54,198.15,652.81,768.11
2003-12-03 21:52:19+00:00,L5,657.48,669.75,218.37,217.13,207.59,224.51,186.27,197.33,650.20,790.85
2003-12-11 22:02:33+00:00,L7,659.82,670.99,229.79,229.40,222.02,239.04,199.66,206.28,628.03,648.14
