dates,nzd0606-0000,nzd0606-0001,nzd0606-0002,nzd0606-0003,nzd0606-0004,nzd0606-0005,nzd0606-0006,nzd0606-0007,nzd0606-0008,nzd0606-0009,nzd0606-0010,nzd0606-0011,nzd0606-0012,nzd0606-0013,nzd0606-0014,nzd0606-0015,nzd0606-0016,nzd0606-0017,nzd0606-0018,nzd0606-0019,nzd0606-0020,nzd0606-0021,nzd0606-0022,nzd0606-0023,nzd0606-0024,nzd0606-0025,nzd0606-0026,nzd0606-0027,nzd0606-0028,nzd0606-0029,nzd0606-0030,nzd0606-0031,nzd0606-0032,nzd0606-0033,nzd0606-0034,nzd0606-0035,nzd0606-0036,satname
1999-08-03 22:00:08+00:00,227.08,217.96,213.28,216.08,211.85,222.71,220.88,218.80,226.04,215.80,216.29,213.77,210.46,213.91,209.11,203.07,201.17,208.46,209.53,210.78,209.96,216.66,214.94,216.58,210.47,217.71,210.60,216.88,218.48,224.22,220.10,213.11,210.09,216.33,219.66,224.04,220.91,L7
1999-08-12 21:53:56+00:00,227.08,217.96,213.28,216.08,211.85,222.71,220.88,218.80,226.04,215.61,217.46,216.10,215.01,215.58,209.82,207.20,207.57,209.51,214.31,218.65,218.07,220.51,218.55,216.02,218.66,219.82,214.22,216.75,219.62,226.57,223.16,215.02,209.79,216.81,220.69,219.83,218.05,L7
1999-09-29 21:54:04+00:00,227.08,217.96,213.28,216.08,211.85,222.71,220.88,218.80,226.04,219.68,215.83,219.61,215.38,217.50,213.93,206.32,208.37,211.08,216.94,218.19,220.03,217.18,218.80,214.31,219.83,216.11,214.30,216.45,218.58,225.83,223.78,213.95,209.83,216.06,219.70,220.33,220.30,L7
2000-01-26 21:59:38+00:00,234.21,229.56,220.08,227.88,227.82,226.84,232.33,228.57,236.77,223.84,220.69,223.90,219.57,219.68,217.35,210.71,213.58,215.00,221.31,222.53,224.36,222.06,218.80,214.31,219.83,212.73,215.44,217.68,221.43,225.15,222.13,211.89,213.16,219.18,223.09,223.89,225.63,L7
2000-02-27 21:59:52+00:00,241.05,238.02,227.14,233.35,241.33,228.72,241.31,230.53,239.35,229.96,221.74,230.01,223.88,223.66,225.31,213.06,222.46,220.35,226.82,228.31,228.41,225.91,219.56,217.25,220.75,213.27,219.07,219.03,224.58,224.63,225.63,213.04,219.50,219.31,224.81,225.66,231.52,L7
2000-03-30 21:59:45+00:00,241.05,238.02,227.14,233.35,241.33,228.72,241.31,230.53,232.60,229.49,228.05,230.83,226.18,225.83,227.19,219.94,228.71,223.42,232.80,233.82,230.64,233.61,219.83,223.60,219.32,215.56,221.37,220.62,228.62,224.77,225.94,216.12,223.63,221.36,227.83,227.27,233.80,L7
2000-05-01 21:59:30+00:00,237.60,234.73,229.31,232.45,237.53,229.75,237.42,234.75,232.60,228.91,227.56,228.88,225.35,224.86,225.17,220.42,226.65,224.56,232.46,235.25,232.31,234.23,225.65,225.56,224.93,221.43,222.81,222.00,226.48,226.62,225.16,217.54,222.61,220.66,226.61,226.50,232.31,L7
2000-05-17 21:59:19+00:00,237.60,234.73,229.31,227.91,235.03,228.01,234.07,230.94,227.97,225.65,223.25,227.43,224.08,224.12,223.64,219.58,227.75,224.58,231.46,232.25,228.38,233.32,224.32,225.28,224.95,223.49,223.27,222.34,227.15,226.99,226.84,217.76,221.99,220.21,225.63,224.49,230.74,L7
2000-05-26 21:53:00+00:00,237.60,234.73,229.31,227.91,235.03,228.01,234.07,230.94,227.97,225.65,223.25,227.43,224.08,224.12,223.64,219.58,227.32,222.64,230.59,231.54,229.29,233.08,225.91,224.25,225.24,224.85,222.94,222.22,226.45,227.33,226.49,217.94,220.38,219.07,222.30,223.72,230.33,L7
2000-06-18 21:59:03+00:00,237.72,234.73,229.31,227.91,235.03,228.01,234.07,230.94,227.97,225.65,223.25,227.43,224.08,224.12,223.64,219.58,227.32,222.64,230.59,231.54,229.29,233.08,225.91,224.25,225.24,224.85,222.94,222.22,226.45,227.33,226.49,217.94,220.04,217.19,221.57,222.94,228.75,L7
