dates,sar1010-0000,sar1010-0001,sar1010-0002,sar1010-0003,sar1010-0004,sar1010-0005,sar1010-0006,sar1010-0007,satname
1984-04-13 09:27:31+00:00,206.47,209.82,208.63,192.23,213.22,213.33,209.99,222.62,L5
1984-07-18 09:29:10+00:00,214.44,218.98,211.51,198.5,225.45,222.58,214.15,220.48,L5
1984-08-19 09:30:15+00:00,208.16,212.64,208.9,195.62,219.62,213.63,206.32,221.34,L5
1984-09-04 09:30:25+00:00,198.76,210.2,206.24,187.78,212.89,209.57,207.81,214.17,L5
1984-09-20 09:30:28+00:00,179.18,188.57,179.31,174.17,198.42,210.08,214.86,202.76,L5
1984-10-22 09:30:24+00:00,213.09,215.64,209.55,198.29,219.26,213.81,213.55,222.32,L5
1984-11-07 09:30:17+00:00,211.69,211.8,209.1,195.78,215.32,215.02,210.62,216.43,L5
1984-12-09 09:30:22+00:00,205.92,209.54,209.52,197.32,221.38,212.84,210.67,217.85,L5
1985-03-31 09:30:43+00:00,200.36,206.33,210.46,194.49,205.74,212.19,206.61,216.95,L5
1985-05-02 09:30:31+00:00,200.06,207.87,205.15,196.72,214.22,207.23,206.51,212.45,L5
1985-06-03 09:30:28+00:00,200.15,210.05,203.57,197.32,208.47,208.51,201.33,216.55,L5
1985-06-19 09:30:26+00:00,194.94,203.62,200.33,183.17,203.74,205.68,202.32,211.24,L5
1985-07-05 09:30:21+00:00,199.2,209.96,204.24,196.64,209.2,210.54,204.09,215.98,L5
1985-08-06 09:30:06+00:00,197.98,202.18,198.26,181.43,200.94,202.11,197.04,202.51,L5
1985-08-22 09:29:56+00:00,206.05,214.88,210.2,198.65,212.21,211.08,213.66,216.17,L5
1985-09-23 09:29:32+00:00,205.73,210.29,207.22,198.24,220.24,210.29,209.62,218.52,L5
1985-10-09 09:29:23+00:00,201.44,211.06,195.48,191.77,217.86,208.79,208.81,219.71,L5
1985-10-25 09:29:11+00:00,200.97,210.37,207.13,198.81,223.1,212.38,211.11,219.66,L5
1985-11-10 09:28:57+00:00,206.6,213.03,210.53,198.34,220.23,218.02,212.68,217.58,L5
1986-01-13 09:27:46+00:00,210.49,210.38,210.6,198.39,221.29,213.45,211.09,219.21,L5
1986-03-18 09:26:22+00:00,199.0,205.95,195.81,183.16,204.52,207.19,198.96,210.83,L5
1986-05-05 09:25:17+00:00,203.54,212.31,205.89,190.69,216.93,208.76,209.47,218.91,L5
1986-05-21 09:24:51+00:00,200.76,210.15,195.79,186.44,213.34,210.03,205.54,212.88,L5
1986-07-08 09:23:21+00:00,202.98,211.01,205.24,194.32,218.67,209.77,212.35,219.6,L5
1986-08-09 09:22:13+00:00,206.43,212.84,208.3,191.21,216.46,203.86,211.21,220.46,L5
1986-08-25 09:21:37+00:00,204.61,212.75,205.34,189.91,207.88,211.13,211.9,214.3,L5
1986-09-26 09:20:33+00:00,214.1,216.67,214.73,198.56,218.8,212.07,208.19,219.76,L5
1986-10-28 09:19:29+00:00,,,,,183.75,,198.83,217.22,L5
1986-12-31 09:19:38+00:00,208.59,209.63,207.9,194.35,224.38,218.5,210.93,221.14,L5
1987-02-01 09:20:35+00:00,200.35,202.86,206.78,183.09,214.73,211.57,207.54,213.77,L5
1987-04-06 09:23:00+00:00,204.76,209.65,213.81,188.44,221.23,217.16,213.82,219.28,L5
1987-06-25 09:25:08+00:00,204.14,206.92,204.67,198.79,213.19,209.06,209.94,217.02,L5
1987-07-27 09:25:49+00:00,205.06,209.42,206.26,193.99,218.04,208.94,204.57,216.28,L5
1987-08-12 09:26:19+00:00,194.62,206.93,196.56,180.11,208.23,198.65,200.6,208.31,L5
1987-08-28 09:26:45+00:00,195.36,199.65,199.3,185.76,203.92,200.97,201.4,209.15,L5
1987-09-13 09:27:09+00:00,208.43,208.95,209.07,198.48,213.5,206.59,204.23,214.46,L5
1987-10-31 09:28:04+00:00,,,205.72,195.89,214.04,214.91,212.6,216.71,L5
1987-11-16 09:28:26+00:00,194.26,202.25,203.8,183.06,217.62,210.09,207.26,217.24,L5
1987-12-02 09:28:42+00:00,215.89,215.99,215.93,197.9,230.32,218.48,215.98,223.15,L5
1988-01-19 09:29:29+00:00,183.68,189.4,179.88,159.0,184.79,189.39,185.49,194.15,L5
1988-02-20 09:30:02+00:00,,,209.02,187.54,219.46,219.86,214.11,219.95,L5
1988-05-26 09:30:48+00:00,201.03,207.95,208.61,190.57,208.99,206.71,199.07,211.67,L5
