dates,satname,sar1375-0000,sar1375-0001,sar1375-0002,sar1375-0003,sar1375-0004,sar1375-0005,sar1375-0006
1984-05-06 09:33:51+00:00,L5,,152.67,150.53,144.76,150.24,148.90,152.47
1984-09-11 09:36:38+00:00,L5,152.99,135.55,125.00,129.63,121.94,126.10,125.82
1984-09-27 09:36:39+00:00,L5,188.98,159.66,153.60,143.70,148.16,147.89,149.97
1984-10-29 09:36:32+00:00,L5,186.85,155.14,155.96,146.32,146.77,146.52,151.27
1985-06-26 09:36:35+00:00,L5,172.56,148.15,146.02,132.97,139.76,141.71,144.93
1985-07-28 09:36:22+00:00,L5,188.72,163.09,161.79,150.07,148.40,156.44,158.77
1985-08-13 09:36:12+00:00,L5,,154.98,164.73,157.40,145.98,147.89,157.98
1985-08-29 09:36:02+00:00,L5,190.02,161.17,156.96,143.95,150.52,150.32,154.38
1985-12-03 09:34:43+00:00,L5,189.73,160.20,162.39,150.65,137.84,169.60,158.21
1986-01-04 09:34:08+00:00,L5,162.57,144.42,126.38,130.52,121.75,122.87,124.37
1986-04-10 09:32:04+00:00,L5,153.16,136.07,132.81,135.47,130.44,125.87,133.55
1986-05-12 09:31:17+00:00,L5,207.45,173.99,182.38,174.98,168.73,169.72,183.40
1986-06-29 09:29:50+00:00,L5,,161.92,176.80,163.65,157.03,159.11,171.62
1986-09-01 09:27:32+00:00,L5,168.61,150.34,147.34,135.14,142.06,140.71,151.64
1986-09-17 09:27:01+00:00,L5,192.02,159.32,162.03,159.60,151.04,161.01,158.42
1986-11-04 09:25:25+00:00,L5,,,,497.01,,347.30,
1987-03-28 09:28:52+00:00,L5,186.33,160.62,158.74,156.49,154.27,156.79,153.79
1987-04-13 09:29:24+00:00,L5,136.25,129.44,116.59,115.60,125.42,127.92,
1987-05-15 09:30:21+00:00,L5,,135.30,135.00,134.65,135.99,137.11,144.30
1987-07-02 09:31:27+00:00,L5,182.08,155.08,159.11,156.69,151.50,154.77,156.10
1987-07-18 09:31:44+00:00,L5,,152.08,153.23,144.20,145.56,149.71,154.57
1987-08-03 09:32:13+00:00,L5,,,,,138.86,139.37,140.31
1987-08-19 09:32:41+00:00,L5,168.74,140.72,130.59,131.26,127.59,131.63,135.54
1987-09-04 09:33:07+00:00,L5,183.51,155.68,161.53,150.70,144.79,147.27,158.88
1987-09-20 09:33:30+00:00,L5,190.51,162.84,168.02,163.36,162.53,167.71,165.27
1987-10-06 09:33:50+00:00,L5,153.45,130.87,116.53,116.51,119.10,125.37,
1987-11-07 09:34:26+00:00,L5,188.56,157.88,166.38,159.60,150.76,153.29,161.44
1987-12-09 09:34:58+00:00,L5,167.20,146.16,127.09,124.45,110.14,124.74,123.40
1987-12-25 09:35:13+00:00,L5,,169.24,168.62,159.93,140.99,159.28,161.95
1988-01-10 09:35:29+00:00,L5,198.44,161.60,161.65,146.56,142.32,152.69,162.79
1988-02-11 09:36:05+00:00,L5,162.58,131.46,120.49,122.72,121.39,124.41,127.47
1988-04-15 09:36:38+00:00,L5,185.87,150.32,151.30,144.80,148.70,149.06,151.74
1988-05-17 09:36:55+00:00,L5,185.86,157.92,169.16,156.88,156.11,156.97,163.20
1988-06-02 09:37:02+00:00,L5,162.07,139.19,128.25,124.99,127.40,127.99,134.34
1988-07-04 09:37:12+00:00,L5,172.28,146.42,139.32,146.94,141.94,141.62,145.07
1988-07-20 09:37:15+00:00,L5,172.82,149.44,151.30,144.16,142.21,141.43,147.05
1988-08-05 09:37:16+00:00,L5,,137.64,133.20,131.32,128.89,131.53,140.43
1988-08-21 09:37:17+00:00,L5,170.08,152.64,138.06,123.81,128.46,130.20,131.59
1988-09-22 09:37:13+00:00,L5,,146.39,153.67,144.03,159.00,168.81,161.63
1988-10-08 09:37:09+00:00,L5,,130.71,118.01,118.48,120.36,123.48,135.46
1988-10-24 09:37:05+00:00,L5,188.19,161.16,160.82,159.16,149.59,164.88,160.16
1988-12-11 09:36:57+00:00,L5,172.17,141.08,121.73,121.11,117.88,122.89,125.39
1988-12-27 09:36:51+00:00,L5,186.60,156.82,162.96,153.83,147.09,145.37,162.16
1989-01-12 09:36:44+00:00,L5,185.86,151.34,149.62,139.86,140.51,139.17,152.52
1989-01-28 09:36:31+00:00,L5,,167.24,176.88,159.03,154.07,155.88,174.85
1989-03-01 09:36:18+00:00,L5,157.11,141.99,128.57,125.27,122.66,131.35,129.24
1989-03-17 09:35:40+00:00,L5,192.47,166.45,161.42,153.01,153.39,157.60,166.47
1989-04-18 09:35:31+00:00,L5,165.86,143.42,134.05,140.36,135.80,136.56,141.78
1989-05-20 09:34:56+00:00,L5,188.99,153.00,171.39,167.46,147.63,148.73,160.98
1989-06-21 09:34:19+00:00,L5,196.56,160.88,168.83,160.61,159.57,161.02,165.27
1989-07-23 09:33:45+00:00,L5,168.01,148.53,149.89,142.82,147.00,142.62,146.71
1989-08-24 09:33:03+00:00,L5,182.06,161.08,145.96,135.78,150.37,147.56,149.82
1989-09-25 09:32:16+00:00,L5,203.73,166.59,169.50,155.63,159.49,164.65,170.78
1989-10-11 09:31:53+00:00,L5,184.91,154.16,137.14,133.56,135.37,142.98,143.74
1989-10-27 09:31:15+00:00,L5,207.73,174.76,186.88,172.76,158.39,173.30,182.40
1989-11-12 09:30:54+00:00,L5,,162.40,169.17,153.92,150.90,153.28,167.42
1989-12-14 09:30:02+00:00,L5,211.81,,131.44,134.34,,170.46,143.90
1990-03-04 09:27:26+00:00,L5,,150.40,144.54,149.81,135.97,144.63,146.43
1990-04-21 09:26:46+00:00,L5,196.86,166.39,155.83,148.97,158.14,152.80,150.68
1990-05-07 09:26:43+00:00,L5,191.43,167.13,178.40,172.50,167.42,169.57,185.44
1990-06-08 09:26:43+00:00,L5,,140.13,135.75,135.76,131.68,141.03,135.59
1990-06-24 09:26:42+00:00,L5,174.43,150.22,139.73,147.36,142.03,145.15,145.93
1990-07-10 09:26:40+00:00,L5,189.32,159.48,161.47,156.72,159.20,167.68,162.78
1990-07-26 09:26:36+00:00,L5,168.69,149.39,153.56,143.87,137.40,138.29,132.84
1990-09-28 09:26:14+00:00,L5,,150.38,146.03,128.47,130.38,141.05,143.00
1990-10-14 09:26:08+00:00,L5,180.27,152.71,148.12,150.93,146.07,141.46,138.49
1990-10-30 09:25:59+00:00,L5,159.47,145.20,132.74,138.96,132.39,127.83,126.42
1991-04-08 09:28:18+00:00,L5,,133.66,122.45,121.32,124.42,126.05,131.76
1991-04-24 09:28:34+00:00,L5,,135.57,126.48,131.17,127.87,135.88,138.17
1991-05-26 09:29:10+00:00,L5,206.59,169.33,177.60,174.33,171.12,175.82,187.71
1991-06-27 09:29:37+00:00,L5,,159.69,175.39,158.40,160.44,171.50,167.21
1991-07-13 09:29:45+00:00,L5,,150.44,153.52,147.64,153.56,149.86,153.01
1991-07-29 09:30:00+00:00,L5,190.07,157.37,152.94,148.36,151.55,149.50,155.31
1991-08-14 09:30:03+00:00,L5,188.36,165.16,171.83,159.08,156.64,163.16,169.62
1991-08-30 09:30:13+00:00,L5,193.47,165.12,170.95,158.19,154.12,169.13,162.26
1991-10-01 09:30:30+00:00,L5,183.16,157.22,143.68,148.70,143.34,140.00,143.82
1991-10-17 09:30:42+00:00,L5,193.01,162.31,161.88,156.33,156.84,160.03,161.88
1991-11-02 09:30:40+00:00,L5,190.70,160.51,163.59,152.68,152.92,158.63,155.69
