dates,sar1413-0000,satname
1984-09-20 09:30:04+00:00,143.19,L5
1988-03-07 09:29:48+00:00,168.66,L5
1991-02-28 09:21:00+00:00,173.16,L5
1992-02-15 09:24:02+00:00,185.45,L5
1992-10-12 09:21:28+00:00,167.24,L5
1994-03-08 09:20:40+00:00,167.76,L5
1995-02-23 09:10:59+00:00,174.66,L5
1996-02-17 09:11:43+00:00,176.35,L5
1996-11-15 09:26:56+00:00,198.71,L5
1997-03-16 09:26:11+00:00,151.24,L5
1997-10-01 09:39:00+00:00,157.76,L5
1998-03-03 09:36:21+00:00,180.59,L5
1998-03-19 09:36:37+00:00,127.6,L5
1999-08-21 09:52:49+00:00,144.57,L7
1999-09-22 09:52:53+00:00,139.81,L7
1999-09-30 09:36:28+00:00,158.3,L5
1999-10-08 09:52:59+00:00,188.67,L7
2000-02-13 09:52:41+00:00,194.84,L7
2000-02-29 09:52:35+00:00,192.7,L7
2000-03-08 09:33:21+00:00,166.82,L5
2000-03-16 09:52:31+00:00,174.76,L7
2000-05-19 09:52:01+00:00,128.29,L7
2000-06-04 09:51:49+00:00,130.86,L7
2000-06-20 09:51:46+00:00,131.87,L7
2000-07-06 09:51:32+00:00,130.6,L7
2000-08-07 09:51:02+00:00,117.99,L7
2000-09-16 09:38:11+00:00,136.49,L5
2000-09-24 09:50:24+00:00,144.2,L7
2001-03-11 09:40:03+00:00,152.54,L5
2001-03-19 09:50:10+00:00,130.26,L7
2001-04-04 09:50:00+00:00,133.33,L7
2001-06-07 09:49:35+00:00,129.75,L7
2001-06-23 09:49:22+00:00,124.94,L7
2001-07-09 09:49:19+00:00,128.7,L7
2001-07-25 09:49:12+00:00,129.34,L7
2001-08-10 09:48:54+00:00,130.0,L7
2001-08-26 09:48:43+00:00,128.61,L7
2001-09-11 09:48:31+00:00,130.13,L7
2001-09-19 09:40:01+00:00,137.23,L5
2001-09-27 09:48:22+00:00,154.74,L7
2001-10-13 09:48:08+00:00,188.58,L7
2002-03-14 09:38:02+00:00,164.31,L5
2002-03-22 09:48:45+00:00,168.87,L7
2002-04-23 09:48:42+00:00,128.92,L7
2002-05-25 09:48:37+00:00,129.52,L7
2002-06-10 09:48:30+00:00,129.25,L7
2002-07-28 09:48:12+00:00,134.49,L7
2002-08-13 09:48:07+00:00,129.91,L7
2002-09-30 09:47:41+00:00,167.21,L7
2002-10-16 09:47:41+00:00,189.57,L7
2003-02-05 09:48:34+00:00,192.1,L7
2003-03-25 09:48:35+00:00,138.43,L7
2003-04-26 09:48:42+00:00,133.05,L7
2003-05-12 09:48:41+00:00,118.61,L7
2003-05-28 09:48:39+00:00,128.71,L7
2003-09-25 09:37:36+00:00,144.77,L5
2004-05-14 09:49:08+00:00,127.24,L7
